"","x"
"1","Abronia"
"2","Acacia"
"3","Anemone"
"4","Caesalpinia"
"5","Aconogonon"
"6","Acourtia"
"7","Actaea"
"8","Carex"
"9","Cerastium"
"10","Agastache"
"11","Cleome"
"12","Codriophorus"
"13","Ageratina"
"14","Agrostis"
"15","Amblystegium"
"16","Allium"
"17","Cyperus"
"18","Dodecatheon"
"19","Amblyopappus"
"20","Amaranthus"
"21","Astragalus"
"22","Fissidens"
"23","Anulocaulis"
"24","Apocynum"
"25","Buddleja"
"26","Aquilegia"
"27","Arctostaphylos"
"28","Lithospermum"
"29","Arabis"
"30","Araujia"
"31","Aristida"
"32","Argemone"
"33","Arnica"
"34","Artemisia"
"35","Asclepias"
"36","Asarum"
"37","Hydrocotyle"
"38","Muhlenbergia"
"39","Asparagus"
"40","Asterella"
"41","Aster"
"42","Pennisetum"
"43","Atriplex"
"44","Potamogeton"
"45","Pleiacanthus"
"46","Barbarea"
"47","Potentilla"
"48","Bassia"
"49","Salix"
"50","Berberis"
"51","Blechnum"
"52","Boechera"
"53","Botrychium"
"54","Bouteloua"
"55","Brickellia"
"56","Brodiaea"
"57","Bryoerythrophyllum"
"58","Bryum"
"59","Bucklandiella"
"60","Bursera"
"61","Calochortus"
"62","Callistemon"
"63","Calystegia"
"64","Selaginella"
"65","Camissonia"
"66","Campylopus"
"67","Castilleja"
"68","Ceanothus"
"69","Centaurea"
"70","Cephaloziella"
"71","Cercis"
"72","Cercocarpus"
"73","Chenopodium"
"74","Chorizanthe"
"75","Circaea"
"76","Cirsium"
"77","Claytonia"
"78","Clarkia"
"79","Clematis"
"80","Allophyllum"
"81","Corydalis"
"82","Corylus"
"83","Crepis"
"84","Crossidium"
"85","Croton"
"86","Cryptantha"
"87","Cuscuta"
"88","Cynodon"
"89","Cylindropuntia"
"90","Cymopterus"
"91","Cynosurus"
"92","Cypripedium"
"93","Dalea"
"94","Desmodium"
"95","Delphinium"
"96","Descurainia"
"97","Balsamorhiza"
"98","Dicentra"
"99","Dichelostemma"
"100","Didymodon"
"101","Dioscorea"
"102","Distichium"
"103","Dryopteris"
"104","Echinocereus"
"105","Echinochloa"
"106","Elymus"
"107","Echinodorus"
"108","Eleocharis"
"109","Encelia"
"110","Ephedra"
"111","Epilobium"
"112","Equisetum"
"113","Eremalche"
"114","Eriogonum"
"115","Brachythecium"
"116","Eriastrum"
"117","Ericameria"
"118","Erigeron"
"119","Eriophorum"
"120","Eriocaulon"
"121","Brassica"
"122","Erodium"
"123","Eriophyllum"
"124","Eryngium"
"125","Eschscholzia"
"126","Eucephalus"
"127","Eucrypta"
"128","Euphorbia"
"129","Eurhynchium"
"130","Euthamia"
"131","Festuca"
"132","Fouquieria"
"133","Fragaria"
"134","Galium"
"135","Gamochaeta"
"136","Gilia"
"137","Gentianella"
"138","Gentianopsis"
"139","Glycyrrhiza"
"140","Gnaphalium"
"141","Glyceria"
"142","Gutierrezia"
"143","Hedera"
"144","Helianthus"
"145","Helminthotheca"
"146","Hesperolinon"
"147","Hesperevax"
"148","Hieracium"
"149","Hierochloe"
"150","Hoffmannseggia"
"151","Holodiscus"
"152","Hordeum"
"153","Hosackia"
"154","Horkelia"
"155","Hydrophyllum"
"156","Hypericum"
"157","Ilex"
"158","Imperata"
"159","Ipomoea"
"160","Iris"
"161","Isocoma"
"162","Ivesia"
"163","Jaffueliobryum"
"164","Jamesia"
"165","Juncus"
"166","Leersia"
"167","Juniperus"
"168","Justicia"
"169","Kalmia"
"170","Landoltia"
"171","Lathyrus"
"172","Lepidium"
"173","Leucaena"
"174","Lewisia"
"175","Leymus"
"176","Lilium"
"177","Linaria"
"178","Lophozia"
"179","Lomatium"
"180","Lonicera"
"181","Lophocolea"
"182","Lupinus"
"183","Lunularia"
"184","Lycium"
"185","Lysichiton"
"186","Lythrum"
"187","Madia"
"188","Malva"
"189","Mannia"
"190","Marah"
"191","Marsilea"
"192","Marsupella"
"193","Melica"
"194","Mentha"
"195","Mentzelia"
"196","Micranthes"
"197","Microseris"
"198","Mielichhoferia"
"199","Mimulus"
"200","Minuartia"
"201","Mohavea"
"202","Moehringia"
"203","Monanthochloe"
"204","Monardella"
"205","Montia"
"206","Oxalis"
"207","Nasturtium"
"208","Myristica"
"209","Navarretia"
"210","Najas"
"211","Nama"
"212","Chloris"
"213","Nymphaea"
"214","Oenothera"
"215","Ophioglossum"
"216","Orthocarpus"
"217","Paeonia"
"218","Panicum"
"219","Parapholis"
"220","Paspalum"
"221","Passiflora"
"222","Paxistima"
"223","Pedicularis"
"224","Penstemon"
"225","Phacelia"
"226","Pentachaeta"
"227","Phalaris"
"228","Persicaria"
"229","Petalonyx"
"230","Peucephyllum"
"231","Phleum"
"232","Phlox"
"233","Phoenicaulis"
"234","Phoradendron"
"235","Physalis"
"236","Physocarpus"
"237","Plagiobothrys"
"238","Plectritis"
"239","Plantago"
"240","Platystemon"
"241","Poa"
"242","Pogogyne"
"243","Dysphania"
"244","Polemonium"
"245","Polygala"
"246","Polypodium"
"247","Portulaca"
"248","Primula"
"249","Prosartes"
"250","Prosopis"
"251","Prunus"
"252","Pterygoneurum"
"253","Eragrostis"
"254","Pycreus"
"255","Pyrrocoma"
"256","Quercus"
"257","Raillardella"
"258","Ranunculus"
"259","Rorippa"
"260","Rosa"
"261","Rubus"
"262","Rumex"
"263","Ruta"
"264","Sagittaria"
"265","Salicornia"
"266","Salazaria"
"267","Setaria"
"268","Salvia"
"269","Sapindus"
"270","Satureja"
"271","Saxifraga"
"272","Scapania"
"273","Schistidium"
"274","Trichostema"
"275","Scouleria"
"276","Scribneria"
"277","Sedum"
"278","Senecio"
"279","Senegalia"
"280","Sida"
"281","Sidalcea"
"282","Silene"
"283","Simmondsia"
"284","Sisymbrium"
"285","Sisyrinchium"
"286","Solanum"
"287","Sphaeralcea"
"288","Solidago"
"289","Sparganium"
"290","Stachys"
"291","Sporobolus"
"292","Stanleya"
"293","Staphylea"
"294","Stellaria"
"295","Stenotus"
"296","Stephanomeria"
"297","Streptopus"
"298","Streptanthus"
"299","Symphoricarpos"
"300","Symphyotrichum"
"301","Synthyris"
"302","Hypnum"
"303","Tetradymia"
"304","Thalictrum"
"305","Tolmiea"
"306","Torreyochloa"
"307","Tortula"
"308","Toxicodendron"
"309","Triantha"
"310","Trillium"
"311","Trisetum"
"312","Vaccinium"
"313","Veronica"
"314","Valeriana"
"315","Verbascum"
"316","Vicia"
"317","Viola"
"318","Yucca"
"319","Zeltnera"
"320","Abies"
"321","Abutilon"
"322","Abrus"
"323","Kyhosia"
"324","Amphilophium"
"325","Acamptopappus"
"326","Mirabilis"
"327","Acer"
"328","Mitella"
"329","Nassella"
"330","Acanthomintha"
"331","Acanthoscyphus"
"332","Boerhavia"
"333","Acaulon"
"334","Achillea"
"335","Achlys"
"336","Achnatherum"
"337","Achyrachaena"
"338","Bryolawtonia"
"339","Acmispon"
"340","Aconitum"
"341","Agave"
"342","Actinidia"
"343","Adenophyllum"
"344","Adenocaulon"
"345","Adenostoma"
"346","Adiantum"
"347","Agoseris"
"348","Aegilops"
"349","Aesculus"
"350","Afrocarpus"
"351","Agnorhiza"
"352","Agrimonia"
"353","Agropyron"
"354","Aira"
"355","Alchemilla"
"356","Aleurites"
"357","Alisma"
"358","Allenrolfea"
"359","Allionia"
"360","Distichlis"
"361","Digitaria"
"362","Ditaxis"
"363","Alnus"
"364","Alopecurus"
"365","Allotropa"
"366","Draba"
"367","Aloe"
"368","Aloina"
"369","Drymocallis"
"370","Alsia"
"371","Alyssum"
"372","Ambrosia"
"373","Amelanchier"
"374","Amelichloa"
"375","Ammannia"
"376","Ammophila"
"377","Amomum"
"378","Amorpha"
"379","Amphipappus"
"380","Ancistrocarphus"
"381","Amphidium"
"382","Amsinckia"
"383","Ficus"
"384","Filago"
"385","Anagallis"
"386","Amsonia"
"387","Anacolia"
"388","Anaphalis"
"389","Andreaea"
"390","Andropogon"
"391","Androsace"
"392","Androstephium"
"393","Anelsonia"
"394","Anemopsis"
"395","Angelica"
"396","Antennaria"
"397","Anisocoma"
"398","Anisocarpus"
"399","Anomobryum"
"400","Anthoxanthum"
"401","Anthelia"
"402","Anthemis"
"403","Anthriscus"
"404","Anthoceros"
"405","Heterotheca"
"406","Isoetes"
"407","Antirrhinum"
"408","Aphanes"
"409","Antitrichia"
"410","Leptodictyum"
"411","Apiastrum"
"412","Aponogeton"
"413","Arbutus"
"414","Arceuthobium"
"415","Aralia"
"416","Araucaria"
"417","Arctium"
"418","Arctoa"
"419","Ardisia"
"420","Arenaria"
"421","Argyrochosma"
"422","Aristolochia"
"423","Armeria"
"424","Arrhenatherum"
"425","Arundo"
