,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32
0.5,0.050274827191630005,0.09133784758940991,0.104633419976555,0.14083427781565,0.134119478594961,0.14316415418760384,0.13385957178960578,0.1456993888674345,0.1394584970531218,0.13535332261410976,0.1323093941239094,0.12718076177171012,0.12795876132190026,0.13831248519498707,0.141761847129967,0.174728781941844
1,0.051549995337,0.1087359681378,0.13550607002499032,0.16126201929364,0.152485673356928,0.15889991554755667,0.14645258730503913,0.15579796273697,0.1433266310994243,0.147859684589527,0.14113685797953363,0.13058404592309703,0.13285704816202887,0.14282867858542814,0.146771316170667,0.174728781941844
1.5,0.0561693142069997,0.1438831201485175,0.15859093641767,0.17323075749309375,0.1784223117159745,0.17735777533955127,0.16449268189702243,0.15972177756364017,0.15364303864782716,0.150878118882515,0.1457238735956834,0.1449094030153076,0.13702217775108935,0.14602370573871834,0.152423338310448,0.174728781941844
2,0.05939925789,0.17972833114512002,0.17695602802673333,0.190297622655905,0.186501378185768,0.181993096348597,0.17522481206276858,0.16535877180056327,0.1568850421946032,0.15355122613370698,0.14720668405125933,0.1508933425167395,0.14255398318804524,0.146961021550501,0.15279756763969365,0.174728781941844
2.5,0.06608408536950021,0.193014462468125,0.19062141829117502,0.19826184979201564,0.200427990249535,0.18564785028018363,0.18255580994258214,0.1703020134676333,0.16440760710082938,0.15903766493327248,0.15016097559839128,0.15414297429502635,0.14644898188431443,0.14881991431465313,0.153688971834633,0.174728781941844
5,0.11031188212,0.24600119800447498,0.23889692527446704,0.23935467820315623,0.22540416167098,0.211076344814267,0.1983825316723927,0.19146587616807814,0.1772060860820251,0.1693995108266725,0.16353410056989778,0.161516602310558,0.1548162568993849,0.15455878719506802,0.1553865763014903,0.174728781941844
10,0.336734488062,0.3589220708675,0.31832228500346643,0.2832641702849875,0.258088140461,0.24069502905182502,0.2213280941305287,0.2077125576431125,0.19263858077221668,0.183885735422755,0.17494330903279978,0.1718021566845458,0.1633137122735076,0.16191231545182472,0.16293735357416028,0.174728781941844
25,0.68128767647,0.5994026606436249,0.45254629799837504,0.3695383760416875,0.325196182645075,0.29838120192537476,0.2666790209541073,0.2514125113153905,0.2277985639864165,0.2112153912383375,0.19868441601298875,0.190162602484656,0.17915471609730776,0.1760567465419375,0.17370338824188325,0.174728781941844
75,1.983517155517,0.931352416647125,0.6828886679365415,0.55535371764325,0.473008308214125,0.4194066923487295,0.36866587296764297,0.3326989844794217,0.2977890144718053,0.2722757353884875,0.25157972762147696,0.23187237999707275,0.21499959685549974,0.2030405884566075,0.190712457386867,0.174728781941844
90,2.0883950952230004,1.0358475426593001,0.7862896428505994,0.6293453988115251,0.54458057935432,0.4680040218227914,0.413240150278721,0.3663122580861187,0.33129997547113355,0.299266422385485,0.2734934310463729,0.2499728187025872,0.2308519038264539,0.21388981393756082,0.198968389836633,0.174728781941844
97.5,2.116770496606625,1.258010066024025,0.8738450358066749,0.70170159675385,0.594188240820885,0.509080925484698,0.46288097135379597,0.40962567145795936,0.3650277239128473,0.33294717712708755,0.29833609621442614,0.27006858396534894,0.2459185292272793,0.22382299470386455,0.2078453340797,0.174728781941844
98,2.120953057337,1.27762053006313,0.88161768273602,0.7130289762513349,0.6049349940546179,0.5164937873069737,0.46586288753824184,0.411772634009915,0.3691390811032622,0.335617715416073,0.2998092861338601,0.2732787259457478,0.24948408139763803,0.226824730819186,0.209584054534167,0.174728781941844
98.5,2.1229597602598,1.289449651954735,0.896480649807538,0.7325205533615323,0.612629851284755,0.5232391703737863,0.48200024095498595,0.417934883483722,0.373747308241131,0.3385955873677265,0.3016827984551787,0.27875289592893177,0.25055888447334496,0.22960094259510327,0.210795677679967,0.174728781941844
99,2.125572376207,1.29592130738033,0.9111947401740236,0.7540381024404474,0.6235483137121719,0.533722707651355,0.4879619743184603,0.42298266455239875,0.3795140878529874,0.34920504029123944,0.306325839145623,0.28062857652090417,0.25289285536847067,0.23235751281623684,0.2110292679027,0.174728781941844
99.5,2.129817315827,1.305972867934295,0.9381497653322646,0.7765269014054712,0.642400739929368,0.5543181707509753,0.49310794288773196,0.4346789119421194,0.39372139315735416,0.35617501014091496,0.3203230075832836,0.28665165739435916,0.25883384076244825,0.23608365926438757,0.2113410197836,0.174728781941844
Median,1.26307070902,0.7777942324381251,0.5913039119150001,0.47118702051024997,0.39967778378999996,0.3586388648444165,0.31435548571125,0.2927115516154375,0.26123551292,0.240719274936475,0.2262028100415455,0.211830810848521,0.19784923443069252,0.1898918935448215,0.1821333979324,0.174728781941844
Mean,1.252053214806838,0.747289978114045,0.566746397437482,0.46324157437723523,0.40034414458740253,0.356507369161522,0.31684650673413767,0.2910347310857161,0.2624515082138148,0.24164869259075267,0.22529582748366977,0.21095730986388947,0.1971497581634111,0.18891225614579818,0.18128129436919044,0.17472878194184405
