"","x"
"1","Ambystoma californiense"
"2","Rana sierrae"
"3","Lithobates pipiens"
"4","Spea intermontana"
"5","Anaxyrus canorus"
"6","Aquarana catesbeianus"
"7","Batrachoseps diabolicus"
"8","Spea hammondii"
"9","Ensatina eschscholtzii"
"10","Taricha torosa"
"11","Anaxyrus punctatus"
"12","Batrachoseps simatus"
"13","Batrachoseps relictus"
"14","Taricha sierrae"
"15","Batrachoseps robustus"
"16","Batrachoseps altasierrae"
"17","Ambystoma macrodactylum"
"18","Taricha granulosa"
"19","Hydromantes platycephalus"
"20","Rana cascadae"
