"","name"
"1","Ambystoma_californiense"
"2","Aneides_vagrans"
"3","Batrachoseps_diabolicus"
"4","Spea_hammondii"
"5","Ensatina_eschscholtzii"
"6","Taricha_torosa"
"7","Batrachoseps_simatus"
"8","Batrachoseps_gavilanensis"
"9","Batrachoseps_relictus"
"10","Pseudacris_regilla"
"11","Batrachoseps_incognitus"
"12","Ascaphus_truei"
"13","Dicamptodon_ensatus"
"14","Batrachoseps_luciae"
"15","Rhyacotriton_variegatus"
"16","Ambystoma_macrodactylum"
"17","Taricha_granulosa"
"18","Hydromantes_platycephalus"
"19","Rana_cascadae"
