taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	84	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Zonotrichia	6173226	Zonotrichia leucophrys	5231132	LC
5231713	Toxostoma redivivum (Gambel, 1845)	5231713	Toxostoma redivivum (Gambel, 1845)	89	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Toxostoma	2494943	Toxostoma redivivum	5231713	LC
2481930	Cathartes aura (Linnaeus, 1758)	2481930	Cathartes aura (Linnaeus, 1758)	254	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC
9088491	Dryobates nuttallii (Gambel, 1843)	9088491	Dryobates nuttallii (Gambel, 1843)	323	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Dryobates	8399994	Dryobates nuttallii	9088491	LC
2491757	Amphispiza bilineata (Cassin, 1850)	2491757	Amphispiza bilineata (Cassin, 1850)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Amphispiza	2491750	Amphispiza bilineata	2491757	LC
2484892	Sitta carolinensis Latham, 1790	2484892	Sitta carolinensis Latham, 1790	295	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta carolinensis	2484892	LC
2484591	Regulus satrapa Lichtenstein, 1823	2484591	Regulus satrapa Lichtenstein, 1823	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Regulidae	5279	Regulus	2484589	Regulus satrapa	2484591	LC
2497921	Tyto alba (Scopoli, 1769)	2497921	Tyto alba (Scopoli, 1769)	37	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Tytonidae	5292	Tyto	2497905	Tyto alba	2497921	LC
7804446	Haemorhous purpureus (J.F.Gmelin, 1789)	7804446	Haemorhous purpureus (J.F.Gmelin, 1789)	204	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Haemorhous	4844128	Haemorhous purpureus	7804446	LC
5231677	Mimus polyglottos (Linnaeus, 1758)	5231677	Mimus polyglottos (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Mimus	2494919	Mimus polyglottos	5231677	LC
2480320	Charadrius vociferus Linnaeus, 1758	2480320	Charadrius vociferus Linnaeus, 1758	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius vociferus	2480320	LC
5959118	Bubo virginianus (J.F.Gmelin, 1788)	5959118	Bubo virginianus (J.F.Gmelin, 1788)	74	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Bubo	5959091	Bubo virginianus	5959118	LC
2491651	Chondestes grammacus (Say, 1822)	2491651	Chondestes grammacus (Say, 1822)	181	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Chondestes	2491650	Chondestes grammacus	2491651	LC
5232207	Aegolius acadicus (J.F.Gmelin, 1788)	5232207	Aegolius acadicus (J.F.Gmelin, 1788)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Aegolius	8095667	Aegolius acadicus	5232207	LC
5231640	Spinus tristis (Linnaeus, 1758)	5231640	Spinus tristis (Linnaeus, 1758)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Spinus	8051475	Spinus tristis	5231640	LC
2475472	Megaceryle alcyon (Linnaeus, 1758)	2475472	Megaceryle alcyon (Linnaeus, 1758)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Alcedinidae	2984	Megaceryle	2475462	Megaceryle alcyon	2475472	LC
2483612	Sayornis nigricans (Swainson, 1827)	2483612	Sayornis nigricans (Swainson, 1827)	294	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Sayornis	2483605	Sayornis nigricans	2483612	LC
2482492	Corvus corax Linnaeus, 1758	2482492	Corvus corax Linnaeus, 1758	49	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus corax	2482492	LC
2484609	Bombycilla cedrorum Vieillot, 1808	2484609	Bombycilla cedrorum Vieillot, 1808	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Bombycillidae	5215	Bombycilla	2484604	Bombycilla cedrorum	2484609	LC
2478142	Melanerpes lewis (G.R.Gray, 1849)	2478142	Melanerpes lewis (G.R.Gray, 1849)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes lewis	2478142	LC
2478597	Sphyrapicus ruber (J.F.Gmelin, 1788)	2478597	Sphyrapicus ruber (J.F.Gmelin, 1788)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Sphyrapicus	2478596	Sphyrapicus ruber	2478597	LC
6092644	Setophaga occidentalis (J.K.Townsend, 1837)	6092644	Setophaga occidentalis (J.K.Townsend, 1837)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga occidentalis	6092644	LC
2480566	Buteo regalis (G.R.Gray, 1844)	2480566	Buteo regalis (G.R.Gray, 1844)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo regalis	2480566	LC
2490936	Sialia mexicana Swainson, 1832	2490936	Sialia mexicana Swainson, 1832	415	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Sialia	2490934	Sialia mexicana	2490936	LC
2482507	Corvus brachyrhynchos C.L.Brehm, 1822	2482507	Corvus brachyrhynchos C.L.Brehm, 1822	259	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus brachyrhynchos	2482507	LC
2481759	Calidris alpina (Linnaeus, 1758)	2481759	Calidris alpina (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris alpina	2481759	LC
2498112	Anas acuta Linnaeus, 1758	2498112	Anas acuta Linnaeus, 1758	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas acuta	2498112	LC
7597244	Selasphorus calliope (Gould, 1847)	7597244	Selasphorus calliope (Gould, 1847)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Selasphorus	2476843	Selasphorus calliope	7597244	LC
2474825	Rallus limicola Vieillot, 1819	2474825	Rallus limicola Vieillot, 1819	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Rallus	2474794	Rallus limicola	2474825	LC
9415596	Eremophila alpestris (Linnaeus, 1758)	9415596	Eremophila alpestris (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Eremophila	2490615	Eremophila alpestris	9415596	LC
8323485	Haemorhous mexicanus (P.L.Statius Müller, 1776)	8323485	Haemorhous mexicanus (P.L.Statius Müller, 1776)	298	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Haemorhous	4844128	Haemorhous mexicanus	8323485	LC
5231635	Spinus pinus (A.Wilson, 1810)	5231635	Spinus pinus (A.Wilson, 1810)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Spinus	8051475	Spinus pinus	5231635	LC
2484445	Agelaius tricolor (Audubon, 1837)	2484445	Agelaius tricolor (Audubon, 1837)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Agelaius	2484444	Agelaius tricolor	2484445	EN
7531611	Leiothlypis ruficapilla (A.Wilson, 1811)	7531611	Leiothlypis ruficapilla (A.Wilson, 1811)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Leiothlypis	7467942	Leiothlypis ruficapilla	7531611	LC
9568685	Empidonax difficilis S.F.Baird, 1858	9568685	Empidonax difficilis S.F.Baird, 1858	250	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax difficilis	9568685	LC
2489181	Tachycineta bicolor (Vieillot, 1808)	2489181	Tachycineta bicolor (Vieillot, 1808)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Tachycineta	2489178	Tachycineta bicolor	2489181	LC
2483600	Myiarchus cinerascens (Lawrence, 1851)	2483600	Myiarchus cinerascens (Lawrence, 1851)	166	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiarchus	2483527	Myiarchus cinerascens	2483600	LC
2492885	Phainopepla nitens (Swainson, 1838)	2492885	Phainopepla nitens (Swainson, 1838)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ptilogonatidae	5275	Phainopepla	2492884	Phainopepla nitens	2492885	LC
2495266	Patagioenas fasciata (Say, 1822)	2495266	Patagioenas fasciata (Say, 1822)	166	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Patagioenas	2495265	Patagioenas fasciata	2495266	LC
2481817	Gallinago delicata (Ord, 1825)	2481817	Gallinago delicata (Ord, 1825)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Gallinago	2481808	Gallinago delicata	2481817	LC
2497062	Phalaenoptilus nuttallii (Audubon, 1844)	2497062	Phalaenoptilus nuttallii (Audubon, 1844)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Phalaenoptilus	2497061	Phalaenoptilus nuttallii	2497062	LC
2484391	Molothrus ater (Boddaert, 1783)	2484391	Molothrus ater (Boddaert, 1783)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Molothrus	2484385	Molothrus ater	2484391	LC
5229489	Pica nuttalli (Audubon, 1837)	5229489	Pica nuttalli (Audubon, 1837)	106	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Pica	7237083	Pica nuttalli	5229489	VU
5229675	Tyrannus verticalis Say, 1823	5229675	Tyrannus verticalis Say, 1823	33	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Tyrannus	2483336	Tyrannus verticalis	5229675	LC
5231483	Salpinctes obsoletus (Say, 1822)	5231483	Salpinctes obsoletus (Say, 1822)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Salpinctes	2493947	Salpinctes obsoletus	5231483	LC
2482786	Empidonax traillii (Audubon, 1828)	2482786	Empidonax traillii (Audubon, 1828)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax traillii	2482786	LC
2498387	Aix sponsa (Linnaeus, 1758)	2498387	Aix sponsa (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Aix	2498386	Aix sponsa	2498387	LC
5228080	Callipepla californica (Shaw, 1798)	5228080	Callipepla californica (Shaw, 1798)	383	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Odontophoridae	9325	Callipepla	2474205	Callipepla californica	5228080	LC
5229389	Phalaropus tricolor (Vieillot, 1819)	5229389	Phalaropus tricolor (Vieillot, 1819)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Phalaropus	9549339	Phalaropus tricolor	5229389	LC
5231138	Zonotrichia atricapilla (J.F.Gmelin, 1789)	5231138	Zonotrichia atricapilla (J.F.Gmelin, 1789)	163	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Zonotrichia	6173226	Zonotrichia atricapilla	5231138	LC
5739290	Phalaropus lobatus (Linnaeus, 1758)	5739290	Phalaropus lobatus (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Phalaropus	9549339	Phalaropus lobatus	5739290	LC
2490487	Pheucticus melanocephalus (Swainson, 1827)	2490487	Pheucticus melanocephalus (Swainson, 1827)	210	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Pheucticus	2490486	Pheucticus melanocephalus	2490487	LC
2482077	Podilymbus podiceps (Linnaeus, 1758)	2482077	Podilymbus podiceps (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podilymbus	2482075	Podilymbus podiceps	2482077	LC
5230861	Passerina amoena (Say, 1822)	5230861	Passerina amoena (Say, 1822)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Passerina	2490326	Passerina amoena	5230861	LC
2480529	Buteo lineatus (Gmelin, 1788)	2480529	Buteo lineatus (Gmelin, 1788)	210	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo lineatus	2480529	LC
2482065	Podiceps nigricollis C.L.Brehm, 1831	2482065	Podiceps nigricollis C.L.Brehm, 1831	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps nigricollis	2482065	LC
7341770	Setophaga nigrescens (J.K.Townsend, 1837)	7341770	Setophaga nigrescens (J.K.Townsend, 1837)	108	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga nigrescens	7341770	LC
2478133	Melanerpes formicivorus (Swainson, 1827)	2478133	Melanerpes formicivorus (Swainson, 1827)	637	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes formicivorus	2478133	LC
2483606	Sayornis phoebe (Latham, 1790)	2483606	Sayornis phoebe (Latham, 1790)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Sayornis	2483605	Sayornis phoebe	2483606	LC
5228612	Chaetura vauxi (J.K.Townsend, 1839)	5228612	Chaetura vauxi (J.K.Townsend, 1839)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Chaetura	2477150	Chaetura vauxi	5228612	LC
9581157	Certhia americana Bonaparte, 1838	9581157	Certhia americana Bonaparte, 1838	82	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Certhiidae	5227	Certhia	2487601	Certhia americana	9581157	LC
9809229	Sturnus vulgaris Linnaeus, 1758	9809229	Sturnus vulgaris Linnaeus, 1758	173	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sturnus	2489099	Sturnus vulgaris	9809229	LC
2480726	Pandion haliaetus (Linnaeus, 1758)	2480726	Pandion haliaetus (Linnaeus, 1758)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Pandionidae	4408414	Pandion	2480725	Pandion haliaetus	2480726	LC
5229930	Icterus parisorum Bonaparte, 1838	5229930	Icterus parisorum Bonaparte, 1838	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Icterus	2484282	Icterus parisorum	5229930	LC
