taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Zonotrichia	6173226	Zonotrichia leucophrys	5231132	LC
2481930	Cathartes aura (Linnaeus, 1758)	2481930	Cathartes aura (Linnaeus, 1758)	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC
2497921	Tyto alba (Scopoli, 1769)	2497921	Tyto alba (Scopoli, 1769)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Tytonidae	5292	Tyto	2497905	Tyto alba	2497921	LC
5231677	Mimus polyglottos (Linnaeus, 1758)	5231677	Mimus polyglottos (Linnaeus, 1758)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Mimus	2494919	Mimus polyglottos	5231677	LC
2480320	Charadrius vociferus Linnaeus, 1758	2480320	Charadrius vociferus Linnaeus, 1758	61	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius vociferus	2480320	LC
5959118	Bubo virginianus (J.F.Gmelin, 1788)	5959118	Bubo virginianus (J.F.Gmelin, 1788)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Bubo	5959091	Bubo virginianus	5959118	LC
2491651	Chondestes grammacus (Say, 1822)	2491651	Chondestes grammacus (Say, 1822)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Chondestes	2491650	Chondestes grammacus	2491651	LC
5229128	Himantopus mexicanus (Statius Muller, 1776)	5229128	Himantopus mexicanus (Statius Muller, 1776)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Recurvirostridae	4287244	Himantopus	2480217	Himantopus mexicanus	5229128	LC
5231640	Spinus tristis (Linnaeus, 1758)	5231640	Spinus tristis (Linnaeus, 1758)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Spinus	8051475	Spinus tristis	5231640	LC
2475472	Megaceryle alcyon (Linnaeus, 1758)	2475472	Megaceryle alcyon (Linnaeus, 1758)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Alcedinidae	2984	Megaceryle	2475462	Megaceryle alcyon	2475472	LC
2483612	Sayornis nigricans (Swainson, 1827)	2483612	Sayornis nigricans (Swainson, 1827)	34	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Sayornis	2483605	Sayornis nigricans	2483612	LC
