taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	5231132	Zonotrichia leucophrys (J.R.Forster, 1772)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Zonotrichia	6173226	Zonotrichia leucophrys	5231132	LC
5231713	Toxostoma redivivum (Gambel, 1845)	5231713	Toxostoma redivivum (Gambel, 1845)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Toxostoma	2494943	Toxostoma redivivum	5231713	LC
2481930	Cathartes aura (Linnaeus, 1758)	2481930	Cathartes aura (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC
9088491	Dryobates nuttallii (Gambel, 1843)	9088491	Dryobates nuttallii (Gambel, 1843)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Dryobates	8399994	Dryobates nuttallii	9088491	LC
2484892	Sitta carolinensis Latham, 1790	2484892	Sitta carolinensis Latham, 1790	68	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta carolinensis	2484892	LC
2484591	Regulus satrapa Lichtenstein, 1823	2484591	Regulus satrapa Lichtenstein, 1823	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Regulidae	5279	Regulus	2484589	Regulus satrapa	2484591	LC
7804446	Haemorhous purpureus (J.F.Gmelin, 1789)	7804446	Haemorhous purpureus (J.F.Gmelin, 1789)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Haemorhous	4844128	Haemorhous purpureus	7804446	LC
5231677	Mimus polyglottos (Linnaeus, 1758)	5231677	Mimus polyglottos (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Mimus	2494919	Mimus polyglottos	5231677	LC
5959118	Bubo virginianus (J.F.Gmelin, 1788)	5959118	Bubo virginianus (J.F.Gmelin, 1788)	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Bubo	5959091	Bubo virginianus	5959118	LC
5232207	Aegolius acadicus (J.F.Gmelin, 1788)	5232207	Aegolius acadicus (J.F.Gmelin, 1788)	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Aegolius	8095667	Aegolius acadicus	5232207	LC
2475472	Megaceryle alcyon (Linnaeus, 1758)	2475472	Megaceryle alcyon (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Alcedinidae	2984	Megaceryle	2475462	Megaceryle alcyon	2475472	LC
2483612	Sayornis nigricans (Swainson, 1827)	2483612	Sayornis nigricans (Swainson, 1827)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Sayornis	2483605	Sayornis nigricans	2483612	LC
2482492	Corvus corax Linnaeus, 1758	2482492	Corvus corax Linnaeus, 1758	48	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus corax	2482492	LC
2484609	Bombycilla cedrorum Vieillot, 1808	2484609	Bombycilla cedrorum Vieillot, 1808	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Bombycillidae	5215	Bombycilla	2484604	Bombycilla cedrorum	2484609	LC
2478142	Melanerpes lewis (G.R.Gray, 1849)	2478142	Melanerpes lewis (G.R.Gray, 1849)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes lewis	2478142	LC
2478597	Sphyrapicus ruber (J.F.Gmelin, 1788)	2478597	Sphyrapicus ruber (J.F.Gmelin, 1788)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Sphyrapicus	2478596	Sphyrapicus ruber	2478597	LC
2484879	Sitta canadensis Linnaeus, 1766	2484879	Sitta canadensis Linnaeus, 1766	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta canadensis	2484879	LC
2490936	Sialia mexicana Swainson, 1832	2490936	Sialia mexicana Swainson, 1832	46	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Sialia	2490934	Sialia mexicana	2490936	LC
2482507	Corvus brachyrhynchos C.L.Brehm, 1822	2482507	Corvus brachyrhynchos C.L.Brehm, 1822	46	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus brachyrhynchos	2482507	LC
7597244	Selasphorus calliope (Gould, 1847)	7597244	Selasphorus calliope (Gould, 1847)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Selasphorus	2476843	Selasphorus calliope	7597244	LC
9415596	Eremophila alpestris (Linnaeus, 1758)	9415596	Eremophila alpestris (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Eremophila	2490615	Eremophila alpestris	9415596	LC
8323485	Haemorhous mexicanus (P.L.Statius Müller, 1776)	8323485	Haemorhous mexicanus (P.L.Statius Müller, 1776)	14	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Haemorhous	4844128	Haemorhous mexicanus	8323485	LC
5231635	Spinus pinus (A.Wilson, 1810)	5231635	Spinus pinus (A.Wilson, 1810)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Spinus	8051475	Spinus pinus	5231635	LC
