"","x"
"1","Aix sponsa"
"2","Amazona viridigenalis"
"3","Amphispiza bilineata"
"4","Anser caerulescens"
"5","Anser rossii"
"6","Archilochus alexandri"
"7","Artemisiospiza belli"
"8","Artemisiospiza nevadensis"
"9","Asio otus"
"10","Aythya affinis"
"11","Aythya americana"
"12","Aythya collaris"
"13","Aythya valisineria"
"14","Bombycilla cedrorum"
"15","Bonasa umbellus"
"16","Branta bernicla"
"17","Branta hutchinsii"
"18","Calamospiza melanocorys"
"19","Calypte costae"
"20","Cardellina pusilla"
"21","Catharus guttatus"
"22","Certhia americana"
"23","Chondestes grammacus"
"24","Cinclus mexicanus"
"25","Cistothorus palustris"
"26","Coccyzus americanus"
"27","Contopus sordidulus"
"28","Cypseloides niger"
"29","Empidonax hammondii"
"30","Empidonax minimus"
"31","Empidonax oberholseri"
"32","Empidonax traillii"
"33","Empidonax wrightii"
"34","Falco columbarius"
"35","Geothlypis tolmiei"
"36","Geothlypis trichas"
"37","Icteria virens"
"38","Ixoreus naevius"
"39","Laterallus jamaicensis"
"40","Leiothlypis celata"
"41","Leiothlypis luciae"
"42","Leiothlypis ruficapilla"
"43","Leiothlypis virginiae"
"44","Lophodytes cucullatus"
"45","Mareca americana"
"46","Melanitta americana"
"47","Melospiza georgiana"
"48","Melospiza lincolnii"
"49","Melospiza melodia"
"50","Micrathene whitneyi"
"51","Mniotilta varia"
"52","Myadestes townsendi"
"53","Myiarchus cinerascens"
"54","Parkesia noveboracensis"
"55","Phalaenoptilus nuttallii"
"56","Pipilo chlorurus"
"57","Pipilo maculatus"
"58","Podilymbus podiceps"
"59","Psittacara erythrogenys"
"60","Pyrocephalus rubinus"
"61","Recurvirostra americana"
"62","Corthylio calendula"
"63","Salpinctes obsoletus"
"64","Sayornis nigricans"
"65","Selasphorus calliope"
"66","Selasphorus sasin"
"67","Setophaga nigrescens"
"68","Setophaga occidentalis"
"69","Setophaga palmarum"
"70","Setophaga petechia"
"71","Setophaga ruticilla"
"72","Setophaga townsendi"
"73","Sialia mexicana"
"74","Spatula cyanoptera"
"75","Spatula discors"
"76","Spizella atrogularis"
"77","Spizella breweri"
"78","Spizella passerina"
"79","Strix nebulosa"
"80","Thryomanes bewickii"
"81","Troglodytes pacificus"
"82","Turdus migratorius"
"83","Tyrannus verticalis"
"84","Tyrannus vociferans"
"85","Vireo bellii"
"86","Vireo gilvus"
"87","Vireo plumbeus"
"88","Zonotrichia leucophrys"
"89","Columbina passerina"
"90","Phoebastria nigripes"
"91","Chaetura vauxi"
"92","Ardea herodias"
"93","Accipiter striatus"
"94","Aechmophorus occidentalis"
"95","Alectoris chukar"
"96","Anas acuta"
"97","Anas platyrhynchos"
"98","Anthus rubescens"
"99","Ardea alba"
"100","Ardenna carneipes"
"101","Ardenna grisea"
"102","Arenaria interpres"
"103","Brachyramphus marmoratus"
"104","Bubulcus ibis"
"105","Calidris alpina"
"106","Chlidonias niger"
"107","Empidonax difficilis"
"108","Eremophila alpestris"
"109","Falco peregrinus"
"110","Gelochelidon nilotica"
"111","Hirundo rustica"
"112","Hydroprogne caspia"
"113","Icterus parisorum"
"114","Larus glaucoides"
"115","Nycticorax nycticorax"
"116","Pandion haliaetus"
"117","Passer domesticus"
"118","Pluvialis fulva"
"119","Pluvialis squatarola"
"120","Rallus limicola"
"121","Riparia riparia"
"122","Rissa tridactyla"
"123","Sayornis saya"
"124","Sialia currucoides"
"125","Spatula clypeata"
"126","Sterna hirundo"
"127","Sturnus vulgaris"
"128","Tyto alba"
"129","Urile pelagicus"
"130","Vireo vicinior"
"131","Charadrius nivosus"
"132","Fulica americana"
"133","Charadrius semipalmatus"
"134","Charadrius vociferus"
"135","Chordeiles acutipennis"
"136","Chordeiles minor"
"137","Circus hudsonius"
"138","Colaptes chrysoides"
"139","Columbina inca"
"140","Coragyps atratus"
"141","Dendragapus fuliginosus"
"142","Cygnus columbianus"
"143","Dendrocygna bicolor"
"144","Dryobates nuttallii"
"145","Dryobates pubescens"
"146","Egretta thula"
"147","Elanus leucurus"
"148","Falco mexicanus"
"149","Fratercula cirrhata"
"150","Falco sparverius"
"151","Gallinago delicata"
"152","Gallinula galeata"
"153","Gavia immer"
"154","Gavia pacifica"
"155","Picoides arcticus"
"156","Spinus pinus"
"157","Gymnogyps californianus"
"158","Histrionicus histrionicus"
"159","Hydrobates furcatus"
"160","Hydrobates homochroa"
"161","Hydrobates melania"
"162","Hydrobates microsoma"
"163","Ixobrychus exilis"
"164","Mareca penelope"
"165","Spinus lawrencei"
"166","Spinus tristis"
"167","Haemorhous cassinii"
"168","Haemorhous purpureus"
"169","Larus californicus"
"170","Gymnorhinus cyanocephalus"
"171","Larus delawarensis"
"172","Larus heermanni"
"173","Larus glaucescens"
"174","Larus livens"
"175","Larus occidentalis"
"176","Limnodromus scolopaceus"
"177","Limnodromus griseus"
"178","Poecile rufescens"
"179","Melanitta perspicillata"
"180","Mareca strepera"
"181","Megascops kennicottii"
"182","Melanerpes formicivorus"
"183","Melanerpes lewis"
"184","Mycteria americana"
"185","Numenius americanus"
"186","Numenius phaeopus"
"187","Patagioenas fasciata"
"188","Pelecanus erythrorhynchos"
"189","Pelecanus occidentalis"
"190","Nannopterum auritum"
"191","Phalaropus fulicarius"
"192","Phasianus colchicus"
"193","Plegadis chihi"
"194","Pluvialis dominica"
"195","Porzana carolina"
"196","Psiloscops flammeolus"
"197","Ptychoramphus aleuticus"
"198","Rallus obsoletus"
"199","Rynchops niger"
"200","Selasphorus rufus"
"201","Sphyrapicus ruber"
"202","Sphyrapicus thyroideus"
"203","Sphyrapicus nuchalis"
"204","Stercorarius pomarinus"
"205","Sterna forsteri"
"206","Synthliboramphus hypoleucus"
"207","Sternula antillarum"
"208","Strix varia"
"209","Strix occidentalis"
"210","Synthliboramphus scrippsi"
"211","Thalasseus elegans"
"212","Tringa flavipes"
"213","Tringa semipalmata"
"214","Tringa incana"
"215","Tringa melanoleuca"
"216","Zenaida macroura"
"217","Zenaida asiatica"
"218","Aphelocoma californica"
"219","Myiarchus tyrannulus"
"220","Progne subis"
"221","Passerculus sandwichensis"
"222","Pica hudsonia"
"223","Sitta carolinensis"
"224","Stelgidopteryx serripennis"
"225","Molothrus aeneus"
"226","Podiceps grisegena"
"227","Pterodroma cookii"
"228","Uria aalge"
"229","Chamaea fasciata"
"230","Limosa fedoa"
"231","Parabuteo unicinctus"
"232","Tringa solitaria"
"233","Junco hyemalis"
"234","Synthliboramphus craveri"
"235","Thalasseus maximus"
"236","Bombycilla garrulus"
"237","Campylorhynchus brunneicapillus"
"238","Catherpes mexicanus"
"239","Corvus corax"
"240","Euphagus cyanocephalus"
"241","Oreoscoptes montanus"
"242","Icterus cucullatus"
"243","Piranga ludoviciana"
"244","Lanius ludovicianus"
"245","Melozone aberti"
"246","Haliaeetus leucocephalus"
"247","Nucifraga columbiana"
"248","Accipiter cooperii"
"249","Passerina amoena"
"250","Perisoreus canadensis"
"251","Petrochelidon pyrrhonota"
"252","Phainopepla nitens"
"253","Pheucticus melanocephalus"
"254","Piranga rubra"
"255","Polioptila caerulea"
"256","Pooecetes gramineus"
