,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255
0.5,20.9427688025,23.688013392666633,23.01723555975,20.2580489594,20.394688222666698,20.796567763857112,19.737140322625,18.18743589022219,17.5282183948,17.16427146363637,17.020360286916667,16.268878418769187,15.762507139857185,15.590186841133367,15.154314677562502,15.034382365176464,14.372626078666679,14.122534103052631,13.874825775449999,13.80342647742858,13.665812542499975,13.369257293652161,13.313962723541634,13.28855354276,13.044532645423123,12.840933702407419,12.489463853071415,12.436641096275899,12.166902410399967,12.216521500290293,12.07823878796875,12.014881007363613,11.962845110970541,11.798839127114258,11.75972402572221,11.659958399756754,11.428271385736847,11.286021349717911,11.416076915575001,11.227494576048741,11.205090408166642,11.051447146209282,11.076058665863618,11.009103717488912,10.915628159760871,10.910158140382995,10.884263518750034,10.851674253306168,10.8389567988,10.9410959607843
1,23.5108647,25.508801002666633,24.2214374365,21.7221628528,21.37187733066663,21.978695317142858,20.375889742000002,19.16683877466667,18.081982018199998,17.827229997090864,17.614245433666635,16.954846448923046,16.228344212000028,16.204074161866632,15.620671921,15.274215025529424,14.58181391488891,14.59495452978952,14.0416154374,14.100741490476187,13.968700764818138,13.650784942695605,13.436574105666633,13.542290183999999,13.24608170338457,12.940019190148126,12.611748038357144,12.550984842000007,12.4818551836,12.375726010838703,12.280633007625001,12.189596692787912,12.045963512764677,11.907465175485672,11.836337981055522,11.707981995081052,11.500456057631617,11.41646984415383,11.46831050765,11.282188506195094,11.265747461714257,11.145242500697696,11.122409881181792,11.091616573022256,10.999288625217421,10.969691294765985,10.901816763333299,10.935308545102075,10.89168434044,11.007384124117682
1.5,25.215780581500002,26.443001655,25.353765582250002,23.3040298924,22.1029372395,22.588851064285656,20.666702621625,19.810735598999965,18.5567181721,18.326217769454573,17.856191174833302,17.218021851846146,16.717577121071443,16.4971778346,15.987941957937501,15.754082489999966,14.7911646108889,14.830695563105216,14.478090089,14.46830298309527,14.166548892227308,13.778127037086936,13.5536264412083,13.6606032988,13.437624892346124,13.042829150925964,12.758849485749971,12.629567441931004,12.6669510490667,12.45373319309681,12.3613588153125,12.289533304848517,12.125936744029412,11.980556470542815,11.961194020805532,11.777812988054036,11.580205659105308,11.448007830871777,11.514062812525,11.336260453365892,11.307714872357128,11.213758952976702,11.173022878727236,11.120233060044432,11.061289421043499,10.997860969914898,10.9608489070208,10.956496225897988,10.91057114254,11.0078087294118
2,26.408396233999998,27.01744589599997,25.576640045,24.0739150288,22.726055384666697,22.753652114857182,21.174008841000003,20.14408842400001,18.8051146112,18.480559187272757,18.1152388286667,17.422529850461547,16.959114583428597,16.739878362933332,16.14364627125,15.922329589411742,14.866746768444413,15.060680484842125,14.5941825618,14.57310799428576,14.292441252363663,13.958090656695656,13.7176239571667,13.70620662032,13.50436909030767,13.103698525629676,12.902533776857142,12.750952331448232,12.727953902400001,12.515845807483858,12.428493000875001,12.305858312363597,12.174168983058811,12.0218232626286,12.005327331555543,11.842367487675686,11.637240903789495,11.507623290461513,11.540239742099999,11.390708075804849,11.39803558561908,11.255147255813933,11.19045041054541,11.161482199022212,11.090893801652213,11.007011755744644,10.988193915333333,10.979168738530587,10.94254597392,11.0279054196078
2.5,27.954468,27.518829763333333,26.0951467125,24.676625591,22.971081193333365,22.954017609285753,21.46246058375,20.592919907777777,19.110613907,18.684675672727245,18.418562427916697,17.658857715769276,17.1434013403571,16.879235567000034,16.3204523171875,15.98184339147056,15.069698613333355,15.173337675789506,14.775810319749999,14.629110942380924,14.342536076590928,14.061672959565266,13.803748311249969,13.752138991199999,13.560734758461514,13.283498318148176,13.020265198392844,12.85909169896552,12.822888122333366,12.573432372419358,12.471953381250001,12.388877476515189,12.242505906911775,12.0737924255714,12.025174064999957,11.859266187026984,11.690017921710528,11.550114921666681,11.5851396675,11.405616028292695,11.414093896904715,11.296105814418594,11.2093092069318,11.189903184444432,11.115777220760847,11.046799970319118,11.0036631752083,10.989694863163272,10.9523927093,11.0300428196078
5,30.789798645,30.28562874999997,28.011919035000002,26.261225156000002,24.1803061066667,23.75019655714283,22.51812606875,21.684294952222256,20.492867349,19.758209018181844,19.125820180833337,18.428327700769263,17.79606306428574,17.39105326399997,17.008601055,16.42840894882355,15.827343443333344,15.646616528421076,15.279689255500001,15.05914900476192,14.7124270854545,14.426634046521695,14.082157827916635,13.988975470400002,13.8443366280769,13.596380920740714,13.370176655357115,13.188459599655214,13.017333707,12.850390804838696,12.714924599062499,12.551805378181834,12.466882417647087,12.260065950571455,12.194654586666635,12.02498320837834,11.857066356315801,11.750175876153815,11.709323477249999,11.5477465285366,11.50224568499999,11.387132948372045,11.30502348999999,11.24774851577781,11.176306421304345,11.132060696383,11.074940827083301,11.037173521224531,11.018259387399999,11.0461426745098
10,36.023923970000006,33.6595873,30.2968753,28.472100332,26.43921097000003,25.1898359085714,23.8761046625,22.75978196666671,21.516284188,20.850862127272737,20.061171065,19.47345014923077,18.68016264142856,18.11792488266664,17.6898836025,16.93302531294117,16.52018438333333,16.13742119999997,15.822100311,15.51634117714282,15.19191548999997,14.88591441478259,14.58295842416667,14.3442947176,14.18373876230765,13.929864691851831,13.682877155714301,13.485598667586169,13.36535145599997,13.15914771483869,12.962053714375001,12.80395743151518,12.635322354117651,12.500710116571431,12.40119669055555,12.24279751783786,12.06566400894738,11.93712735333333,11.8544300175,11.72352934780484,11.63952584714286,11.51304405209304,11.42394456590909,11.352291525333332,11.30707866521739,11.21365865063827,11.15875136333333,11.0984826918367,11.058101987999999,11.0563627254902
25,44.43796165,39.40976450000002,34.760694375,32.24554939,29.491349508333325,27.8433425214286,26.2070440375,24.887173644444452,23.403647245,22.514828372727276,21.752578599999975,20.9075836576923,20.12106042857145,19.24994591666665,18.8146131625,18.0021035029412,17.607351980555574,17.163619699999973,16.744394945,16.2901548119048,15.96613260227275,15.65398615869565,15.3225169979167,15.01253125,14.801669857692325,14.565742566666675,14.257123492857176,13.978628251724174,13.792873608333325,13.57656988548385,13.3914450859375,13.252206383333348,13.011019479411726,12.851395778571424,12.76717045416665,12.5659181891892,12.369013161842126,12.241479669230776,12.1225463375,12.014392665853675,11.842405185714275,11.765364873255798,11.64070631363635,11.537521597777776,11.454180390217426,11.355172773404249,11.280569264583349,11.196021996938775,11.128529256,11.0872501411765
75,63.633661875,52.7807947333333,45.78781525,40.79239233,37.01693679166667,34.18058999285718,31.6805985375,29.9107167611111,27.999254585,26.52774737727275,25.12996931666665,24.154043461538425,22.931577025000024,22.067774080000024,21.25828760625,20.642851767647027,19.867376819444402,19.287567881578976,18.88068484,18.152083949999998,17.726231665909125,17.405152210869552,16.886262397916674,16.463953048,16.1751163230769,15.82612948703705,15.532931837499975,15.22999235344825,14.965256611666675,14.672588908064524,14.38184863125,14.166805890909075,13.882268223529401,13.6934381371429,13.556767531944425,13.328410675675675,13.090207944736875,12.897610920512825,12.7535451825,12.615371104878024,12.4008868404762,12.313602218604625,12.128006764772726,11.964346929999975,11.83745960652175,11.6931389308511,11.55695085208335,11.4296799214286,11.276497504,11.1365451607843
90,73.4359237,59.127599973333304,50.33948222,44.944870776,40.88097583666664,36.8391823657143,34.2430811475,32.1360376533333,30.015164256000002,28.32592384363635,26.7029214166667,25.52813426615382,24.31634001857144,23.1818725653333,22.4448047425,21.79031288117644,20.92114059111108,20.20060855052628,19.720998347000002,19.03699032666666,18.57706600545452,18.13671828086957,17.6250508475,17.098666599199998,16.81728241692304,16.37729277851851,16.01207632214287,15.700111728965519,15.52046886999997,15.18141903096772,14.8654664525,14.55705653272725,14.3557800911765,14.095315341142829,13.91692910166667,13.67815648108105,13.40636818263159,13.22741105794875,13.0217802775,12.91803446341464,12.66798168190477,12.55823885674422,12.32697707863634,12.17894393733329,12.04207500260871,11.84188469489365,11.717849315,11.54227927673471,11.385302276800001,11.15817423960786
