,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255
0.5,68.66622279011115,73.00886854009524,76.9351831019211,82.48784935150003,84.49658473505744,88.01111955878987,88.62463077060252,86.2798960079091,88.80885563784899,89.70470386666665,90.99454471266384,91.08882812878362,91.57448755914282,91.90993799836397,92.73250645270414,92.91416365229134,92.4768249894519,94.35194119746696,94.68373701201216,94.06054549146701,93.99496914215014,95.04795153556982,95.18093734827447,95.46406827619101,95.86940038737691,95.57727136586844,96.09551263880425,96.13688264860629,96.7875456801485,96.51030226699456,97.11622408016271,97.39895899646639,96.80517963029169,97.6609678180223,97.74232696064368,97.9323221105329,98.36384661997914,98.46651848102515,97.77840413541955,98.33036243721855,98.6920651658341,98.84137248124621,99.07148389399086,99.1225389408948,99.0101304120195,99.36587100100746,99.59515196927113,99.79307476043091,100.11807100945339,100.648929504091
1,70.09543662866665,75.94324178038094,80.79953826842106,84.82138642133334,86.59370018137933,89.17252529979834,90.36745756732056,88.30209294844443,89.83978756271021,90.58392486661278,92.0171533039153,92.67235192464423,92.23158422391715,92.52854907367208,93.83945756206329,93.9102400623305,94.05877974829961,94.72156710026425,94.95034077503229,95.26116355579857,95.08557022725773,95.9479060859802,95.6943551673375,96.00280260532642,96.3088093448503,96.25035294009732,96.60818517077493,96.6743501965804,97.09825560331632,96.88186613094094,97.5595925137319,97.690009687459,97.32577158832093,97.94978618595339,97.978503191689,98.27406062834079,98.520817527609,98.56346101407668,98.19380762762259,98.53382778852699,98.93582505213759,99.059818018363,99.19257670997095,99.1968650657008,99.21025655682367,99.48234179104779,99.79817515895881,99.93390736445903,100.16752566568009,100.648929504091
1.5,72.20728841144447,79.93485654961907,83.02489177342105,86.6735938871333,87.17548344970113,90.21292686354619,90.88168965005127,89.49307537128281,90.54665657077958,91.02774043737377,92.5367376534943,93.38047017189419,93.12658668015109,93.5711374443856,94.22790658053955,94.35813778090478,94.75184395813487,95.11543135844347,95.44340464170105,95.4327830070256,95.82109297005425,96.14740116435088,95.99982266985363,96.44785425733936,96.59786680351938,96.45708376034935,96.9120437015257,96.80723438095401,97.38860205024784,97.2971848314361,97.78237701418672,97.84749578790907,97.65220925189693,98.06816515871785,98.17396371286564,98.47104259011695,98.58069182483649,98.69271646031933,98.3551006721595,98.62699295437444,98.99592454594377,99.15312469678247,99.27158044661476,99.31851675706704,99.39109948491726,99.61426594281801,99.83058325079867,99.97887763086617,100.22430592794329,100.67426808887195
2,75.63770511688892,81.11992373485715,83.79155224905263,87.54833302293333,87.95921327862072,90.835611904874,91.25304953443589,90.40830015325253,91.296894720898,92.47530583463974,92.8370975816271,93.9658257873462,93.7255350489524,94.13613427515678,94.44012804416455,94.69806270127735,95.1025851396754,95.38284711659571,95.65954891369294,95.66801439964836,96.0293578660884,96.43308013496869,96.16921885197759,96.64579714716902,96.79298156429812,96.75288394165614,96.95253559072769,97.0792328243831,97.57545209700938,97.42365663279766,97.90094756460377,97.87712954733482,97.70023334922107,98.12992828120593,98.37801156945122,98.53232485353705,98.66799379095957,98.786255519171,98.57755038336786,98.79670450373223,99.14039759491179,99.27239154850338,99.35130271785393,99.41323786168726,99.45648818356408,99.70043348345085,99.86238864652437,99.99849165130142,100.25600000626997,100.674272521538
2.5,77.05441644888887,81.63849918428575,84.80227619144739,88.0792479193333,89.00655663706894,91.00150044848738,91.9380742051923,90.98269775909093,92.08465990312246,92.79734453451177,93.16860814231639,94.13405952591347,93.96496950913047,94.25069890093692,94.81933236596514,95.32652710623245,95.59786559648565,95.54019707742437,95.80460967555553,95.74488506078757,96.13200583482904,96.73777884089242,96.4730158989741,96.83183090595483,97.15398395192011,97.01002789749032,97.20113127474305,97.2194092910105,97.6352282149642,97.64354252288648,97.9592779124784,98.06224087435695,97.97086261140447,98.31776076277832,98.44014075835196,98.56078221046417,98.74626780331519,98.87794324150936,98.6509208682726,98.87947178478001,99.20632696960699,99.3491696369811,99.44287811695618,99.51104652657148,99.53706259481487,99.7243076662957,99.91085185989016,100.02392642582785,100.27469568703115,100.679062319592
5,82.70340499333336,85.97620645523811,88.10107415815794,90.67561377866666,90.93480618149425,92.45060614134458,93.39739885070516,92.83831697989895,94.00107081481636,94.2467048153535,94.43878667016948,95.4398467649038,95.50660989488617,95.28701184036034,95.74915969884495,96.16774462481796,96.67053332348316,96.58548338871223,96.66278935573736,96.7018882744322,97.11014093760633,97.46504215981696,97.30818463934871,97.46311132514836,97.77732826912936,97.83052190301828,97.68157171723531,98.06004864953064,98.3785243092573,98.33997871445325,98.41713740299132,98.45727884473759,98.50424696411767,98.74880982520853,98.82900719965859,98.91729913884838,99.02750676887777,99.12723295374046,98.99106061370857,99.16938418324247,99.43498145348597,99.51264411714847,99.6455399110274,99.74474237335713,99.80182398840326,99.89542691790506,100.02741356740596,100.1485343537605,100.34844953787655,100.683427766497
10,87.47373359333334,89.86596472380955,91.70130525157897,93.73941040133333,93.42340391333337,94.47525111092436,95.30469048756412,95.02359578666666,95.64727366253058,95.81651635420876,96.18290989022603,96.75898536413459,96.70515177287784,97.01967376540544,96.95168903272153,97.43868073966385,97.5923834451935,97.74353425200447,97.91626515480804,97.71180425937729,98.07013180010011,98.23321767197561,98.1156817206302,98.4140727326452,98.51920998898032,98.68807233302375,98.44018721678314,98.61205444036402,98.93766985793286,98.79335547036449,98.9184337740566,99.05409391878784,99.08762533054644,99.23786975398356,99.33042380404096,99.32190535706229,99.43531924936785,99.46739968669313,99.51358946807534,99.58755535082737,99.71613915687401,99.81151747358403,99.9295964893234,100.0153942379369,100.00144628353897,100.1279486223893,100.243889771628,100.3042880926059,100.4443027455327,100.696506467439
25,95.19819563333331,96.34481542380952,96.60040271842107,97.53095173666668,97.25009177988505,97.42173515546214,98.3176394567308,97.90499835202019,98.51554444163261,98.31496399764308,98.49171000268362,98.83845503341348,98.87829210486544,99.00243999045043,98.92275789564876,99.09884636358542,99.2507927151061,99.36657652665178,99.3193865313131,99.25456345494507,99.32080219086737,99.52166846422577,99.5293245329832,99.58410254980646,99.56503896872387,99.7447278713101,99.61347409771322,99.79075485814175,99.81962762219243,99.75363438106407,99.81335896308966,99.88027873673322,99.88397769504002,100.04439568134674,100.018084809994,100.040739635899,100.13506956779474,100.182631168517,100.16553634894476,100.20674759631726,100.27102681116475,100.30475269332774,100.31395635203425,100.43133285625,100.38088430462325,100.52687792533175,100.56300939001925,100.56038447005675,100.63073488702025,100.741932552972
75,108.271994216667,106.765228066667,105.799675863158,104.94825526,104.57239641839101,104.234214126891,104.06753443141025,103.847760801515,103.575851599592,103.30795778686876,103.463355892938,103.2182745122595,103.02391493115951,102.71801417009,102.85721072879775,102.8667178488795,102.73259244831425,102.81455549630475,102.54720216803051,102.40079284862625,102.3744405396995,102.35304812768875,102.220260364846,102.193231615032,102.021205027221,102.25264813908274,102.00414660002549,101.9923075493295,101.97851181689,101.82794232727275,101.76162255114025,101.83723754837425,101.807954815106,101.6756512203615,101.58782645690574,101.65935282605726,101.610666025689,101.5690723186095,101.49303310070324,101.484413981205,101.4986630934835,101.41266607235374,101.4170545816625,101.33181942934499,101.2632967127495,101.27213127637751,101.18464195338225,101.12194837393776,101.06078939179925,100.973587946951
90,112.4977366177775,110.15928411428611,108.5183638073681,107.7403249706667,107.13221406045949,106.5264547378152,106.2054711257689,106.00925771555531,105.5864524297956,104.9363108871383,105.126432455254,104.8805910825003,104.4456754440998,104.18224492972949,104.3525345093357,104.1554848475074,103.9686019123842,104.0355868834941,103.90380702735341,103.4615897190842,103.4768378197834,103.4486324978798,103.33584674008429,103.3066896147874,103.070798406667,103.2508259325814,103.0213087899279,102.8480400028738,102.723974826649,102.5274509974693,102.62461703466981,102.63811800798271,102.63388576448271,102.4808180009197,102.2842176006396,102.25750768679171,102.18586243844051,102.1258163034205,102.0610545444619,102.0243498818366,101.94599277191651,101.91121947567011,101.8275042517812,101.6646119057059,101.61594036688079,101.5837485521874,101.5060704818964,101.3668110832918,101.21407832825399,100.995023091493
