,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255
0.5,244.1570687,348.491378375,451.619318465,531.4657662799999,624.9764496700001,682.418677095,780.878767295,830.86236186,898.37999473,966.2510307699999,1013.986786325,1082.2972980700001,1125.274059335,1187.720138875,1237.164088575,1278.341346635,1355.169230985,1380.236986525,1448.207733395,1478.49890652,1542.8368958750002,1582.10816046,1627.259186435,1664.0918739600002,1707.83077808,1749.828396365,1790.75357294,1836.096241525,1867.930180165,1910.38649775,1938.05465539,1973.940151265,2017.5054869,2054.4882043049997,2092.6205551000003,2118.44356712,2181.70501446,2205.573186345,2234.146185055,2277.6293836500004,2300.146197975,2344.51143179,2381.26885082,2413.35392707,2442.3815586799997,2482.24996861,2518.789386735,2557.085175535,2589.10948947,2640.342062
1,257.62459692,365.95263812,461.23977351,543.22371566,635.0659968800001,694.2471569100001,786.77534304,838.80566864,907.8309037500001,986.2108812299999,1022.30504849,1102.31098984,1141.0356378200001,1199.52151845,1256.65385131,1298.4116518899998,1365.10341858,1414.2622784199998,1458.44447263,1492.4505939,1549.61869613,1593.76168087,1639.63501499,1687.3177101899998,1721.95698697,1760.97885066,1808.80685645,1847.86667861,1883.94016813,1916.91705514,1959.5083132500001,1994.10157227,2025.8426033,2071.86488495,2100.4573415,2139.39312285,2187.4693315699997,2209.85819576,2252.8915418300003,2285.07391022,2317.46905704,2362.34246327,2388.34858893,2424.9863156,2449.96004964,2490.19604184,2528.63889321,2561.45428257,2597.26295082,2645.75578
1.5,262.6843651,372.092981425,471.549264425,554.99152607,640.064106185,715.331641545,792.28588908,846.46448366,918.12240221,994.784420675,1039.74925805,1107.87104459,1157.44644318,1217.81368087,1269.314911295,1312.67227,1376.357410415,1419.8376021049999,1472.469981255,1498.799542625,1553.6194230649999,1601.77402451,1650.888327685,1700.59996014,1725.205093295,1773.934368635,1813.038042155,1851.047363155,1888.3802749749998,1925.687233135,1963.11013646,2014.122345405,2034.664728385,2076.00923828,2108.1063712349996,2150.45218923,2193.41366182,2221.139670615,2259.90223935,2293.059134885,2325.4842014,2364.85515906,2393.19417109,2428.39432716,2460.0525068750003,2493.8263656699996,2531.42517277,2563.54804311,2599.909970745,2646.948098
2,267.55096118,374.85321206,479.71527288,565.06401902,646.464611,723.7789186,803.31682204,863.38530296,931.0865365,998.88639906,1054.00328784,1117.18577654,1172.1315736600002,1226.08128112,1276.49043516,1320.07446854,1383.54441118,1424.66511898,1477.70665726,1510.62354486,1560.56642688,1613.14146246,1660.4204070600001,1705.7138043,1736.5759269999999,1779.8083414999999,1817.44873498,1855.85735092,1894.28804726,1930.5840603,1972.4322228800002,2022.0883328,2045.0455438200001,2082.1379657,2115.31312008,2156.92306678,2197.39046962,2225.12898276,2264.33765452,2300.14790158,2329.6437753799996,2367.28857054,2396.51730174,2433.52869594,2461.4678503200003,2495.94089758,2533.89365638,2566.56503626,2600.9538417,2646.948098
2.5,271.12552775,376.28021952499995,487.306593975,576.3252031249999,652.262948325,727.99370175,810.938180525,873.057216975,944.463621075,1001.8621585750001,1059.105548,1120.069982425,1175.3281568500001,1229.7374082000001,1283.5586364750002,1332.294519025,1385.8638522,1442.992160325,1482.482688,1517.5663561499998,1564.51212145,1617.693722325,1663.187552325,1708.53817485,1740.329719925,1783.76418715,1824.5699289249999,1861.909747125,1900.4157326499999,1937.9327258,1977.030515675,2025.2838784750002,2048.0452864999997,2086.798596525,2119.721575325,2159.4966455,2202.671598875,2229.3985726749997,2266.584617725,2304.5949471999998,2332.644377225,2368.1604939500003,2400.6015350999996,2438.3898554999996,2466.8683448,2497.386958925,2535.204423475,2569.7245838999997,2603.430817,2648.318108
5,288.7370714,401.31744905,502.13468615000005,593.03356085,676.8405932,754.3786895,835.1605288,897.84854255,961.92487985,1027.6732046,1085.9788471,1135.4059108000001,1199.9312208,1258.61947515,1300.5314750500002,1356.7137053000001,1407.3956289,1457.7589858000001,1503.0727709,1538.6712639,1589.26774495,1635.8391345,1680.6231227,1723.4461534499999,1762.75020915,1800.6522608,1839.7284203499999,1886.15260715,1916.24433935,1953.4293902000002,1999.1970938499999,2036.34381525,2069.6817275999997,2106.5589398,2137.2628325,2173.63371055,2215.8758018000003,2240.5064177,2280.30143075,2317.1916604999997,2343.75471925,2376.95777355,2411.56720595,2444.9057527,2477.6563416999998,2508.2732270499996,2542.6316516499996,2576.51175415,2611.66308905,2650.643358
10,311.7336599,428.7907505,530.2853633,620.5278308,704.5482156999999,783.9187275,854.9470919,922.8158837,990.6226098,1056.8727944,1115.5987666,1165.0655357,1225.1701209,1286.0573078,1330.6126949999998,1382.9493628,1431.4584125000001,1482.4603408,1529.0669741,1568.972536,1623.5078662,1660.2848031,1704.047988,1741.5991758,1790.5876046,1824.6794193,1862.9046589000002,1909.0270451,1937.4376965,1976.0035253,2015.4962750000002,2052.9548262000003,2088.6738873,2123.9882564,2156.7875629,2192.0004698000002,2228.9765445,2255.6222571,2292.309192,2328.1339191,2357.2750437,2389.205572,2425.0662717,2453.196539,2487.236592,2518.141286,2551.2086462,2582.9798306999996,2616.5042796,2652.5778414
25,342.16470425,467.674132,564.73346125,657.854512,745.1743775,825.67855375,898.41089125,965.9969825000001,1036.9455672499998,1103.9547205000001,1157.6363012499999,1212.399076,1270.074683,1326.7014015,1373.684151,1428.0784295,1473.96048475,1522.12857525,1564.46672625,1610.2473945,1656.78986825,1698.78772075,1742.2686915,1776.67546575,1822.26606175,1858.47946825,1898.11399225,1940.6613212500001,1968.0177655,2008.942269,2043.07127025,2081.0262305,2120.4610055000003,2148.44814975,2181.123176,2217.0707085,2250.0736267499997,2280.308506,2314.54712475,2348.16888075,2376.47190175,2407.0984475,2441.76393425,2469.15409125,2500.00326275,2531.651369,2563.9967692500004,2593.6005655,2623.80136025,2654.867194
75,416.98442875,544.99361,658.2635379999999,751.8546455000001,841.44148425,921.369784,993.18108525,1062.690732,1129.60389875,1193.380975,1252.4099865,1309.9426522499998,1360.8210185,1412.4623147500001,1460.658571,1512.553609,1558.06916875,1606.0550635,1648.0801255000001,1694.0709705,1733.6640195,1778.225658,1818.9082625,1851.5053914999999,1891.115221,1929.471696,1967.164399,1998.0064175,2031.5803660000001,2069.48489675,2102.3382,2136.3281495,2170.109009,2201.797466,2230.081281,2264.08155025,2296.56378475,2327.36196625,2354.43887575,2387.4795062499998,2417.53113475,2445.0628770000003,2474.41555925,2500.62246575,2529.165683,2557.97449175,2584.30189425,2611.0709052499997,2636.61784775,2659.43451
90,451.6566162,577.3653753,695.0361939,797.1109002000001,883.8605546000001,955.91584,1034.5088421,1105.2106323,1170.3955672,1230.0973453000001,1293.7712131,1348.4553238,1400.7305563,1452.0151193,1499.2112266,1544.8732675,1592.0724735000001,1636.7891769,1679.655903,1728.5000773,1766.3780376,1806.4640246000001,1845.5753088,1878.0867058,1920.0134022000002,1954.9637295999999,1991.0469811,2023.6156927,2062.0160917000003,2095.0557501,2123.9317929,2156.3445902000003,2191.3038523,2220.5397544,2253.5283093,2283.3008024,2312.2476405,2345.4433044,2371.2362737,2402.6507566,2432.199674,2460.0282927999997,2487.8036872000002,2511.9976859999997,2539.5736958,2568.5325398,2592.1528178,2617.5830073,2640.7391138999997,2661.458133
97.5,485.50728434999996,611.9463603749999,737.287258175,840.2759067,936.1909737499999,1007.105065425,1087.80670685,1155.7980324750001,1221.9925353249998,1279.9919542,1338.7577729,1387.1414046749999,1444.8852383,1493.8683620000002,1549.04794915,1577.7212799249999,1628.6322736749999,1672.8469112,1715.902571725,1764.80140165,1793.352429325,1837.1631212999998,1873.090703675,1908.626245925,1948.4589437,1978.851161375,2017.82591865,2052.776869375,2087.4850966500003,2117.2584590750002,2150.2245651,2177.936976675,2213.4357901999997,2240.9286357,2272.614089625,2303.3429507,2333.77696205,2361.03793615,2388.616438525,2419.92634945,2450.1580463,2470.2762806,2500.309489875,2526.6936669,2552.22584215,2576.8539708499998,2601.4356792999997,2623.607076725,2645.2473650750003,2662.233574
98,490.40854494,618.812765,743.70844514,843.3481439,939.1783623,1010.7217859799999,1090.72432172,1164.52073712,1227.8266034199999,1281.66558234,1341.88974516,1390.46623456,1450.47824974,1500.4272175,1552.3541255999999,1584.93881468,1631.7100980999999,1678.63026418,1719.11578504,1768.7556169,1798.97690444,1842.53003382,1875.79748446,1912.29692652,1952.78354432,1983.5536354,2020.81664782,2055.08558044,2089.9455415,2119.3843372200004,2153.4377242399996,2181.6237985,2215.5524907,2244.17512304,2275.55395798,2308.17293384,2335.61247098,2365.77091002,2390.54320148,2421.47119948,2451.2466544999997,2472.45484048,2501.8231397,2528.00797776,2553.19336334,2577.82311218,2603.4575744199997,2624.84538986,2646.0572254599997,2662.244538
98.5,493.48283420999996,621.5634120999999,750.02979076,847.59740704,947.9222423450001,1019.5404188199998,1100.0884257,1171.279531785,1232.0922179249999,1294.00621368,1346.129739285,1393.98804398,1451.820917865,1505.742594625,1560.43591802,1591.06260132,1636.064099665,1688.0880206299998,1726.10648621,1774.99401377,1800.326633785,1847.3227995,1878.774210485,1919.5325939549998,1959.906955165,1988.60793271,2021.981634425,2061.06271517,2092.66787799,2121.780402895,2155.92972095,2186.0257269050003,2220.9902245050002,2247.4715181650004,2277.678229885,2310.649828825,2338.7808865899997,2367.33186011,2398.6955278299997,2423.542300125,2454.5289552,2474.697909675,2505.7447260500003,2529.342692685,2555.4763062849997,2579.607849565,2605.004897965,2626.5642850199997,2646.65894907,2662.244538
99,498.35819052,634.32260318,768.27233127,863.3028152899999,957.3518015199999,1036.02497301,1114.8967902799998,1184.36157534,1242.0696582399999,1303.98353051,1349.91300195,1400.9290135,1455.26188569,1512.6498588700001,1566.2421063,1604.65479218,1650.97632812,1694.4710670099998,1730.59927801,1779.3151601599998,1806.42333461,1854.49612823,1881.3657867299999,1924.5882443399998,1965.07598076,1992.97538947,2024.42681561,2066.8523223499997,2101.30899309,2130.35384315,2161.28754459,2190.01126802,2225.4353573800004,2252.9430502600003,2280.74544565,2314.82148115,2341.6479432700003,2371.0311392099998,2402.8020442,2424.51143791,2457.71121901,2476.36840599,2507.92698691,2531.6907820899996,2557.77730817,2581.84184643,2605.5665284399997,2628.1965173599997,2647.37573487,2662.387242
99.5,515.937706295,645.753333185,775.713657285,874.70552374,984.5643337849999,1049.815037235,1138.5997607,1195.183402625,1252.7117443650002,1307.47269364,1359.287886335,1413.519864,1486.96579522,1524.05827231,1580.429649845,1619.692274925,1659.2145089750002,1700.892689405,1740.27679115,1784.6735839550001,1810.637947335,1869.6319914150001,1897.7094204999999,1930.224286985,1976.095516045,2011.217618765,2028.473374475,2073.9796913600003,2113.115516985,2145.67257788,2171.12765377,2200.36386243,2232.399149645,2255.93735144,2288.220508155,2320.006706115,2351.1081087099997,2375.15497982,2407.562416495,2428.53470628,2462.496348525,2483.5266687800004,2513.3493590599996,2536.2435798600004,2558.6218529949997,2584.92240279,2608.303595825,2631.3417241250004,2650.07345187,2662.390297
Median,379.34968100000003,504.03356399999996,612.997025,704.8597725,793.7817865,874.602686,948.2243900000001,1016.1963885,1085.174413,1148.203907,1204.6872764999998,1264.774435,1317.644939,1367.6937870000002,1421.4585325,1469.6789695,1517.8895484999998,1566.597462,1607.9804545,1652.593226,1699.8380495000001,1739.6842195,1779.8526695,1815.9477155,1859.2965705000001,1896.4701965,1932.934575,1969.091212,2001.160417,2040.231369,2074.5631890000004,2108.797191,2145.4796615,2175.1847534999997,2207.7787785,2242.3292155,2273.5115765,2305.513759,2334.2055235,2368.6995875000002,2398.5641880000003,2425.933309,2458.1895055,2485.3322475,2515.590689,2545.915989,2574.8462975,2602.448594,2630.868252,2657.408959
Mean,379.586193744,504.032929895,612.094604804,705.878834459,793.736640476,872.342341265,947.1406458179999,1014.1990236460001,1082.589534951,1146.5526920279997,1204.335993338,1259.426300441,1314.8935938900001,1367.7144223909997,1417.6782103499997,1467.0003284430002,1514.479807572,1562.4490920150001,1604.8840123989999,1650.120963552,1694.4449323129998,1736.142444638,1776.796853035,1813.01098008,1855.6747683370002,1892.591098306,1929.7912346629998,1967.268351567,1999.2551390709998,2037.12620636,2071.297316327,2106.8740260270006,2142.680588409,2173.638588294,2204.8418845230003,2239.3407005500003,2272.2799960019997,2302.5852896429997,2333.168954562,2366.9179356420004,2396.459274757,2424.903646572,2456.840253644,2484.078355412,2513.948295069,2543.845128542,2573.055324635,2601.237445092,2629.45275465,2656.9159624840004
