,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220
0.5,23.7616244835,23.564380154333367,23.4914862645,21.8738221076,20.290626683333333,19.4948823578571,18.920798621750002,17.953771376888835,17.339816350499998,17.035259768909082,16.860272044500032,15.953747213384608,15.947043578000029,15.194603679133365,14.96074960825,14.843734635823482,14.501483064666633,14.39736438610529,14.0029165672,13.37100484752383,13.40880578159091,13.064856574478258,12.984698546708367,12.89753013424,12.803221498846199,12.591127222259303,12.710759704821458,12.580184002310329,12.4287568530333,12.342281389548425,12.21242298915625,12.106380016090908,12.002823795147082,11.958221918314285,12.052958300888923,11.948363631891914,11.95219026515792,11.960337027897458,11.81668533125,11.937054862975575,11.897965726119015,11.967588538209343,12.2728664227273
1,26.418677802,25.694163381333297,24.763774398,22.5303021768,21.313820213333365,19.733078199142902,19.66181046625,18.74854476466667,17.927103860800003,17.34782398218181,17.23103325200003,16.360104355692286,16.250509927428574,15.696891539200033,15.17653601275,14.972582737411772,14.700125741111078,14.59791654652631,14.2404656046,13.722714858285691,13.63728437709088,13.205029151217353,13.219114895,13.01208904872,13.042520236538492,12.846790638814804,12.77650000249997,12.678878465241382,12.5279127895333,12.435758704193521,12.3661647095,12.249070882303053,12.1945651437059,12.081205369542815,12.120962286833343,12.059417747729754,12.040225116210562,12.047669666358939,11.8661353078,11.978944035414633,11.940304462619057,11.984195862093022,12.2728664227273
1.5,27.627147153499998,28.015883293999998,26.0035513905,23.231432905800002,22.378757284499997,20.549132040428614,19.754030519,19.141692661333366,18.1312724752,17.6220414127273,17.4856589394167,16.827599542615427,16.281910275857186,16.012154512200002,15.369532945562499,15.110153381470576,14.848651937000033,14.706906613789496,14.441429648449999,13.900714344333343,13.786864097681782,13.406099097652191,13.334319000999999,13.10570432948,13.069150302153831,12.95098134444449,12.889007873499974,12.72655558651726,12.6031789564,12.529662928774233,12.41413840775,12.365127598727309,12.301219162205879,12.195875906942856,12.175174299305567,12.121561255432407,12.060202340736815,12.069764777743563,11.951073630725,11.989649361902439,11.977169859023858,12.028516987046475,12.2728664227273
2,29.26628097,29.071265372000035,26.234392034,23.815102408,22.7665075986667,21.3400154754286,20.008300414,19.4478735906667,18.639872410800002,17.86068784436363,17.738016661333365,16.988458239076923,16.50362867485717,16.1843376317333,15.462069397,15.281111584470576,14.98895113022219,14.761833784210536,14.596815338199999,14.034565602666616,13.875539676000027,13.55702666939128,13.450285787333366,13.19149972336,13.209866336307714,13.014180651111078,12.916992746142844,12.78228394910342,12.661927685866633,12.604120681935486,12.474044573625,12.409581443393925,12.329365666235288,12.247522581485686,12.202595587666702,12.1362255619459,12.0780599270526,12.10832142512816,11.9933768395,12.007475798829244,12.013625175714267,12.043856746418596,12.2728664227273
2.5,30.093313085000002,29.4807221416667,26.680689565,24.498264921999997,23.1813952566667,21.776000945000042,20.460156501875,19.993732101111092,18.9717162615,18.239918717727317,17.89651087125003,17.140568344615332,16.675551419285714,16.28205366900003,15.6601362115625,15.355565583823509,15.078208076666655,14.846001181315758,14.65717936375,14.105968297142834,13.946001380454572,13.58762929413041,13.494694546041666,13.258089664,13.25996529634614,13.152489690370356,12.982688194642842,12.843630163275892,12.746303285833365,12.672564139193591,12.577445465312499,12.44536631045458,12.364490638382357,12.277640458714313,12.257662733333332,12.157752407027068,12.10543461750002,12.151012562435932,12.0380705405,12.03433391402443,12.019941836309528,12.051185993255846,12.2728664227273
5,33.800015820000006,31.38461878000003,28.44406171,26.184550926,24.422076821666664,22.822685190000023,21.66016596875,20.7958557588889,19.847081292,18.915413411818225,18.4565028375,17.588062722307722,17.294233860714325,16.905734509333335,16.214639388125,15.649462502941146,15.36448045111112,15.15704931578948,14.941640132,14.49040449380953,14.245696507727315,13.928873459130385,13.733504135416664,13.6159772728,13.465976054230762,13.318942414444425,13.16482443892861,13.033199172758609,12.903669358666665,12.820099122258105,12.7810884109375,12.61131767454541,12.50954909558822,12.404449794285716,12.40812041249998,12.297472181891935,12.21494363394733,12.255324765128185,12.1477173535,12.10277875390242,12.112561790714325,12.117128654418641,12.2728664227273
10,38.17509277,34.21957677999997,31.601587655000003,28.347020672,26.2213659533333,24.491280000000042,22.861778287499998,21.585794028888888,20.860651922,19.9632445090909,19.0510024533333,18.348151778461517,17.78196150857139,17.43216237866664,16.668223365000003,16.17662481294121,15.78613128555558,15.5362259115789,15.310941917,14.82038568666671,14.596189509090939,14.253072666086961,14.0860821791667,13.9658078512,13.72543211538459,13.54349085407407,13.41246591642857,13.26597594758625,13.11855174600003,13.00290452709681,12.9229739075,12.76569056606062,12.66242054058825,12.5742646605714,12.544938547222191,12.45461107459459,12.35836973105264,12.33767924307695,12.279054231,12.22119397317077,12.1921515119048,12.179652237209341,12.2728664227273
25,45.943561575,40.129301499999976,35.8224185,32.32946643,29.313148883333298,26.912716592857123,25.05887921875,23.566995200000026,22.515711295,21.316757954545423,20.409433208333326,19.5219786269231,18.868102571428576,18.34698839,17.62472484375,17.0304142764706,16.64146816666665,16.27487079210525,15.9434783975,15.45060313095235,15.154360613636374,14.853411019565225,14.609405095833324,14.390168034,14.152197228846125,13.970920640740776,13.797479482142851,13.6568945534483,13.494771473333325,13.318218662903226,13.20122699375,13.08097504848485,12.952876723529425,12.832545194285675,12.765015431944475,12.6602957202703,12.578976443421075,12.503674187179449,12.4355799925,12.3714257402439,12.301764998809524,12.27106320813955,12.2728664227273
75,63.546228375,53.470237283333326,45.6060345125,40.16759174,36.33073335833335,32.4015356214286,30.24708280625,28.00203931666665,26.181012945,24.692929227272725,23.2973210583333,22.2303961923077,21.283647857142824,20.406624303333302,19.650613096875,18.94214490882355,18.404695322222253,17.85153592105265,17.43994545,16.869655902380977,16.506643956818223,16.089886350000025,15.855866847916651,15.478359533999999,15.27491141923075,14.940012737037025,14.68997174642855,14.506006710344826,14.269817445000024,14.09164438709675,13.904319246875001,13.743243628787877,13.568104164705876,13.401416985714276,13.2664169611111,13.108476575675674,13.023135019736824,12.890501753846149,12.76123154,12.66936424390245,12.547376783333325,12.42362456860465,12.2728664227273
90,71.66798615,59.177332033333364,50.216591405,43.501943155999996,39.16880184999997,34.91750673142861,32.590842564999996,29.64449634666668,27.907372422,26.2720578236364,24.67914761999997,23.41144370923079,22.30796855142855,21.39448031200003,20.6212234425,19.6589709870588,19.142573042222192,18.58115318631583,18.052260893,17.541193620000012,17.098214071818138,16.69311635217394,16.41134613333336,15.9618076496,15.69690486153849,15.34707993481482,15.09863635571427,14.88296498206896,14.657743824666671,14.44950905419357,14.223868371250001,14.00999616181816,13.83443347705884,13.66802742400003,13.462968715000029,13.33234065405402,13.20374338157892,13.044472217948702,12.888151542,12.77815553658537,12.63695825238091,12.4820500744186,12.2728664227273
