,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255
0.5,19.293230975,22.158322910000003,23.202139208666665,21.338294079500002,20.889875880399998,21.2715471315,19.940258274142874,20.167969618,18.952787961111156,17.9213892197,17.46144605,16.9067533628333,16.463236095692345,15.404810274214286,15.795689531200033,15.23746010425,14.093589214000012,14.825781376722222,14.009849266263178,14.05193771425,13.602608046285681,13.534524040227254,13.49236026004345,12.988887671833334,12.916155993959999,12.8868602902308,12.62717335822225,12.765815341142842,12.536883902448253,12.317288902400032,12.12451314445159,12.164218700156251,12.031504515242377,11.865065214411747,11.854533545314329,11.944320438972222,11.696922510729765,11.818081464526342,11.567611248846152,11.658187968850001,11.532504472097607,11.59431296016671,11.430917246651136,11.417252990818218,11.43341073617781,11.440318982913082,11.36125655744682,11.365950373729135,11.407424656367342,11.428381635760001,11.4011256588235
1,21.124693648,25.60694234,24.432640092000003,23.9841918075,21.590121148399998,21.80833134400003,21.35419894342857,20.75478788625,19.39159575311107,18.3712224038,17.782573011272728,17.234810708499968,16.823928714307687,16.13700604328576,16.121081138400033,15.36198103475,14.482062375176493,14.950211845555534,14.528701012315773,14.3242499137,13.730348955238119,13.644753141181864,13.654337514869539,13.233406231916666,13.10651993536,13.055776739307655,12.766499462074034,12.892369819000027,12.660453418758655,12.503593500266668,12.27444345567745,12.286926928125,12.19135442800001,12.082915591176423,12.029527483371456,12.046033965000044,11.87156337102706,11.897099923263157,11.70879140025637,11.74878834315,11.624388416682917,11.641480818142819,11.482758453906934,11.54846191581822,11.4746808869778,11.458011578826104,11.460257681404293,11.410294563958333,11.432264782612236,11.45083046872,11.5131257568627
1.5,22.391130389999997,26.7942596455,24.7999757203333,25.315949165,23.522332454199997,22.3263694105,21.687087531142886,20.963942581875003,19.8061158431111,19.134374538,18.239793149727262,17.570618188999997,17.056470187153863,16.40735204521427,16.284101301466702,15.6712767676875,14.792341124352987,15.1791999677222,14.679986576684193,14.601290876,14.090354270857171,13.742358391909136,13.77320860343477,13.523172456874999,13.26748682528,13.244742388038468,12.885520609296256,12.945198011321414,12.735908616275882,12.6461310008,12.3345170857742,12.384812874,12.248271260878827,12.166806348176447,12.179911069542872,12.0877499093333,11.913005976702712,11.963001902500006,11.76164235453847,11.79314503325,11.718755179439064,11.705407516380957,11.525154304069813,11.60493684186367,11.517913618977799,11.48953461467393,11.516091756340444,11.444514969437499,11.456325496755085,11.46666355856,11.592418376607869
2,23.553893108,28.398305129999997,25.1542194293333,25.793221483,23.8777295848,22.808732922000033,22.358242734285753,21.1733524635,20.018481542666667,19.4572042044,18.564122868363654,18.021501283,17.427687529846125,16.52096801114283,16.588556822666668,15.767721800999999,15.213495725411802,15.260606011555534,14.801965463578975,14.703173998399999,14.220792300381001,13.967677125090917,13.832378251130457,13.639436572666634,13.38998872,13.363401613076954,13.077788836740757,13.034270686857115,12.8271649401379,12.734883755866633,12.475884777935525,12.446273455125,12.30934150630301,12.2545266170588,12.219447873600014,12.173059715444433,12.035207911567522,11.974913644736853,11.797776231794902,11.813875726800001,11.768134046926868,11.728587090476182,11.602817050976705,11.6629447576364,11.5509029422222,11.508443184869556,11.55292627336173,11.475502262583301,11.484806898204095,11.482950409519999,11.5936258784314
2.5,24.47227479,28.648845445,26.13223848166667,26.498509215000002,24.225111482,23.06644699916667,22.55978297714286,21.448435783125,20.417630783888857,19.710574425,18.95617048363639,18.232573290416635,17.515442626153888,16.8066130257143,16.714811308999998,15.92214316625,15.43811846794113,15.359674881666646,14.926618730526348,14.77461296275,14.264319177619031,14.140306525681819,13.969438202608679,13.7277801497917,13.5010681682,13.426748719038425,13.127225980185143,13.121796511964327,12.861804764827626,12.8145224945,12.53902510645162,12.504224275781251,12.3924040893939,12.281641981764695,12.280904799428612,12.215248703055522,12.100460344189186,11.997312790657915,11.851512344230734,11.852833868500001,11.806259336341482,11.804299374047666,11.688638057558126,11.71143473420458,11.580315924111122,11.558998575869554,11.564869532021232,11.488836950937468,11.504359813775515,11.5178460594,11.6017022705882
5,32.4879662,32.07228347,30.39641824000003,28.57066807,26.383878626,25.175357313333365,23.649706234285684,22.4434038775,21.5643782344444,20.453156115000002,19.500239061818213,19.035062404999998,18.100251237692323,17.406702434285716,17.1823452026667,16.445887431875,15.909987717647086,15.769491187777735,15.232581573157935,15.115657177,14.706622005238065,14.43402571227277,14.309985002608741,13.968151908333335,13.722358286,13.57952036692305,13.359445474444485,13.317962716071415,13.092168263448285,13.016193324333335,12.752403961290334,12.720956369375,12.56296697030301,12.440270938235274,12.419699692285699,12.34765824666669,12.287739929999976,12.148027473684179,12.057188921282089,11.99458608625,11.94515212121951,11.90777014142853,11.826654893488401,11.801027633409081,11.7144649628889,11.654503419782625,11.658133572340395,11.6118664077083,11.606578069387758,11.5905489274,11.69350227392161
10,39.96013682,36.73095659,33.46136074000003,30.75957554,28.295146296,27.02698042333333,24.91938892285716,23.6798509525,22.64417755333334,21.490797448000002,20.34493514181817,19.6935293383333,18.841727776923072,18.12621505857139,17.712249175999972,17.0332886775,16.58001045411767,16.28886780555555,15.75991744947369,15.536672599000001,15.109408287619079,14.81434394181821,14.60946183565219,14.36307277750003,14.1133400184,13.8966901846154,13.65669594666667,13.55774773142853,13.36501487517243,13.30138092200003,13.06708877354842,12.95570066625,12.832605624242401,12.69757035941175,12.63965684000003,12.51242968555559,12.45623473459462,12.30669415578952,12.25561381846154,12.173410931000001,12.10003861219508,12.05625320380951,11.96633252697678,11.915539087272771,11.866056254222249,11.82137115913043,11.76399672382976,11.7304525766667,11.69218754040813,11.6708547308,11.704777572549
25,50.13084285,44.494756599999995,39.6064093333333,35.208789387500005,32.02880848,29.933943850000027,27.593855550000026,25.74805816875,24.6138775888889,23.232300115,22.024630636363625,21.147311849999973,20.093509438461552,19.398044128571424,18.699825156666677,18.061220021875002,17.5764058176471,17.1153687611111,16.519064921052625,16.257327465,15.773758540476175,15.458961195454526,15.231543449999975,14.949922962499976,14.750413349999999,14.376213394230724,14.210488512962975,14.003671639285676,13.846295163793124,13.712351306666699,13.490033711290327,13.4047188484375,13.21447605,13.0722419485294,12.96395714,12.83185484444445,12.75037398378375,12.635443646052625,12.577019949999976,12.455013913750001,12.362481280487849,12.2734556297619,12.19506376744185,12.13221185340905,12.057258999999975,12.01791015,11.93735433617025,11.880445890624975,11.83182294183675,11.759987547,11.7371368470588
75,81.2403556,62.513283325,53.14368744999997,46.12709935,40.909231469999995,36.941817483333324,33.68449968571427,30.9274889,29.058551666666652,26.976475785,25.491601131818225,24.153032895833352,23.245702307692348,22.145942325000025,21.292205623333352,20.43573865,19.636963420588202,19.195638819444426,18.425387460526302,18.0260013775,17.5467394738095,17.039070227272724,16.69451984565215,16.355386218750027,16.00540275,15.702253926923099,15.389069874074025,15.14814539642855,14.912470336206901,14.68676380666665,14.436360217741925,14.300116031249999,14.103422439393924,13.89981087058825,13.749771264285675,13.594222438888876,13.442737927027,13.2702234539474,13.190101687179524,13.05049886375,12.908873329268275,12.8107136654762,12.67682759069765,12.5668868784091,12.445655173333325,12.351806159782626,12.2402746457447,12.137978557291701,12.03909996632655,11.90997892,11.7835897058824
90,92.89303484,70.76920359,59.25613744000003,50.328843175,44.83971958,40.35889658000003,36.39069092571432,33.083252915,31.126984133333313,28.918450968000002,26.92472223454541,25.72264134000003,24.41003725384616,23.29993700428569,22.30645881066667,21.38919421375,20.61392051764703,20.091271527777792,19.29297271368423,18.686329827,18.26815670666669,17.82671308909087,17.268935963478302,16.9730797591667,16.606971168799998,16.25951360076919,15.87502592370366,15.6959701535714,15.3684537689655,15.098972214000032,14.864822903225809,14.696811746875001,14.50274104242425,14.23398441058827,14.09375956114284,13.95483514833334,13.73389752054052,13.591913651578901,13.41545915384617,13.2790223415,13.134539819999981,13.0073034433333,12.87802984511632,12.74327357409093,12.632355880444429,12.5002806317391,12.37812308765954,12.2552456795833,12.116701506122471,11.9718264304,11.80961487333335
97.5,117.66413299,80.22061692999999,65.42569709833329,55.416838864999995,49.261628345999995,44.22098492999999,39.42030571714289,36.139966776875006,33.24425421055559,30.732317790999996,28.666322360909096,27.24718358375,25.698242773461537,24.4531124764286,23.65122051800003,22.2454860471875,21.87270680794122,20.906804787222246,20.27531113500004,19.71238038675,19.109756793571382,18.649315312499997,17.995106250000013,17.620148527083362,17.272800920999998,17.01868548769227,16.521095067592615,16.18591041875003,15.905772284655193,15.629419829833365,15.273846738064506,15.17957596125,14.866062359848513,14.623778516470583,14.42987474457147,14.237125335694422,14.10143248216214,13.892666916315775,13.686640814487133,13.571572653875,13.373984998292658,13.280661970119032,13.071785246279077,12.969315466704574,12.836590221999959,12.642448363912997,12.493678567978714,12.368272715624968,12.205212796734724,12.0456024002,11.8322820745098
98,118.02416341200001,81.35902166199999,66.16423555333337,55.609644747,49.81565509759999,44.915247445333364,39.6805539485714,36.424077033,33.42905049911112,31.117371083200002,28.913314938545415,27.51093049799997,25.936909283076968,24.558772499428585,23.767009640800033,22.325106107499998,22.0136569614118,21.05606202711112,20.47404564926314,19.8601916354,19.207299811238123,18.673591839454552,18.103110114956564,17.681207710999967,17.395577832639997,17.137705440769267,16.583761982963004,16.260058643571472,15.988955189241333,15.716178423733366,15.29854227135482,15.237532169625,14.96482486278784,14.699855678000045,14.50285475977147,14.28540980099999,14.129676620324279,13.932530295368421,13.720929174564077,13.587552637,13.41583531268297,13.307547358571451,13.094261196837252,12.997548149000027,12.859694678133376,12.66662815652171,12.53344237582981,12.3852247976667,12.224773751102063,12.05565491888,11.8327454078431
98.5,118.51222470799999,84.078061822,66.9601006216667,56.052266991249994,50.5980908412,45.44385498449999,40.07272561571427,36.859553786875,33.86165376655553,31.424537142200002,29.231718206272728,27.6753926303333,26.17805129869226,24.737471635142843,24.010658802800002,22.455878055375,22.114840845,21.205576410222267,20.700323621526326,20.01853713885,19.41735853742856,18.791947670818207,18.18933627604346,17.804906130874997,17.48524298344,17.218688190115415,16.682436219333287,16.286767082928556,16.148406803068983,15.7602880419333,15.41486808067742,15.309566096874999,15.00948518245459,14.808772297235278,14.540430059600043,14.381514555583301,14.154934420459478,13.9774223423421,13.769773208589745,13.64038816265,13.44752014046342,13.352539723761929,13.159443674186067,13.031253942204536,12.884772658288933,12.6916115091087,12.555004099148976,12.4081397838333,12.23318429102037,12.0811712341,11.8734660745098
