,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260
0.5,233.202768735,346.515388595,456.58199252000003,542.565656275,612.80992541,692.984303685,774.0712247749999,844.808998495,909.94402799,967.8583250400001,1033.28442509,1094.768403305,1134.533963655,1209.71444139,1247.01106315,1293.5250804,1348.83158728,1399.370067385,1431.7987948399998,1487.47029789,1539.6852109049998,1571.88109203,1598.2353195399999,1638.11731456,1697.3654814049999,1742.6645690500002,1777.958808465,1806.6199822199999,1853.5160244600002,1886.519169655,1927.182518245,1951.8326828600002,1994.86728493,2036.843289485,2068.320408275,2091.93365529,2134.87667807,2163.35251858,2192.5656404300003,2241.275989065,2274.912648875,2299.401326405,2333.022828665,2366.704891815,2394.4531651,2434.914069285,2469.4077267800003,2512.02994585,2542.202591365,2583.45470479,2624.46354096
1,244.08358875,354.25306823,461.39318687,558.60024616,621.91782569,705.17369806,788.16705463,859.96896054,917.39894616,982.194762,1045.22595134,1103.49195133,1156.9253966600002,1221.22119291,1267.37916681,1314.8578543400001,1363.97062046,1422.02114486,1446.40813885,1506.67029419,1550.7768290299998,1584.85692342,1622.50673558,1653.33841605,1705.12259081,1746.78278019,1794.9898763200001,1822.8522527100001,1866.61087718,1897.3347096100001,1936.0134200599998,1969.8461575499998,2004.58450682,2047.7629696099998,2077.2942657199997,2099.18488428,2139.27309243,2171.57900999,2216.3724287,2245.91343758,2284.0374824,2305.3356277000003,2345.2671068500003,2378.4971351900003,2412.00723112,2445.3393914,2479.67095789,2518.21388865,2548.90295727,2589.2965938300003,2632.27507366
1.5,252.41691518500002,360.71107991499997,472.64574199500004,567.35609347,636.9499332400001,718.0835117400001,796.685514935,871.32427954,930.70851798,1003.298650755,1054.554437855,1117.3169918649999,1170.601652965,1227.747602455,1278.7215804,1328.16599317,1372.5717944,1429.52106278,1455.174158515,1516.7904635300001,1556.8989618849998,1599.697597975,1635.4114975149998,1658.220685285,1714.50037073,1752.68926354,1800.301887105,1829.0254606,1869.683346025,1904.13899886,1947.91581578,1976.287331065,2010.012427755,2049.459998195,2085.553931845,2113.452451055,2146.727500295,2179.457441475,2221.54709223,2248.01384985,2286.85095381,2316.73746968,2352.73170912,2385.59272108,2418.511542455,2450.99689864,2486.5079778450004,2522.237276415,2554.698544775,2593.088831465,2636.20397881
2,263.65912098,364.81988924,480.72713096,572.3921374199999,646.7673578800001,729.09640516,809.0224962599999,877.1066611,942.0830659200001,1004.6378898,1064.2361279400002,1127.88514566,1175.16314358,1229.99197418,1283.8284911199999,1334.7216462000001,1387.6090349,1430.7689266999998,1468.87280614,1521.9552274799998,1561.57187728,1604.4501499,1638.65534342,1668.85782032,1725.09593096,1759.06346072,1803.9461702600001,1835.3244027199999,1874.52853848,1910.1482912,1952.61859154,1979.7806966800001,2013.43612604,2055.7067777400002,2087.9158941200003,2118.5878664800002,2151.66948214,2185.03989122,2223.3776162,2253.4012298800003,2293.47405776,2321.09091274,2355.93288858,2387.99820896,2421.6483377,2454.4443368,2493.66575014,2527.6518811,2558.2676886,2596.97783204,2639.4952702600003
2.5,266.791830175,368.72069147499997,484.632660375,575.36114335,651.416776675,741.481983125,814.36719935,888.461965175,950.671896875,1013.285466625,1070.87311045,1132.8471347,1179.65112365,1237.4163924,1286.3248285749999,1340.2760057500002,1389.7031537750001,1437.094263225,1475.2624502249998,1526.62796045,1567.87136395,1605.98378965,1641.556238975,1678.54205385,1730.2931489750001,1766.394173625,1806.9313247999999,1840.872631,1877.6415631,1913.080542725,1955.9003658,1984.8646015,2018.06436755,2058.8259531999997,2088.4298256250004,2123.7447582749996,2155.45491495,2188.092746375,2229.562186275,2257.1658851499997,2297.01594185,2324.4483555250004,2360.1850102999997,2391.42111385,2427.254749575,2460.338593125,2494.5219581750002,2529.6030086,2561.588724775,2599.247500175,2640.6838814
5,281.1174383,388.1904577,500.00985675,588.8893155500001,676.3035674,761.48878395,838.2996704999999,911.08813705,969.23080635,1028.53505045,1093.3088014,1153.4870144,1206.6498574500001,1260.00878805,1309.9995238,1358.0618584,1407.853114,1454.03974415,1497.7297799,1543.98296945,1582.3656641999999,1629.6228446,1663.8761290500001,1695.4422757500001,1744.0496819,1785.7733253499998,1824.96321665,1852.61037365,1887.0686764,1930.6536047999998,1967.8854956999999,2002.3895082000001,2035.85419405,2075.8406892000003,2106.9867476,2138.6836176,2170.4911758,2198.9537955,2238.4044191499997,2269.0156015000002,2305.39507745,2338.2235282,2370.72256375,2404.157211,2436.1212802,2467.63094185,2503.96002885,2538.3594478,2571.50449845,2607.63420445,2646.6546337500004
10,297.247871,418.2978022,524.2279881000001,616.0866855,702.2378267,783.5077261,862.377109,930.0533015,993.442392,1061.6458913,1115.7035324,1178.1288095000002,1229.3984477000001,1282.9526881000002,1327.5603917,1381.9869382,1428.9144494,1475.9009063,1518.5508619,1563.123373,1603.6097881,1644.6218377999999,1684.9075447999999,1721.9468454,1763.1102961,1800.1632737,1840.328254,1872.9814206,1905.7619490999998,1946.9786179,1983.5205713,2017.5756166,2051.9643058,2089.511372,2122.6662192000003,2158.3739835,2185.1666895,2218.181404,2250.9480278,2287.6041976,2319.9137254,2351.2175554,2386.2872892,2414.3148002,2447.2131160999998,2480.8089645,2514.1038894999997,2550.29344,2583.4277652,2616.571091,2653.819539
25,335.647832,459.6748155,560.9569885,658.1911355,744.19631175,823.4977985,901.702605,971.03480525,1034.10152375,1100.57815,1154.30399025,1214.0972040000001,1263.6091365,1316.458895,1370.3343805,1422.17788725,1462.5509350000002,1509.12815,1553.1424375000001,1593.4853082500001,1635.09582275,1676.6028045,1712.5017257499999,1752.7879045,1792.3137725000001,1827.1989939999999,1868.2182902499999,1901.0237025000001,1937.048409,1974.76750075,2010.91157725,2041.5029117499998,2079.9569085000003,2112.7630520000002,2148.948217,2182.0288095,2211.776057,2244.21659125,2277.2092082500003,2309.89911875,2343.263236,2374.28379425,2408.4583905,2435.67939425,2466.50322075,2500.0792485,2533.0938207500003,2565.47795125,2598.76214325,2628.31833,2661.4289114999997
75,411.792699,544.824037,654.173346,743.4256765,836.727669,909.3647695,986.5200075,1059.0590307500001,1120.43625475,1181.11803575,1235.41374625,1291.0601242500002,1344.1290199999999,1396.40409875,1444.524721,1493.22835975,1532.3624207500002,1577.76442,1625.180859,1661.45204225,1703.45239025,1743.29479675,1778.07736975,1818.98432675,1856.861196,1893.08921275,1931.318503,1964.60762475,1999.803092,2035.47348025,2069.80555175,2101.31222375,2138.2743375,2168.847991,2203.14141875,2234.72111525,2266.26464825,2298.264294,2328.76593025,2361.70512375,2389.5081375,2420.0405167500003,2451.263199,2479.65564475,2509.791878,2535.67413725,2565.8665825,2594.1999459999997,2621.51447625,2646.856831,2671.244255
90,441.6919773,578.9227913,690.153552,785.0051149000001,876.8730113,947.5797573,1023.4920415,1091.2212946999998,1151.8336839,1216.8053645,1267.9921211,1324.2455829,1373.418839,1430.1342328,1478.5674092,1519.4209636,1564.2121888000001,1609.1273487,1651.1245524,1689.5532078,1730.7381185,1772.8723074000002,1807.6166614,1844.6009282,1887.2521021,1918.976719,1957.1700977,1993.3791956999999,2027.6089428999999,2063.5630726,2096.2313145,2127.8296537,2161.3131142,2193.9678929,2222.0618002,2256.317713,2285.7100869,2319.7474862,2346.3003417,2381.3785826000003,2408.1370319,2439.646401,2466.6094456,2494.9858496,2524.0213924,2548.7541123,2576.2090004,2604.0693077,2628.7288411,2653.0857904,2675.0985979
