"","names"
"1","Anser_caerulescens"
"2","Anser_rossii"
"3","Artemisiospiza_belli"
"4","Artemisiospiza_nevadensis"
"5","Leiothlypis_celata"
"6","Leiothlypis_luciae"
"7","Leiothlypis_ruficapilla"
"8","Leiothlypis_virginiae"
"9","Mareca_americana"
"10","Psittacara_erythrogenys"
"11","Corthylio_calendula"
"12","Spatula_cyanoptera"
"13","Spatula_discors"
"14","Troglodytes_pacificus"
"15","Spatula_clypeata"
"16","Charadrius_nivosus"
"17","Circus_hudsonius"
"18","Colaptes_chrysoides"
"19","Dendragapus_fuliginosus"
"20","Dryobates_nuttallii"
"21","Dryobates_pubescens"
"22","Haemorhous_cassinii"
"23","Haemorhous_purpureus"
"24","Larus_livens"
"25","Mareca_strepera"
"26","Nannopterum_auritum"
"27","Psiloscops_flammeolus"
"28","Rallus_obsoletus"
"29","Antrostomus_arizonae"
"30","Dryobates_scalaris"
"31","Lanius_borealis"
"32","Haemorhous_mexicanus"
"33","Amazona_oratrix"
"34","Aratinga_nenday"
"35","Psittacara_mitratus"
