,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215
0.5,52.918211329222224,65.63357586695237,70.71656990476313,76.40985089943331,77.32941376916095,80.29636461077307,82.06606218450638,83.18875580980806,82.87749169633878,82.89720520095626,84.80867829020899,85.86665676210099,86.65673250843685,87.4117554225874,86.46276578986706,87.77656237942574,88.64735439775036,89.3909270620941,88.60650149180807,89.29566002936082,89.94451145702836,89.94334653265749,89.82076597928156,90.72482345590713,91.3196326212075,91.39790860475294,91.5718509455493,92.33528181369536,91.77839457987069,92.44641906616755,92.39324312592375,92.89620536499407,92.72135257705226,93.3936418787567,93.892832428919,93.92416599856877,94.00323203882175,94.46749367638328,94.90197011319752,95.23135689336871,95.46313424221171,96.04927503474289
1,57.664308919555566,68.71928320247618,73.00949579036843,77.35564184606669,79.12997331977014,82.62906374894122,83.35017028594868,84.3526790693333,83.60663356613065,85.33541243513808,85.9801938383164,86.61561176789424,87.12654381349893,88.09056589829186,87.55083879146201,88.94642330230256,89.75334321681146,89.80045101943564,89.75614869334746,89.99502460515016,90.851648257673,90.56763419921589,90.42802953460503,91.39295962732126,91.74628853080257,91.85078068464571,91.97009237621381,92.56721595254976,92.37285592449035,92.75971857164141,92.93770256109512,93.16754083552547,93.34970674757746,93.71822892764797,94.09974061692299,94.14331151733955,94.37748756224782,94.7371035391784,95.05694365453814,95.36241617691722,95.62231911721396,96.0894471418344
1.5,61.882027445555565,72.68117483133335,74.74154868492103,78.4560204982,81.11285826883912,83.35521049546215,84.22159529418595,84.60817420610103,84.5522782800612,87.02021120371047,86.96160187973447,87.42379626000476,87.89569705007662,88.51442197131891,88.12206094624997,89.18855588866663,90.18290983101122,90.17634361247703,90.03500871737371,90.7482406810714,91.53283731636027,90.85281135328455,90.85197401959526,91.56677546661675,92.10766466427373,92.28458087027525,92.40012272389313,92.67568186130845,92.87988740135165,93.1113878517595,93.07556209566779,93.45865889752994,93.5912744765301,93.96585783386926,94.31317088666763,94.28712905514395,94.6408226850201,94.77857958383822,95.14852228666757,95.39518842697174,95.71491017315243,96.11972268012036
2,64.97607895244447,74.34669662057141,75.35271802105261,79.61526154866671,82.24545363347127,84.14051557015131,84.48447487058976,85.31793707305054,85.32477093359996,87.34097047534011,87.78829010511868,88.23418551101926,88.11214761737475,88.86667916654416,88.78482034970257,89.89140591378151,90.3715907019326,90.65453228513329,90.6813705046707,91.18514376066668,91.77499219501914,91.26204911699165,91.44323763415407,92.1738818674219,92.32772495475251,92.45110937672524,92.57194273242347,93.21447446036011,93.14046872469618,93.24380219271724,93.27124906392135,93.58524716567925,93.72302349576051,94.0836858974187,94.4364196343104,94.50914610543356,94.76414694746649,94.84400355876714,95.20424942035979,95.49112698175803,95.8121493740642,96.1305448651128
2.5,65.74307572611113,74.98815902809524,76.55229464855266,81.47134168050003,82.6308011349425,84.59630611495803,84.97310202605769,85.88194742439394,85.81122268261224,87.93825271518523,88.18040133182198,88.42936018995191,88.72397690520702,89.35452378634231,89.27298746890031,90.11798733007,90.65439536130458,90.84316016895856,91.2534207340707,91.3887313125824,92.00563089423686,91.73925252233414,91.68728019431019,92.27492843354837,92.50515937232258,92.73792165028189,92.92750151980471,93.39237276467429,93.34657565076066,93.38012711855046,93.538380205283,93.71533702833335,93.97495295923943,94.2020233733563,94.52409084739756,94.58913077893654,94.81010671204537,95.01735678814698,95.35447820246485,95.57959186450739,95.84966152864546,96.14087918758968
5,74.56611667333334,79.74701061428568,80.52809195210527,84.2685681196667,85.49761834586207,86.6196258603361,87.01604456826921,88.3010349608081,87.79813822212246,89.17348557602695,89.82091802121468,89.52784389538462,90.3163843795859,90.56542561434233,90.77860984218356,91.17335834039214,91.43071548342074,91.92764820801794,92.04874141147474,92.2171868827473,92.70046669859887,92.97381852080856,92.74993130963587,93.03856465932905,93.2390432139237,93.3414039196904,93.53234604641833,94.01919085703064,93.94137709548542,94.07619296792627,94.01065032762185,94.36723225070955,94.53100678855552,94.74805233263712,94.87900834732778,95.06149202305524,95.13443071126981,95.36952770682,95.54627562150756,95.78946465416064,95.99444947546138,96.22720779369703
10,80.26654633333334,84.52939126666664,84.22522102157899,86.98068511533333,88.10384749517242,89.06175631025212,89.3911827583333,90.16751406202019,90.05977448832652,90.71853472148149,91.53522964378527,91.61828677778846,91.9025596182195,92.20704524439643,92.33184434265823,92.45158651126049,92.87328613545566,93.05264700268756,93.23964343303027,93.21824139831504,93.70886592964132,93.66817509852025,93.85636998245099,93.84633304214195,94.17583221959453,94.19211621231624,94.30489167863311,94.54151207737546,94.63786107641161,94.76099396353584,94.70017934242135,94.92088500777528,95.16591655342846,95.26479002318553,95.27661264696465,95.5309379065452,95.49235643258143,95.67194619217555,95.86048321687943,96.0017130466188,96.21072664226934,96.4029419436905
25,89.5784441388889,91.11009968095237,90.51674974736845,92.51204667166667,93.12370518620685,93.10533465042015,93.29448415801285,93.6433837848485,93.49686044591833,93.98364233838387,94.089341290113,94.52676448846155,94.27583901997926,94.22312568234233,94.79660521954118,94.68070021582635,94.78749343033705,94.98774380414332,95.082025620202,95.0547443716117,95.30499612752298,95.15728544370707,95.1497569081933,95.31721664716127,95.4292630100179,95.60148837086786,95.3644950512076,95.77395315507663,95.7129426838926,95.83531641059912,95.78568783231134,95.87856442952695,95.97032786166025,96.12469520078815,96.10930537278085,96.12581939606345,96.13577365763021,96.26340035321172,96.36328189324121,96.43281470224773,96.53578374771017,96.56670966094327
75,106.1103208555555,103.62988705714325,102.82898442894725,102.11131283166675,101.6547006063215,101.22708740000024,100.84403052371775,100.41622835404024,100.4291211783675,99.90711278855217,99.80171220536721,99.72851218197117,99.51780910331262,99.40535851711712,99.33158239011075,99.09035055126047,99.12962985224718,99.11557819182528,99.06121650176767,98.94155718223442,98.54481042406171,98.54457636125095,98.49887194103638,98.38206767980647,98.4327984968694,98.33042021514648,98.04500675472764,98.09238219463606,98.12551289051453,98.0608455766234,97.98505962822324,97.89698382963782,97.85823816856947,97.86345908676518,97.77355322321537,97.59364395508224,97.56464345058478,97.44951895656888,97.40651962866838,97.29810563350073,97.2788758488152,97.15815217641816
90,110.55757266888851,108.58514815809521,106.06753825263189,105.424859312667,105.11181842114941,104.2742498359666,103.5351190652563,103.372431494949,102.9397260668576,102.28488891986551,102.3334483564975,101.8339023357693,101.5508761093993,101.2677821323966,101.2221763656961,100.8746939593834,100.7775690555303,100.5523894811644,100.5208884662627,100.3417591642125,99.9561274189491,99.87136463481309,99.89058243753502,99.67180861481292,99.59664452704833,99.42153865297959,99.16141079797534,99.14099783277781,99.1619584352125,99.02005432258068,98.85666688756292,98.64777836261636,98.599631716039,98.51946702176679,98.40801532040966,98.21650301210339,98.23000601435253,98.01707287431135,97.85796069404519,97.73788837720707,97.53054824144911,97.27347590362967
97.5,114.143788786111,111.73114040857152,109.05373054618376,109.15871615100033,107.69664033160934,106.87820582109197,106.0933444666351,105.58260999974746,104.942341509469,104.40022355767667,104.20909823146866,103.55125362870162,103.45831425357147,103.03394828560361,103.04038560720758,102.36219474407537,102.50597597917556,102.17602301300153,102.23487558475803,101.77908052522909,101.41115140397791,101.4020440524331,101.33894178450637,100.91480248258105,101.07904869772847,100.62879061996136,100.60625927797057,100.0932613080557,100.31941947366235,100.00916670718435,99.79331778382465,99.51323837365484,99.42808689986778,99.33370475399997,99.14430256710277,98.7830296646945,98.89090553068084,98.51863534643135,98.25920057927264,98.09045465521044,97.8262819792595,97.56560078634864
98,114.87296085733323,112.03933397485717,109.6417202298951,109.69163729626666,107.9466966460228,107.07840473714275,106.71911336989733,105.95935168513155,105.35948588408142,104.61199367929986,104.3632721805199,103.90450135909646,103.87917928804094,103.15174991048666,103.18633663803213,102.49503466294709,102.83159629848653,102.38973843858479,102.3239857988076,101.90583238279896,101.70079314622488,101.66062443720489,101.44128790979872,101.1672427326661,101.18818105384851,100.79963854188587,100.79697516917122,100.23554081841394,100.43924364070014,100.11594383498627,99.91482799580821,99.64981350087511,99.58456163182461,99.51670100515467,99.34747489533329,98.94038520899177,98.95944165710168,98.63087401212157,98.28259756784723,98.1315181892147,97.843896674653,97.57549070000785
