,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
0.5,234.3973824,343.60401662500004,433.991095025,514.315093415,608.27984332,676.811060565,749.70641367,840.20807091,871.9311452950001,961.250273505,1000.739074865,1080.3346229449999,1128.1466544749999,1194.23284839,1214.329432605,1267.0173538650001,1324.3939737849998,1367.07747156,1417.48147706,1455.30630757,1510.03215365,1550.25545429,1575.0561942699999,1638.363282885,1668.149693185,1711.48972621,1749.56350495,1780.64700356,1811.8462196799999,1854.5463577100002,1897.022906485,1922.7532774699998,1967.2058365900002,2003.5792878949999,2034.19213853,2072.16458364,2104.9831016949997,2140.878039395,2174.42557417,2214.62802969,2250.38773686,2290.1987641
1,245.31285973,361.84520567,460.98026622,536.4426958600001,624.08122388,705.10443958,766.82880794,849.78593342,890.3613673,979.9336289099999,1017.85768084,1093.12319438,1139.91418558,1204.0108216,1231.71913673,1278.32053004,1330.09744577,1381.1695350700002,1428.7485053900002,1461.68640549,1521.47512408,1559.1458812,1586.62217928,1643.7019680800001,1674.9094075599999,1716.9481469500001,1754.6301334,1794.65239572,1823.59233574,1863.89819044,1902.12676229,1933.24205219,1973.0537738799999,2013.53364323,2045.21890151,2079.89555936,2111.52028053,2147.14519421,2182.62846327,2219.3777330499997,2257.4840076,2296.85649845
1.5,253.13987620999998,371.11639616,471.65334424,547.68563508,634.2344608000001,717.755401485,776.888623025,854.850129495,906.591040955,984.746712125,1024.61068533,1097.480940425,1146.456058965,1212.05690119,1252.41811714,1297.017253705,1342.712202465,1388.09641668,1435.41189876,1475.489465395,1524.442305865,1564.66184806,1599.13497287,1646.4151270650002,1683.207998335,1726.664813055,1761.864571385,1801.159113165,1828.8217892349999,1868.2372887,1906.8190477,1935.42921159,1978.0224097349999,2016.2334733900002,2048.063051055,2084.0689697549997,2116.396902995,2150.16622105,2184.98126829,2223.790905465,2259.5261597900003,2299.461541255
2,260.89063144000005,373.87271324,473.95829408,558.80024944,641.37286734,726.71199486,782.57830156,860.0821094,919.7978835399999,991.7740342,1034.548801,1103.7248635400001,1151.2659508000002,1217.49327292,1257.09745824,1302.76789338,1347.23588056,1393.9852602,1442.0310259799999,1486.11212708,1529.96035034,1572.11477912,1603.8088737799999,1651.8829071999999,1684.59830628,1731.2411153,1765.9523308999999,1803.2498259400002,1831.41347782,1875.5331125599998,1909.3979691200002,1937.8104840400001,1981.08831314,2016.79311096,2052.85706988,2086.4135868400003,2118.87268672,2151.05509092,2187.89166246,2226.8878214200004,2263.59644974,2301.05940058
2.5,264.72858767499997,380.353376475,475.57074554999997,562.472251475,647.7408038250001,736.652389825,794.0159020250001,866.8090776,927.467244,993.725912425,1050.5186027999998,1110.168097825,1156.41107215,1220.0766542000001,1259.057308875,1306.957808975,1353.4191497499999,1398.577768575,1447.244830325,1488.67571475,1533.3177373750002,1576.5995017750001,1612.36388515,1656.625018425,1686.9290606,1734.841999025,1768.4332642,1805.5645026,1839.432422125,1878.4966614250002,1913.32652815,1940.4139042499999,1983.808447,2018.62507035,2054.535709675,2088.1263633000003,2121.3056145,2154.1542039749997,2189.95825805,2227.74488045,2264.902488275,2302.7854149
5,281.7792968,391.93588255,502.7474217,582.01580875,670.257551,754.2028962,815.59987875,884.4059584,947.2349206,1010.78980525,1071.8063012500002,1128.3191322,1175.8139714000001,1235.92923935,1275.1097871000002,1326.1582663000002,1369.56083075,1417.5762477,1464.3127964,1504.42208545,1547.8521334999998,1588.8486936499999,1626.9761022500002,1668.5052131,1702.79347885,1745.2224726499999,1781.99950635,1814.8776971500001,1853.5756914,1888.6392748,1925.9611146,1958.7687773999999,1994.5987220499999,2026.8945356,2066.0632885,2097.95348815,2129.1937011,2163.0529737,2199.7476323,2233.89785585,2271.84547385,2307.4432613
10,302.2830076,415.1974537,525.171879,606.2498895,698.1717138,777.6917569999999,845.5717597,904.9137800999999,972.6002818,1029.8940356,1092.3922416,1147.9463477,1192.8825981,1254.5377372,1297.4452899999999,1340.8320111,1388.3044127,1437.024529,1482.7132158,1520.0884948,1562.6263113999998,1604.3241451000001,1641.5356474,1682.9795138,1719.0865525000002,1757.0568345,1795.8050184,1827.7179417,1865.767986,1900.7299993000001,1937.0409683999999,1969.7941437,2007.5465447,2039.4124878,2073.669218,2107.4450843,2140.2196684,2174.0791364,2208.6301168,2240.9518676,2277.9840174,2313.6797788
25,335.75913349999996,455.05620675,558.51681275,650.61946425,740.05402225,816.9876285,882.78344025,948.0806855,1010.76874775,1070.0391892500002,1127.58735075,1182.0772575,1230.38739625,1284.4864955,1330.8924525,1375.5253432499999,1422.6021565,1465.86103825,1507.425461,1546.712745,1590.54856075,1627.5303669999998,1671.53085475,1706.36126575,1744.1425335000001,1776.0789754999998,1816.009634,1852.94063775,1886.44032725,1920.71278175,1957.166692,1987.2699875,2025.533523,2060.21499775,2090.497346,2124.64055475,2157.95043575,2187.990496,2222.21963975,2253.0286955,2287.5972285,2320.2959417499997
75,408.82809625,539.0162829999999,644.38504275,734.584477,820.8782965,895.54353875,966.57153625,1029.85425325,1089.44823675,1148.2701255,1202.09089075,1252.4847505,1299.972234,1349.31955875,1394.1071029999998,1440.7226535,1485.57516025,1524.909753,1567.314326,1603.92748875,1643.0797862499999,1681.06707575,1720.7396494999998,1756.28137025,1791.6591640000001,1826.91088225,1863.057898,1896.3927495,1929.219905,1964.1445895000002,1996.40135425,2028.779702,2063.01454925,2095.2561217499997,2124.23280875,2156.4685387500003,2188.2695485,2216.7532497499997,2245.9971242499996,2275.23218325,2304.3354799999997,2331.2059480000003
90,441.3239865,573.0034393,680.7902951,769.5728812,857.2043917,927.6843278,996.2367739,1062.2036803,1120.6987082,1180.4805225999999,1231.8564692,1276.6131536999999,1330.2372098,1373.6867928000001,1420.3515958,1466.9685000000002,1512.5318503,1548.5343088,1589.9034587,1625.8073321,1665.4701713,1701.9388697,1740.2415041,1779.8351203,1811.5209171,1847.009379,1880.0384844,1913.3412324,1949.6004745,1981.1775055,2014.822126,2045.4510480000001,2075.8634938,2108.3611305,2137.8477109,2168.0445071,2200.9782906,2227.7499936,2256.0752247,2283.3466841,2310.4099812000004,2335.1735094
