"","names"
"1","Aix_sponsa"
"2","Amphispiza_bilineata"
"3","Archilochus_alexandri"
"4","Asio_otus"
"5","Aythya_affinis"
"6","Aythya_americana"
"7","Aythya_collaris"
"8","Aythya_valisineria"
"9","Bombycilla_cedrorum"
"10","Branta_hutchinsii"
"11","Cardellina_pusilla"
"12","Catharus_guttatus"
"13","Certhia_americana"
"14","Chondestes_grammacus"
"15","Cinclus_mexicanus"
"16","Cistothorus_palustris"
"17","Contopus_sordidulus"
"18","Cypseloides_niger"
"19","Empidonax_hammondii"
"20","Empidonax_minimus"
"21","Empidonax_oberholseri"
"22","Empidonax_traillii"
"23","Empidonax_wrightii"
"24","Falco_columbarius"
"25","Geothlypis_tolmiei"
"26","Geothlypis_trichas"
"27","Icteria_virens"
"28","Ixoreus_naevius"
"29","Laterallus_jamaicensis"
"30","Lophodytes_cucullatus"
"31","Melospiza_lincolnii"
"32","Melospiza_melodia"
"33","Myadestes_townsendi"
"34","Myiarchus_cinerascens"
"35","Phalaenoptilus_nuttallii"
"36","Pipilo_chlorurus"
"37","Pipilo_maculatus"
"38","Podilymbus_podiceps"
"39","Recurvirostra_americana"
"40","Salpinctes_obsoletus"
"41","Sayornis_nigricans"
"42","Selasphorus_calliope"
"43","Setophaga_nigrescens"
"44","Setophaga_occidentalis"
"45","Setophaga_petechia"
"46","Setophaga_townsendi"
"47","Sialia_mexicana"
"48","Spizella_atrogularis"
"49","Spizella_breweri"
"50","Spizella_passerina"
"51","Strix_nebulosa"
"52","Thryomanes_bewickii"
"53","Turdus_migratorius"
"54","Tyrannus_verticalis"
"55","Vireo_gilvus"
"56","Zonotrichia_leucophrys"
"57","Chaetura_vauxi"
"58","Ardea_herodias"
"59","Accipiter_striatus"
"60","Aechmophorus_occidentalis"
"61","Alectoris_chukar"
"62","Anas_acuta"
"63","Anas_platyrhynchos"
"64","Anthus_rubescens"
"65","Ardea_alba"
"66","Bubulcus_ibis"
"67","Calidris_alpina"
"68","Chlidonias_niger"
"69","Empidonax_difficilis"
"70","Eremophila_alpestris"
"71","Falco_peregrinus"
"72","Hirundo_rustica"
"73","Hydroprogne_caspia"
"74","Nycticorax_nycticorax"
"75","Pandion_haliaetus"
"76","Passer_domesticus"
"77","Rallus_limicola"
"78","Riparia_riparia"
"79","Sayornis_saya"
"80","Sialia_currucoides"
"81","Sturnus_vulgaris"
"82","Tyto_alba"
"83","Fulica_americana"
"84","Charadrius_semipalmatus"
"85","Charadrius_vociferus"
"86","Chordeiles_acutipennis"
"87","Chordeiles_minor"
"88","Coragyps_atratus"
"89","Cygnus_columbianus"
"90","Egretta_thula"
"91","Elanus_leucurus"
"92","Falco_mexicanus"
"93","Falco_sparverius"
"94","Gallinago_delicata"
"95","Gallinula_galeata"
"96","Picoides_arcticus"
"97","Spinus_pinus"
"98","Gymnogyps_californianus"
"99","Spinus_lawrencei"
"100","Spinus_tristis"
"101","Gymnorhinus_cyanocephalus"
"102","Larus_californicus"
"103","Larus_delawarensis"
"104","Limnodromus_scolopaceus"
"105","Poecile_rufescens"
"106","Megascops_kennicottii"
"107","Melanerpes_lewis"
"108","Numenius_americanus"
"109","Patagioenas_fasciata"
"110","Pelecanus_erythrorhynchos"
"111","Phasianus_colchicus"
"112","Plegadis_chihi"
"113","Pluvialis_dominica"
"114","Porzana_carolina"
"115","Sphyrapicus_ruber"
"116","Sphyrapicus_thyroideus"
"117","Sterna_forsteri"
"118","Strix_varia"
"119","Strix_occidentalis"
"120","Tringa_flavipes"
"121","Tringa_melanoleuca"
"122","Tringa_semipalmata"
"123","Zenaida_macroura"
"124","Aphelocoma_californica"
"125","Progne_subis"
"126","Passerculus_sandwichensis"
"127","Pica_hudsonia"
"128","Sitta_carolinensis"
"129","Stelgidopteryx_serripennis"
"130","Chamaea_fasciata"
"131","Junco_hyemalis"
"132","Bombycilla_garrulus"
"133","Catherpes_mexicanus"
"134","Corvus_corax"
"135","Euphagus_cyanocephalus"
"136","Oreoscoptes_montanus"
"137","Piranga_ludoviciana"
"138","Lanius_ludovicianus"
"139","Haliaeetus_leucocephalus"
"140","Nucifraga_columbiana"
"141","Accipiter_cooperii"
"142","Passerina_amoena"
"143","Perisoreus_canadensis"
"144","Petrochelidon_pyrrhonota"
"145","Pheucticus_melanocephalus"
"146","Polioptila_caerulea"
"147","Pooecetes_gramineus"
"148","Calidris_minutilla"
"149","Sitta_pygmaea"
"150","Tachycineta_bicolor"
"151","Toxostoma_redivivum"
"152","Tyrannus_tyrannus"
"153","Vireo_cassinii"
"154","Xanthocephalus_xanthocephalus"
"155","Calypte_anna"
"156","Zonotrichia_atricapilla"
"157","Actitis_macularius"
"158","Aechmophorus_clarkii"
"159","Aegolius_acadicus"
"160","Aquila_chrysaetos"
"161","Asio_flammeus"
"162","Athene_cunicularia"
"163","Aythya_marila"
"164","Bucephala_islandica"
"165","Botaurus_lentiginosus"
"166","Bucephala_clangula"
"167","Buteo_jamaicensis"
"168","Buteo_lagopus"
"169","Buteo_regalis"
"170","Buteo_swainsoni"
"171","Calidris_mauri"
"172","Centrocercus_urophasianus"
"173","Loxia_leucoptera"
"174","Baeolophus_inornatus"
"175","Calcarius_lapponicus"
"176","Contopus_cooperi"
"177","Mimus_polyglottos"
"178","Loxia_curvirostra"
"179","Troglodytes_aedon"
"180","Baeolophus_ridgwayi"
"181","Cyanocitta_stelleri"
"182","Poecile_gambeli"
"183","Tachycineta_thalassina"
"184","Vireo_huttoni"
"185","Charadrius_montanus"
"186","Catharus_ustulatus"
"187","Spinus_psaltria"
"188","Agelaius_phoeniceus"
"189","Aimophila_ruficeps"
"190","Leucosticte_tephrocotis"
"191","Molothrus_ater"
"192","Pinicola_enucleator"
"193","Psaltriparus_minimus"
"194","Sitta_canadensis"
"195","Branta_canadensis"
"196","Bubo_virginianus"
"197","Callipepla_californica"
"198","Cathartes_aura"
"199","Corvus_brachyrhynchos"
"200","Lagopus_leucura"
"201","Meleagris_gallopavo"
"202","Mergus_merganser"
"203","Mergus_serrator"
"204","Oreortyx_pictus"
"205","Oxyura_jamaicensis"
"206","Podiceps_auritus"
"207","Podiceps_nigricollis"
"208","Sturnella_neglecta"
"209","Bucephala_albeola"
"210","Regulus_satrapa"
"211","Megaceryle_alcyon"
"212","Melozone_crissalis"
"213","Anser_albifrons"
"214","Aeronautes_saxatalis"
"215","Glaucidium_gnoma"
"216","Setophaga_coronata"
