,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240
0.5,31.869522768,54.159576096666655,65.17121149790479,66.61041794721054,71.5996567768333,75.76380385251726,76.51450159273946,79.77809695113463,79.92242329540403,80.9485753596571,82.2877836465926,83.6339827687316,84.72821673984618,84.52439475755278,84.81287225596033,85.47179379641774,86.89893847250984,87.08990209753561,87.5172181999597,88.08045880581518,88.36034920813005,87.98351336456548,88.43173497105721,89.15859406880395,89.39649368275747,89.86390797052889,90.0113024180951,90.27086151063725,90.27577169066663,91.0872902161687,91.25958287871137,91.37206977639664,91.88862159019212,91.75453116325095,91.92223695170448,91.90957343110274,92.52993812320508,92.86953856274356,92.1111642879672,92.96680185248792,93.32491407861168,93.59831623622698,93.9047082389172,93.96922872746123,94.28874725163853,94.51457686510133,94.93516930434447,95.4077320999413
1,33.594951208000005,60.92685775644441,69.36108050628573,74.38517838305262,72.80819828566663,77.00229375200001,77.7823670931092,82.20614903823075,81.62624105260605,82.93324546417138,83.63460117007408,85.5066111687006,85.50573846778843,85.5794720543437,86.948370945009,86.99533235742409,87.47667724714842,88.12816166007994,87.87115562619034,88.98851159118178,88.98242687494502,88.92674425863724,89.08656890095503,89.89478679746074,90.03901928348128,90.21643092896963,90.49192410695856,90.80492834495166,91.16225934754212,91.7201386371096,91.66572473891242,91.76002622233882,92.00519114249667,92.05007565852353,92.55564134584831,92.26666187264243,92.79065623450408,93.01366380689724,92.87040965684164,93.30537350292867,93.4516335858804,93.77298395462068,93.99215231577485,94.18409955260519,94.41179925797061,94.64706175952955,94.97378917196,95.43394337233474
1.5,35.629830967,64.16060441666663,70.66914846380956,76.80710856752629,75.1854562215333,77.93432904410348,79.34094294668905,83.3173225193269,83.07542719358582,84.43359819138776,84.37163257370365,86.14941861740118,85.98248584524522,86.07973302691305,87.6419718272108,87.6936898342737,87.92354502257983,88.62859558569534,88.6367918248264,89.13773599182323,89.24504051603117,89.3537064376831,89.62645210506943,90.3144751855399,90.57404725150198,90.80773162654977,90.85742710137427,91.00020650504825,91.28895224767716,91.93820824562638,91.8269110199615,91.93451009238753,92.0563478708566,92.42442141517645,92.80715990620422,92.55692109144566,93.10929444473909,93.15188596561343,93.10592272421621,93.4783908317618,93.53896383730611,93.93143525742263,94.09546046487063,94.28839310853967,94.50047649893608,94.68852794773007,95.02327664542824,95.44853425040094
2,40.886338036,65.52229964933332,71.84337225676187,77.39463655157896,77.50248947760002,78.75763650468963,81.07793580463868,83.92456345989741,83.72275796541413,85.46914016398372,84.82546342795963,86.57358245111861,86.43790159188461,87.03983340465422,88.07971578944864,88.00770861391138,88.38626162663301,88.87114192868913,89.01742645579397,89.35393848014144,89.61588639946515,89.54296540535778,90.39254521913043,90.62600140973393,90.75107691474585,90.95857395289443,91.13689132002652,91.18760416987872,91.55973095806515,91.98010072349176,92.12602138029658,92.06725501866664,92.17122365083226,92.55180232360178,92.99397870003287,93.04464926842212,93.30324337371326,93.2113792481961,93.19889388767649,93.56905505968336,93.6833860682334,94.0095823025628,94.23660690688801,94.41320152069486,94.58772562711269,94.79284437143423,95.05905105695001,95.46191586906276
2.5,44.442281650000005,66.6406634205556,72.71252485238092,78.0630375565789,78.48140335116666,79.70495063839083,82.03730806789915,84.33199224314099,84.60120666818186,86.01306125612244,85.50084161239053,86.96170059127122,86.57025467062498,87.31762712095238,88.45544025587388,88.46084049508701,89.22614168196077,89.10285965658554,89.45351413608059,90.22805721719195,89.91501691690472,89.94707668441201,90.59060382347067,90.78180427783266,90.96054600741293,91.26928334340784,91.32893537927035,91.36113449127703,91.91139281539748,92.24332594085014,92.37706716304149,92.32352062047953,92.42072966894308,92.71733695302474,93.04357966532679,93.18077024912476,93.38898726426258,93.2797072250139,93.44416582939726,93.6883021531935,93.77291862375893,94.09029868369788,94.36083769269943,94.51856708548253,94.64015810412894,94.83991434185586,95.11301238878885,95.46993051639379
5,63.71449438,74.47880401555554,76.57450452476186,80.11490993552628,81.71382320866665,82.44443248931034,85.30585006151259,86.1823569988461,86.60362879979797,87.81961506485709,87.3352468122559,88.20727776254235,88.05228176216342,88.74491085525884,89.61935053664861,89.58046448003165,90.17082655949584,90.37115104088635,90.68153901646137,91.01047530597984,91.11451408150182,91.09222625874058,91.54983944778034,91.69438311514702,91.78202003304519,92.04775586194391,92.21901023697069,92.24256570620243,92.53284320740418,92.74761598659958,92.85098083974025,92.95583852602986,92.95377894629713,93.09828799317094,93.53781774137929,93.62877348736188,93.84245356591661,93.75684677127263,93.95877259777423,94.09452786188949,94.22940631625058,94.42769114988609,94.67653650511188,94.77276968869656,94.89563352632148,94.97696824429846,95.29103009118384,95.51195779374132
10,68.66461158,79.80052270666664,81.23346257714283,84.19095101368417,85.9268282933333,85.93658381149426,87.515790410084,88.18620895717949,88.63208119858585,89.70107720946937,89.26933097346799,89.87433406745764,89.84942553951923,90.3699515155279,91.40864245520724,91.11714468870257,91.34145703815128,91.49858632699129,92.13083616591268,92.35549794195957,92.21610631025638,92.12013817459548,92.64813254413426,92.6384127497619,92.82017078521294,92.94791168971975,93.1754264733444,93.01490413288795,93.29949814137927,93.54622886601344,93.51277082815247,93.64732639250782,93.73742906178863,93.86457073481375,93.99887207083083,94.12725023298572,94.30700575425378,94.34680339365632,94.4701989831774,94.60734617731151,94.7221349607652,94.79473362597399,94.9716925405868,95.0637096528352,95.1362948321032,95.2017468283463,95.40176890077467,95.60823202669104
25,87.6543552,90.05099074444445,88.90192600476186,90.98543342763159,91.66102528833329,91.42012794827582,92.15690577563022,92.3794888596154,92.64188889898989,92.5698533865306,92.3301334255892,93.23209619590392,93.08834997836537,93.30470961242233,93.58800554756755,93.75288284841767,93.45151197170868,93.73291449044943,94.12785864692052,94.18172667181815,94.26991470869962,94.01495593894916,94.47879740633105,94.1874496345588,94.4269618765806,94.35399258047107,94.55138007125483,94.45115183376157,94.7425747880268,94.73305341183445,94.7734364015501,94.786790907783,94.85434319696967,94.86874797436482,94.9462024754351,95.01409515536935,95.14268943357817,95.16912156517682,95.19309783193228,95.3627513651131,95.34775850712577,95.32775577563227,95.48900374572919,95.55770180420302,95.57247394291667,95.545447957509,95.68506661005635,95.82987182373607
75,110.65680435,105.18804307777775,102.69622025238101,102.409302319737,102.03671411999974,101.136214429885,100.47289502857124,100.00177629743575,99.86195456060605,99.05722508653058,98.85309833198656,99.03995807485872,98.9281583798077,98.80491596221535,98.77921090504503,98.44330208449365,98.31768797086838,98.18181129088643,98.12128864848825,98.195514334596,98.0643039347985,97.96154481768143,97.79271299389782,97.73219405409665,97.6958280165161,97.6550861074836,97.55236952487564,97.46673723561156,97.45697126106325,97.39846596581653,97.35652318525345,97.22684498030658,97.19287998111602,97.17589711472326,97.15328164417075,96.9846187937151,96.9483365327556,96.87472454133942,96.86237354766057,96.90811701927137,96.73230821678621,96.66011307286401,96.61841123077589,96.69200112660857,96.47862552093255,96.47211331513193,96.33043883795233,96.2067536557967
90,115.30016004000001,110.3580901977775,107.21023817904731,106.27791382210489,105.3113035780003,104.3536518133332,103.6539721613441,102.6411784797439,102.3715245422221,101.889324724082,101.35147102168379,101.4174731770059,101.3528863166342,101.13639984480301,101.0538901429186,100.3048568700316,100.1875544159659,100.1010920401502,99.76076131888014,99.77511160385859,99.77802082117215,99.53337148043366,99.39759988006104,99.3594710311625,99.15317080485161,98.87102028010732,98.8337637871752,98.5803792386639,98.56554829431032,98.47736628812528,98.3358310140427,98.17568452370284,98.03964016406508,98.28911509555168,98.05777881057472,97.86415074273125,97.67753777094009,97.66467023453077,97.6006697913825,97.65613951463818,97.32917481256817,97.22899092694915,97.18348758931532,97.11527670498965,96.96564136352379,96.8344972995747,96.6255385002801,96.41769362592746
