,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250
0.5,236.42780051000003,344.133737,445.28130826,525.380862095,614.501819955,706.90947822,762.47196608,845.22326914,912.664909435,961.664147635,1016.6243938499999,1085.470223195,1135.2742678700001,1194.105339105,1241.1209741700002,1302.4261341000001,1341.816260975,1364.3312278150001,1424.76044291,1463.6675303000002,1507.154348475,1560.6952180249998,1606.286487095,1654.502620565,1671.9038693149998,1720.71654782,1761.73436384,1795.745472585,1821.392791125,1875.53370796,1899.515159175,1949.4273173450001,1983.21778903,2026.376279585,2058.7407534450003,2086.244503195,2127.308570315,2156.229208875,2194.2028594949998,2227.507977955,2262.531396755,2294.3470440799997,2319.3133626999997,2361.196095815,2400.2260632499997,2434.329806825,2466.807765395,2508.0955615899998,2574.209594
1,246.29658601,353.78438277,454.46421661,551.2110081,627.08716855,712.7141821600001,770.65269487,860.00707882,924.50966811,977.47113959,1033.58783477,1099.46645466,1148.3731867600002,1200.70518296,1258.3809167,1310.64951294,1352.3665152499998,1387.9902484499999,1443.38316406,1481.6960555100002,1524.64785776,1569.9580119,1610.44379662,1663.54939913,1682.93545454,1732.94420308,1774.51204631,1812.25175259,1831.06044791,1881.617751,1914.85511693,1957.52424665,1990.03436973,2032.25729821,2070.41538817,2094.90570634,2133.07782853,2161.4873597600003,2203.6766203800003,2232.03544955,2272.26175219,2300.02930005,2333.6434581999997,2369.57409384,2405.33214692,2438.3912155800003,2472.7235143199996,2509.97898903,2574.209594
1.5,255.04781040999998,366.29449331,469.055093735,555.913839985,633.37986485,719.38780442,780.2012041,866.4207329550001,932.16116365,988.93905103,1045.906818735,1105.199452125,1155.7825153850001,1208.339936465,1268.667010185,1320.23639961,1358.418433175,1408.627693035,1449.44351894,1486.91902704,1529.785079555,1580.588364855,1620.103817415,1668.756201725,1694.58724113,1743.198986125,1779.228415405,1819.68630404,1848.580377775,1888.72208202,1921.20490398,1961.392937565,1997.956225235,2035.95087589,2073.015978905,2098.36991907,2135.298596385,2165.0748762499998,2206.228007765,2235.012117505,2275.5086784249997,2303.4833166000003,2337.759486455,2373.226617685,2410.31048947,2441.5602514099996,2478.51763394,2513.107024915,2574.209594
2,259.19274101999997,368.8938891,471.1676565,564.72569902,644.6304115600001,729.8442909400001,786.8544260599999,869.5628175400001,939.28435696,996.41297802,1054.8881729999998,1112.87667306,1163.37518582,1219.2927241999998,1278.6618387,1323.92589604,1361.82067648,1415.90275478,1453.7460767,1495.3807752,1543.68100602,1586.93158124,1624.1169543400001,1671.96545558,1706.55191698,1746.31340922,1786.26751462,1824.98900728,1854.3006869199999,1896.26212874,1927.68839878,1967.98138268,2003.205301,2038.83633482,2075.5395568199997,2103.22515024,2141.7980253600003,2170.76051866,2209.4843416999997,2236.87646826,2278.16853204,2307.0739021,2340.9192387000003,2374.36269622,2413.39594278,2443.46543938,2481.36571368,2515.72031706,2574.209594
2.5,262.9007112,374.00153470000004,479.9213765,569.9766451749999,650.0314764750001,733.28020965,792.2001849000001,881.209851875,942.0529504499999,1005.6680413,1058.1762001,1120.8249781,1168.657916125,1225.3022766000001,1282.1130527500002,1326.65608105,1367.8724677,1420.760704425,1456.4068527,1502.010385,1547.3361285750002,1590.5424802,1629.52682985,1674.7251177,1710.1474525249998,1750.649858125,1791.043035025,1828.0068928,1859.95869915,1899.0659408,1932.894617275,1970.406680375,2005.0130938,2039.492047475,2077.235626275,2107.434261625,2143.9121342500002,2171.6098843749996,2212.21143145,2240.9389836,2280.550612975,2310.6944999,2343.527499725,2377.508379775,2414.430375525,2443.9698157999997,2483.210281525,2517.9411362,2574.209594
5,280.1840819,387.42895115,502.95187825,590.2665147,673.9958374500001,752.5153169,818.22312965,898.85467595,963.9935387,1023.2948409,1085.70186235,1145.27655015,1190.13622095,1243.98033185,1295.5871402999999,1339.7767566,1385.65119855,1438.5614878000001,1478.4690957,1520.9408967,1566.52162275,1608.67854055,1644.6591948999999,1691.60489145,1727.028736,1764.8329171999999,1804.23340175,1839.2442197,1877.3199708,1913.66175985,1945.5712156,1985.5463797,2022.1049996,2053.39827775,2091.2950516,2119.57347085,2153.5922456000003,2186.8690219,2220.0956133,2251.38246725,2290.86596495,2318.7339869,2356.1352902,2385.96866225,2422.09622635,2453.20739735,2487.49592185,2524.0772262,2574.209594
10,298.7463678,411.5500378,527.2428134,619.1285986,700.8923719,780.576391,845.7611871,923.6178387,985.4890831,1047.3689112000002,1112.5821215,1168.6089118,1211.0551359,1265.3552542999998,1312.717824,1362.5588296,1411.4076292,1459.5841817,1499.4246028,1544.4406139,1586.7764706,1624.2206732,1663.8822335,1705.428972,1744.3372371,1781.1339934,1818.7243569,1854.6457391,1891.7880327,1926.8265269,1961.0857576,1998.9301437000001,2033.3451261,2067.4093761999998,2103.4808121,2134.4800676,2167.0606935,2198.130745,2232.8926690000003,2261.6658634,2300.4386181,2330.9856845,2363.3705967,2397.5827375999997,2430.2788022,2460.2337204,2495.6532983,2532.0060184,2574.209594
25,332.0004275,453.51370525000004,563.2757457499999,662.66216,740.4534385000001,818.8611425,889.930095,964.8478829999999,1020.6536492500001,1088.4162665000001,1146.903527,1202.4383105,1251.55120175,1302.29047225,1352.1749829999999,1398.69472225,1445.022577,1489.2861725,1529.72551925,1573.9790982499999,1613.440137,1654.13578625,1694.03812825,1732.38110625,1774.066844,1810.0569655,1846.05607225,1882.6109059999999,1918.34522575,1953.772424,1986.24492175,2021.58198975,2056.5342849999997,2090.37961425,2124.652679,2154.06097575,2187.20430925,2218.5523345,2251.216429,2282.8541099999998,2316.12722925,2347.942553,2381.62542775,2412.4235694999998,2442.9317997499998,2474.6376602500004,2506.4342645,2540.05556525,2574.209594
75,409.28851525,536.59896175,647.017318,746.2349224999999,825.11125575,906.19350225,976.123726,1045.5221172499998,1100.514808,1166.278153,1221.659429,1275.94565325,1326.19997225,1372.44336675,1422.63955025,1466.92222575,1514.1188957499999,1556.68898025,1596.15865075,1641.490002,1676.95387425,1714.25167425,1754.9935854999999,1790.62806375,1830.893922,1865.4759207500001,1902.8163542500001,1935.95734125,1970.6200235,2005.28869825,2037.4922235,2072.85007275,2107.6404862500003,2140.664807,2169.5589345,2201.229926,2231.9711735,2260.70753275,2294.282589,2323.8811477500003,2354.60457625,2383.06317875,2414.2302237500003,2440.79391175,2470.6269045,2498.19209275,2525.7365145,2552.04089,2574.209594
90,444.5149905,577.4912971,682.0532721000001,778.1757230000001,864.0666449,944.8327449000001,1008.6418881000001,1078.6288757,1137.9208578,1198.6623105,1254.6505683,1303.5780904,1350.9220566,1400.5855693,1454.5032190000002,1493.8736915,1543.4264004000001,1582.3928402,1624.2703902,1666.1895379999999,1701.8102886000001,1738.4075025,1782.3097976000001,1816.0261481999999,1852.9688504,1891.5257773,1924.4233194,1956.5755494,1991.3646414,2026.1584103999999,2057.6177181,2093.5017725999996,2128.650888,2160.7610409000004,2188.7731310000004,2218.2409363,2249.6315882,2278.3643926,2310.9602858,2337.4533063,2368.3361915,2396.5431632,2426.6954,2453.3460304,2480.6837071,2506.9043185,2531.375216,2555.6069712999997,2574.209594
