"","x"
"1","Aix sponsa"
"2","Amphispiza bilineata"
"3","Anser caerulescens"
"4","Anser rossii"
"5","Archilochus alexandri"
"6","Artemisiospiza belli"
"7","Asio otus"
"8","Aythya affinis"
"9","Aythya americana"
"10","Aythya collaris"
"11","Aythya valisineria"
"12","Bombycilla cedrorum"
"13","Branta bernicla"
"14","Branta hutchinsii"
"15","Calypte costae"
"16","Cardellina pusilla"
"17","Catharus guttatus"
"18","Certhia americana"
"19","Chondestes grammacus"
"20","Cinclus mexicanus"
"21","Cistothorus palustris"
"22","Coccyzus americanus"
"23","Contopus sordidulus"
"24","Cypseloides niger"
"25","Empidonax hammondii"
"26","Empidonax oberholseri"
"27","Empidonax traillii"
"28","Falco columbarius"
"29","Geothlypis tolmiei"
"30","Geothlypis trichas"
"31","Icteria virens"
"32","Ixoreus naevius"
"33","Laterallus jamaicensis"
"34","Leiothlypis celata"
"35","Leiothlypis ruficapilla"
"36","Lophodytes cucullatus"
"37","Mareca americana"
"38","Melospiza lincolnii"
"39","Melospiza melodia"
"40","Myadestes townsendi"
"41","Myiarchus cinerascens"
"42","Phalaenoptilus nuttallii"
"43","Pipilo chlorurus"
"44","Pipilo maculatus"
"45","Podilymbus podiceps"
"46","Pyrocephalus rubinus"
"47","Recurvirostra americana"
"48","Corthylio calendula"
"49","Salpinctes obsoletus"
"50","Sayornis nigricans"
"51","Selasphorus calliope"
"52","Selasphorus sasin"
"53","Setophaga nigrescens"
"54","Setophaga occidentalis"
"55","Setophaga petechia"
"56","Setophaga townsendi"
"57","Sialia mexicana"
"58","Spatula cyanoptera"
"59","Spatula discors"
"60","Spizella atrogularis"
"61","Spizella breweri"
"62","Spizella passerina"
"63","Strix nebulosa"
"64","Thryomanes bewickii"
"65","Troglodytes pacificus"
"66","Turdus migratorius"
"67","Tyrannus verticalis"
"68","Tyrannus vociferans"
"69","Vireo gilvus"
"70","Zonotrichia leucophrys"
"71","Columbina passerina"
"72","Phoebastria nigripes"
"73","Chaetura vauxi"
"74","Ardea herodias"
"75","Accipiter striatus"
"76","Aechmophorus occidentalis"
"77","Alectoris chukar"
"78","Anas acuta"
"79","Anas platyrhynchos"
"80","Anthus rubescens"
"81","Ardea alba"
"82","Arenaria interpres"
"83","Bubulcus ibis"
"84","Calidris alpina"
"85","Chlidonias niger"
"86","Empidonax difficilis"
"87","Eremophila alpestris"
"88","Falco peregrinus"
"89","Hirundo rustica"
"90","Hydroprogne caspia"
"91","Icterus parisorum"
"92","Larus glaucoides"
"93","Nycticorax nycticorax"
"94","Pandion haliaetus"
"95","Passer domesticus"
"96","Pluvialis fulva"
"97","Pluvialis squatarola"
"98","Rallus limicola"
"99","Riparia riparia"
"100","Sayornis saya"
"101","Sialia currucoides"
"102","Spatula clypeata"
"103","Sterna hirundo"
"104","Sturnus vulgaris"
"105","Tyto alba"
"106","Vireo vicinior"
"107","Charadrius nivosus"
"108","Fulica americana"
"109","Charadrius semipalmatus"
"110","Charadrius vociferus"
"111","Chordeiles acutipennis"
"112","Chordeiles minor"
"113","Circus hudsonius"
"114","Cygnus columbianus"
"115","Dryobates nuttallii"
"116","Dryobates pubescens"
"117","Egretta thula"
"118","Elanus leucurus"
"119","Falco mexicanus"
"120","Falco sparverius"
"121","Gallinago delicata"
"122","Gallinula galeata"
"123","Picoides arcticus"
"124","Spinus pinus"
"125","Gymnogyps californianus"
"126","Histrionicus histrionicus"
"127","Mareca penelope"
"128","Spinus lawrencei"
"129","Spinus tristis"
"130","Haemorhous cassinii"
"131","Haemorhous purpureus"
"132","Larus californicus"
"133","Larus delawarensis"
"134","Limnodromus scolopaceus"
"135","Poecile rufescens"
"136","Mareca strepera"
"137","Megascops kennicottii"
"138","Melanerpes formicivorus"
"139","Melanerpes lewis"
"140","Numenius americanus"
"141","Patagioenas fasciata"
"142","Pelecanus erythrorhynchos"
"143","Nannopterum auritum"
"144","Phasianus colchicus"
"145","Plegadis chihi"
"146","Pluvialis dominica"
"147","Psiloscops flammeolus"
"148","Rallus obsoletus"
"149","Sphyrapicus ruber"
"150","Sphyrapicus thyroideus"
"151","Sterna forsteri"
"152","Strix varia"
"153","Strix occidentalis"
"154","Tringa flavipes"
"155","Tringa semipalmata"
"156","Tringa incana"
"157","Tringa melanoleuca"
"158","Zenaida macroura"
"159","Aphelocoma californica"
"160","Myiarchus tyrannulus"
"161","Progne subis"
"162","Passerculus sandwichensis"
"163","Pica hudsonia"
"164","Sitta carolinensis"
"165","Stelgidopteryx serripennis"
"166","Pterodroma cookii"
"167","Chamaea fasciata"
"168","Limosa fedoa"
"169","Porzana carolina"
"170","Junco hyemalis"
"171","Bombycilla garrulus"
"172","Campylorhynchus brunneicapillus"
"173","Catherpes mexicanus"
"174","Corvus corax"
"175","Euphagus cyanocephalus"
"176","Oreoscoptes montanus"
"177","Icterus cucullatus"
"178","Piranga ludoviciana"
"179","Lanius ludovicianus"
"180","Ixobrychus exilis"
"181","Haliaeetus leucocephalus"
"182","Nucifraga columbiana"
"183","Accipiter cooperii"
"184","Passerina amoena"
"185","Petrochelidon pyrrhonota"
"186","Phainopepla nitens"
"187","Pheucticus melanocephalus"
"188","Piranga rubra"
"189","Polioptila caerulea"
"190","Pooecetes gramineus"
"191","Calidris minutilla"
"192","Sitta pygmaea"
"193","Tachycineta bicolor"
"194","Toxostoma lecontei"
"195","Toxostoma redivivum"
"196","Vireo cassinii"
"197","Xanthocephalus xanthocephalus"
"198","Calypte anna"
"199","Zonotrichia atricapilla"
"200","Actitis macularius"
"201","Aegolius acadicus"
"202","Aechmophorus clarkii"
"203","Aquila chrysaetos"
"204","Asio flammeus"
"205","Athene cunicularia"
"206","Aythya marila"
"207","Bucephala islandica"
"208","Botaurus lentiginosus"
"209","Brotogeris chiriri"
"210","Bucephala clangula"
"211","Buteo jamaicensis"
"212","Buteo lagopus"
"213","Buteo lineatus"
"214","Buteo regalis"
"215","Buteo swainsoni"
"216","Calidris alba"
"217","Calidris mauri"
"218","Baeolophus inornatus"
"219","Contopus cooperi"
"220","Mimus polyglottos"
"221","Loxia curvirostra"
"222","Troglodytes aedon"
"223","Phoebastria immutabilis"
"224","Cyanocitta stelleri"
"225","Poecile gambeli"
"226","Lanius borealis"
"227","Tachycineta thalassina"
"228","Vireo huttoni"
"229","Anthus spragueii"
"230","Charadrius montanus"
"231","Catharus ustulatus"
"232","Agelaius tricolor"
"233","Ammodramus savannarum"
"234","Spinus psaltria"
"235","Haemorhous mexicanus"
"236","Agelaius phoeniceus"
"237","Aimophila ruficeps"
"238","Molothrus ater"
"239","Psaltriparus minimus"
"240","Sitta canadensis"
"241","Zonotrichia albicollis"
"242","Passerina caerulea"
"243","Aratinga nenday"
"244","Branta canadensis"
"245","Bubo virginianus"
"246","Callipepla californica"
"247","Cathartes aura"
"248","Corvus brachyrhynchos"
"249","Lagopus leucura"
"250","Meleagris gallopavo"
"251","Mergus merganser"
"252","Mergus serrator"
"253","Oreortyx pictus"
"254","Oxyura jamaicensis"
"255","Podiceps auritus"
"256","Podiceps nigricollis"
"257","Psittacara mitratus"
"258","Sturnella neglecta"
"259","Bucephala albeola"
"260","Regulus satrapa"
"261","Geococcyx californianus"
"262","Megaceryle alcyon"
"263","Melozone crissalis"
"264","Anser albifrons"
"265","Aeronautes saxatalis"
"266","Glaucidium gnoma"
"267","Setophaga coronata"
