,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245
0.5,23.1852018905,24.492051370000002,21.62978637725,22.353527199800002,22.350211612999967,19.28420180942857,19.688935323,19.051205713555568,17.633766561,17.612886701363646,17.140910973333334,16.911938573846125,16.46098479764287,15.922105639799966,15.423844167937501,15.352612730058812,15.132529606777823,14.206581175999965,14.3546439696,13.891545305142811,13.830777129090945,13.753371275695683,13.497686730958367,13.186519585920001,13.192977971769253,13.026395866666704,12.802072212785756,12.681255406413783,12.492518884466634,12.54190365296771,12.37906937909375,12.11734268863634,12.059447923205859,11.940132971628543,11.8670368759722,11.823235145216248,11.758324549973725,11.65522002876919,11.723807740175001,11.65324731421949,11.518418138404765,11.565881435279069,11.454672453159054,11.531717008822188,11.527230574586966,11.530740154085088,11.526342656833334,11.603523471428526
1,25.634407880999998,26.4127699806667,24.2240152885,23.528155178800002,22.9516998666667,20.6929778808571,20.110009251500003,19.313834446000048,18.8383500018,17.94699342727272,17.7591005951667,17.577642585384577,16.83256099685713,16.336934772933333,15.916789343125,15.521184075529442,15.409248925999956,14.751563425263116,14.434032605999999,14.298659801047581,14.02793531090911,13.93495183486959,13.76682590325,13.47977472256,13.3185285491538,13.260915081999995,12.921761232357156,12.820564051931012,12.6290666464,12.621716087096816,12.507502953374999,12.230032239757538,12.210288718117605,12.107729308400014,11.925504090222244,11.914995712108077,11.884475362736822,11.75732361307691,11.7816108556,11.705080992243946,11.613135502809486,11.63325612767444,11.571807294409108,11.571782306088856,11.555764055043507,11.561258497872325,11.566069196958367,11.63009144771431
1.5,29.2757212035,27.1686174766667,24.9369930185,23.9357034224,23.4430860538333,21.828441451857184,20.5276856125,19.722211454666635,19.139459368900003,18.25512920109088,17.91521014225,17.86870294892304,17.1201144433571,16.6152162032,16.0575121695625,15.830295623764734,15.507768481611134,14.853048597684184,14.68540998315,14.407987836857183,14.128833236090871,14.041749643043483,13.851023589583301,13.532880988639999,13.503690960807706,13.400766133407398,13.040887455142842,12.895502183896518,12.6997588391,12.70763123661289,12.54055881828125,12.3426055015758,12.318210442970623,12.216868317942827,11.983583689222232,11.98300387808103,11.98224983902628,11.858009685923085,11.836083779675,11.761367021219506,11.6665994628333,11.689446568395331,11.63957037429542,11.5845997396,11.588198693043449,11.570866618787187,11.5846836199375,11.644336249346892
2,30.560941074000002,27.541943125333333,25.536411572000002,24.540275918400003,23.691102566000033,22.096167673142897,20.9568791475,20.05855834755551,19.6846569428,18.504521809818147,18.198884195333367,18.009628834769185,17.22276831114287,16.989606575200032,16.208774970500002,15.997292595999955,15.632401666666688,14.98872547178943,14.8125511824,14.690883057714329,14.215160626181799,14.113571799826097,13.8901078491667,13.617488036000001,13.577421465230785,13.478262821777825,13.119877437857184,12.949428068551756,12.779955639333298,12.744681435871009,12.588153985749999,12.426141885575802,12.369142915647064,12.289377863200015,12.029755390333357,12.040315170702675,12.025657630631619,11.915824452205177,11.888942831300001,11.822027363512197,11.71313040961908,11.702961988651154,11.694425028818172,11.63377347342219,11.605775911478275,11.60217243123405,11.591476192666633,11.660962233469395
2.5,31.660432287499997,28.112874211666668,26.1517473125,25.470332998,23.977217782500002,22.41482483857147,21.350784109375002,20.502889096666653,19.75057051,18.77583552590912,18.33896345625003,18.0986559923077,17.255480243214283,17.076818798333363,16.382952770625,16.092351003235247,15.753918778888924,15.10823195315789,14.9296334315,14.762925474523762,14.367167653863637,14.175094376739118,13.983275131249968,13.687379242999999,13.65027042461537,13.495819719444441,13.20079146892853,13.069455350689642,12.806124371166636,12.773481095483907,12.632947111875,12.465421296969717,12.423642163235318,12.344666261428612,12.075921007361156,12.108114395000028,12.10350548618422,11.96001401243591,11.915317939125,11.848172306219524,11.755432026309537,11.730474263604625,11.736634083750046,11.647134223222233,11.629642067934805,11.614157699255317,11.617305121145833,11.670747855408134
5,35.28374562,31.14684025000003,29.020217362500002,27.023752939999998,25.44719327,23.53448194857147,22.59508675,21.269235040000012,20.592022127,19.69365180636363,18.9807744933333,18.653001222307736,17.77310249928574,17.515368119333335,17.07716571625,16.582118186470574,16.10075963999997,15.558889042105285,15.3915895575,15.06615793190479,14.752973270909125,14.487752511739096,14.2519630283333,14.0300021328,13.903083373076939,13.732863302222215,13.443131198214246,13.24621215068963,13.0668486063333,12.957311980322546,12.833573518125,12.66112999060602,12.582250243529446,12.510134672285755,12.269540664444445,12.265027284324326,12.239467572631625,12.091255751794895,12.05594291825,11.939173605853696,11.90622106071424,11.87729849953493,11.810112368181834,11.74188273600004,11.694282020434754,11.68656336936175,11.671654556666635,11.709644314285706
10,39.138887589999996,34.93522357999997,31.791453675000003,28.862074292,27.216073646666672,25.56071122571431,23.8047047975,22.6387545133333,21.641047964,20.86510566000004,19.87921503666664,19.31614961230769,18.67566368428569,18.06994338800003,17.65429546625,17.08011332470589,16.69563089555559,16.07115302315792,15.862459658999999,15.49737443619045,15.21888487545452,14.89295727304351,14.5655718275,14.337909221599999,14.15789336230768,13.969232400740701,13.718595867857161,13.5306695882759,13.35542366,13.21882886516129,13.078902655625,12.90294248787879,12.81693622823532,12.68796025542858,12.49406623055556,12.46780083297299,12.37473796578945,12.26819662974356,12.1914597785,12.07976030731704,12.04561874523805,11.97395915674417,11.90661136454543,11.848016781777751,11.79529750217392,11.756102206382991,11.72554781416667,11.74800235142853
25,46.292159549999994,40.8830287666667,36.5563537125,32.85458256,30.258010349999974,28.164096385714323,25.99089801875,24.999646505555575,23.55072474,22.51223361818185,21.538043108333326,20.611700807692323,19.88652190714285,19.16314058666665,18.67691625,18.024919232352925,17.503267258333324,16.959927381578975,16.620141805,16.17335513333335,15.878781431818151,15.5432765195652,15.194871772916676,14.952259658000001,14.65353356538465,14.4688527037037,14.21902263035715,13.9987460862069,13.86916900333335,13.64351008709675,13.476324140625,13.29131856818185,13.15317152205885,13.01345959285715,12.86255277222225,12.7434941716216,12.644960444736824,12.543495434615375,12.41078264875,12.342144167073176,12.26208468928575,12.1316423290698,12.07254816136365,12.004146061111076,11.920589128260875,11.867556525531924,11.822171286458325,11.785819902040851
75,65.099378075,54.126608716666674,46.950337675,41.88524708,37.0697,34.29022207142857,31.6149854125,29.630615711111147,27.57926534,26.008763431818224,24.7649103625,23.53711281923075,22.535640139285725,21.604212273333324,20.929476128125,20.262736311764677,19.467530569444428,18.9555668105263,18.390658667500002,17.89888807619045,17.41327522045455,17.034869243478223,16.639146070833327,16.330174667999998,15.98542477692305,15.64095326296295,15.320709355357176,15.139256044827599,14.915394639999976,14.58769106935485,14.3427773984375,14.1745379060606,13.92059666911765,13.80580382285715,13.6205086625,13.451731610810825,13.272935634210551,13.12894801153845,12.982248867500001,12.836477314634124,12.706517054761925,12.564169398837251,12.441202593181774,12.335204275555576,12.208070005434775,12.0839862361702,11.970152378125025,11.85801373469385
90,73.25333946,60.1449912866667,51.717414670000004,45.598338372,40.25888420999997,36.483693545714296,34.046767845,31.47839352222224,29.3986017,27.76427076909095,26.34852379999997,25.04845995538466,23.72418852142853,22.83654845333336,22.1394008775,21.2231087211765,20.444556393333322,19.77878075473685,19.159120471,18.62887382857141,18.14502744181822,17.651421260869597,17.2987368858333,16.8704470088,16.50879566846158,16.20732900444447,15.89175130214282,15.64124046551726,15.31585212866664,15.04820464193549,14.727086561875002,14.553725282424221,14.31319233764707,14.127133066857139,13.97329412944441,13.78108853675675,13.57856868157896,13.393099609743599,13.238565807,13.091038425365829,12.930703167619031,12.7840932693023,12.64618131818183,12.4791937728889,12.383564441304301,12.20847211914891,12.03815300875003,11.88581506979595
