,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245
0.5,247.80884939499998,352.16548095,441.98734642,544.6505815849999,609.18910025,707.63968555,775.5074759500001,875.945936655,925.0810121799999,960.63334709,1034.960638475,1084.424486805,1167.654875665,1210.2179611049999,1269.269000025,1316.70154793,1359.29217427,1393.4521688599998,1455.537346855,1497.3430012649999,1553.68466189,1589.392128735,1645.407868365,1690.51444139,1713.980483945,1758.4712273549999,1787.89184618,1841.2761757600001,1887.8980669199998,1923.7947116750001,1953.5675607550002,2000.114515275,2040.559693975,2078.7151780749996,2114.3122033649997,2148.8224374200004,2184.8504550149996,2219.410866365,2245.609942905,2290.6658362599997,2322.932585905,2365.0689402,2389.9719142950003,2425.8082427,2467.67759672,2500.861767615,2541.770787925,2580.44435858
1,259.50685132,367.20807565999996,460.08082694,561.49520191,637.86311156,727.3793704899999,788.42168283,880.1596367000001,940.3653899,993.52395914,1049.5168816599999,1111.67743302,1182.00703107,1241.0889429000001,1274.7564705,1329.13623828,1382.69839958,1417.5043971999999,1464.60023497,1512.18824998,1566.00609329,1604.3175774499998,1652.77322837,1694.90192254,1734.11283513,1770.74301107,1807.685117,1856.52487154,1901.4292681099998,1934.3875013400002,1964.78296036,2011.16970704,2041.65651892,2084.8850389500003,2125.0197491599997,2160.25678827,2194.88214132,2224.25944141,2250.76471046,2294.3395496999997,2331.4440613,2370.09311932,2398.82876369,2435.5794050000004,2471.61885117,2504.2922188899997,2545.01624482,2588.43920425
1.5,266.200669325,376.08200728500003,475.73444909,569.7006852349999,647.886311055,734.771979135,810.68155936,889.96779969,946.9654146299999,998.896315835,1064.1309089949998,1122.73013673,1189.25276012,1247.34057382,1286.2899593999998,1342.392446575,1392.1280890350001,1430.90307946,1482.2735685549999,1521.72911421,1577.183189345,1612.223267085,1662.28257572,1702.8325114850002,1745.442719355,1774.75720798,1820.347856355,1864.90816636,1908.4384659700002,1942.15434705,1972.2953606849999,2016.60087306,2054.3952248799997,2088.37813813,2128.196313245,2164.3198931849997,2199.190011225,2232.019946445,2265.9456939949996,2299.584223725,2336.6356706399997,2374.0647580500004,2404.4059723249998,2437.56749268,2473.4237595150003,2510.871457675,2548.17611452,2591.582240675
2,274.17032558,378.6277249,480.09800696,571.9754072000001,658.1541578,745.1897724199999,821.8020494599999,893.97089804,953.28609196,1008.76082892,1068.3662845600002,1144.07944658,1195.7181195,1249.09841476,1297.20944052,1349.7105237,1398.1899067000002,1434.04252932,1486.84338236,1532.84432724,1585.87095668,1617.92790036,1673.8730401999999,1711.36361206,1753.0051654200001,1781.9219367599999,1824.7285153999999,1871.74044394,1915.3160377,1947.56931362,1979.98957222,2018.61514754,2061.3771089399997,2094.40875764,2131.9354755599998,2167.414635,2203.1589953400003,2235.1451598999997,2270.71978516,2302.1779848799997,2339.32572162,2377.05414952,2407.6054419,2442.19604256,2475.97657888,2514.66221276,2550.41763274,2592.85382062
2.5,276.138820125,385.01820285,486.532906825,575.28601895,663.67488685,750.8203071,831.0643749249999,899.816603375,958.942322575,1016.4074820249999,1078.232980625,1149.557226225,1204.1502914250002,1252.3431143750001,1299.8758554,1361.03742745,1403.25464125,1444.2497927499999,1492.372340425,1538.7791514750002,1589.83332375,1624.9613336749999,1677.8269395,1717.149393975,1757.457421525,1785.2244938,1829.0971273,1874.5385604,1917.406506925,1951.61198515,1983.09077015,2020.0923464,2064.106852925,2098.918910025,2135.8157761,2171.714433275,2205.7669414,2237.57985335,2273.2040025,2303.765439825,2341.642116375,2377.5330927,2409.2207756,2444.596782325,2479.5605151,2516.79386535,2553.356054625,2595.404537675
5,289.20335259999996,403.93690154999996,508.6927983,600.33923875,686.1294449000001,773.533095,848.44692475,916.0513112,977.08575115,1042.7000837500002,1104.9647947,1164.75963795,1222.2220094499999,1271.77548615,1318.9664844499998,1378.2343094,1419.47306775,1464.8972692,1514.8230574,1561.12578405,1605.0085105,1646.1002934,1694.2017713,1732.96789615,1769.7961326,1803.92587675,1845.4372013,1888.38844935,1932.87833985,1964.53352475,2004.0834975,2032.56012775,2078.7090858,2111.6991538,2149.1270101,2183.5669291,2217.2125287999997,2249.3936539,2283.1810658500003,2314.6854024,2353.0715376499998,2386.1294940999996,2417.5205306,2453.94719205,2487.2936119,2523.7007046500003,2558.18226645,2600.0652063499997
10,313.5931018,427.572626,538.6495924999999,627.3241896000001,720.7452296,800.4518363999999,870.3168481,938.8793235,1002.916691,1070.8243629,1127.5779224,1190.8222475,1244.1701501,1297.4122534,1347.6065909,1395.7817496999999,1443.5351075,1491.4200884,1534.439682,1582.1474701999998,1625.4696199,1667.1772033,1712.2359295,1753.2863047,1789.4797704999999,1824.8173563999999,1868.4161408,1906.3771751,1949.4034325,1981.6003185,2020.3550843,2051.6608056,2092.0259477,2127.4102221999997,2163.0330432,2194.7772977,2231.5467847,2263.2827134,2297.9899013,2329.084311,2363.1544923,2396.5127271,2428.1461957,2464.0033296,2496.5239788,2531.2959383,2564.9670668000003,2603.7030682
25,343.044556,462.37384225,575.31904,666.377589,757.87232,841.54564575,908.24419525,984.5296665000001,1047.4235537499999,1111.759338,1170.85308425,1232.5265155000002,1285.37914775,1334.97661375,1387.41261375,1435.9624047500001,1481.8811154999999,1527.8702062500001,1571.159276,1616.402249,1659.5622075,1700.5999655,1742.8906275,1784.5821947499999,1820.620134,1860.0665589999999,1898.4207067500001,1933.4554509999998,1971.994836,2007.77248825,2047.99195675,2076.56471125,2116.6077290000003,2149.41053525,2185.66763125,2216.38839375,2250.006796,2284.68405075,2316.599503,2348.8553685,2381.08803625,2414.96555625,2446.3135025,2477.605216,2509.19325875,2543.58152675,2573.485642,2608.064625
75,420.22114925,546.0061685000001,662.06089075,752.6514115,848.032481,927.10711425,996.6169835000001,1069.2533995,1133.01127825,1197.592713,1253.401822,1314.4800812499998,1365.75655,1416.633091,1463.667442,1513.6840487499999,1559.92284425,1601.9518507500002,1645.6868319999999,1687.742617,1722.192531,1771.04393425,1808.65418,1844.1882569999998,1884.95818525,1918.5005955000001,1960.2593655,1992.53081025,2030.134137,2064.90373575,2097.2766965,2129.459128,2164.6293244999997,2196.79779125,2232.2301895,2261.7190355,2294.0441407499998,2326.3097695,2357.36282775,2385.551186,2415.6415054999998,2445.4914657500003,2476.6795727500003,2505.9049004999997,2533.7671877499997,2562.5292405,2589.26151625,2615.140807
90,450.57506609999996,581.0432854000001,701.2700765000001,788.5012577,885.8334689,963.9552946,1036.5478753999998,1109.5444916,1173.3903395,1234.4831923,1288.7876043,1348.3702457,1398.5027046999999,1451.150281,1496.3587674,1543.5816745,1587.2403455,1630.5433848999999,1674.7004519,1717.9020050000001,1751.6052823,1797.7341801999999,1835.381591,1872.5332755,1909.2201800999999,1943.7861467999999,1983.6249294,2017.4548859000001,2052.7539208000003,2087.3665774,2120.6164624,2150.9902557,2183.7654411,2216.6387058,2251.533073,2277.6069009000003,2311.3323389,2341.6360059999997,2372.5063229,2401.418357,2432.271572,2459.5354422,2488.3173631,2516.6825135,2543.8722634,2570.3640906,2594.7232281,2617.6381030000002
97.5,492.98298715,613.7501059,737.903191825,835.2229361000001,919.840136625,1002.7371480999999,1077.9890681749998,1146.52730895,1208.99972425,1268.593515025,1316.901411,1382.428965175,1433.2501788499999,1484.42285025,1524.8679107,1581.1022993249999,1613.6892950749998,1658.724644325,1705.522917125,1741.7500183749999,1782.419054125,1821.58382925,1864.894646325,1901.953956875,1936.99342595,1971.0126728,2008.6181293,2045.6549005,2075.2099922499997,2110.755750375,2143.183443975,2175.5105369,2208.49706745,2238.2582999,2273.5598353,2299.3655618499997,2332.7754301,2356.8483886999998,2387.0921674,2417.773219125,2444.7635332,2471.7626334,2500.753053425,2530.1605822750003,2552.495834775,2577.6081818000002,2599.89612595,2619.8968254
