,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230
0.5,19.115103302,19.4877285685,22.826493541999966,21.36115322325,21.3215589236,19.739493516499998,18.129748609999957,18.425250859875,18.143266014666654,16.6574377389,16.891904875727274,16.4135389673333,15.36288906300003,15.319855326357171,14.777980798533333,14.6456146600625,14.057884815705888,13.947874670500033,13.882674432421057,13.523449773200001,13.446600212285748,13.047782499136344,12.889778218478243,12.7393954181667,12.55373705012,12.534342841730737,12.292927818222209,12.067860173249958,11.955149161034479,12.009425731266667,11.881482347290303,11.795428992562499,11.651824991212075,11.746277944235265,11.678587665028573,11.56278534413889,11.465833458513533,11.4550917918947,11.425494964512831,11.405815835925,11.343681352097576,11.375109644452394,11.351517188813919,11.3038476072045,11.353926567644478,11.4651034608696
1,20.228835902,21.373719056,23.658845878,22.710754714,22.1648271616,20.293485526666636,19.358684039142886,19.22538320125,18.5426269051111,17.293922134,17.278500234545447,16.626361537166634,15.770035073076885,15.950466437000001,15.063016240666634,15.025491508375,14.476566402117665,14.197843602888911,14.23897685736838,13.702151067900001,13.686509840095257,13.348058616545448,13.014661625565182,12.910750382749999,12.728974644080001,12.718164382538422,12.501840510814771,12.356223398500044,12.15008110848272,12.144904911399967,12.010029840516136,11.8999436658125,11.888112641757624,11.815683750000023,11.728258906285713,11.736584071166668,11.592903328972984,11.509802893368406,11.487046588564146,11.44682221495,11.406802923609778,11.420876461952334,11.428399064930188,11.379516878318173,11.404718257155578,11.4740577217391
1.5,21.511382984999997,22.981237584000002,24.28038353,23.301101945,22.9638720292,21.113047665833303,20.093614283285685,19.659724419375,18.813309265333334,17.8363864334,17.5767477427273,17.09487862875,16.280047610846154,16.130145032142888,15.551968321933302,15.2076960869375,14.724516124058853,14.437268718611099,14.365123238842079,13.876495149,13.80830266380957,13.519239875590936,13.144756630652184,13.0489897716667,12.91148344096,12.798987491653799,12.554160995555522,12.40728904167857,12.300172743413775,12.2565856587,12.090929510161322,11.95004007575,11.959638568424245,11.87664021376473,11.807611388057186,11.793160941666667,11.643445787405394,11.59435008860523,11.557832223256394,11.510913451975,11.450588794219488,11.439689655119029,11.443821130813971,11.403965451431864,11.435850706377733,11.4919918130435
2,23.793186516,24.70979561,25.660922171999967,24.642098699,23.5757831832,21.929670804666703,20.623583808000042,19.927889087500002,19.202549093777744,18.1183752004,17.72840728581817,17.368930647666634,16.59913278000002,16.25552233828574,15.649562573866667,15.330812716999999,15.039082810117652,14.5087541773333,14.42626449515793,14.0035165796,13.977339486476238,13.640586343818182,13.277675177217349,13.186658791166634,12.98808975232,12.8821463895385,12.606836568148196,12.472623638142815,12.367260506206941,12.3056340228,12.175114391612949,12.078364586625,12.01986323018183,11.91399694423534,11.864885143771442,11.835692913777788,11.684259747783832,11.642030650105232,11.594444108410274,11.5552874858,11.49048939297565,11.488736338761868,11.47383538511627,11.426431000727318,11.447023582133356,11.5494356086957
2.5,25.808503545,25.811696037500003,26.807262918333368,24.8563899775,24.06780589,22.474528853333368,21.135045485714258,20.013563632500002,19.44341973222223,18.570099579,17.844982347727246,17.495500993333298,16.730023866538456,16.340851047500003,15.815047733333364,15.442444196875,15.313696787058834,14.592294643888845,14.50106863078951,14.1158078815,14.013865729523832,13.699092964545436,13.34973776717395,13.233298759583333,13.0574787518,12.946872904807707,12.685125226851808,12.556100152678557,12.413649226379299,12.398561903833365,12.219907968548416,12.1430955871875,12.039036238787876,11.950137943382366,11.905884003857185,11.880057144166623,11.721276849054027,11.679385710263123,11.628308492692259,11.57674594125,11.518182826829236,11.509099953095193,11.492420343720944,11.445102063522754,11.459119697555588,11.5613487304348
5,31.14720775,29.388778440000003,29.15578999000003,27.1082693725,25.402109764,23.65534472499997,22.4585018757143,21.06692212375,20.585763166666645,19.426898404,18.621296940909115,18.061905729166664,17.185714480769228,16.807417096428598,16.431937096666665,16.084099966874998,15.65921322999999,15.058847654444401,14.85021920263156,14.513995458999998,14.2020661257143,14.0050858786364,13.698843012608725,13.5009844079167,13.336574392000001,13.261729680384635,13.026666830740751,12.805745169285675,12.6663163917241,12.546432706333334,12.384982228064539,12.256078709375,12.267014856969675,12.098471510882316,12.06304696342857,11.985745025833326,11.864926270000039,11.805466397631577,11.75336400205126,11.67560182275,11.610123850487835,11.576113411904766,11.549860424186026,11.509590691136399,11.50672989000003,11.5803515913043
10,38.55825292,33.94012775,31.90013914666664,29.48310137,27.151210232,25.093367280000027,23.63784884,22.3397078175,21.57111520444446,20.356759404,19.505921332727308,18.776248495000033,17.97258104615387,17.59573563428573,16.96352557333333,16.64866770875,16.198586822352897,15.52358129,15.28204937473687,14.924906855,14.63492577333331,14.32344903363632,14.04151067826084,13.809296969166699,13.6263632608,13.48194902230771,13.26715660222222,13.042077213571401,12.90458425241382,12.75679538599997,12.593091076129019,12.442739813125,12.39527529272725,12.27511987294117,12.20661990914284,12.1182823133333,12.02244308054055,11.93344191052627,11.88296273743585,11.801847117,11.72930071512194,11.67886553333333,11.6376695172093,11.59696607954549,11.5803991426667,11.5921874304348
25,49.370989699999996,42.736677225,36.8749297,33.8806711375,30.759074899999998,28.356492941666676,26.170725957142825,24.5172118,23.383482644444424,21.928097985,21.01117847727275,20.142404050000025,19.226472692307674,18.640264289285724,18.037769456666677,17.501581609375002,16.9680926352941,16.4782729694444,15.954178084210525,15.5609911675,15.225919366666625,14.925691045454549,14.607425771739099,14.401616020833325,14.13530021,13.9277357346154,13.72373814444445,13.4470719767857,13.3083018465517,13.150237516666675,12.956059569354824,12.82904065,12.693961419696949,12.554685588235275,12.446674828571451,12.36682255833335,12.264339508108101,12.1684462684211,12.075818642307675,11.96134988,11.909267286585376,11.820524475000026,11.763819981395375,11.70721586363635,11.659855871111075,11.6248021913043
75,82.9181179,61.80660715,50.604882916666654,44.1115053625,38.48953671,35.0492902166667,31.946731142857125,29.675390531250002,27.750354466666625,25.829801335,24.41432990454545,23.23512861666665,21.927291507692274,21.143152225000026,20.3356617866667,19.538006965625,18.96615031764705,18.225954622222226,17.79337657368425,17.196679404999998,16.836497590476178,16.445824209090926,15.987100947826075,15.636468170833325,15.318777298,14.982393961538449,14.736996316666652,14.449885367857151,14.209864263793074,14.022977365,13.76366875,13.580469542187501,13.411909113636376,13.242740326470575,13.078832762857125,12.922749416666676,12.76708631756755,12.638997351315824,12.48704459615385,12.380324336249998,12.265393779268274,12.140976417857125,12.031348390697701,11.90993432613635,11.795472925555526,11.6734576521739
90,94.08482622,70.08795714,56.56289661333336,48.390684545,42.129066984,38.069559506666636,34.3822730142857,31.715217252499997,29.616056857777778,27.616385682,25.7510159763636,24.607646436666638,23.20943448615385,22.40131184142853,21.496915090666672,20.5197238675,19.85382941411768,19.18805825777774,18.64138718210526,17.936274049,17.5916881590476,17.1048618281818,16.62934887478259,16.27587090333333,15.8566167608,15.46660333384612,15.232911465925909,14.83812242571431,14.63218971034487,14.394078609333299,14.11558451741938,13.9585325375,13.69484864909092,13.54682419999998,13.362145853142879,13.16069930111109,12.97311641621626,12.83921340157899,12.66899873384611,12.5480704785,12.415462382926819,12.27490038047616,12.15617228139536,12.011042656363601,11.85519477288893,11.6918101130435
