,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235
0.5,62.77341972833332,64.47322180847617,75.90512542521053,78.75174018363333,79.51348949605743,79.41883599305883,83.38228728801279,81.8602564995859,82.73377172610208,87.12191117994615,86.97738550727114,87.38603757671636,88.1668489511387,88.64209091285043,89.61422571326897,89.68726923645657,89.6753653075356,90.70877504753413,90.9944028546242,91.34198585377835,91.42516259028939,91.61531909803199,91.65969592587743,92.00187937428127,93.17201812823494,92.83817612790598,92.84806583010584,93.71768681582853,93.43441782309662,93.5673976311915,94.04587628003773,93.84311146478488,94.05733752429728,94.52174241932802,94.82948958028092,95.06780173150592,94.85498161546002,95.38084999515887,95.40692970489022,95.58809369556332,96.00024078008408,96.45196264814166,96.5797663195681,96.7994073733996,97.09142250637686,97.7846502435352
1,64.18610782155558,69.95822487333331,77.50544964215787,81.26692881953329,80.34099292781613,83.16067108642018,84.33798195585901,83.44021903513129,84.8038706297714,87.70115606018855,87.80440101685313,88.1865246817981,89.95184988675774,89.59411111564688,90.74362755607913,91.10544969774789,90.85869181696633,91.2966653486674,91.55221934223637,92.58194607858604,91.8291789356981,92.22244351541423,92.40085320214286,92.61200142671746,93.40424979805124,93.40115850445775,93.08599547162902,93.8357305737261,93.75310552504968,93.89539085715964,94.37391514429714,94.54073956269184,94.29519311025898,94.95581301467982,95.2196539363315,95.26255814205759,95.37562669734892,95.64684417581812,95.591832994007,95.93678932147876,96.17335301519071,96.47704181558787,96.63502285182521,96.97424269688095,97.20735016988534,97.7851455323513
1.5,67.04428648500003,73.07326750561907,78.09568158457891,82.5012268455,82.44378431303446,84.08492911803361,84.90199297337182,85.98663036252529,86.48712467403264,88.60056376591245,89.34590675976557,88.73579463334616,90.41989023050105,90.2256425735207,91.24562491259655,91.54739454486551,91.50853822750067,91.40978387320041,91.8938227415788,92.90520636794692,92.1335522981443,92.33727914939284,92.60534670962257,92.99078151496649,93.68871339238645,93.65177071175562,93.79043335891468,94.2013373771676,93.98181436333785,94.25968768653036,94.5992478952504,94.80075286538363,94.45047463164781,95.27745985465153,95.27503058896336,95.47377800075384,95.4606899215155,95.77542905423209,95.78163847794674,96.04646199117268,96.35437435017043,96.5711506406799,96.70784395386862,97.02242114746547,97.28202925584374,97.7851933926896
2,68.79724297155558,73.62154996761905,79.28772151915787,83.47574018893333,82.87295840179307,84.7655163230252,85.84672877087183,86.99528790917171,87.31160712963266,88.91669302531989,90.03507743975145,89.65945701228847,90.6298214228323,90.54103822583065,91.6984421415949,91.89099731018487,91.76855969672405,91.893190615346,92.16338503236769,93.05192194393406,92.48808657259048,92.55168555974375,92.91877753411208,93.22626058145546,93.88983501237686,93.86053852850415,93.941748430853,94.3399521614981,94.12526428737183,94.46918598394973,94.81047126058328,94.94641113342792,94.86079458310613,95.44260393268706,95.40669539517816,95.66949172579784,95.59212469856756,95.80703113425116,95.8619456517367,96.08764472015112,96.48020583800225,96.65097565051427,96.73946197958982,97.03935000730154,97.29431570242036,97.7851933926896
2.5,71.21499542555559,74.76354166190472,79.65279361499998,84.1013788073333,84.19381892908042,85.05854196932778,86.64871773326922,87.70550633308082,87.97307044373473,89.2369851953872,90.10088780453394,89.86034216848562,90.74536589051762,90.82572154472076,91.98968581657438,92.24564033666665,92.06643844002498,92.26090998485999,92.6736467717778,93.25772453602565,93.04521330760214,92.9788437721358,93.17899142622547,93.40533611067092,93.99886362062018,93.91290824005524,94.1990264668988,94.44364202831413,94.26728855825948,94.6372480253959,94.9401878521561,95.08783524216186,95.04120235024193,95.4908048814384,95.44197818233857,95.79018132122799,95.73216927689778,95.92340061187942,95.96007457436562,96.14815625028457,96.52677485609821,96.6819087857748,96.80158215791613,97.09093035747225,97.34896386972665,97.8100590569922
5,77.56464307222225,80.0536047304762,84.2292814115789,86.76451823100003,87.59767586264363,87.99942903428574,88.42944520467945,89.82032275060611,90.16952540526532,90.82473673427609,91.66300303138416,91.46810755360578,91.59503857401653,92.04826537589193,92.96580466587027,93.224610225126,93.13310949903874,93.08723661491604,93.52400446077777,94.03929548939564,93.7974732196998,94.10322995609457,94.38077603959381,94.2733004947355,94.73555021174121,94.56914431448317,94.8016725095015,95.0878390012069,95.1850998836644,95.12397978936738,95.26295258069572,95.58378698457504,95.54620269911938,95.9315156267915,95.89101288282119,96.1472960635076,96.14383857989696,96.20867838329899,96.28366978844728,96.57387307579152,96.7451428367487,96.8872251806651,96.99535307854715,97.24498510241668,97.43661558490606,97.8299375074013
10,83.48060753777776,84.5017817028571,88.15707493105259,89.14144615866664,90.33882565632183,90.482014907563,91.1236347494872,91.87852588969697,92.41259321134694,92.57172614087546,93.03553382768364,93.12822974875,93.49819070339547,93.45914463113515,94.1226433961392,94.2559026420168,94.08870104272162,94.36541168353867,94.58395055701008,94.86766358267403,94.73110818925771,95.14554820756672,95.13818035323534,95.26090057819353,95.44676037604057,95.47773428446656,95.51296252280572,95.54627820164752,95.87777040249668,95.73796398540428,95.8593619568475,96.13381205414638,96.14765501518275,96.28793981970445,96.36587550829921,96.54467976648647,96.57417398414374,96.59932399969334,96.61265903128643,96.93634048462934,97.00607739307812,97.14571600171267,97.22385117420087,97.406721760619,97.5646958284071,97.8403910260775
25,91.94555858333335,92.74735949047619,93.8685030592105,94.22394010666667,94.2463160454023,94.5622151294118,94.91844216410252,95.35242558535356,95.2512110314286,95.30895045084176,95.66204583135595,95.57822832692305,95.75349713488615,95.81842475747749,96.31454473607599,96.00229397619046,96.09382751104867,96.11059371982086,96.3152861078283,96.5833554335165,96.38788746651377,96.62193497513346,96.65109866046922,96.71748047348385,96.7114257339296,96.73900578302926,96.85847508905445,96.74088328333332,96.97790596351231,96.77200635064932,97.00476773246858,97.06392975384333,97.01942713830488,97.11701320840726,97.21213604692737,97.26671742923028,97.2421676134503,97.33737834771348,97.36267412005027,97.4337267209947,97.49891971030988,97.5592954394697,97.59451736551473,97.71621897700398,97.77539467609647,97.8844495131478
75,106.40817770000025,104.5042849285715,103.79535148815751,103.2538314633335,102.462311439655,101.92431063109251,101.59882760480775,101.40416685050499,100.9595278032655,100.94559936397324,100.86631511723175,100.6700822334135,100.31284168602475,100.2456733954955,100.45752857041175,100.18715170952375,100.04085145749025,100.00036785923865,99.88956417631317,99.75690235998168,99.60693402005836,99.63123434630054,99.63697857450983,99.50255365316127,99.354334435003,99.35293398457713,99.29716304442445,99.06876646479881,99.1975588908054,98.99616522521995,99.06972798759826,99.0053989706208,98.89490613607731,98.87363428735632,98.848972968684,98.78469684524084,98.82243730921752,98.69644035598732,98.71464590414575,98.60882995286943,98.51615026412622,98.52582184633775,98.37526912586135,98.3948551810913,98.26618254480728,98.169592076814
90,110.8739551088893,108.3337189352382,107.0497168405267,106.058637193333,104.9143736328739,104.3324293902519,104.23863714000021,103.8101932296971,103.41508135159201,103.0025653630978,103.0856723294917,102.4686267591345,102.1910237711391,102.1592050077114,101.98111941506319,101.8003808137254,101.6494978009741,101.597261389026,101.5611903758383,101.3098471001463,100.7926545789323,100.9200132489094,100.8716110620024,100.7151888951484,100.4762258438406,100.42288712552809,100.3803905725074,100.1997947938312,100.3455348594993,99.91538477231674,99.97281303018868,99.85712116651882,99.73629180954406,99.73909527009522,99.55950035831164,99.54770895749705,99.50175947848507,99.29413183218611,99.31220960084927,99.18927861368726,98.97834109144678,98.93077367979136,98.78962233614367,98.68653890827777,98.48182743839375,98.1955516178214
97.5,114.188998397778,111.29611952999994,110.09309192802596,108.76437797116635,107.68550090534448,107.1995357231097,106.40564972958342,106.15670217111075,105.14879973371387,105.49598234787922,104.60026666622917,104.0989851534133,104.22199232380936,104.01297552897334,103.67663228663797,103.28673628382366,103.28616846386399,103.13168521783912,102.8271159334694,102.56894499298535,102.44928447779428,102.24492768730785,101.99838945480765,101.9879449430963,101.5522576303521,101.42085810552788,101.61969986745153,101.23838010320357,101.3979563453468,100.86786007597814,100.88560740670613,100.80297411977135,100.47462487401857,100.5223843051491,100.25129221101835,100.32647354381875,100.01140387747691,99.9485359527703,99.82184541381783,99.70968479878287,99.42962016987352,99.36894921855902,99.2051392770807,98.99595950245838,98.70428567124648,98.196212687034
98,114.41031083511143,111.7681045245717,110.26891789515744,109.31998634720033,107.93179266064365,107.55168150507563,106.66599045469223,106.59779726808098,105.32548542357529,105.79354525492279,104.88762924197788,104.41486961359617,104.53252334722995,104.32384999236052,103.97164031414582,103.45397337744518,103.52279263913077,103.32335616112029,102.9505045590142,102.66158206378799,102.67152259951939,102.34646139067604,102.24813939282645,102.13651479778048,101.7893587228262,101.53133966373862,101.7254161285938,101.45191696850543,101.48446752737176,101.01234644086516,100.95420101498422,100.9166040540638,100.59477744862357,100.59426606498263,100.35351815017486,100.46698636866279,100.11361746369737,100.03330765887169,100.0603943504513,99.80307354629942,99.44670502416857,99.4285094786959,99.31466970700046,99.04601736266986,98.71296256988727,98.1963655573741
98.5,115.01332691099967,112.14782077904744,110.46923390673726,109.454708904667,108.34438249351707,108.39143331554638,106.81631207720515,106.89842348829302,105.53714715614295,105.96233755554913,105.09400223518368,104.51973893019246,105.02736966024618,104.6324569557186,104.16386358932465,104.00130170292432,103.85563949299475,103.51355217877068,103.1089701870309,102.87326894512063,102.92738265660938,102.57324056929794,102.35058213774484,102.4976303662621,101.89885909695951,101.78311486804192,101.99826551551142,101.68745050722337,101.62479646925125,101.10999625047131,101.13176067092796,101.02156886392362,100.7101405772781,100.76673398102565,100.48081707363094,100.76569690110307,100.30721708995586,100.10123276495393,100.15645505867542,99.93821432801487,99.55728379773066,99.53709214075765,99.3522289111156,99.08273397928649,98.73810496459502,98.1964271496636
99,115.709924412889,112.69312287904748,111.14116535910563,110.0275102262,108.89980566052903,108.96794394265595,107.4833879844875,107.2257095483635,106.18515604461993,106.50940783182479,105.35754063263856,105.13114544040377,105.66246666192956,104.85349593700853,104.35525668236701,104.78066367605594,104.10854366150846,103.78826459137252,103.54665506550255,103.08383638217241,103.36340291817642,102.71349308524502,102.68826907658108,102.6111407530062,102.11543145975239,102.09213815090774,102.18349047519082,101.896341660745,101.75695676532051,101.29294835328224,101.33569500346495,101.0607603000507,100.8399464022146,100.93860688820541,100.75439262845228,100.84836444756269,100.38089473262531,100.19650452309556,100.31254585692075,100.03564831663073,99.66283467039422,99.69603133168003,99.44598599837731,99.13420203833417,98.78682932676101,98.196543955992
99.5,116.77648850644422,113.64914886857137,111.73985609078905,110.58382807036632,109.32692060347142,109.4116739057981,108.2453106153976,107.76785482936408,106.4487065790242,107.35414099576467,106.10167211042962,105.50201697650978,106.05418703958617,105.28698782221298,104.62449222670736,105.3969857371655,104.29606901021508,104.515106838338,103.67282324196108,103.45354143900926,103.46934569590695,102.95102766645888,103.02829563570103,103.26437014167259,102.69403751870965,102.4976901036411,102.63894269585666,102.53073081869427,102.65070341511996,101.61986771699837,101.81250856539778,101.45539810432109,101.16456922253597,101.09514296025468,101.1489501385338,101.03140236743941,100.45842908372587,100.40686563793138,100.55873534305003,100.1532014898971,99.90795709388766,99.77818230760572,99.54440996775887,99.24193782890154,98.87123008637862,98.1966130995454
Median,99.81118106666665,99.5590714,99.26679609736846,99.04403145,98.58713156206895,98.59051606386555,98.6154175570513,98.5149812909091,98.54045747959185,98.3550960026936,98.25825436101695,98.2188088620192,97.9743299142857,97.9872642425225,98.545169709019,98.1621168577031,98.1797851908864,98.0708201988802,98.10741733121215,98.11634670091576,98.11552149866554,98.11501004927536,98.18257995840335,98.0614964336774,98.1157544267144,97.9885336724157,98.06580313263105,97.94079128659,98.04666715069354,97.9574469472141,98.0533069825079,98.0188992731707,98.003208101079,97.98283943290639,98.0553997904097,98.00166688472385,98.03147962631576,98.0244722221517,98.0842571118844,98.05789400765185,98.0256169708362,98.05371514509889,98.019340980303,98.0386494661508,98.0198896269793,97.9563927863248
Mean,98.12784471044445,97.78532702051429,98.24400226486316,98.34990435584666,97.92724115492182,97.98107851252772,98.04513464001924,98.08857231731311,97.96891064890369,98.0729471066936,98.12192157016045,97.97149771079039,97.92151946992381,97.86015521499749,98.28100314056044,98.0635544694112,98.028344259804,98.01282397536126,98.05468961676445,98.08750758752454,97.94116741339467,98.045337218872,98.0573747973259,98.00567960598296,98.00923911785176,97.96279487273587,98.01230057062014,97.89313288420671,98.05146466170908,97.88317752727725,97.98767006844544,97.99096309977014,97.93979673008297,97.99721667049091,98.00477688209831,98.0285983109242,98.01010448218024,97.99688109298778,98.02237413825709,98.0269525556989,98.0091423871544,98.04913365664245,98.0051279164626,98.04393084151175,98.01621222619569,98.02738205289886
