,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230
0.5,114.28503426,231.200822145,338.668384065,435.67662675,520.654767705,592.20414262,673.1665520299999,761.55648023,805.6083319200001,872.46863218,916.661395555,974.671981775,1063.819203115,1086.8636100049998,1153.316298125,1205.92383561,1235.8630578500001,1316.874214195,1333.325602285,1384.988491365,1433.71108919,1494.5573422,1529.84669729,1562.4835974250002,1607.83125771,1636.623868715,1670.02451891,1705.956011125,1756.268073755,1784.691133065,1820.6148397250001,1866.97116428,1894.51942577,1932.566790395,1969.09066607,2005.68234958,2029.942915775,2075.719024225,2106.244957965,2134.1584887,2171.77671309,2214.113093675,2246.088768225,2286.604323735,2324.2380969150004,2368.96826117
1,120.99857518,242.6184546,356.58841801,446.55301489,535.2301331799999,606.7399644200001,685.46519789,769.72583563,837.08638683,884.49743933,931.51263355,993.49712856,1073.7856574500001,1101.65049266,1169.05178881,1211.93921186,1258.36599121,1325.97025059,1353.44989878,1404.97262346,1444.09178962,1501.0613447800001,1536.9187966,1573.8936449599998,1616.93686647,1646.9647486800002,1680.41217917,1725.6787575300002,1765.34124103,1789.94057281,1833.5946982199998,1872.82905119,1904.8476862900002,1943.25126816,1981.6566697100002,2012.69891747,2037.15325143,2080.63347602,2115.6541304099997,2145.5979778299998,2180.43774235,2221.9977675100004,2249.73292666,2292.6448379500002,2330.3073904400003,2369.01958
1.5,126.55197556,250.68602478999998,362.68653609,456.10026482999996,549.102052575,620.04184526,694.459923805,778.36989781,851.351411505,890.650043265,950.868067245,1003.41590011,1080.779432345,1117.704729025,1180.63027632,1224.410854925,1263.2665539949999,1327.70448474,1362.104226275,1409.3456647799999,1455.13138925,1505.9204575200001,1543.88629779,1578.790456015,1624.30488627,1657.1143227,1689.85971601,1736.3213713,1770.52967758,1800.27133955,1847.085039565,1878.47589838,1909.27212732,1947.158778545,1986.7485488799998,2019.189532035,2045.04630875,2084.23552621,2119.036162935,2148.015130915,2183.57988149,2224.77512354,2254.5630664200003,2294.6694507499997,2331.85461183,2370.049321
2,134.43080043999998,257.79064854,366.31428738,464.89496732,558.0771166999999,626.1068151400001,703.02825084,785.98272922,854.04729278,897.9450392,957.73697652,1012.61285964,1085.27634382,1121.5411589999999,1189.21865076,1229.5501299,1267.7147348800002,1333.38032426,1369.09700602,1415.9727493399998,1459.70872858,1507.20061956,1550.3125006999999,1583.15378024,1628.73086326,1661.51870276,1696.47931062,1741.00041838,1776.97467226,1809.4293451,1855.57890914,1883.0955659200001,1915.12587198,1951.8482109,1990.18341836,2024.0221051,2047.39072358,2087.0825526999997,2121.06029166,2154.6276336600004,2186.86350184,2229.733913,2258.5970988199997,2296.2826024799997,2332.89124546,2377.41718464
2.5,139.7266647,267.982163875,368.55804705,470.9834538,561.6076744000001,635.249020225,709.940088375,793.9455867500001,859.4099392249999,906.065801925,971.7799137000001,1021.9495825250001,1092.155368925,1131.91142115,1193.77331975,1235.737081125,1275.17620665,1336.38992575,1372.26796005,1422.7629439500001,1461.6560633,1510.278402675,1554.2963368,1591.509943075,1630.6917494250001,1666.186867425,1701.6348661,1746.5845614749999,1783.358960275,1813.7617358,1858.4837673749998,1887.609145175,1919.5946414500002,1957.404345725,1995.277251125,2027.04223845,2054.254974125,2088.89331425,2124.85557475,2158.084136525,2189.840635425,2231.0032756250002,2259.9489739,2297.0783336,2334.71747515,2377.525459
5,156.31489349999998,281.103157,397.59022185000003,484.9131958,578.3430961,656.9498062499999,739.55007055,810.03136875,877.5918388,929.8764625,994.28145665,1041.3438050000002,1106.4915661,1153.0467859,1210.19079075,1250.8977048,1298.48188245,1354.2960713500001,1391.83373445,1436.3776949,1480.4384493,1526.94940765,1569.87258455,1604.662168,1643.0476275,1682.7664144,1718.0594485,1758.5662332499999,1793.58076315,1829.87895595,1867.69702475,1901.1812350500002,1933.5355091,1968.57370125,2006.90248375,2036.44724855,2066.2356440500002,2101.42627655,2135.65835135,2167.280831,2202.6691449,2239.6688732000002,2270.0994883999997,2302.40124865,2340.3518584,2382.273115
10,168.72919579999999,299.923634,419.7054267,512.0509386,602.1154763,686.1827498,761.0779567,833.5448199000001,901.3220611,951.3135663,1022.9892277,1065.663448,1125.5569403,1173.1995821,1232.3366134,1276.2003421,1324.5865986000001,1375.6192816999999,1413.6559432,1454.9580075000001,1500.7279783,1544.8590335,1586.4971898000001,1623.1836196,1658.4482187,1699.4658471999999,1736.7361082999998,1772.9489291,1811.1750945000001,1844.7838134,1883.0890403,1913.0157672,1946.6302411,1981.4679757000001,2019.1848959000001,2050.7532983,2079.8320108,2111.470354,2147.1070627999998,2179.5354377,2212.1893224,2246.7303746000002,2278.6266241999997,2310.1270322,2345.4347586999997,2383.7079075
25,197.64316225,334.50622150000004,452.2916075,549.6987389999999,641.6662305,723.0353435,798.8425645,868.853,936.56953525,991.82454925,1059.03344875,1105.81656775,1162.918617,1213.68247475,1268.2955605,1312.7690822499999,1360.3887742499999,1402.2292320000001,1447.73751075,1490.269966,1534.06412225,1572.6080275,1615.76542325,1650.431755,1685.82009775,1728.62771825,1758.28663875,1795.6275785,1834.82942,1867.63376925,1902.7743185,1935.9621132500001,1967.16135075,2001.15791125,2036.2318452499999,2069.5364879999997,2097.6385622499997,2132.2999222500002,2163.323733,2195.3624995,2226.53776075,2258.00030075,2290.0514485000003,2321.37498,2353.8744914999997,2386.80273
75,258.1058575,405.54415124999997,533.8385794999999,628.48494975,729.73894725,806.7478705,885.797952,945.60722125,1012.9986,1079.605157,1137.3395605,1188.93146225,1239.1826915000001,1293.01689175,1338.93773225,1383.2597982500001,1425.9391535,1472.0576624999999,1510.74887375,1552.8562622499999,1594.581134,1629.9890560000001,1672.8394405,1707.1314055,1742.617186,1779.3019172499999,1813.7060835,1847.82419725,1885.56589625,1916.26184,1950.6692145,1982.2510445,2013.29636025,2044.61112675,2077.3872375,2107.9895485,2137.80637725,2167.8326355,2196.7141067499997,2227.909581,2255.061368,2284.876398,2313.04804925,2340.15825775,2366.9800272499997,2391.168072
90,273.07128639999996,439.9300068,567.6168112,666.5899631999999,767.1426574,842.7664397,920.7465983,980.4934882,1046.2836565999999,1111.1615431,1168.6614548,1221.2441437,1272.3795447,1322.7826656,1370.112029,1412.1087719,1451.2889694,1493.6115634999999,1537.1875487000002,1580.3618327,1618.8093400999999,1656.4553904,1694.388246,1728.0152057,1765.4994064999998,1804.24602,1837.1249714,1867.5478276,1902.3923725,1936.1309635,1970.5967521,2000.0858912,2032.3001329,2060.4970865,2096.9110567000002,2122.6810348,2152.3538543,2179.1820485,2210.8675459,2238.8971923999998,2265.9493386,2295.106958,2320.4587283,2346.4229178,2371.5195830000002,2393.1350441
