,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260
0.5,53.8214633553333,67.34113271628574,74.15157558157894,74.48920167436667,76.83069286543677,78.61783324477315,80.09276517758339,80.67227811748486,83.65296085154691,84.46144279504378,85.521240867904,85.23040271961543,86.73401467552377,85.41289923331169,86.50911691937344,87.67576538601683,87.97570724481272,88.45331814802688,88.5238017661939,88.73621610847982,88.66451592055712,89.41433676794665,89.48245664119393,89.41581494272253,90.58832016181276,91.0565322703593,90.63116024999644,91.15980919415905,91.61098858501386,91.18225847611899,91.80905662394301,92.00024699284927,92.05609359015348,92.60325515349035,92.68752471100244,92.343223918809,92.47747181128875,92.78164670239492,93.43415161480324,93.26441726504588,93.36484537110024,93.89641576214515,93.66538590959046,94.22829102140479,94.40877306899274,94.35031466693724,94.71307558105251,94.93159714596759,95.17221199134458,95.5748950586117,95.95924889091845
1,57.04836313355555,69.69474657885716,75.76026764968422,75.52940324386662,79.79793697445977,79.79681068026892,82.76638494229485,82.457731608,84.42920164926535,86.00740866145458,86.1637887411356,86.17788451199998,87.25968671410767,87.61994081105588,87.67554078210448,88.45596973564706,89.16786809052184,89.03605778255317,89.4057759555455,89.39787221760074,89.91057229433532,89.79362317087111,90.531133244895,90.51039912721288,90.67853369431246,91.50804426565392,91.29495655509561,91.38016720181804,91.91971091146934,91.61570727966149,92.14793289677753,92.25730638109683,92.502959310749,92.78600136666402,92.94113703596464,92.88673360008227,93.05751004900924,93.23970563042984,93.5394780045377,93.48190316789669,93.64503073367416,94.05301246480589,93.86316234528688,94.33730069041904,94.47076869830491,94.66703055766648,94.896675497931,95.076108231266,95.3520484680768,95.62310142942046,95.96812945840239
1.5,63.059266574000006,73.20062492019045,76.74896714071052,77.4876100505,81.54542044782761,81.91850777658821,84.24681156101921,83.31324639153534,85.41683596671841,86.33678196633673,87.09527563575425,86.77998776568273,88.233921412795,87.98936000226668,88.27563861988288,89.14014419413165,89.63555397527594,89.72051827060692,89.96076475556562,89.93907765748347,90.40510753236529,90.63238020206862,91.04077722782071,90.82046016646964,91.27110251452292,91.70845103484243,91.6916890174758,92.16038212119729,92.01807995049528,91.99442962707919,92.40151803446503,92.53747574212346,92.72996664016982,93.10098586109952,93.19628284865422,93.1473122486357,93.27563062310217,93.4415063744409,93.66909932245076,93.68025985255902,93.92393743135678,94.27742412767924,94.03498944318032,94.44594410499765,94.71913845223413,94.7569904578665,94.99950322453395,95.194459892813,95.40089814044356,95.68764404335492,95.97773581628289
2,66.11097368355551,75.96187982095242,77.86745746284208,79.49521961626664,81.91954309452879,83.10314933539492,85.0498977118718,83.83580772133332,85.8613977926204,86.92589451811445,87.86681077279096,87.72422416028841,88.67332849121324,88.31568856376218,88.88404310503799,89.58948084692435,89.99656083355802,89.95213409326762,90.23630474865048,90.47768165941389,90.83204946754965,90.83379402209611,91.40454624657421,91.71420153710456,91.68575324623022,91.92373634261575,91.89942396210276,92.43491662694248,92.1892070317423,92.26284379194301,92.59660707034593,92.73470213098008,92.931399565835,93.22005020539902,93.29818582569455,93.24804074444181,93.57606629114119,93.5988151617235,93.75273886433872,93.725302393869,94.13308648669398,94.39624747563751,94.3532316030079,94.58552006507455,94.75874452238088,94.84354777169523,95.03413002040587,95.27171579921311,95.41388563432676,95.74629778497572,95.98961289445086
2.5,67.8446546605556,77.91261612142853,78.76970564592104,79.91193754150004,82.5164534550575,84.42971944714286,85.7778579188141,84.8250550423737,86.464769355102,87.11069581451176,88.22092613555085,88.05831711634619,88.93708266219464,88.65515088774777,89.3351114847152,89.67957045551823,90.28395359057428,90.24133303994402,90.45504677476768,90.84589500200548,91.12109110675983,91.03483070796338,91.65060503683121,91.85900310476124,91.77623936104054,92.04663409656165,92.10425387471476,92.51219581354886,92.39456593029084,92.56100666430248,92.71287938783018,92.91207503141908,93.0950179278489,93.37540719718551,93.48770111457479,93.41696266337247,93.68705463637427,93.74942399021414,94.00972641033792,94.0892574118699,94.26896294428231,94.49206364206916,94.41024388214508,94.64618450333333,94.8740226535343,94.92540384003996,95.13302113590744,95.35475333166775,95.49408802106028,95.75522941641498,96.02569645231291
5,76.34269957555551,80.41771161523808,82.0536618692105,82.96736102700001,85.82453161655175,86.84474345294115,87.27635673089739,86.87170057858583,88.51729866053057,88.74114958437714,89.70675448779659,89.55212052048074,89.96225942364394,90.0241955718919,90.72692028300636,90.91794994358543,91.37534383023717,91.31674697225088,91.32471542799999,92.09457276065936,92.18185933459549,91.8101426112738,92.42167893985297,92.75978604585809,92.64034387817527,92.74610071075735,92.919111529445,93.28635528876441,93.21043295599108,93.40319816742358,93.39999372288126,93.4940250061493,93.54304547394011,93.81321693670283,93.84783419306646,94.1587035602526,94.2124965499749,94.14226781512554,94.39588658404017,94.57932337837877,94.603627822201,94.85853085560967,94.78428010401412,95.00765697291267,95.1320188294855,95.22530589306784,95.33858130199786,95.5416458901439,95.63570615987149,95.88428376881272,96.08364289889964
10,81.08838475999998,84.57067968571424,85.89535191842104,86.52535792799996,88.68786135540226,88.91024984470592,89.36141246884611,89.52993886121213,90.34053116228567,90.74470092269357,91.28486754627122,91.17522063288462,91.72307277209113,91.68020827394598,92.1461334015823,92.1831298162465,92.55019718614231,92.84037752210526,92.6742343918384,92.92761937227102,93.1668482289408,93.07128562401219,93.35446186504201,93.55037932482581,93.69388080300534,93.81400618416806,93.87673337450151,93.93171579743291,93.99420214588811,94.06229944529534,94.1841260889308,94.31681401541755,94.2865444647407,94.47469931806894,94.37279459340165,94.61011088606347,94.70519781429685,94.6869471145863,94.87860706251763,94.97781793220472,95.04305195818635,95.15735135042814,95.19638458375263,95.3121503722381,95.39104185051453,95.46827855478453,95.59264480395044,95.74091735790562,95.8066804154506,95.99192416331016,96.16597027523912
25,89.5632827222222,91.40078428095235,91.56605081973683,91.62697477666666,92.76171878333335,93.22836761764707,93.1205407810897,93.1831207277778,93.6181037302041,94.02301216531987,93.92302496087572,93.80683797812502,94.09843921904758,94.07365284108113,94.3656085435918,94.47799246036418,94.80187255667914,94.7852282075028,94.52200549722222,94.60701834203297,94.77589503315261,94.7550725954996,94.85267300458679,95.0518416208387,95.1984894006857,95.06979760226648,95.16123337386945,95.17319287978927,95.16396557863537,95.21180654323418,95.38816046876966,95.49091918447895,95.3813809005395,95.4441769844992,95.37991160844192,95.46317987156286,95.54943062720693,95.5631054379064,95.67788975454769,95.68019339540889,95.76534506200726,95.83975617648342,95.83451171866955,95.8283096835119,95.87440527872602,95.95090303220583,96.00079119468272,96.1026333529943,96.10323170044983,96.22858057852397,96.33835748399164
75,105.00889881111125,103.4260821380955,102.06287612499975,101.3907836933335,101.35327044022975,100.66190618235275,100.16294771185925,99.8578344813131,99.72930560040815,99.55874658720535,99.30620380042373,99.35259994903848,99.11876239078673,99.04639474720722,98.80560386859175,98.94150761764706,98.68073568096128,98.81629300268759,98.41272623686868,98.18247464331502,98.27016344474562,98.22269803417235,98.11081215763306,98.01852243283872,98.21922753214075,98.04671694648975,97.84269969825286,97.98679678726057,97.69577385771812,97.88405389627147,97.62870982378142,97.65184145173687,97.63073089921687,97.592281192578,97.5096827442272,97.47267989482962,97.39231231694518,97.33750395678032,97.2759599967965,97.27609380231942,97.20874320640237,97.17450741975657,97.19647698610423,97.09265543855157,97.04445540894245,97.0028477189671,96.95347010506453,96.85668643544665,96.8095045215502,96.77944485346609,96.66503314024352
90,109.8493952044447,107.04664915238071,105.42467176894729,104.90483600666671,104.3459896459768,103.30008340100869,102.7587152964104,102.62530644666701,101.9932183217962,101.8111944296297,101.4714661634466,101.5151081959612,101.2474907854662,101.0891953124324,100.98949855813301,100.63585228588259,100.5449891431708,100.4202879312431,100.1621335820808,99.78772977611723,99.63325408782318,99.67808290922963,99.40192069455179,99.2078612058581,99.42117756697674,99.23734070735215,99.01165320011303,99.00450521733718,98.84506090298882,98.89891348690408,98.79332342942612,98.62299451494454,98.53276329866344,98.46130009422662,98.24647096125385,98.32687744378376,98.10202979529383,98.14605036916736,98.03948375409041,97.99508855505499,97.8836128285896,97.67841236965879,97.75555001031138,97.5977985091746,97.532774918333,97.45159325359523,97.34198632873084,97.21871817471398,97.14744009821048,96.98540759589316,96.84883958439856
