,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185
0.5,18.346088699,22.611984485,22.6606901146667,23.821788728250002,21.952714879600002,20.63929555066663,19.957577315714286,18.894402433375,17.94214208611111,17.021380416200003,16.749764289909102,15.963293743083366,16.158532271615393,15.616527431571443,15.1639541104,14.990963076562501,14.56210406500003,14.376444068333356,13.835459944263121,13.8284946691,13.45393503414282,13.459070204909127,13.213852316391348,13.087147909583367,12.89976461472,12.78016361542303,12.807067720629652,12.717673448749958,12.591710067068973,12.408537869733333,12.428066689032232,12.4938638394375,12.20620612945454,12.358099143264717,12.196341336828585,12.3879549336111,12.45184144608112
1,22.35080709,23.662001338,24.129061781333334,24.5334660005,22.829001120799997,21.226557796,20.67466753942857,19.27731250175,18.439903651555547,17.817026643600002,16.965565365090864,16.41729172416663,16.394437093538446,15.976603898285743,15.461101470266634,15.4342128625,14.737908248000029,14.661534979444477,14.180016608210563,14.0840177103,13.710070283428529,13.755899787636356,13.318270148782643,13.344081669083334,13.136504649439999,12.870956469692345,12.930291166962956,12.9330894077857,12.723330122137952,12.570631227066634,12.47084771761292,12.52580613,12.291003381212143,12.470181032117617,12.292224647600042,12.470927635000022,12.484951591621579
1.5,25.498248611,25.44413227,24.9838275973333,25.308589478000002,23.8280296242,21.7069445193333,20.997993334285685,19.57838180425,18.5480899253333,17.9024228785,17.390867369272737,16.6532443076667,16.651899711615407,16.21561344392857,15.7487384762,15.552051093812501,15.102092606705916,14.811000687388933,14.270766252526341,14.24455543905,13.903263893952342,13.877853143409055,13.516449147999987,13.438099428791698,13.20301690244,12.996814354923085,13.014391123148188,12.985208011785756,12.761310728620673,12.6561164412,12.645734936290363,12.6034831314375,12.454182026151527,12.488675352764742,12.421837179371387,12.492668348555533,12.519386826108155
2,26.132305348000003,26.469412066,26.327972013333333,25.928107033,24.3986394864,22.614139861333335,21.737555921714286,19.981918183,19.038011422222187,18.121391720400002,17.90314152909088,16.887594966333367,16.90324066892306,16.3019686108571,15.8501468792,15.615592618,15.26138337788237,14.993849581333366,14.436634312210552,14.437118575200001,14.090759612761914,14.050794604545446,13.59785634226091,13.502351283166634,13.312109268319999,13.159017226923101,13.0659864299259,13.021226163142858,12.837071424413772,12.732499630133367,12.699180415096784,12.659908594625,12.486356714424257,12.52040986494116,12.453224997714315,12.507788623444489,12.574181430810793
2.5,27.17527512,28.566285342500002,27.781652158333333,26.2472693575,24.789104928,22.846631873333333,22.0112245007143,20.327122754374997,19.337434282222198,18.3301019545,18.062800144999965,17.0750823404167,16.962831926923098,16.512025998928557,15.957452738666635,15.699767536875001,15.318860103529412,15.064418273888878,14.500043345263178,14.498940448499999,14.127602426666673,14.10339454022729,13.654640532391342,13.573806188333366,13.3834434154,13.205063946923122,13.119133638703747,13.048991161428612,12.898106584827554,12.7955205848333,12.731783831451624,12.685996261249999,12.536933411212164,12.589611356470604,12.49890367742853,12.524549246388856,12.588250279864894
5,33.95681754,31.41264867,30.3199744466667,28.7785833925,26.697942324,24.256971245,22.989799294285753,21.42880213875,20.16201203000001,19.445330402,18.66400099090909,17.788574550000032,17.52559936307695,17.016887769285674,16.546186653333336,16.05108088375,15.811354559999984,15.3105409388889,14.942534711052636,14.773827014,14.416375297142816,14.307865121818216,13.913303085217425,13.8183773954167,13.6943540024,13.456928820000005,13.338315799629585,13.27101174142853,13.10446887482761,12.95859580999997,12.86692296774194,12.827653048125,12.70462868575758,12.69258407588239,12.631911582285715,12.606687386666666,12.66821620297295
10,41.38323056,36.60395126,34.00446486000003,31.055044605000003,28.511073092,26.099972833333357,24.25994720285717,22.842913612500002,21.40500939777777,20.466971388,19.50497915454549,18.691802791666703,18.21005454769231,17.529396315714312,17.00258382266664,16.575793395,16.16302646117649,15.68835986666666,15.33224994210523,15.114382179,14.83099751142858,14.59123134090908,14.30292808434778,14.100583655833361,13.944179310400001,13.77276779538465,13.59746267851853,13.54309054000001,13.28908583103448,13.1822584986667,13.05963669935485,12.996175380625,12.87739315515154,12.83424467588236,12.753570898285739,12.69556445833336,12.720412164324301
25,51.94598805,45.016694,39.570422033333344,35.2464775375,31.67006302,29.0999456583333,26.756222078571426,24.84221156875,23.436276044444448,22.042154274999998,20.907310454545424,19.9930836708333,19.237080569230773,18.5602558035714,17.968436233333325,17.413817215625,16.93869237941175,16.3996157638889,16.0849761973684,15.7283825175,15.4418296547619,15.12854364318185,14.84911646956525,14.603966849999974,14.408535404,14.241686073076924,14.037570209259226,13.836005725,13.709734298275874,13.505303158333351,13.372410520967776,13.2323876953125,13.143285100000025,13.031619858823525,12.924340312857126,12.8376460069444,12.784119314864824
75,81.05272074999999,63.096365825,52.622575400000024,45.334153975,39.41684979,35.299471475,32.585879242857146,29.574730475,27.61839977222225,25.770040129999998,24.269837454545474,22.859120254166648,21.80891448076925,21.113985796428576,20.258819753333324,19.48142774375,18.9174216882353,18.247180866666675,17.7115769894737,17.2720507025,16.8336721261905,16.4611029795455,16.112669339130424,15.78870869375,15.506098888,15.210339338461525,14.984728114814775,14.700270825,14.4825402362069,14.227597356666674,14.0450280096774,13.854492834375,13.6718920106061,13.466829141176476,13.284137295714325,13.09821351666665,12.905722143243224
90,94.0848246,70.15532062999999,58.20990560000003,49.710746825,43.253055972,38.372528339999995,35.030890505714254,31.786511945,29.65170756444441,27.39990622,25.73501062181814,24.22250245666667,23.04607385846158,22.13813586142855,21.24022446400003,20.49175965875,19.6463063705882,19.03805697222226,18.49271015263158,17.900419353,17.51000956380949,17.06557982363639,16.62095352956521,16.29401409000003,15.942184242400002,15.60145708538465,15.36527860814815,15.01802350499996,14.8259819889655,14.53462204,14.30510877354843,14.073335359375,13.895620281818161,13.670664956470631,13.45608324228575,13.22479867722223,12.974080787567589
97.5,118.07351901499999,79.127676705,64.35502641833335,55.90318844499999,47.93235179,42.12085059749997,37.91154151428575,34.101816440625,31.690400298333376,29.1237337025,27.337967186818137,25.599187034583363,24.2685231019231,23.3759433992857,22.613736499333363,21.535618036874997,20.75329204352946,20.083034255277813,19.218186832894723,18.600320553,18.235691894761903,17.659638635681777,17.293115388260894,16.849803121458297,16.507895771799998,16.10084378403843,15.851221681111147,15.473363453214256,15.227443653103421,14.9396347383333,14.576706033064491,14.348155300312499,14.1032810251515,13.838331196323539,13.6422741162857,13.382989465277786,13.06220510702701
98,119.03670197599999,80.41595722999999,64.9823882333333,56.326668839,48.2152116896,42.52336217133337,38.07593355371427,34.225103903000004,31.9242580826667,29.4826734536,27.49469330399994,25.742440283333334,24.464952819076913,23.51691001142857,22.82133367280003,21.6870416395,20.971738735764717,20.18019355400004,19.352576614526278,18.7437489008,18.38917600838098,17.798785477272762,17.401525466260875,16.945309509999998,16.60819997264,16.149371793999965,15.908043743851817,15.504054073571414,15.265518071724143,14.947127095866668,14.59932636077421,14.38203973175,14.143449398787906,13.851303650117636,13.682982942742857,13.390155600333376,13.078966200108107
98.5,119.390746603,81.52369478499999,66.05686310766669,57.43337195575,49.148540236,43.3983610753333,38.597042509428604,34.670849072124994,32.50475898366666,29.8343819623,27.881850217181864,25.8130462955,24.597095694230756,23.71246566107144,22.9107366864,21.779449228812496,21.174585540999978,20.257441741222266,19.441759147105294,18.8144112459,18.45817209223813,17.84667261454545,17.565633702478245,16.999589854125,16.67743735672,16.208075549807724,15.95074693622219,15.61206781864287,15.30597941506901,14.9855569845,14.644622852806414,14.4016867509375,14.161536756606054,13.893860918147064,13.708784143714286,13.400897330111134,13.085744489756754
99,119.58023960199999,82.97106800799999,67.78167686799996,58.097296321500004,49.9938037672,44.011203280333326,39.30358053657146,35.05644941524999,33.13380451822225,30.3451240772,28.12670846818186,26.310725488499966,24.917226390769237,23.836985706000014,23.224703854266632,22.203703087625,21.340145102941186,20.413392813333378,19.750924714,19.0288558232,18.580825949238072,18.002526729272773,17.689435605826052,17.1279521695,16.808116565680002,16.28532205030769,16.00745940466671,15.713672606999971,15.401740782137972,15.139092672266667,14.721892522774155,14.46133512325,14.25943098793935,13.970189063352983,13.741110323428586,13.4196036424444,13.12178242967564
99.5,120.022113601,85.1781765,71.4439019273333,59.855682419749996,51.031170064,45.1188155231667,40.789554339428605,35.716872855,33.54786539455555,30.8681412487,28.82549976763635,26.790525153833336,25.51869757684616,24.173952005428557,23.731359141533364,22.505587787375,21.79525860958823,20.70918773166669,19.8560822163158,19.454360840049997,18.72099351576192,18.29059956395451,17.931613861478265,17.450095072125,17.01248893916,16.54551508007692,16.15452269559262,15.811932126642843,15.52026266875861,15.286061108300032,14.875558309999986,14.645350212625,14.316560677787903,14.009290576441183,13.801224442028571,13.451861842250043,13.1464950912432
Median,67.82355319999999,53.58319055,45.89213096666665,39.920935725,35.73925954,32.2756844,29.771683785714302,27.223362025,25.4575098333333,23.89598376,22.63979428181815,21.429234075,20.5105400923077,19.76808224285715,19.08154014666665,18.4230521375,17.93729132941175,17.32485157222225,16.8786027105263,16.549396435,16.14837612857145,15.8118331818182,15.51187799565215,15.2166623791667,14.89880578,14.7296883,14.5103493296296,14.28789868571425,14.1005790413793,13.884502829999999,13.7219062645161,13.565543325,13.395828112121201,13.255979750000002,13.10766783142855,12.972472180555549,12.84570125945945
Mean,68.12345000159999,53.858080784900004,46.1305917734,40.35968242215,35.733229231879996,32.214628985866675,29.729896824971423,27.248311596350003,25.507618207666667,23.90118823708,22.626219978636364,21.407444491866663,20.57402679096923,19.821161856157143,19.12408801442667,18.4818415564,17.946946403129413,17.365576347444446,16.89541120172632,16.53021990692,16.148016879085716,15.815097783909092,15.491013933008693,15.204248313516667,14.937673340856,14.71416731513846,14.499771500044444,14.27474459612857,14.084396589544827,13.868028759113335,13.698607182109678,13.5451449570625,13.39065081807879,13.246176336323531,13.100047589959999,12.965400735794447,12.843990351156757
