,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190
0.5,55.440880699333356,67.70849981914284,71.2167673731579,74.26653263886666,75.63184785049427,79.83217297332774,81.5741973478333,83.02930108030304,83.95283241145304,84.3089210190505,86.14307996219488,85.095543713726,87.69256751147825,87.39601065037114,88.21793046773098,87.62625283767225,89.06014894328463,90.33744494407162,89.87675925828583,90.1395221982436,90.51541271343122,90.81793306438296,91.38447656522196,91.12860533160774,92.87156504810618,92.4845380536318,92.29605318776103,93.49266056045215,93.34289912650605,93.6346869477252,93.99995667993863,94.39305855678931,94.73564283665127,95.18609272999478,95.37246041931719,96.03850977372028,97.1409296150376
1,62.409221937555515,70.8487284339048,72.88616457089473,77.92922962433337,79.42883145331035,81.82456234746215,83.07107603521796,83.71077513806058,85.00997955928165,86.04689996666669,87.43611509146331,86.78306746764422,88.21142964101452,88.10727845321806,88.77941454834806,89.13494168363586,89.85583355403,90.70624274105268,90.81860485336165,91.28368429585713,91.22698942221184,91.33165745162161,91.55828094043142,91.93537454654454,93.18239639918308,92.97943035765621,92.68022149996712,93.80935710738119,93.76092690177988,94.07475112699626,94.18979811547328,94.57314735165258,94.96623177777164,95.25957778684663,95.51748175176908,96.08948433104231,97.1409296150376
1.5,64.29914172288893,71.62273115999996,75.40849321547368,79.2367075040333,80.76477129232183,82.24845674803359,83.96223463812176,84.80158246255552,85.8441062507469,86.74795715082828,87.80474704851414,87.513332256649,88.58584313375572,88.77406984898022,89.11608683856173,89.77161607557423,90.10905724558425,90.95982854498317,91.06406301946366,91.67084832864832,91.57451074078566,91.86360988460262,91.93788968798178,92.29445318535869,93.29752499380382,93.19078112857383,93.11674868190134,94.06192071924903,93.97572273351503,94.3196297468915,94.47560435510336,94.78892233674357,95.06124036215276,95.33566845386991,95.61809324837368,96.15898261459637,97.1409296150376
2,66.72838501466671,74.84326623009525,78.11771270726317,80.48837809720004,81.37881414648281,83.56866426541173,84.6934458851538,85.37051304109092,86.6106407937796,87.04507353955559,88.44664281887006,87.76648341123074,89.18453659358174,89.50342366848284,89.91603351212662,89.98554772614008,90.52181235228464,91.2048149399418,91.47921603446869,91.87281126391213,91.86308126992158,92.15173921396182,92.33737874000003,92.59534245477157,93.40770439506979,93.51439947421113,93.30668809854058,94.20045343908431,94.1088026027472,94.48331029706246,94.5924627588255,94.87198847059271,95.10972664991161,95.38892415389947,95.70573190710245,96.21980997131136,97.1409296150376
2.5,67.79980685222226,75.80931794380948,79.30578152052628,81.625727293,81.96775211563218,84.2818179701681,85.5364905425961,85.73138963853535,87.87049563144897,87.4331580053872,88.88722877060731,88.23234704310097,89.42502187322978,89.86358152160363,90.42718385403478,90.58153945766102,90.80448299450684,91.31753869961923,91.81347202948992,92.05034709315017,92.03336367971228,92.36423245926768,92.56605435632001,92.78508585889675,93.51498748403104,93.77206375171917,93.4075346714183,94.3377999506035,94.21521458952122,94.61216999930873,94.75796282659006,94.89813855467848,95.15922008462934,95.43209343906074,95.80079949377097,96.2906270538132,97.1409296150376
5,74.9227727177778,79.39570644476191,82.36001897921057,84.15880835266667,84.71055557494257,86.46162888806722,87.62848026435898,87.82419490898987,89.1388620440408,89.46708673858588,90.17390682053674,89.60851435360578,90.73280362600413,91.16043016234234,91.4675441969462,91.883333632577,91.84342130780273,92.32006453323625,92.67165770887875,92.92322637813183,93.19183954374473,93.29088601989318,93.52149435631652,93.67073140681292,94.1375594908766,94.12681295627424,94.16231488649024,94.72522507568003,94.66926301506932,94.99815284888145,95.20077726518868,95.29268549469329,95.51626432293418,95.7310603747192,96.09464332976098,96.42314165739131,97.1409296150376
10,81.41906171777774,84.96126961142855,85.29670272947365,87.43643808266668,87.89421156482763,89.44646212033612,89.70394798782054,90.27038255737375,90.91333047893875,91.3483165217508,91.43416076887004,91.56674363769235,92.14123531768118,92.52241972605404,92.57330210278481,93.32023497456586,93.10361054684148,93.49782999681972,93.50301971919194,93.70270371706955,94.02608485147623,94.2528562242868,94.37759922561621,94.57714822255484,94.71004154498507,94.88494089081264,94.78449813749228,95.2602449159004,95.2639499318479,95.41082430151653,95.57947641192614,95.7635763205765,95.92869158443438,96.04786568101149,96.29708741848543,96.55086197276148,97.1409296150376
25,90.96651315000003,92.15733269047618,91.64207287105262,92.72893852833333,92.73356649827582,93.35667503949577,93.80700945096154,93.9751729328283,94.17510522428574,94.3059425114478,94.47537315197742,94.61111585504807,94.6914736751553,94.7191627845045,94.77635362887655,95.08116928025208,95.08469103220975,95.37564488936167,95.27487256939395,95.55940076327838,95.5329637917431,95.6885198897788,95.67208750266104,95.7253357723871,95.9941990744186,95.89049454892208,95.9268392580678,96.26585587993296,96.1343650638926,96.2391091722664,96.32235444536167,96.48349031330373,96.50934502627912,96.55158816745484,96.67489309837057,96.87450222373677,97.1409296150376
75,106.4903016055555,104.1550177047615,103.222424148684,102.83616456999975,101.74961517298824,101.46395840084026,100.63644855064075,100.745687062626,100.41097383877525,100.28570617676749,99.81614853502828,99.6447850795673,99.63857656200828,99.3723970317117,99.32086105340188,99.25492301120448,99.17835365162297,98.91945078398658,98.97470696252527,98.78744948882785,98.8538928469141,98.82727090419525,98.58979184177167,98.6217694237419,98.5419963122242,98.35838434571585,98.15304272543682,98.18395506029695,98.10680551290828,98.01295579426058,97.89283295404871,97.8951421175905,97.7792341560738,97.7157015118555,97.59671867054622,97.4322148404818,97.1409296150376
90,110.9669027888885,108.2798680933332,106.4783136363158,106.066976852667,105.0160688935633,104.2179015613449,103.2622385223073,103.4917499062627,102.72723533681659,102.4977861301014,101.96776095288111,101.74556523028811,101.4458453058803,101.2829964244325,101.1927042547788,100.94353629064399,100.6327018603748,100.43674931785,100.3595712475958,100.1987459147251,100.1725971201499,100.0193803879482,99.67867273822132,99.65539993700646,99.50251811267735,99.62203879736875,99.148807368592,99.04122770975096,98.86446503824607,98.78502391197321,98.57699352781445,98.57417595008134,98.4048457398051,98.17930811580952,98.00749906577902,97.75745759407756,97.1409296150376
