,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190
0.5,255.14984385000002,347.47562697999996,448.8861379,538.2872704250001,613.809258305,700.18612639,759.8101514350001,839.981472885,900.7284419050001,956.323715365,1003.24211556,1075.2283646300002,1127.5417547650002,1174.70331199,1229.8301743299999,1278.48303284,1327.32723272,1377.53478251,1428.66280257,1467.7278176599998,1504.20785114,1556.39055806,1591.30734635,1631.098735115,1669.3801609,1714.98851896,1744.690626285,1782.3664302749999,1825.233723395,1860.7966273900001,1905.522555105,1952.452166445,1978.6226473299998,2009.405516575,2063.50166441,2099.95923451,2172.808126
1,259.8900777,360.65615233,457.25796228,555.4565541,631.98745382,706.65902653,768.30688764,855.97551821,907.2876095099999,975.09814249,1015.65512693,1090.76822511,1136.37305168,1190.7152761300001,1239.4671454,1292.5083549,1342.61984678,1386.49729015,1434.9828437600002,1477.74197118,1519.29661147,1558.88027487,1599.90641463,1637.8386066,1674.35884887,1719.9590078,1754.1087272900002,1791.21028631,1834.45084406,1868.4384407300001,1910.7548205399999,1956.99979012,1988.5711871,2017.71293844,2066.9818521499997,2102.9735022100003,2172.808126
1.5,261.48417694,365.79320998000003,465.25399670999997,559.749444975,639.13711854,716.12907193,789.66215127,862.68459337,924.18498656,981.580255625,1028.4030509,1100.865329225,1149.83714948,1195.36712002,1253.32630159,1298.2457474,1355.9729617799999,1395.58139486,1440.29384633,1481.08483558,1524.30722012,1563.989647895,1607.01669451,1646.77330814,1679.33203089,1726.249240475,1759.9139220749998,1795.9868057899998,1842.6378599850002,1875.653668725,1917.533878255,1958.9598345000002,1992.77702304,2021.701194815,2069.027156315,2107.423390695,2172.808126
2,265.22435576000004,372.7253918,474.34000490000005,564.3408203,646.48633578,725.8405900600001,800.00561768,871.7785061,931.83916302,991.94247728,1036.2760684000002,1110.4799405600002,1152.99730688,1203.24489876,1260.4699444,1302.94899758,1357.02259464,1398.79618766,1448.26883108,1487.79785922,1530.04295164,1568.62807442,1612.6891474200002,1652.0468566,1688.89554878,1727.92607906,1762.73633826,1799.8982011,1845.03375356,1877.5889783,1919.68409178,1962.39075246,1994.00214304,2026.69140864,2070.4153165000002,2109.19568948,2172.808126
2.5,268.37319862500004,375.89655612499996,479.407752075,569.527996225,656.211740425,735.4737965,804.38594155,874.4805379500001,938.737025075,1002.066713925,1049.771483175,1114.468979175,1160.274925725,1210.42205535,1267.894446875,1304.490296725,1362.34235515,1407.5651355,1450.588452875,1491.2427496,1532.324066825,1570.66833125,1616.840686925,1653.9261661,1690.262302175,1735.74087695,1769.208547225,1803.708243,1847.7521964250002,1880.51220805,1920.839818675,1963.97270615,1994.595310375,2030.3580848000001,2070.859841575,2110.9905573,2172.808126
5,282.0586791,390.0642673,496.16471540000003,594.6661319,680.8550572,752.40164635,820.9983801000001,896.6424928,961.13138825,1015.48336135,1067.2047132,1129.17859165,1178.5049910999999,1228.58464795,1281.3755159999998,1329.5546835,1379.68159125,1421.1206751,1465.80025085,1509.65098745,1547.3747869000001,1583.7595523,1628.309519,1665.75799,1706.01260685,1747.8879241999998,1782.05821915,1817.2882213,1857.5713571499998,1892.840152,1929.6881258,1969.8380994000001,2001.89011955,2042.0705647999998,2078.4981008,2117.5254416499997,2172.808126
10,308.5919138,415.0798577,519.0410178000001,615.7306775,700.4328315,776.5790557,847.2533224,923.0077357,978.5180782,1037.8850929,1096.6237254999999,1146.2079843,1196.7735655,1247.5778764000002,1303.3835255,1346.7022992,1392.657965,1435.569986,1480.796938,1524.1220008999999,1561.561792,1600.6890493,1642.8435539,1681.2127667,1719.7886818,1759.5188775,1795.1337041,1830.0098108,1872.0264861,1902.683584,1939.8601089000001,1978.3349706,2011.7451058000001,2051.0557433999998,2086.3062589,2123.6601496,2172.808126
25,338.48686124999995,448.60933175,561.42430675,655.4861269999999,738.63332825,814.8239595,886.35875025,957.8586985,1018.5336169999999,1080.2349952499999,1128.95756425,1178.6985224999999,1232.66645225,1283.2588545,1333.91546325,1375.7062059999998,1419.83973425,1463.6208287499999,1509.28833025,1548.5496317500001,1586.6288705,1626.8691265,1665.80336125,1702.7451595,1742.2744985,1781.379605,1816.6731854999998,1851.64181725,1894.28850525,1924.64866875,1960.275443,1994.3682182500002,2029.080254,2066.23600575,2099.5851230000003,2135.2789762499997,2172.808126
75,412.235593,538.2311582499999,643.9125135,737.65599575,826.6332922500001,894.485854,969.25610025,1028.449533,1090.8097345,1150.76660375,1200.58248825,1247.697488,1300.359998,1348.0885445000001,1394.964513,1442.4809500000001,1477.78681725,1521.3175732500001,1562.94687125,1603.87780225,1642.06581175,1680.13764675,1714.17604525,1751.0028355,1789.17405975,1827.472323,1861.48623075,1894.8050504999999,1931.75657875,1963.943467,1994.6010434999998,2026.9788875,2058.13063925,2090.035849,2119.56167825,2149.0633589999998,2172.808126
90,440.7657243,573.6173908000001,678.9163327,772.6702242,858.7451214,929.4216949,1002.8382728,1061.0865174,1120.4552263,1182.4725133,1226.0418839,1279.343466,1325.8932002000001,1373.8836371,1421.4873184,1467.1861829000002,1503.5205531000001,1546.6113501,1587.4332212000002,1626.395254,1662.8364479,1700.4298176999998,1733.5452787,1770.7269306,1809.2784761,1846.3542596,1879.1075849,1912.2639526,1948.0424136,1979.1636646000002,2006.9560513,2039.2587457,2069.4309627000002,2099.1279102,2127.1626174000003,2153.6780252000003,2172.808126
