,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250
0.5,20.902731463000002,20.970974639666665,22.30097513325,19.6738023492,20.460437195333334,19.450509639714287,19.0807122655,17.905417950777778,17.165135343400003,16.274146689181837,16.032610329999997,15.977393826846132,15.445560327071428,14.899131464266633,14.5909475255,14.676053831764694,14.099899759222222,14.041295802894705,13.88396152515,13.571491956666652,13.382464869636408,12.915204423956547,13.0180980194583,12.82588088372,12.450985991807698,12.236278985148159,12.347986052857156,12.16142496651719,11.942890417633334,11.938192161451642,11.82430090515625,11.787406663212073,11.701863748882365,11.759559716999958,11.550079898277755,11.58991408156752,11.509552534763195,11.40972989092308,11.325629439475,11.33463375673167,11.256820207880937,11.170994965069768,11.169454637977273,11.258606538577734,11.228384503217356,11.199502760297856,11.139365371645834,11.208358298102066,11.2509613673
1,23.139952738999998,21.813782723333333,23.7781293725,21.1656372352,21.069407872000035,20.463110039714326,19.81934914525,18.73048381311109,17.6879874362,16.87467091090907,16.7296221215,16.315432638461576,15.895402250714286,15.457676149333299,15.118287235999999,14.955943404235294,14.498340119888923,14.118863920210496,14.0691696166,13.725874131714242,13.539380587181792,13.351354863391325,13.170002676166668,13.14975986128,12.695525765153846,12.683032695333344,12.535293071214271,12.40416549979311,12.168324672600034,12.170023292193536,12.0039354806875,11.935867600848443,11.833678299588206,11.841118317828615,11.611489882500033,11.67885523772974,11.620154592789484,11.516507611794868,11.39046218485,11.404758179365874,11.404802726333306,11.220250023674376,11.299770904181864,11.281683365866678,11.270432720869547,11.261952416212793,11.2163479114583,11.247867646122424,11.29742334256
1.5,25.480942285999998,23.3045807536667,24.251957918749998,23.024976087,21.6426865946667,21.235309782999973,20.066915759249998,19.018873634777798,18.172197115,17.383296729818145,17.02180963575,16.550717371846115,16.180422398357145,15.650059185066699,15.4292326738125,15.093048014764694,14.677945334166699,14.309227967736842,14.22226430935,13.912756958619084,13.833221803318164,13.489921856695634,13.3297717737083,13.311417008640001,12.859202879307714,12.753433622777777,12.64114310307143,12.512320323551732,12.3342149425667,12.249693494483854,12.1540022616875,12.069454275636328,11.8885838276765,11.898567863142814,11.747123956000001,11.76738059629725,11.710810753815819,11.583538061871778,11.504718003925,11.481764738365852,11.4322522445476,11.306538575930206,11.371339820613636,11.302579631711133,11.318236858739134,11.279619973957395,11.2447916263542,11.273829595102015,11.36474723414
2,27.555102938,24.586604429333367,24.987858962999997,23.8799832704,22.08074433600003,21.607439043999975,20.2868557785,19.414095023999977,18.305595311999998,17.494304821090953,17.277246208333366,16.70728606646154,16.365566591999958,15.834065860533364,15.7466551405,15.168346830352919,14.784450914888888,14.424375568842146,14.3602263098,14.039099157904717,13.975109466727282,13.665804983304318,13.396343529666666,13.32400069456,12.983242194000038,12.826244580740763,12.72559591357147,12.57433151503444,12.444937634266665,12.30857480374192,12.227093079125,12.150406206787906,11.976925628352918,12.027008000914286,11.820432979444455,11.848336889837874,11.733502061578994,11.624132552717974,11.5521174824,11.54089081082924,11.511340685904724,11.38777758018603,11.391505893000044,11.346108923733299,11.368751731130473,11.31026396902126,11.287680928583335,11.316199644326499,11.414787564880001
2.5,28.819545395000002,26.12649595666667,25.6723406275,24.666482850999998,22.3482872591667,21.658814073571456,20.508016344375,19.770314241666647,18.5182587735,17.959812740909136,17.520092579583302,16.82236883692303,16.58654906821427,16.091814029333335,15.793648493125,15.263417500294077,14.891645515277787,14.589773744736812,14.54123375575,14.148149519523763,14.072812037500029,13.715409576956565,13.439353881041635,13.3357338538,13.107504962307692,12.976760071481445,12.87837888785713,12.670342124310311,12.5349503256667,12.41079519241937,12.277274429218751,12.19832183878784,12.033206038823536,12.059901571142817,11.889922268750032,11.887990977973004,11.760927696710544,11.652054569102525,11.622703236500001,11.57548324756095,11.580924445357114,11.435251500930244,11.443790235568184,11.393516714111078,11.385045625652145,11.321409639042598,11.3144734713542,11.362882107959228,11.439020655
5,33.21245951,28.98881156000003,27.4902108575,26.280943418,23.957882303333367,23.19613228857147,21.61144058125,20.80535507000003,19.388770306,18.845755999090944,18.3620322358333,17.561069026923086,17.166991979285733,16.793918163333334,16.377941389375003,15.908914724117665,15.427489329444485,14.963333792631555,14.899096843,14.48777526619048,14.45627320136363,13.977042403478299,13.790268752083366,13.7091771856,13.34349625461535,13.26084212740739,13.1149267792857,12.879001386206895,12.814524631333367,12.64548807129033,12.494784532499999,12.36242407090913,12.196647385882326,12.21706377457139,12.069795896666646,12.016358119999955,11.938852108684214,11.8280296515385,11.76770498275,11.716889843414595,11.672376282857144,11.570845034883751,11.55754100704541,11.49853569200004,11.484503128695655,11.416237665319144,11.404701121666665,11.441229432040819,11.4928319678
10,37.26225375,32.4605823066667,30.536357504999998,28.245111452,25.97081315666664,25.14507205999996,23.1006877825,21.85127059555558,20.589056172000003,19.84309021636362,19.226368635,18.468754323076897,17.78321288714282,17.425401714666638,16.927492323750002,16.497826322352942,15.95894936666665,15.571834461052589,15.305851008000001,14.93879786095237,14.77792099909088,14.41753739652172,14.14438951833336,14.0246307456,13.720293175384588,13.541873668888911,13.472924847857099,13.16624409586207,13.091022525333361,12.91367404967746,12.77100425875,12.606816893333331,12.51724833058824,12.44978683199996,12.33487943444446,12.21744659783781,12.09337814052634,12.00196138153844,11.9390110925,11.85925690634148,11.83679960523812,11.73042523627905,11.678262696818209,11.62427359688892,11.57853351217394,11.54858335702126,11.51181334833333,11.514037064081672,11.5340535168
25,44.702282499999995,38.42830800000003,34.51978915,31.88618573,29.175355216666702,27.37629528571425,25.32862658125,23.98350719444445,22.54237482,21.481554377272676,20.750812175000025,19.8749693692308,19.114626985714253,18.593155250000027,17.960602743749998,17.330575423529424,16.929153233333352,16.544225694736873,15.949949047499999,15.72339013333335,15.499754136363675,15.118206152173874,14.887293312499974,14.626478668,14.3000397230769,14.094095881481476,13.932062296428574,13.72225191034485,13.54430046833335,13.345846012903225,13.2535100796875,13.033035490909125,12.88082364705885,12.800124170000025,12.6937182111111,12.560346891891875,12.397234893421025,12.355567934615374,12.19935092875,12.11684611097565,12.074273975,11.967345569767426,11.908358043181801,11.825799231111125,11.748288078260849,11.6871898170213,11.655608060416675,11.611097351020424,11.577038429
75,63.4441207,52.19521808333335,45.1011699375,40.43064352,36.240501766666675,33.13883081428575,30.3449727625,28.5068581333333,26.640606095,25.2873929409091,23.9572525,22.715180557692275,21.797613157142898,21.06844521,20.386406365625,19.657215332352898,19.022392813888924,18.510203871052653,17.902841922500002,17.462714185714326,17.108788215909076,16.7319953021739,16.272114675000026,16.016442956,15.656493367307725,15.382921887037025,15.076682499999974,14.90995778793105,14.631578085000026,14.396932256451574,14.196900859375,14.025897231818174,13.7605429852941,13.59105632,13.443016763888926,13.298715043243275,13.1021333881579,13.008352208974351,12.81892935375,12.68845320487805,12.587667482142825,12.46859238372095,12.319152313636375,12.1988108288889,12.08370391086955,11.9976281755319,11.88502079375,11.771014514285726,11.652291553
90,71.66826751,57.47992723333336,50.282839085,44.315820528,39.6636163566667,35.72634082285712,32.63540373,30.48353504888885,28.790090784,26.87841040545458,25.59208638333333,24.03851752307693,23.05864203000003,22.3872041546667,21.35389588375,20.710984757647047,19.968310744444402,19.42550317789471,18.743568842000002,18.2429920495238,17.76764565272723,17.48272593999999,17.00134606916667,16.5752226056,16.3140080915385,15.93514921999998,15.587432351428529,15.419266662068921,15.059762282,14.880319471612951,14.65524795875,14.46166511212118,14.1899154776471,13.98424795142858,13.79116568500003,13.59566250540541,13.40247946368425,13.28379801692308,13.099581933500001,12.92244224829269,12.790827730952401,12.66298247674419,12.49687418363636,12.343493515111149,12.23853679260873,12.110831312340391,11.97231264208336,11.8286073910204,11.6856434548
97.5,80.464821995,64.13550578833333,55.606264878750004,48.24055296299999,43.16874478333336,38.72624749357139,35.534628515625,33.14085931944448,30.880761228,28.395601896818217,27.1390876104167,25.725292078846163,24.5637413303571,23.509733517666632,22.437009129375,21.567728321764687,20.8657477308333,20.28346301421052,19.78564088925,19.112636323571447,18.546575723409074,18.194692554565226,17.86081184312503,17.2519966972,17.050878454807663,16.65640834388887,16.150788438392883,15.926067284137918,15.561907535,15.351859153709674,15.111310974375,15.0079797124242,14.569328928970595,14.367713453428612,14.193045246388909,14.02618525513515,13.748572792368416,13.565765041153881,13.400471308124999,13.206897899146325,13.066931846666643,12.873748362558125,12.697636084659047,12.508701317444487,12.408081742500041,12.231830751489408,12.066058332916667,11.907552651224503,11.7171840974
98,81.815930366,64.93720569599999,56.681015108000004,48.6200896584,43.57188460066667,39.378339869714274,35.974919834999994,33.36784938444443,31.078353533999998,28.70641777418179,27.177671130666667,25.887191931999986,24.61423148457144,23.7367684458667,22.83436097925,21.661274758117674,21.016634147333356,20.40173177368417,19.8960048826,19.237049950285705,18.65718776090909,18.345450717043526,17.926876885500032,17.39094431488,17.09538364230773,16.772561786962964,16.210987077714286,16.00204723255175,15.628750578133335,15.43616338206449,15.155924406125,15.067702167636321,14.629584492352912,14.4086372914286,14.239778483666624,14.055757424972976,13.789841362631538,13.602574115794873,13.412237686900001,13.238526613951208,13.133137546571406,12.89800586176744,12.756404906454554,12.546538181511144,12.428996768782621,12.254568720765924,12.084197943999968,11.916276381387727,11.72031952816
98.5,82.5443571675,65.917968973,57.40649549849999,49.158513413799994,44.0948860728333,39.77689188842854,36.34709525725,33.7093769326667,31.5723335681,29.13085918327269,27.487601442083303,26.07344090161534,24.816501930357145,24.059909735066697,23.018264247624998,21.967613358882325,21.089744208055535,20.517620246999954,20.09185786965,19.31315703442857,18.810061845727244,18.594471284608733,18.0565897644167,17.45132067604,17.199458337692285,16.92671570066667,16.268760914964243,16.062742655103435,15.7239955362,15.476728158838664,15.211609662625,15.10825037596969,14.712754822882347,14.488517120657129,14.317516366611132,14.10346750356758,13.856619779,13.664336089153869,13.428805737025,13.27951207265857,13.20264149485717,12.946932181883714,12.794371164818145,12.558229135444467,12.46094846717388,12.274145637425553,12.096988511125,11.92854970497961,11.74145750906
99,84.39102719499999,66.1943035873333,58.304803654,50.7408809256,44.518449942666635,40.63017166542853,36.4641070475,34.01302711822219,31.8368471706,29.506531568363588,27.837121774666667,26.63756998538463,25.17943756542853,24.254587355199966,23.215407571125,22.236123245999966,21.20596064555552,20.847402139368384,20.206309631099998,19.462877676857122,18.919233690181816,18.720014689913004,18.130644571250002,17.6228171408,17.29951926930771,16.97500360592593,16.410137034285757,16.239435332413777,15.802745940333333,15.62253913096777,15.292807817624999,15.166457411878808,14.798358831647052,14.562519190857142,14.402969536388856,14.224427554486443,13.890822480000015,13.737247222871796,13.541324953599998,13.357763946926855,13.27978076561902,13.018365396604665,12.836985112590936,12.592134776355511,12.51198625734781,12.298973143914857,12.118069206374967,11.943235516285757,11.745932676359999
99.5,86.10047513999999,68.2184143283333,59.64505473024999,52.231952228999994,45.215780034333335,41.580933122571444,37.223664714875,34.83602278988893,32.7599072753,30.302747305000036,28.715246755,27.547882800230777,25.55834188464283,25.145199752866667,23.542022744625,22.724879940764662,21.4892491253333,21.14201607252629,20.489144622599998,19.771148445476175,19.084650426999954,19.084748069826038,18.269659076000032,17.936439838640002,17.46471587319228,17.06743593337037,16.675523166357156,16.50876856599996,15.922732722733299,15.924190238258078,15.484145508718749,15.375119655454546,14.926082443441171,14.706626889885756,14.550879323888921,14.365943821270236,13.960898016973658,13.885991682820496,13.692283058775,13.47673692643903,13.330528092857115,13.05174448558144,12.898267836954581,12.710635920622233,12.590625010239084,12.340788425531924,12.1372308857708,11.974499871755079,11.7585106917
Median,53.98426275,45.5399246,39.8316115,35.98005886,32.54120375,30.146248814285748,27.8622982375,26.30252752222225,24.65247928,23.432608572727297,22.3047313333333,21.24113915384615,20.5125185642857,19.80496264,19.261580756249998,18.3973875470588,18.0091891333333,17.546837863157897,16.97917853,16.6329667095238,16.3262823227273,15.888075873913,15.58992971666665,15.336212656,14.98672122692305,14.76759186296295,14.5096507,14.24451692068965,14.08558704,13.87435852258065,13.69323781875,13.507524175757549,13.3404841764706,13.211541188571449,13.070829375,12.89165936216215,12.736404171052651,12.6612318897436,12.485891200000001,12.41367186097565,12.324933583333351,12.23133780697675,12.11374625909095,12.01548158,11.91907125652175,11.85087991276595,11.7786636125,11.6988550265306,11.619086818
Mean,54.2159091355,45.35516884413333,39.99921415514999,36.189805528719994,32.66576147483333,30.28092145802857,27.879024026025,26.262384259244445,24.6333358534,23.368462401254547,22.361874170116664,21.29563178476923,20.4657020138,19.84470958510667,19.1789316573625,18.492466358799998,17.979315191366666,17.504995096200002,16.992679048870002,16.601865676533333,16.30578099177273,15.926919484669563,15.595397153525,15.333749197744,14.988490863053846,14.753239323674071,14.513377323907143,14.298135827689654,14.082080059519999,13.8796507164,13.703821895075,13.52454417432121,13.324209107194118,13.20342834796,13.066670964755557,12.915667475832432,12.745614882215788,12.662377209502564,12.505507596610002,12.405190206746342,12.325882717099999,12.20838413884651,12.103379277404546,12.000731283324447,11.913781966113042,11.834283510629787,11.754945955970834,11.682787062767348,11.609344660124
