,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250
0.5,55.05458464500002,61.90399164447623,67.7649626268684,73.07971914846668,75.48553661835636,77.3690480026891,79.20744702932694,82.58296912397982,84.12888384893057,83.69794482764313,83.52094466278244,86.13209967471633,85.37107404206833,85.57162765842159,85.5701485217326,86.44052649622404,87.82171097627466,87.58616912569315,88.81204038136765,88.03020790464291,87.96527334676558,88.2195290932372,90.09970407417785,89.44691685541808,89.74470364995405,90.13744172108122,90.52052602658989,90.68437631248655,90.63695362122324,91.13404735840889,91.37559916629284,91.40529454840649,91.5806543943662,91.94669230113625,92.18070579726631,92.30768552759517,92.78216861239622,92.43554800134604,92.4468093788045,92.92842878484126,93.19636447436797,93.59642648310583,93.66157091621126,93.9408915286151,94.03670871041275,94.50970669976252,94.7785598693783,95.08183580905785,95.64648592635518
1,61.15925554311116,66.48254822838094,70.05389745457896,75.4557323024,79.33124728197706,80.33452000326051,80.53308629614104,83.48653425058589,85.21931263106126,85.2198809835286,85.33570830352544,86.54702273574996,86.2339759660787,87.76748466340901,86.7337524028291,87.53870652463304,88.27994661294876,88.05100798211866,89.20890327336768,89.1613714688718,89.28961146522599,89.78870674467737,90.4249576063627,90.16584919786322,90.44052374692905,90.43149724655827,91.12267516569989,90.9107087183084,91.32479082288862,91.60554498916635,91.72434319472953,91.65788422164526,91.927472375141,92.27763428575629,92.3459740093656,92.76788584853465,93.06835845870346,92.77881277352897,93.10956573561154,93.2757254939168,93.4933687873238,93.79050605839427,93.89864542307559,94.13637655118966,94.13276756289086,94.58876309123042,94.84663401236995,95.1581632072412,95.6537318449619
1.5,63.863096597,68.51864840904759,72.60507345044735,76.3657741071667,80.47843235495408,80.9275599818992,83.85863223075002,83.8374036807778,85.59938316291432,85.88277735463976,86.21001529627122,86.85808822796149,87.12757655095862,88.13304949890811,87.05984034892559,88.31435836528014,88.88465599330083,89.00364624985664,89.69069735744044,89.61664512295786,89.77036795855297,89.94641949451412,90.71680422536276,90.72684837450971,90.55927548173283,90.74379026594254,91.45351960525589,91.60024653813701,91.62770247838213,91.86419405580645,92.01107769065374,92.24403079020918,92.15580708004215,92.56736540675537,92.64812969073714,92.89109428819978,93.14606467559811,93.03186679042928,93.27529254091361,93.42124795371167,93.67298096492459,93.94412507546792,94.00101304817412,94.22040811307384,94.42334951394227,94.64577509989525,94.90771426100595,95.21086981279858,95.6599725982329
2,66.14089718977775,70.98264799733337,74.10050206157898,77.87878286586663,80.7574889555402,81.57427671529408,84.59617916838462,84.75267795810105,86.14906301681631,86.56260228495623,87.06366728336724,87.25656947269226,87.6635979681988,88.40552283530089,87.63583850915822,88.96594282804483,89.12646440675155,89.45878144496301,89.91806418837571,89.84166258539928,90.02450042936451,90.07646549803208,90.87621837948738,90.79853533141679,91.09759678488967,90.96817305224539,91.59979038450359,91.82713730130652,91.90587777573512,92.11867121658653,92.25748376347165,92.52523204671103,92.54712413020397,92.67343987283023,92.8325874755233,93.04970423120325,93.32593816911616,93.2454451957959,93.36494489518189,93.53208745808129,93.80583576859607,94.11052618728101,94.18281580946451,94.33579098163014,94.49287288749873,94.71678383700745,94.97238184097982,95.2459657567989,95.66871054620597
2.5,67.4900290922222,72.62742253285714,76.03273388486842,78.58946398249999,81.25617857040233,82.46440385470586,85.09907448371794,85.26361779646467,86.57697685900004,87.02929574343436,87.70324095594633,87.639792046899,88.22842844997925,88.57067911019823,88.13689325560128,89.25563067445381,89.36013414159179,89.80763374562147,90.3275590069141,90.19213178393775,90.66853996689322,90.42271379989316,91.21000275924018,91.14260460700642,91.25986483837801,91.23423462776668,91.80453440868963,91.99079396013411,92.03070233641607,92.210357648982,92.46257346710887,92.62755420661496,92.64907758454228,92.72845710494913,92.89801751966478,93.1954281338249,93.53902812088553,93.69180512200369,93.46927508623617,93.58721634209228,93.92556269144566,94.16556222696583,94.30529406355441,94.4071263201171,94.56024892867195,94.74563879766687,95.02273041290712,95.27396572339079,95.67330318615744
5,74.58924871777775,78.12490722285716,79.52829837710527,82.70568148600003,83.29400190218388,85.44965319176475,86.6757282561538,87.3520970864646,88.06752896555098,88.4631939737374,88.82523547621464,89.34356065432691,89.5504733009731,89.69783210468468,89.46588910526903,90.46263873350142,90.62854793971286,90.765420203561,90.96302189073734,91.27995786265568,91.59739056281063,91.53917252044239,91.99344643913865,91.9388368073677,92.05087624268928,92.4202870365727,92.44915496445012,92.68735925392723,92.61637556570913,92.73274609683287,93.0019848729206,93.10920893285294,93.21149966536721,93.31011383712317,93.57925105376471,93.6605190754935,93.85704302134225,94.04039427611946,93.91048926646738,94.02298992974174,94.2759237760515,94.39007244855033,94.61633849287668,94.63340163759523,94.8671427016575,94.94980512270958,95.20124661138244,95.4326791952258,95.71929101943614
10,79.76454503777778,82.11144899809524,84.53156852894735,85.98916403200003,87.12239561632184,87.60260741210085,88.47358493551279,89.35852672868685,90.34033660938776,90.1882694945455,90.43240070892652,91.23012608961541,91.01368569917186,91.21953315012614,91.06063982984178,91.77612045871149,91.60644518571783,92.17919019695404,92.30354475199995,92.5477575675092,92.60364615209342,92.71051201159416,92.9573604771849,92.93568510211608,93.0074025238879,93.20768365569927,93.30175474547792,93.33863907906134,93.51898265275169,93.60748096152494,93.72677253361634,93.71550148353293,93.85225849867034,94.05202391423317,94.07976137112976,94.18532428321974,94.37995804609301,94.45069062541897,94.44779850333164,94.39257189076997,94.6334586775621,94.78202049605738,94.90642812412615,94.98620832499203,95.16489550266562,95.20384572252406,95.38435554057527,95.56326208905318,95.74940823289961
25,89.71546216111115,90.05901123333331,91.4545770210526,91.80951573333334,91.94879743793103,92.35256084033612,92.7069569416667,93.10926078484853,93.62797588204083,93.39677295387203,93.380942684887,93.87973652596155,93.80092534368532,93.70695067387388,93.36601169612342,93.69866626176467,93.86804119119853,94.13167103045912,94.245291870404,94.27902006071433,94.23764806576315,94.31621645461483,94.45121601232498,94.61473335858062,94.41281670909365,94.69829330044223,94.76854603396713,94.67665836010535,94.86639104154364,94.67790672228735,94.8713557637972,94.91685974896528,94.97584182365122,94.91441313842363,95.07425013746118,95.16018541718569,95.20972776364525,95.21478958622785,95.21739531454772,95.22651975375418,95.2609058448963,95.4357930987177,95.51253145766917,95.57809145089283,95.58899477328653,95.621738953828,95.69688923405684,95.80378155891606,95.95192466955018
75,105.902856411111,103.20514341904725,102.09036801315776,101.0334562666665,100.82347222528725,100.3172478134455,100.09204270352575,99.8558768388889,99.52876433612248,99.48027294781144,99.055902065678,98.88326116850959,98.80829546501035,98.62468984072069,98.382499865269,98.26114239201685,98.32669482053686,98.31498907368423,98.22635346691918,97.9309896923993,98.08214042443703,97.97539005614038,97.80484493848043,97.70142353122583,97.52742904925462,97.58490976904366,97.55301330269782,97.50653013175285,97.48691575932882,97.31523575957273,97.26414954805426,97.24871404220252,97.13117261413157,97.1499116528407,97.0787268582092,97.03468575079319,96.91345982322471,96.93621309489825,96.86964448760052,96.79702207754664,96.79757700055822,96.7248576935231,96.74379772355748,96.6146403553968,96.53559473573192,96.48019106392073,96.44933983548643,96.33810140950149,96.2285276944819
90,110.6539447933331,107.5048359333335,106.215771673158,104.5663278593336,104.3285988372413,103.2602488699156,103.0309805664103,102.508025339596,101.9863722307758,101.9727131160939,101.5376921670618,100.97048204480771,101.0595290204144,100.7744212829545,100.0334367134489,100.05076956442579,100.3862737803,99.71484030391939,99.85139818222218,99.5961006711722,99.43066758905753,99.3538769132876,99.35280799077026,99.01099547633551,98.84195818056054,98.90791816515205,98.66691526349437,98.58158752614939,98.57718008057267,98.36756186329286,98.28623101876569,98.3018345768219,98.21977842582668,97.944598110555,97.91614755417751,97.75779006305524,97.73714068294069,97.64775690353692,97.54288687265829,97.5645594724151,97.42291452085674,97.30408265398827,97.29552509946039,97.15104191226986,97.01452370415419,96.86037007052917,96.71867683280686,96.56846122299095,96.3737972512707
