,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280
0.5,21.104806678,24.324261174,22.2890775513333,21.87757934675,22.931602206999997,21.5419670031667,21.07391207057147,20.023163480250002,19.239662434888935,19.933816813099998,17.980107173545445,17.857171119499966,16.600104279307732,16.242783628285686,16.35890018226667,15.7923625788125,15.0800447223529,15.279994792722245,15.030988950789462,14.484035137,14.00441290066669,13.962792383863599,14.141647404739102,13.419135563875,13.12374623196,13.227610521538468,12.896333670555599,12.771276125250013,12.634056142758665,12.655411639199967,12.296063755419327,12.347563051343752,11.913192530515179,12.164615836823518,12.027705348742828,11.9209149572778,11.798538978243274,11.734183027105221,11.474771934948713,11.418696493275,11.603342591390216,11.444540772071447,11.389096055023238,11.351015240454545,11.22372486371109,11.165960430717435,11.199668594893572,11.1577924911042,11.193498571142817,11.10525681536,11.210075763588218,11.093818024999969,11.156665521584946,11.233493971648112,11.212514131381791,11.5671567678571
1,22.33208211,27.299131658,24.736612086000033,23.1635617725,24.087134714799998,22.8910324456667,21.98199236942853,20.989789554999998,19.712182869111064,20.3257328064,18.83659478872724,18.1061248341667,17.27335206046151,16.851181756428545,16.890351303333365,16.452465802625,15.537485236117675,15.998765330444456,15.408761249157868,14.9133675769,14.384586551904775,14.18321743400001,14.304023293043445,13.828846800499965,13.424156098160001,13.575321369153892,13.369450998370375,13.148023178928558,12.912248929103441,12.764331170000034,12.426353389483836,12.507753200875,12.107498054848493,12.294154488647031,12.201656834800042,12.007095233666712,11.92046498962164,11.803266356631562,11.750528964205163,11.5974853815,11.670730282341461,11.569431127285744,11.4671595777674,11.4457043484091,11.345256600399956,11.35701881395656,11.292582404468055,11.29074783075,11.284509841551044,11.22975155676,11.285318257921533,11.210917970653847,11.17335327864148,11.252473584296322,11.239277078945465,11.5671567678571
1.5,24.891708427,29.0346598375,25.9662418703333,24.024763721,25.1908641458,23.5554915386667,22.355515817999972,21.318906380625002,20.3170651738889,20.5051936065,19.398270280727264,18.500339978249997,17.828186280461505,17.214703707499986,17.222388269666702,16.6908262141875,15.847401117941171,16.104494984444464,15.61314237031581,15.09518624175,14.644808935285727,14.419051823500045,14.375748352652208,13.8987843265417,13.662849728760001,13.757927121923085,13.404649576999978,13.275384584571416,13.049889206655145,12.8660439004333,12.68265708103222,12.6265597276875,12.264704051545452,12.390909708088282,12.289418217599986,12.036823524555532,11.998353203189204,11.889234224210547,11.86340809364104,11.779425847525001,11.726260586414668,11.645682901309486,11.524826052069768,11.534794735886319,11.385932478999967,11.415423614173882,11.37441769221272,11.342419202583299,11.333264447632677,11.28150131078,11.322121325313718,11.264398759288506,11.22165447771695,11.272770252629666,11.311072729709073,11.5671567678571
2,26.712325596,29.777669744,27.500234501333367,25.612563771,25.352242068000002,23.845343078,22.858151198857154,21.587491319,20.868733268444444,20.71002867,19.725765119999974,18.781489592333337,18.267079934769196,17.610599901714274,17.3684684554667,16.87713679625,15.946426376470635,16.2237724211111,15.776608902947403,15.3789504956,14.845943841523804,14.708387081272763,14.525831783826126,14.137589392333334,13.78458912464,13.87312065923073,13.494416070962984,13.445725744285756,13.12856233475863,13.013995439733366,12.764092712774174,12.7824874155,12.372418580969713,12.479223151882394,12.373869539199973,12.095133441222245,12.113052036864818,12.010219972736836,11.98381335989743,11.8448711755,11.811078256975602,11.712958164476223,11.568881835906973,11.557574075363672,11.41563046240001,11.444114355043473,11.41095032144681,11.408428034249999,11.370766408489803,11.33700248848,11.350109769098015,11.276072815000015,11.263816677283016,11.31389023659255,11.33798601563639,11.5671567678571
2.5,27.715851490000002,30.574241695,28.160208054999966,26.49929887125,25.779683462,24.045571034999966,23.402743990000015,22.053849452500003,21.356504962777755,21.215588374,19.997574695454556,19.0144310233333,18.440644642692302,17.75687843607147,17.519472737999966,16.99863325125,16.254746127352938,16.321531667777744,15.87724977236839,15.51642974575,14.96184447690478,14.81360986454548,14.628565479782637,14.259974863541668,13.860216704800001,13.901339610961559,13.580996082777745,13.507691803928585,13.186312294137917,13.104327600000031,12.908720834516112,12.8380500071875,12.480290907727268,12.530019323676436,12.3903657681429,12.140232408611132,12.226529975945942,12.086945330526289,12.004698090640995,11.892936898375,11.866620380609707,11.771657432023838,11.638548778139496,11.583739468750046,11.4665863305556,11.491857580217406,11.438508641595702,11.447746466041636,11.38181924653062,11.4096736984,11.390855651764749,11.297381808173048,11.27595093716983,11.32424873268516,11.358312491636346,11.5671567678571
5,34.78139259,33.19555193,30.51836171999997,28.665348397499997,27.579206646,25.325965708333303,24.92817196428574,23.107965834999998,22.280848946666644,21.935753381999998,20.86500826909089,19.90004474749997,19.368448102307738,18.5278216307143,18.272576454,17.712199778125,16.850913683529402,16.953970765555525,16.297705597894716,15.9233443085,15.421131124285731,15.247385725454535,15.09784138391305,14.6216222441667,14.370556414,14.275767609615386,13.99170215222225,13.782888444642856,13.490272577931016,13.349626958333301,13.129826641612915,13.093888473749999,12.88344393727269,12.738867985588195,12.664674092857146,12.43959916888889,12.382402749189184,12.299075645263144,12.168878188205095,12.042981587,12.007242988292726,11.895570781904741,11.82768043930229,11.736583167500035,11.613325264444436,11.626238079347814,11.589560583617036,11.5629184325,11.5152577863265,11.496642185999999,11.451064716274525,11.420621548269215,11.362111695660365,11.398528455740724,11.44348850818181,11.5671567678571
10,40.78501154,36.61892131,34.102411393333334,31.03444473,29.462461972,27.43846847999997,26.74443706857147,24.8607260075,23.72360216888892,22.90078194,22.13938044363636,21.03127378333333,20.462318492307663,19.52382912571425,18.97085774800003,18.307239872500002,17.6998340611765,17.467486197777788,16.84162798210523,16.450412679,16.106548921904718,15.72837108454546,15.55095475826089,15.14829817583333,14.8606056928,14.6512964284615,14.35189731629632,14.09532206357139,13.90058484206896,13.78095722800003,13.52551831161287,13.35671732625,13.152071227878821,13.026858118235301,12.934472139999961,12.72264031555558,12.64268086432429,12.5672606594737,12.42015601692307,12.2667915395,12.21000211853662,12.114091167619021,12.00164311488368,11.91849577545454,11.774701747555529,11.83466483434781,11.7434235131915,11.6820003833333,11.6455053367347,11.6049925852,11.56442058509807,11.521019659230781,11.47496571433965,11.492118446666671,11.5055454090909,11.5671567678571
25,52.60387555,44.312351025,39.5363082166667,35.808286525,33.66821663,30.8334074833333,29.292949671428552,27.5166969125,25.877302011111098,24.770329769999996,23.831893195454526,22.909560816666676,21.896660665384623,20.951018692857126,20.351988276666702,19.621736134375002,19.013762026470598,18.548711991666675,17.91226683157895,17.578576495,16.99746385238095,16.562057761363675,16.25469496304345,15.969558718749974,15.589551006,15.288669317307699,15.00150610370375,14.762177057142875,14.518231965517199,14.321962186666674,14.035582503225825,13.87618966875,13.617979456060624,13.461977794117601,13.352685187142825,13.1809949625,13.055347629729724,12.9387653881579,12.80075822692305,12.618187913749999,12.53059972439025,12.441448525000025,12.2984271627907,12.21096780454545,12.1279492211111,12.07334555108695,11.980334468085076,11.89629180104165,11.8742804030612,11.806257507,11.761426000980375,11.6803169701923,11.632105191509424,11.6076995527778,11.581178998181851,11.5671567678571
75,84.88233205,63.642860975,53.332416866666705,47.0022947375,42.372176530000004,38.933361883333326,35.84676232142856,33.34756595625,31.1885915,29.42500989,28.10101773181815,26.54608203333335,25.516612430769225,24.2935499857143,23.39608829333335,22.43492959375,21.821192197058824,20.905472091666674,20.372462971052624,19.8353284925,19.138794628571425,18.613673863636325,18.06301579130435,17.712778693750025,17.250165656,16.900512400000025,16.529429635185174,16.218870785714252,15.893185344827575,15.615446255,15.32031025645165,15.1014460296875,14.787529339393926,14.593959392647076,14.372913865714274,14.148319244444474,13.935681609459426,13.814813121052625,13.591879894871775,13.45582438,13.311603854878026,13.130485478571424,12.98010406860465,12.869756786363675,12.737341300000026,12.6136294304348,12.49192353085105,12.38247801875,12.284112104081625,12.183173338,12.0832277166667,11.976125510576924,11.883382103773624,11.788235370370401,11.696322606363676,11.5671567678571
90,96.50223186000001,71.71013154,59.88832930000003,52.23208835,46.580972472,42.45412813333336,38.90636433428574,35.7266881725,33.426371655555556,31.481047016,29.93506606545457,28.423921793333363,27.08421957846157,25.69346243571431,24.820677864000032,23.75266913375,22.941338343529388,22.01294515444445,21.60092808736838,20.885337803000002,20.17466004666668,19.40477146545454,18.9980494095652,18.59344549083336,18.0504716376,17.652922144615342,17.31609407703705,16.82431727357147,16.5751391455172,16.227508255333362,15.8465066406452,15.64988307375,15.33680505878786,15.03478927882349,14.83106753199999,14.59895441277774,14.35873997999999,14.21337515210531,13.98375517025645,13.811473943,13.65448234000002,13.44881421666667,13.28046660511627,13.164297679545419,12.992933291999979,12.85246277521742,12.7067015331915,12.59507713874997,12.47225696367343,12.3341299032,12.21905980784315,12.09137190115384,11.99382970264155,11.864220076296329,11.73786904036364,11.5671567678571
