,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280
0.5,32.880974748,53.760953895,70.69621168971427,75.70070495144734,77.96223259753329,81.79365203056325,83.76944705527733,83.16699137947433,85.46128786991919,85.67236401869383,87.2139377212256,88.7925818635791,88.4828960226442,88.46833052990061,89.69248773619462,90.2612111048718,90.54158847353779,90.6536733530012,90.11725193073016,91.8190276593222,90.94843716908244,91.58764203297915,91.98091509488181,91.74717065657843,92.87624839175228,92.83551509232144,93.13718051250966,93.32734253999021,93.78717483164844,93.67131659663933,94.09969568667454,94.63826681884002,94.70797404604139,93.86918841406576,94.69970299328077,94.65226379767599,95.00080090367098,95.30386800801473,95.47679612655405,95.18799394441739,95.8894895344744,95.75141373652359,96.01553468000525,95.97479801340576,96.24346157836071,96.36296885924793,96.42865021247829,96.48948224969928,96.62332828234425,96.71061824945015,97.2852942930792,97.32560022125739,97.57823078960948,97.66368431084786,98.16697630464847,98.7522989214798
1,35.389215534,59.97834933711112,73.82263292342853,77.71082714663154,79.73123949893332,84.54966681108043,84.85168644252099,85.05992513405126,86.8522870762424,87.00223507898771,87.9371749015219,89.66295478536726,89.4206835611635,89.4075132678551,90.85786630488649,91.16959104550949,91.60995272575347,91.0217385167266,90.94779986504366,92.5224564333051,92.32279597232971,92.24256303023519,92.52251450658122,92.62068165116521,93.22636438391483,93.25925355385804,93.46372294907682,93.98271690338439,94.05917988066093,94.06994350022018,94.3036467707298,94.79145916648196,94.99986622198963,94.63987585187675,94.88211717020424,95.11018617335068,95.34269364459225,95.491525112743,95.8320769234311,95.5069500454834,96.04730907785651,96.0295973825391,96.22259607049081,96.28040723767786,96.49721252517615,96.52015462501952,96.70558995466737,96.79877748047171,96.86861554591506,96.9618352267245,97.37535930905791,97.43052122150192,97.62664933823844,97.77296756985346,98.18236786455687,98.7522989214798
1.5,43.279227072,63.4895818075556,75.40159641428572,79.71977592842103,81.5367296689,85.31078023751722,86.34247621707564,86.01782389105773,87.54380241552528,88.0078887176163,88.97250197586533,90.01819934090108,90.4021343887885,90.15582871950727,91.53187973752074,91.51289603487344,92.12495878311763,91.81009019661676,91.90493842821498,92.89965155738481,92.98923406040295,92.58643913995742,92.98436265674297,93.26040825029477,93.79769136769035,93.51472795828029,93.81971625466781,94.35037602916906,94.26725099467244,94.40530064578883,94.83245265405276,94.91263461567964,95.11432140289355,94.89909751862511,95.14526778550082,95.35646498631998,95.66276598524381,95.65707299476888,95.91593135150838,95.75458799543144,96.20079949838542,96.20711057465438,96.30136490676027,96.42193228218179,96.64625648856352,96.6986889524196,96.90013169333005,97.0162686111942,96.99927042381063,97.16449243667932,97.46024528227609,97.51768987120808,97.68807664582816,97.84460093661066,98.20874695264285,98.7522989214798
2,54.259216168,65.68139819555554,79.33893997904765,81.27890750631579,82.78909857013338,85.76177218666668,87.21848031368069,87.66475418438459,88.4874672970101,88.56958772399996,89.23616081632322,90.36686402352547,90.98366744413462,90.73966867225676,92.11182554362524,91.87379344473415,92.4964729966835,92.51041129234457,92.20409354747589,93.08568113130507,93.23463925356047,92.84071912728277,93.43000583686349,93.69300058872547,93.98136852797936,93.84157234974117,94.04463130422111,94.58053528657965,94.60685304052105,94.70344711622731,95.04043825984078,95.28642149267763,95.41441029452477,95.15348879760523,95.29962982060034,95.61951424714343,95.78996184059696,95.87057491252128,96.14505340266034,95.79285517527539,96.32340579307129,96.32539147433762,96.40699691138965,96.60765130451054,96.77301921246512,96.7995501467302,96.95949836457687,97.11927926666455,97.10272430958042,97.36533837173016,97.5012045068816,97.57605154125987,97.75509416595426,97.92156337715382,98.22346263054332,98.7522989214798
2.5,58.790081755,71.00594852833333,79.7444296352381,82.06576457486842,83.57563869183329,86.07117450971263,87.85109067731095,88.09352011737178,88.90465831944445,89.35682302732653,89.49802530313134,90.86797172875703,91.44394494197111,91.37077411891306,92.5836158570631,92.26339293143198,92.69664631225488,92.73298457464423,92.74856929487119,93.16552610963637,93.59819333536635,93.21588625066309,93.68349945344008,94.170981388792,94.17061846797415,94.04522799759391,94.13272820507466,94.63869331309348,94.76297021573754,94.91735722228185,95.25513637736907,95.4082531444595,95.45777650773469,95.25805332041772,95.57702057518557,95.74363560784137,95.87792300930671,95.91996010442635,96.20278886937352,96.22186483410928,96.43134009142275,96.47227285685233,96.50608321767876,96.71390776430259,96.84596463600401,96.85431306127016,97.0172540158083,97.17733181125176,97.15495048012045,97.3997657759422,97.56797403422723,97.670411560349,97.78903357968835,97.93997898602987,98.24461088058528,98.7522989214798
5,64.94162894,77.75663675333332,82.96193848380952,85.2480711842105,86.00027546533333,88.3681094905747,89.30240026873943,90.19261215378205,90.28897050767677,91.20201099677553,91.11856359932656,92.01659014079095,92.93061974048074,92.52336472262941,93.48464051899103,93.36850902968358,93.75898598585434,93.94506736509364,94.1725409364166,94.14830656018182,94.58454002023807,94.29295415583822,94.62278207839817,94.89588185469889,94.94693275981939,94.88627086840194,94.92477325194034,95.48085004565776,95.46199348561301,95.65487034645639,95.85613105583582,95.98788623783018,96.04870609705837,96.00346419996862,96.07335910717241,96.3066451214525,96.28917817293772,96.4012500729713,96.51803525887388,96.63955244923615,96.87046395055953,96.8621001527432,96.98557280760265,97.05328581532582,97.1238613168809,97.2467312813708,97.33466720278594,97.40784281777024,97.37889885071928,97.59626700342326,97.75981224490656,97.84593707699136,97.94390189950829,98.05695216536279,98.32139428087328,98.7522989214798
10,71.30392137999999,83.54082848222224,86.94811657714283,88.81336242421055,89.50970327799998,91.05745554965519,91.92070224168066,92.09776194269227,92.26077094444445,92.7965819283265,93.02712168902355,93.82255680564977,94.08767832548074,94.22892961681161,94.56171477513514,94.66459604740506,94.9478030718207,95.17605634354561,95.5623312739082,95.2082750234545,95.49559735761903,95.53122084562132,95.81237470974828,95.78705487378153,95.89403570423224,95.85799700660708,95.91839488519625,96.29349756508738,96.16943624490419,96.46720867301119,96.43850215857563,96.53846511774374,96.67023879472288,96.64378915223806,96.6948557079015,96.7224275602421,96.92756904069331,96.89857487014203,97.11154579952418,97.02131593109544,97.29714722185557,97.33618312487128,97.41469554176052,97.39103991444998,97.46994064839679,97.62739525926715,97.66544677737771,97.69393945436191,97.67374782216794,97.83555532870037,97.97894404209359,98.05061494747554,98.10325071496284,98.20346039415122,98.40918493898339,98.7522989214798
25,90.57191205,92.90706639444446,92.75830806190476,94.3934171026316,94.56169017666664,94.95729468678161,95.55469044369747,95.59863086858972,95.91933826969696,95.97189933816323,95.93078180437709,96.4479435973164,96.67521175913465,96.59132462515527,96.92243357333331,96.77764571954111,97.0070958355742,96.92031158820228,97.09322199238518,96.96990482999999,97.13601449212453,97.13585003919933,97.28408071960334,97.25243930766808,97.15570748219358,97.28982104973161,97.30437455688224,97.5090936631295,97.37219795747129,97.64922122545863,97.6187834089652,97.62293619787735,97.6570388467849,97.72571794761572,97.66003518978653,97.66383136652699,97.79182134615155,97.83471521225287,97.98675592883953,97.89826140948493,98.07379673323767,97.92635593714965,98.08005195131493,98.10798927542547,98.16824070821428,98.20391901901462,98.19364655237315,98.2321130157165,98.21092665058545,98.25700459069078,98.35721574011112,98.37604571993617,98.4168137957261,98.46572362052183,98.56349057324485,98.7522989214798
75,111.81955529999999,106.98769196111101,104.831837485714,104.35987081842124,103.538712441667,102.8742937189655,102.673779148739,102.31315966442274,102.0804209828285,101.87371722265351,101.55841657138075,101.50287062655374,101.271697560577,101.00932098530001,101.029018285946,100.7824590037185,100.971462935854,100.777695767853,100.735356495297,100.56459211898975,100.62390391318701,100.51911239916626,100.29670518832975,100.16341956883724,100.26589794774225,100.19578367564074,99.960000040796,100.22675460146475,99.92500437045022,99.89817325114093,100.01564568445775,99.8393821175904,99.83844863610493,99.95428358230069,99.677982360821,99.70225528414028,99.72040730276144,99.5886608224311,99.67819880002642,99.68040164698495,99.6065712244381,99.45702354846202,99.51900022905893,99.47938340342469,99.48334145787695,99.39708252525155,99.34775590023638,99.31785916847976,99.2766102002342,99.20435283596782,99.20160490435384,99.11181523564744,99.0500868205832,99.0163923897081,98.94855121283345,98.7522989214798
90,116.67466730000001,111.91062801999989,108.7372013923809,107.8002824715792,106.5300667,105.511737581609,105.6420667576471,104.78967624102539,104.8181488785854,104.0287022531425,103.6261836787874,103.2930280466104,103.1744874600001,102.8142460634781,102.89146759055821,102.6378884510123,102.5416741210646,102.2634830576034,102.20174867202711,102.0048513994344,102.159645455421,101.90099634642239,101.61816830965641,101.3045298681937,101.55908978343261,101.2923111558261,101.1337605148921,101.418623324399,101.0322456855749,101.00079443551711,101.0201522944952,100.7204106070285,100.9180929591722,100.8027273946816,100.5133262653395,100.514082573712,100.58409813333711,100.40542946828201,100.43750738739661,100.3688246013413,100.3196037786895,100.1884182620053,100.1437199969307,100.0088539167912,100.02987720146781,99.87273162433647,99.85865539447903,99.74502930381105,99.75643404246907,99.57188349070843,99.57401605048015,99.4952693884972,99.36338826746713,99.24027332455738,99.09761387170803,98.7522989214798
97.5,123.21385047999999,115.28584514611131,112.53620516095275,110.98828326947333,109.63133386249967,108.46958763890757,108.29328156042055,106.88807856762857,107.24579450323223,106.09334298032631,105.95818163865297,105.55668262262691,105.52320568252412,104.35798004113892,104.7683235892248,104.56113594459696,104.10038349876724,103.9223569247942,103.52849759408734,103.58216317176215,103.74781915249974,103.47247803264017,103.04911014741413,102.655315786397,102.7618570760576,102.82777316700103,102.66703867332271,102.75960214765932,102.05577132544977,102.20265349278296,102.10174426327585,101.93745456995674,101.8063849191135,101.85564621303027,101.5358812227748,101.5634278871054,101.44844642275302,101.24404953929174,101.13639020312972,101.34800982479875,101.00823056980585,101.03941977801968,100.7874258140271,100.60680626831456,100.73508183528182,100.43168779643415,100.3603777743387,100.37740483880468,100.22300489378749,99.96901501979197,99.94313950707736,99.84225721867391,99.63364368458548,99.45436507808822,99.24067080816187,98.7522989214798
98,123.248057424,116.29403210355565,112.97372648609539,111.3913180612627,110.04676631626634,108.65447574652875,108.4874855127397,107.21575887817923,107.4372815862222,106.22305641515139,106.13700614693609,105.66718309439587,105.6619651645003,104.62479621818642,104.85631933316044,104.82289454872162,104.21860915648207,104.19307251105094,103.76694341385902,103.86823989572503,103.86104953709922,103.69513337622308,103.32262770393906,102.94636276567472,102.87816275365715,102.91280079378392,102.79847033037888,102.90656806938134,102.22886956744804,102.35040885173719,102.35536565803724,102.02019368192816,102.05550510009444,101.97398735743647,101.62353003456195,101.65901716992894,101.53167953616703,101.3429908435887,101.24119272930885,101.37905430257527,101.09177182044198,101.12258942752234,100.8998337780114,100.67235542397857,100.79705762111405,100.51913786338926,100.40417661042662,100.42549566513995,100.3159658253259,100.05266911300201,99.99287752932649,99.88474934206354,99.72115066070673,99.48982586055732,99.25515406495448,98.7522989214798
