,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285
0.5,237.501852695,344.52554183,444.870691785,531.4766491199999,617.895152745,684.25331458,758.870865535,819.669746875,925.405768845,982.735268005,1055.318928705,1105.8004778799998,1172.370930675,1216.70131859,1275.91036322,1304.844356035,1389.728638905,1425.33623871,1483.570911975,1519.4325468000002,1585.3835162149999,1618.961692155,1656.62409191,1715.926521375,1763.30140334,1794.962377965,1845.773954015,1864.075520095,1921.598860915,1954.8575844050001,1996.20093115,2053.982320415,2073.27576438,2085.26880656,2156.613922565,2187.217705085,2227.756716245,2266.14669994,2282.263215845,2309.00195716,2346.259203685,2396.832255445,2438.9978162449997,2448.97380384,2484.82824992,2527.92066077,2564.175378895,2589.558950315,2626.44513375,2668.37491847,2711.341750365,2729.226770505,2768.62762049,2804.32649249,2846.5005536900003,2885.58247791
1,253.99080317,361.1282929,458.45920042,561.02283633,627.13004348,709.16930439,774.11190789,855.24843981,931.81083351,998.85948786,1062.9596239,1113.09168473,1182.23282638,1227.31651967,1293.26926678,1323.69681903,1401.5240311199998,1442.66457646,1502.84748255,1524.85969821,1602.24996537,1633.8008158399998,1670.18758637,1737.3564540700002,1775.85397855,1814.3007849,1856.00372683,1879.11841837,1930.41608889,1971.36722569,2013.87021619,2063.27921438,2078.1310895300003,2100.57739396,2172.45201185,2193.4942840199997,2236.3243024500002,2274.86627344,2298.40078199,2322.40245877,2369.8890471000004,2405.53983594,2448.9389614799998,2466.2150794900003,2504.7555645099997,2538.13923451,2576.35943862,2603.3183287499996,2634.1118668,2673.78741755,2715.99615571,2739.46694079,2777.70724909,2811.89118556,2855.53203348,2888.6905444800004
1.5,266.11071986,365.37558133,467.000121065,571.695648885,643.53281567,719.33807121,793.9833489,867.670246725,947.450663845,1006.998786685,1070.9988392750001,1119.641508575,1194.16991531,1241.91475131,1298.0278540250001,1340.103508795,1408.2102860599998,1450.925623705,1521.3793670799998,1534.72445254,1607.71547448,1638.63233396,1677.690986635,1743.716355205,1782.705219795,1822.202303045,1864.949102145,1886.235273085,1940.4886513449999,1983.753625635,2020.05367017,2067.869769635,2081.6028456999998,2126.35969425,2181.259982665,2198.5377107850004,2247.044906745,2285.69417768,2301.68943023,2336.35142373,2378.09662749,2414.0803518850003,2450.56992259,2470.542399435,2512.4371273350002,2541.52851404,2581.8998745649997,2612.760655855,2639.1380090850002,2677.566891075,2720.0036020949997,2746.394780255,2780.90359454,2818.99468431,2857.25594025,2891.96108435
2,270.80379972,371.10948174000004,474.75932354,580.39775954,647.23527624,728.9225494,807.7604525200001,875.7401532599999,950.29400858,1014.61501524,1077.76502852,1132.2461801,1203.74938434,1251.16632314,1304.4269030799999,1353.2895198200001,1414.3028614,1456.94789964,1527.2807072399999,1550.60597048,1613.01966484,1643.30056202,1695.4430717599998,1750.3408016600001,1791.09620246,1829.38812786,1872.08798346,1892.45963596,1944.4428762399998,1991.2833737,2025.85368756,2070.8878292599998,2089.80466858,2132.56834074,2186.3863701,2209.7966535399996,2251.8881835,2288.76593932,2306.47249788,2343.1218823,2382.12559866,2416.77311508,2456.98306368,2476.3973045800003,2515.5350256,2550.98858522,2587.6448418600003,2615.3743109,2646.6219287400004,2680.1022684600002,2723.4404558,2749.4824446000002,2785.4918233199996,2820.5938826,2858.84845776,2893.16455228
2.5,272.7405572,376.51899710000004,479.68858247500003,584.9026816500001,653.627221625,733.783570325,812.6626102,885.998593075,961.0435804250001,1024.918384,1081.3247529999999,1140.375966075,1209.415015475,1254.3593890500001,1307.6788341749998,1357.0936785000001,1418.851436575,1467.074492625,1532.126794225,1559.4512900500001,1617.62742845,1657.0621181499998,1704.265211625,1753.880949725,1795.4226572500002,1836.743199775,1880.241591275,1901.7802081250002,1957.123853975,2001.7486617499999,2030.7360405749998,2072.549612,2095.72906655,2136.2347689999997,2190.0105952,2211.78473945,2256.463802575,2291.90574435,2311.086310525,2348.779007475,2387.680513,2421.8067855,2461.039639425,2480.3483686,2522.113477325,2556.606523875,2590.7754403500003,2619.067682075,2648.6089336,2682.484741525,2726.4622390249997,2754.7981580250002,2786.7559393,2824.025258375,2861.7588999,2896.628998325
5,284.87303145000004,393.9582373,498.432925,608.597992,676.70864595,759.6185261,834.5076648,911.4338455999999,986.7501787,1054.3168921499998,1103.9600878,1166.7681824000001,1235.99062325,1283.2696512,1336.47258585,1389.49401515,1446.41991495,1497.1333226,1550.0011491500002,1589.9283426999998,1640.58616995,1682.7607659999999,1734.08916615,1772.4394399,1813.18329915,1858.4242198499999,1897.66608605,1931.43159335,1972.0472124,2019.4852824499999,2051.8850875000003,2088.312764,2112.7326037499997,2153.5598941499998,2202.3857025,2225.3986579499997,2271.1396855000003,2305.3581811,2333.28355325,2370.3966520000004,2400.0920088499997,2434.89315025,2479.8102012500003,2499.13185635,2535.59772405,2569.4060258000004,2601.1290713999997,2632.4196094500003,2664.8505282,2698.9702462,2737.4970771,2766.6842281,2795.7708158,2835.18588435,2868.4818462499998,2908.7916147
10,309.6677993,421.0837417,523.2158674,629.4650441,708.5284330000001,788.1801827,863.2884257999999,942.948633,1017.1075244,1078.0318457,1138.3128362,1195.5646222999999,1258.4420564,1318.7679828,1371.5109221,1422.2278142,1474.4833075,1521.6581664,1578.7519058,1619.0382911000002,1669.9473804,1710.9165612,1754.3745956999999,1795.9741139,1842.5377842999999,1878.2363267,1920.7998627,1956.3174959,1995.7909351,2035.1756368,2072.7900119,2107.6207157,2137.6350862,2175.2952185,2218.6576074,2247.3752566,2291.4298079,2325.332005,2355.7880186,2390.3516468999997,2420.4334247,2455.490345,2492.9164701,2519.0085193,2550.5245958,2586.3338182,2615.6233696,2647.5328516,2680.4909129,2713.5461343,2748.5134264000003,2776.6029754,2809.9299741,2846.0797962,2880.4551318,2920.0472669
25,338.76952325,459.679824,563.698077,669.7955465,754.25267925,834.11354625,910.6041405000001,989.4018149999999,1060.61040825,1124.453247,1183.190492,1241.7335974999999,1302.72623225,1363.61954175,1411.938819,1465.51064125,1519.30034875,1559.6044162500002,1613.37766,1663.6029445,1709.0617795,1750.0550054999999,1794.2627762500001,1836.93089,1878.02920725,1919.545339,1957.55014075,1992.65291,2031.37080825,2071.0155025,2108.509208,2144.302732,2176.81551,2213.5194677500003,2249.38779675,2280.9432265,2321.59872175,2352.05974075,2382.9401755,2421.01037425,2449.69701775,2484.86273575,2521.26052475,2547.5049905,2581.8751785,2613.142902,2640.9284792500002,2674.910082,2704.12139325,2736.8952355,2769.1052842500003,2798.5133845,2830.42753225,2862.50099125,2896.77756725,2928.17399775
75,415.1372235,543.5791895,656.6193805,763.72919225,853.42231025,936.285798,1009.5730444999999,1089.92846175,1153.9000135,1226.5135515,1280.9327065,1348.6146107499999,1404.099154,1459.20920275,1502.11629225,1558.618536,1611.6884435000002,1653.57257175,1704.5987344999999,1747.7438985000001,1792.739789,1839.3709095,1876.74644075,1916.7615025,1959.43461425,2000.0412942500002,2036.10456775,2069.58349775,2110.0816935,2146.296454,2177.4650635000003,2215.062303,2251.927372,2285.7840917500002,2321.0258710000003,2352.4102835,2387.019391,2418.6301789999998,2449.333546,2483.12786775,2514.7617204999997,2545.55665525,2576.6934177499998,2606.27191675,2635.91240525,2665.8969205000003,2692.3374544999997,2720.8300865,2750.16879425,2779.1013915,2806.59533825,2834.31739475,2861.9795145,2887.5823920000003,2913.53908925,2937.7848105000003
90,451.8222576,582.1210183,700.400027,806.2305991000001,899.6075372,975.9248406,1056.1891555,1135.5345476,1200.3189858,1272.0980202,1324.6203586,1382.0017,1440.7419959000001,1499.6819917999999,1543.6310231,1597.0242343,1651.9000043,1690.0135584,1741.0556454,1785.7199050000002,1823.4103811,1872.8714166,1912.2286311,1948.9826891,1988.0898842,2034.1946848,2068.3015808,2101.3501137000003,2143.8376331,2175.2221545999996,2211.6479480000003,2243.8395981000003,2278.4207943,2312.5894707,2348.3917555000003,2378.0245124000003,2412.8048817,2444.9541750000003,2473.8224179,2507.5375916,2539.0315171,2571.2603590000003,2595.8492309999997,2627.5030226,2655.6900351,2684.1732386000003,2711.8670497,2739.4077948,2766.1565634000003,2792.8696305,2820.0339132,2845.4982934,2871.8531778,2895.6237389000003,2919.4793808,2941.4024214
97.5,484.17349195,623.491308225,752.258279475,855.4568257999999,952.74492815,1021.8708779499999,1098.94854265,1179.5850896250001,1261.426815175,1316.13948105,1368.1152771,1425.680104325,1481.3287986999999,1539.5978957749999,1590.70534095,1648.92941855,1683.916615225,1735.4250505,1783.515226425,1826.581321075,1865.05718615,1908.906011125,1950.211314625,1986.2655004249998,2017.0665643749999,2066.0370751250002,2100.9220541249997,2131.31267685,2179.709371475,2206.64439835,2242.7693186,2272.8372781999997,2309.668289775,2344.065785,2375.06470215,2407.867698675,2437.8633031,2470.9949454000002,2498.0002931000004,2530.4079089,2565.356904475,2593.975087025,2620.40300845,2650.73528235,2676.5471833750003,2703.741662,2729.4114424500003,2756.8792466,2782.9445654,2806.00960885,2831.32677135,2857.516571725,2880.7237828,2903.5785415,2925.5395638,2944.77724915
