,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210
0.5,23.796228155999998,21.89043483433337,22.50620592925,21.3061097216,20.750874225333334,19.212946142428585,18.49060221625,18.38612783055551,17.0711385,16.033667347636335,15.800430989666667,15.752051468230723,14.993831796000043,14.745874384799967,14.4661222303125,13.838851705941147,13.640106193277756,13.5133079158421,13.4506519105,13.316087393904743,12.953011762090945,13.005459739130439,12.75829971325,12.58817119876,12.673620863115355,12.516733276259263,12.384555111464257,12.321428349931024,12.202649006433367,12.046329771193527,12.00175224815625,11.874408262727272,11.88867313241173,11.881278745571443,11.865781196750023,11.658923945594621,11.674383560000011,11.654506912692328,11.641107678125,11.672010861780443,11.729021900547615
1,27.128291598,23.911732770000036,23.5944197965,22.25530088,21.4011722683333,20.040187134285745,19.29166776875,18.906339356666678,17.559076981,16.522291642000038,16.618940496499967,15.979112805076955,15.310331408428544,15.236621623866633,14.717453224000002,14.316738567647077,13.964750335999968,13.841107241684195,13.5775399687,13.551527813238092,13.325525342909074,13.279840886608735,12.963939988666633,12.81657887768,12.783276498076916,12.61945831222219,12.507109539285672,12.430175935379332,12.295885452133366,12.187077186645142,12.125825293124999,12.051468454909045,11.951165911999983,11.925509981142886,11.92616620950001,11.715870348324348,11.74390687836839,11.68090588092304,11.691684057849999,11.681299566975646,11.757593943857119
1.5,28.3294301925,24.4644831013333,24.824362140749997,22.8555501032,21.869541723999998,20.686124557999957,19.750426563875,19.270115988111097,17.842185636900002,16.81293250899997,16.958717384666702,16.172467270461574,15.49592452985717,15.333725108,14.9627205764375,14.562110924529378,14.1773778219444,14.023410351105289,13.7842344988,13.725963357285686,13.478477910500043,13.404518596130417,13.0662512431667,12.89618003016,12.862005945923054,12.738417129296332,12.611956868714328,12.519703627241354,12.4482798582333,12.284492383935513,12.1607776305,12.108980822666673,11.999534647382319,11.979612468857114,11.9588363918889,11.826238603783809,11.783902959921077,11.716233542923085,11.729528470925,11.727830885536568,11.794111899690458
2,29.227944272,26.48755745599997,25.502277285,23.441327308800002,22.189420511333367,21.528699775428585,19.9633208,19.46209147199997,18.4220579296,17.173154546181774,17.081753467999967,16.54256796123074,15.797269336571429,15.549236975999968,15.174301075999999,14.661356262117648,14.337958303111067,14.115871797263138,13.8500642798,13.802551049523803,13.579142192909082,13.45145298956526,13.127919217833366,13.03787075056,12.993542048769207,12.771338741925916,12.71317414557147,12.555970569793141,12.501546395733367,12.342128645419391,12.261847287624999,12.15392330630304,12.061056440705904,11.991052522742816,12.003754145666688,11.893253715675703,11.835705818947332,11.772049567794902,11.7558562187,11.746668081073178,11.807851971714314
2.5,30.26742894,27.337871605000032,26.31972549125,23.921123759999997,22.444309896666635,22.104391474999957,20.333521100625003,19.49193487611109,18.533744436499997,17.570448154545478,17.286852856666666,16.74099148692304,15.976582863214245,15.623580774,15.3178566584375,14.853706627647087,14.403866081944422,14.250166491052667,13.980934554,13.874245758571426,13.6498905465909,13.501366963260832,13.190820583125033,13.113286243400001,13.051431365384623,12.821194302407418,12.7409713483929,12.577962954827575,12.5367267403333,12.403570627096768,12.293195971562499,12.223528911666644,12.095220091470587,12.0265924988571,12.01217004125001,11.937519705675628,11.876198313815781,11.815333541153866,11.774904289375,11.760427372195075,11.811724835714305
5,33.824246985,29.967627153333336,28.794135604999997,26.190902508,23.62231924499997,23.0465600871429,20.93837452375,20.29227819888887,19.281782316,18.31933145000001,17.853699995000028,17.27271299538463,16.60935179785717,16.00491150800003,15.814519329375,15.311856011176475,14.88448577888892,14.67486788052635,14.310074172,14.175244979047585,14.0153784277273,13.749771773478274,13.52554885500003,13.363515249199999,13.220230871153861,13.005097207777736,12.943157712857099,12.787242303793064,12.6534688786667,12.533848238709691,12.49046786125,12.37701507909095,12.28076712117651,12.12529700685713,12.133598419999991,12.03561893837838,11.96952900684208,11.90263599666669,11.85436984925,11.845618582438995,11.860467497619046
10,37.53065916,33.236012253333335,30.657273290000003,28.115428364,25.5623278366667,24.406251154285748,22.212593575,21.24723000888892,20.140089012,19.1788639836364,18.450529873333302,17.81133545538463,17.223329701428582,16.61626290000003,16.30949197,15.81418654823529,15.36450839555558,15.07339870000003,14.661664036000001,14.56343589333332,14.29230220090912,14.10805538782612,13.784889493333301,13.625467192,13.51644946692312,13.24712314888885,13.128783310714299,12.97446915724137,12.86120499799997,12.740909730322599,12.602954161875001,12.55517846666665,12.43578826764709,12.26390923428575,12.246611799444421,12.148496740000029,12.07202681842109,11.99682632051283,11.938065306999999,11.89982094341464,11.89991031476193
25,45.3269948,38.76760036666667,35.226931087500006,31.34207771,28.4816529333333,26.622994364285702,24.52235331875,23.049016677777775,21.83222755,20.558461154545427,19.758425579166698,18.974122934615377,18.247678796428552,17.57061701333335,17.099143121875,16.702955594117675,16.153208050000025,15.740270086842076,15.3223539325,15.15137730714285,14.827244238636325,14.575089391304349,14.286591314583351,14.073263186,13.9457451096154,13.705920500000001,13.482463714285675,13.36219847413795,13.209808604999976,13.046143104838675,12.9208838015625,12.7999733121212,12.700849435294074,12.529721254285725,12.47651145555555,12.337112795945925,12.2474223486842,12.166780308974324,12.070732815,11.9982382463415,11.94748295119045
75,63.485974325,52.931518633333305,45.0130733875,39.959282,35.332657075,32.046058985714275,29.5123123125,27.257784977777774,25.635604975,23.935678995454523,22.663817875000028,21.7157488538462,20.726540599999975,19.7696758866667,19.165443765625,18.462566488235325,17.7737899583333,17.431319834210502,16.869367077499998,16.505229995238075,16.21009196818185,15.7921013347826,15.44442551041665,15.21308917,14.883793753846176,14.6647057537037,14.372977239285726,14.19294937068965,14.02959667666665,13.815348683870974,13.6189799,13.43264408181815,13.2775971794118,13.077577675714275,12.985024776388876,12.78449657837835,12.650745557894776,12.5122574730769,12.3636063125,12.205270270731676,12.0444582666667
90,71.52494331,59.22096515999997,49.825942555000005,43.496563656,38.24490024,34.88120267714286,31.407199209999998,29.10707927555558,27.193556122,25.419374779999963,24.12165636000003,22.919959083076908,21.68563558571429,20.83299018400003,20.058649317500002,19.361921027058788,18.7853297088889,18.15542315999998,17.60769703,17.18068620571426,16.80400775909095,16.35407816695651,15.96929264750003,15.6667494744,15.34768768615386,15.10883168814813,14.806812475714269,14.57205124000002,14.391289430666701,14.146554219354812,13.901068119375,13.68602895818181,13.54310028588235,13.31289690857143,13.184268668888869,12.95919018054055,12.7952546889474,12.67623726820516,12.500817829,12.31126853024387,12.102957269047641
