,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210
0.5,52.001011860666715,66.49009828152384,69.35084811055263,74.46832662986667,79.3389490532529,82.02451444126052,81.8326342912692,84.25340027722223,86.47430959908566,86.35013265595956,86.91007120799148,87.57881451135579,87.97127610058381,89.38376623065584,89.61004753602533,89.48549032671153,90.45652497037831,90.08897180473912,91.47683168343231,91.0157445058846,91.42090764108757,91.51396553281614,92.03203637728217,92.75592497124256,92.76587311620152,93.2678804657126,93.28492730958584,93.74137306436589,93.81642841949979,94.4477029202815,94.20967318933413,94.86446338521507,94.97566087777093,95.29766469932343,95.3630411826937,95.79633245214339,96.10667124216128,96.33038961445357,96.82086794010677,97.03624307575559,97.75154187081138
1,56.8994110675556,69.70065544895235,76.01460844452629,79.2751101980667,82.29648887554022,82.77396634796635,84.3635449197821,85.66780174907069,87.08882926640815,87.45985206254548,88.48504426736726,89.07898600758651,88.61587587502694,89.91920877749914,90.15171820003802,90.72296578377032,90.97757560519852,91.08567651033368,91.76476513278388,92.20423052788648,92.01067478087403,92.41028288275213,93.04147015567364,92.97448367830197,93.12464313899943,93.5257553761238,93.82951553238233,94.10539486657088,94.0742367551311,94.70867968243317,94.51254566737974,95.21220781124168,95.2332906733324,95.54760643126176,95.53314165678646,96.0880931720764,96.13758439707104,96.53443740591062,96.9094963606834,97.16158142150168,97.77238132638371
1.5,62.574415075222205,71.83826381923807,79.3457797251316,81.230291967,82.88223425706897,84.99749938583189,85.26496605089747,87.53658302148487,88.15430364411021,88.17529847657237,89.16147859434177,89.61879628863943,89.4678168868489,90.24923129950989,90.81025984237974,91.36457372138939,91.54850275555427,91.67302592454422,92.11701256633336,92.4367162955256,92.28653636717928,92.78517332707096,93.50142422176819,93.4958608511652,93.32344020226712,93.66128112735542,94.20746633918397,94.2843503108448,94.52755293765416,94.90551975072644,95.10847908796977,95.41269417807167,95.4754436908656,95.81335486978789,95.71997494383305,96.28443223070155,96.3952774924731,96.62227554987994,96.95769121115575,97.20290125042514,97.79378008235454
2,67.88800760222222,74.58941823466662,80.13043037231577,82.2248828302667,84.050897144,86.06501401687392,86.09675185500004,88.24129622868689,88.51695205926535,88.61025820309766,89.776663595887,90.10437100121153,90.15351673241406,90.86136516252249,91.32939946823421,91.75871359849857,91.6781420560849,92.12536797126093,92.44231912528485,92.79851625002934,92.88418376183489,92.93511872516858,93.86145304878713,93.697551551009,93.6020185294335,93.83708314587945,94.30963415372452,94.42484571130647,94.96114182677047,95.0923317749879,95.21510912438683,95.63850333922245,95.58917080305608,95.94302508693596,95.87783295009682,96.3581245139224,96.48845839940854,96.6814674868834,97.05873151943614,97.25981461837398,97.80176195147236
2.5,69.80067322333332,76.23103899,81.17560798986845,83.39113914916663,84.73504293741378,86.26607067621852,86.87782143083336,88.66078905702017,88.87167426373466,89.04202880744106,90.29317193751413,90.37813232718749,90.57167733538306,91.35457475767569,91.47550366426422,92.07315115152659,92.13561787607362,92.30002467870102,92.79806713022727,93.07577406609884,93.07890353226026,93.132706675103,93.96381515122546,94.07963690872907,93.80485996561417,93.9734017498784,94.53938046693727,94.66310875449712,95.03510371308946,95.18432287454122,95.27590301833924,95.75162297799706,95.72569272774977,96.05417691294586,96.03505085281192,96.39454357898063,96.57150466001812,96.72943614636527,97.10177624207164,97.28417155429938,97.80608289702442
5,76.65403720777782,79.57223231428567,84.74164784578952,85.50653077033333,87.07921190298849,88.28384394857146,88.24082070128202,90.21737759727274,90.67491895624485,90.43310730511783,91.61618214319212,91.47059159475963,92.02582591082815,92.0228066246126,92.42384890012659,92.97170836162462,93.21717538699126,93.38247567585668,93.52907920049499,94.02161154342488,93.93211505498748,94.21328202756678,94.47123276168065,94.80055684984518,94.79499651205721,94.74639406960755,95.17651782998976,95.21497455347706,95.64325512861743,95.64192315993294,95.74448143012971,96.01594263009612,96.23989201036895,96.38140181491627,96.43145643862817,96.63725083820799,96.80586987964075,96.94248357455456,97.22725784178647,97.39671074103777,97.82901608806787
10,81.75061858888888,85.49186571047619,88.16012739684211,88.4566898106667,89.55023015195404,90.79007566084034,91.16285146820513,92.34892138161614,92.32810420089795,92.33319683084177,93.515090189435,93.17491625788463,93.63810851594208,93.85430348439641,93.87933920012661,94.16429983126052,94.1866704403995,94.70359998983204,94.89682308973737,95.04480720538461,95.04361970141784,95.05548980823801,95.3240026913445,95.55946424010318,95.70048105385807,95.59505316442237,95.93061649006168,95.919659177567,96.14417694635347,96.30714238977795,96.39102858493715,96.59582453225424,96.70606172633481,96.79294586142531,96.77768494687771,97.03371670936541,97.18162772885543,97.18478804461013,97.44218836321103,97.62358876082259,97.86570250616539
25,91.0196493,92.65341233333334,93.95326563552635,93.8312502666667,94.25319860862068,94.92945924285715,94.7257194352564,95.3035837070707,95.62545251632658,95.66251774579122,95.93996354392655,95.99192202716345,95.91961647463768,96.01614779963963,96.16391460593358,96.22755353949583,96.1659925361423,96.57547132038073,96.57230131732325,96.69770841437733,96.67826480483733,96.63177568665138,96.73014597528015,96.73379616219353,96.98932933971378,96.80774002531788,96.88475788448095,96.94555258697319,97.16099644785236,97.23867078454126,97.30880606586088,97.32349566692533,97.41118846902195,97.44809474292279,97.46162471478897,97.64188074870741,97.70052471179338,97.7005877513349,97.74391986363065,97.88287207099472,97.9591787926407
75,106.96870428333325,105.64577618095275,104.38915791578975,103.45722988999975,102.6135912327585,102.5829011067225,101.5075666891025,101.77896885454525,101.94938465938775,101.253074643098,101.23326734477375,100.96648420456775,100.67334451842625,100.43680367873874,100.46631796305374,100.4272224092435,100.25203521285874,100.30096808969725,100.09483772227301,100.03286830576926,99.95787025187653,99.8330145877193,99.6747280685574,99.73749582200003,99.51117302000594,99.52760839944723,99.38981992191677,99.31966017250957,99.30395852436244,99.24861922216172,99.23167386538915,99.06950477974868,99.08575591427078,99.01127058532023,98.88091640100865,98.84984031789067,98.8474760632414,98.68582311895324,98.60642543513818,98.52328073718311,98.39050930076327
90,111.7271322244448,109.5016399771425,107.6989299242102,106.498587118,105.83954302666629,105.53618560436979,104.04689505641,104.3769606604039,104.1249503526531,103.5754357586531,103.5341760650849,102.98518624317289,102.4151061377228,102.5094681416212,102.0581223913608,102.0505206212882,101.6881122124597,101.8530846328331,101.4358681411112,101.4467440839195,101.3869462663722,101.1368162288327,100.8866471681513,100.93317924678699,100.6629922512581,100.6414544136875,100.5570212645117,100.3968861822416,100.3172896542009,100.11474675267681,100.0431014126497,99.84780237680712,99.69256960790115,99.68388225730051,99.50495400049037,99.38038526002353,99.35077203217487,99.11862660845888,98.96632897936179,98.82072415362025,98.57589822940537
97.5,114.82125441722265,112.44243363095258,110.62100795921077,109.39082082683332,108.5584079517237,107.99590400386576,106.74987057304494,106.57031573060598,106.4191945576125,105.80008188478114,105.33104645488746,104.8255328240622,104.54580192629413,104.02610353884687,103.85963249212051,104.07897076966363,103.31829088468128,103.7973100041883,103.23693017237346,102.87111359546662,102.66261801960364,102.43893849806243,102.21100000182042,102.08139425131648,101.9054862527046,101.66875767255951,101.6678394637534,101.34209594247578,101.3722640707562,100.74375663999125,100.79870219993758,100.84891441896205,100.52237536214197,100.476816324026,100.14669548274716,99.9908417204877,99.84975149426343,99.57888965476606,99.30754369133918,99.09212506314447,98.61082140519818
98,115.51663875555556,112.75569469333291,111.25540838873641,109.90280856213366,108.93058469181638,108.22282258467186,107.31095569461515,107.03423507406056,106.63633510881641,105.94795110720565,105.70519765876841,105.00178681569247,104.77691793019451,104.57278631077479,104.17425932705656,104.1837716283805,103.42666047117079,104.01357473116242,103.44550720467501,102.99736581564807,102.8211565400931,102.71809020372235,102.35991574934464,102.2975430758139,102.10888627766296,101.72230361498332,101.84487357663085,101.46472711340182,101.55121367353037,100.83838436849256,100.87078215044215,101.01184749259984,100.72078564037221,100.561940654261,100.22708434433146,100.09952647939558,99.90382701419999,99.6479949968491,99.40055036695473,99.10979681653563,98.61126760365735
98.5,115.816450511556,113.31418971933357,112.07617158071058,110.147365681467,109.12994063185096,108.78524480181538,107.82231870282017,107.44484265204048,106.87353274506974,106.17849405659233,106.0328546145052,105.47154929282647,105.32995469947848,104.8327494122273,104.5879898724097,104.34029545902001,103.90322230724493,104.26362892716863,103.73102384621652,103.30895472199614,103.05560779212915,102.89702422419542,102.62444658458365,102.49000621061845,102.17995274568469,101.9254036050676,102.01226246845876,101.58849230343151,101.83856332440759,101.02930047128145,101.01842786521621,101.12743122512066,100.87886874898275,100.62954921400285,100.36404908703186,100.15641381083563,99.9575983336547,99.70987277899128,99.47839173899192,99.13995510194115,98.61444988455933
99,116.32896079511079,113.9542251419048,112.866654254053,110.56319850846667,109.44351424351683,109.57390371223494,108.2681834929876,107.82373343640403,107.26488214322481,106.6675022895089,106.24635817642947,105.76202789223069,105.80959451221494,105.3110296986887,104.84013708790206,104.6454934966048,104.50216208152816,104.43973979493437,103.98497167093085,103.75233162869549,103.37913221875534,103.10623012499778,102.985037231294,102.75838393085671,102.47716351080479,102.02689868240358,102.26739746163325,101.8814849506337,102.05707676344498,101.13702312142401,101.26340343109821,101.39310024689239,101.03527497945524,100.75932738852019,100.58722063868268,100.34747583165202,100.08198526498495,99.78835009016233,99.57035762882315,99.15359795446199,98.61558973494553
99.5,117.28962709566711,114.81489761542814,113.21411321392137,110.99212984003366,110.00598887872455,110.47270512731093,109.72948983840361,108.58499285252475,107.99553122175526,107.12697309381115,106.65328426996928,105.99948505615431,106.10684407007649,105.9126415149552,105.58970945832249,104.80721640779508,104.792680118462,104.96338745335261,104.52067177373628,104.01639683308595,103.73652160515024,103.60960820326495,103.44405976242146,103.07974869935514,102.67964576875266,102.3210861713063,102.79707155758014,102.03062022399946,102.19436544887738,101.507175796873,101.55603204828951,101.82924336050752,101.14468146863383,100.91884861398584,100.73729036064316,100.72027414183886,100.41091004205312,99.90894318059314,99.67142917528396,99.19226484303493,98.61609927817386
Median,100.374211655556,100.072022295238,99.32872816052634,99.00892349333336,98.7142584781609,98.66111646218485,98.43487139935895,98.3579110848485,98.71611422938776,98.67990765993264,98.63241853870055,98.5998022754808,98.3884662478261,98.3728137589189,98.29468272009495,98.28673154033609,98.38465928876406,98.49545899529676,98.3703599810101,98.35724613351645,98.48351075546285,98.2564427458429,98.24243333998601,98.32297484993549,98.30969901359569,98.224429961194,98.16432761402875,98.1353404995211,98.34777737659955,98.20287172090491,98.2247511284984,98.1586524522543,98.25110789509225,98.2794100838752,98.15105513153324,98.2345430860752,98.25252156970205,98.21138861691779,98.1551980525377,98.18117625270204,98.2278930693552
Mean,97.97828932037778,98.46811336641905,98.48013345623157,98.17385089425999,98.11234995602068,98.411374414558,97.9433831978154,98.34975001138788,98.50605626722123,98.25007076834478,98.46481860820792,98.3231108615,98.15422173328945,98.1903655753427,98.15458367267343,98.23703995108514,98.12544193093333,98.3452693525765,98.25810976847089,98.27330568489158,98.25704988419966,98.17387709215254,98.19032751429538,98.26399474167637,98.21526583124235,98.13063969984631,98.15728009616033,98.10980791804501,98.27820193527964,98.20097048679665,98.19674079292155,98.20461565023975,98.2267420933872,98.24203826805399,98.14439554251383,98.23015667029296,98.26137559151071,98.183145551303,98.17728049995323,98.20643802194759,98.21600420559174
