,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205
0.5,25.624738809500002,25.088362608333334,23.741605824249998,21.7974849718,19.7196544141667,19.744483094714273,19.613823046874998,17.54847907466669,16.963078589200002,17.121023056363644,16.168172427499968,15.850947638769247,15.457313795500042,15.406645180866667,15.104392013312498,14.44803616817643,14.352428432222254,14.189601797473673,13.80419365205,13.797173575619095,13.594486134681846,13.477907747608668,13.222453422374967,13.0117752328,13.050852410769245,12.826008602777819,12.795794730642829,12.65649410186203,12.634891348900032,12.421484691999988,12.427085627437501,12.360113175757583,12.390291245147088,12.278479805228544,12.285365646694434,12.319437512918908,12.151122287368379,12.222873339999976,12.247405484075001,12.278210128512217
1,27.242507484,26.657256510666702,24.597809968,22.3059368804,21.279980192666635,20.575956192571457,20.27530091375,18.580071483555546,18.015653781,17.57935734672728,16.645668639833367,16.33878920061537,16.127449453285713,15.7682103424,15.312407849125,14.802661449999967,14.633860800333322,14.380339484210541,13.9959746481,14.158246784285746,13.735885470818138,13.558838925565244,13.423602993499967,13.155720348720001,13.256163704153883,13.05816417881486,12.887262176428587,12.719029718551734,12.768334997799967,12.591207259548368,12.5778970714375,12.427581723939365,12.46021041788237,12.366830563314313,12.389700292055567,12.408582084648657,12.25394877936843,12.280590356974395,12.277377411949999,12.305636711756117
1.5,28.141949731500002,27.0409925216667,25.23268221075,23.623960132199997,22.3932186651667,20.731238898857114,20.496373379625002,19.392853073000033,18.4836698003,17.893485665909058,17.00779240675,16.659398759461553,16.279641412285685,15.902838010933301,15.469078043625,14.976912720764659,14.746721194277768,14.496437661999963,14.19094140985,14.239819302285687,13.901782218454573,13.743803889521745,13.6023474970833,13.292142139120001,13.306051442884609,13.150615113333311,12.964951024750041,12.913744946724105,12.8184702603,12.666933003290357,12.66190462884375,12.490479351727236,12.516293241764695,12.435715926685756,12.431356131277767,12.436721894000005,12.304869783684227,12.321652742999992,12.29226447185,12.321336434439035
2,28.643276576,27.860411464,26.379862324,24.200099672,22.991402135333367,21.519361823428543,20.8448835825,19.611328621333357,18.6848547588,18.236523059636408,17.300549269666668,16.848118773230762,16.40994799028574,16.145200844266633,15.844558554499999,15.115372758352976,14.827850961111112,14.619397080842152,14.377519338799999,14.320339926476153,13.980986635090892,13.8033451269565,13.6903292771667,13.3626837472,13.499311194307662,13.289079395111099,13.014491424714285,13.010194244000031,12.864257389466665,12.747298094322606,12.708477558125,12.554735273818215,12.571365880941222,12.482819262628585,12.445557085333345,12.455824525621589,12.381528528000025,12.341067529743553,12.3271852742,12.345235215902392
2.5,30.498517262500002,28.69501211999997,27.144623605,24.670718375,23.573671889166636,22.03332522285713,20.950046918125,19.8662156572222,18.941618184,18.36506590909092,17.430558862916637,17.052436963461552,16.597826613214256,16.30677191600003,15.901811133125,15.408214535588217,14.972474393333378,14.740951205789491,14.44747333325,14.422864772380919,14.05773986704542,13.912632384782622,13.748811740000033,13.442121144,13.533416657884631,13.342677430185176,13.0544391226786,13.098216125862056,12.910813157333365,12.792895066451578,12.7460037625,12.586371335909076,12.604399878970627,12.505255451571415,12.478914974861143,12.470389774459491,12.400137833684221,12.350964723205127,12.361938804374999,12.36908858939022
5,32.80495877,31.142339093333366,28.8403856475,26.687429614,24.729041875,23.928614774285755,21.6964040625,20.794360825555547,19.705642974,18.9734752018182,18.062275614166637,17.603072512307733,17.15169570928573,16.86785169999997,16.31836178375,15.798657605294121,15.403894062777766,15.125044323684246,14.763255512,14.69762244666666,14.372252175454555,14.158877469565216,13.961324264583366,13.696777984,13.701544752307669,13.52544487185186,13.303894232142829,13.24906064241382,13.0865419133333,12.969962809354845,12.898865138125,12.74938123151516,12.720508206470589,12.62496228514283,12.60977123250002,12.589133842972986,12.4896383463158,12.431093320769245,12.44499543575,12.444076139024375
10,37.47176478,34.39940705333333,30.73502253,28.998781172,26.50822966999997,25.12159628571429,23.0104840675,21.9878131311111,20.638823428000002,19.8047490945455,18.85493779,18.54891795692308,17.7697687785714,17.34907748666664,16.768755732499997,16.21051952941176,15.8302462777778,15.637136578947409,15.204789112,15.03547370571427,14.69427063090907,14.4440162113043,14.28646127999997,13.9961578752,13.88844704538465,13.73757355555552,13.547787027142839,13.434976866206899,13.338649494,13.17861450709678,13.098449205625,12.93905957151519,12.851935546470589,12.796920322285729,12.73330191666668,12.68384141513509,12.584775505263181,12.53631250307694,12.5218578365,12.52663148975613
25,44.8464814,40.68021631666667,36.0596077125,32.569914229999995,29.42709964166665,27.53969894285715,25.24622723125,23.7903133,22.4117711,21.307406050000026,20.374245566666673,19.75508735,18.881471607142874,18.202773846666652,17.635757249999997,17.103653032352973,16.69448221666665,16.2986045868421,15.862449654999999,15.5535533642857,15.267590040909125,14.95166456956525,14.79652693333335,14.493677346,14.363843036538475,14.107237035185175,13.955875455357175,13.823748144827576,13.65445275666665,13.522321783870975,13.3753225703125,13.22357178787875,13.1065636117647,13.0212519828571,12.9385733125,12.856995697297325,12.768555994736825,12.6876674358974,12.63597112375,12.6046102841463
75,63.5713986,53.1980913833333,46.579297725,40.505425200000005,36.41747885,32.90668567857145,30.13130793125,28.254368061111123,26.46351463,24.73509988636365,23.6699720625,22.140951715384602,21.280244814285723,20.53238885666665,19.74450781875,18.931756811764725,18.376266663888877,18.00691417894735,17.357149605,16.96807331904765,16.6289782159091,16.1838777,15.93320276041665,15.61833148,15.37842788653845,15.075213637037075,14.816038048214324,14.598777146551726,14.395299173333326,14.213962925806424,14.036730146875,13.858429466666674,13.7174022367647,13.5295983971429,13.409373806944474,13.265493986486524,13.121562293421075,12.9785022589744,12.8646340425,12.723034295121975
90,71.2616898,59.43598906666664,51.19270788,44.193406972,39.22704123666664,35.62437296857142,32.492155600000004,30.0895849,28.123061284,26.27407619272728,24.92978473499997,23.53921818923075,22.48087947999997,21.574008569333362,20.644579525,19.91076445411768,19.10049373999998,18.67413314315787,18.035792845,17.6476028628571,17.277814802727228,16.77858269217391,16.4598383775,16.0954187424,15.84786102846152,15.49990573703701,15.20982417428569,14.99424933999998,14.71748884933333,14.57850702000001,14.330842766875,14.14193258242425,13.9341494829412,13.74354373314284,13.59429728777774,13.446116773513541,13.289135581052609,13.0917453892308,12.954195376000001,12.78173276634144
