,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205
0.5,228.217005215,346.84851704,443.59688852999994,533.030070625,642.8537123599999,694.85964614,781.2595215299999,852.984052755,902.264338595,972.17582885,1031.3624996600001,1085.98636547,1144.729302495,1189.5490602250002,1252.153017315,1303.18132888,1353.81564706,1397.17828319,1433.87071529,1490.4786467850001,1517.10718686,1559.369915515,1608.458632185,1645.99409268,1699.932982115,1738.50592136,1776.0035161750002,1817.139048405,1839.928162855,1884.7062191250002,1923.86772288,1959.9098321949998,1993.020358375,2039.67459018,2074.9311021649996,2099.2099641249997,2141.979728175,2184.9487141150003,2225.474390835,2267.742079295
1,238.09434875,360.100218,457.81131072,558.751461,649.9402805799999,722.75305907,788.03086522,863.83432319,915.96904943,978.09870242,1038.62359618,1099.80268582,1155.26471169,1203.6816460500002,1259.8175578,1311.9338866500002,1368.08653307,1406.4857591300001,1445.59267269,1495.36035713,1524.56210721,1581.52814658,1623.62542577,1650.1719929,1710.686314,1747.07458054,1778.7189067000002,1821.20674523,1854.9267758,1893.95207577,1933.99377267,1966.63325523,2000.1930026,2044.63219727,2076.2504434300004,2110.11001834,2151.27779094,2190.33438742,2228.56725168,2272.81316765
1.5,247.338308865,367.35653990000003,467.677966835,570.632692225,659.607661195,734.6866784,795.544735435,873.182653285,934.7391999,997.44216347,1056.492609715,1110.14535733,1161.3162604499998,1213.04966477,1269.1187982600002,1326.409866285,1371.5676417349998,1411.559451175,1453.7755366499998,1500.7521791099998,1537.333992825,1589.430766215,1628.4428806449998,1663.2084090849999,1716.2506554450001,1751.0253018249998,1784.4126172899998,1828.3754065199998,1859.36253691,1896.16926152,1938.2726085949998,1973.183873665,2012.8439351999998,2048.3247604750004,2081.290995585,2115.60248677,2156.5596751949997,2193.96715614,2232.089005375,2274.975961985
2,252.19155594,370.15803438,470.70205926,578.11558552,662.4953469,739.2087623399999,807.8676586,880.84764956,940.0743851599999,1005.27370108,1061.12430896,1117.97409874,1171.15798576,1219.27938208,1273.21540136,1332.1416392200001,1376.72566972,1420.96631862,1464.4405088800002,1506.74041302,1544.57679978,1591.0490205400001,1632.12206642,1667.81837354,1721.00385918,1755.12003528,1789.9169943,1831.1753950999998,1864.6805963000002,1902.3252608999999,1944.07422422,1976.87343542,2016.21609914,2052.57949336,2084.5675712800003,2117.4911857,2158.7134593200003,2194.98592746,2234.11514774,2276.66635512
2.5,259.4927526,374.51611075,473.428803975,583.64359375,670.23214725,746.5674147,816.2693800750001,883.924126825,948.3853576500001,1008.955694825,1066.56838,1124.7728694749999,1177.417180825,1224.277246525,1275.064341825,1335.831431825,1381.553322875,1426.187767575,1469.670546025,1513.6202991,1549.5905249250002,1593.8052937250002,1636.8038105750002,1671.52318465,1725.155291,1757.479826875,1794.3009497750002,1835.0783575750002,1868.262948075,1906.391714825,1945.407466875,1978.4270037000001,2018.044160925,2053.99180625,2086.650580575,2119.961648125,2161.389258525,2197.0317522500004,2235.41806055,2278.1546396
5,282.86716839999997,397.11753525,500.4236215,598.78835465,686.82121035,763.8833584,833.1070721,912.12015155,965.65101065,1027.9162239,1091.4943240500002,1142.06988335,1194.6909406500001,1249.9258462500002,1298.1648507999998,1352.06879155,1400.4470233999998,1437.8566463500001,1485.0655003,1531.0947563,1563.127111,1609.4066705,1650.35054905,1684.8161389499999,1738.11966265,1769.82336115,1808.4851342999998,1846.2557434500002,1878.79615155,1915.45036295,1954.0420588499999,1990.850436,2025.28297925,2062.8740395000004,2095.4930833,2133.17822335,2170.1447552,2206.7389771499998,2243.2507414,2286.0455306999997
10,301.7753603,414.9456639,518.9078201,626.0482961,706.6849193,789.2817946,861.3724985,937.0157674000001,990.3376925,1051.4397468,1111.8733432000001,1167.4871487,1212.6735896,1273.2404018,1318.7540463,1369.2187667,1417.9986878,1458.4829539000002,1501.0543656,1546.6907867,1584.4196006,1627.8197573999998,1667.6278495000001,1702.0385117,1749.4032869,1781.6536642,1824.0427293,1857.4622343,1892.6287542999999,1929.7379091999999,1966.5773729,2001.8555926000001,2038.1712583,2072.0868428999997,2106.8272088,2142.8615273,2180.1066029,2213.7789631,2249.4176598999998,2292.078939
25,335.70945374999997,455.195808,561.13654925,662.1250595,742.3514675,824.05674525,899.885918,969.7226115,1026.97028575,1087.4193265,1148.0121437500002,1199.76793125,1249.2633567500002,1303.5152275,1350.7185135,1400.6358165000001,1444.641501,1493.1358335,1527.77828125,1575.01960325,1611.0688915,1654.89488625,1691.14118275,1730.44121225,1770.7598675,1808.51668025,1843.0144905000002,1878.7004729999999,1915.0024475,1950.364767,1987.74750025,2022.440097,2055.66194025,2090.93235275,2122.86795525,2158.1657925,2193.01211525,2226.2484514999996,2261.2951815,2297.38349625
75,414.2108905,537.65149,647.87244075,745.9443455,828.28781625,911.1079275,978.1968,1045.602106,1105.70193675,1166.6398892500001,1217.590201,1270.633114,1317.4566485,1367.24507625,1417.50312475,1463.974511,1505.229082,1546.0581995,1587.13438225,1626.772999,1670.897078,1709.3693815,1743.2092065,1783.0545735,1819.2806475,1854.183629,1890.5252382499998,1925.20032375,1961.023086,1994.45957175,2028.72311475,2060.0833725,2091.72083275,2126.48007925,2157.3193420000002,2189.93768075,2219.5283382499997,2248.545899,2278.58297975,2306.2696115
90,441.2161703,575.3835735,683.0323975,779.2721123,861.6195139,946.8263441,1010.4233432999999,1078.389628,1140.0047281,1196.5288024000001,1245.9243489,1298.7123355,1347.54118,1396.0839357,1444.8446191,1490.3028568,1530.6245864,1569.4584945,1607.842659,1649.1781915000001,1693.46097,1733.4991861,1767.5444023,1802.2397804000002,1838.6188614,1873.9235792000002,1910.7830236,1944.4767904999999,1978.6458783,2012.2546778,2046.2371067,2075.244882,2107.1820495,2140.6116377,2169.6156279,2200.3902874,2229.3588458000004,2257.1745966000003,2284.7664479,2309.9529506
97.5,475.965779475,608.3160437749999,730.1466856249999,815.897150925,902.00215695,978.009690925,1041.398680075,1112.1711173,1175.7465286249999,1221.832749575,1276.812753225,1328.674313475,1375.235532775,1425.789326275,1471.29947815,1516.4697408499999,1551.695095675,1594.51158705,1639.505500475,1678.0602710249998,1713.1897473,1757.077932,1793.251391275,1824.8662802000001,1860.0769465249998,1895.445380825,1930.9594342999999,1962.98143835,1997.1169175,2030.272516225,2064.2498037749997,2089.444585325,2120.7699863,2155.515044325,2181.68732835,2212.7203496250004,2239.688879,2265.2162404,2290.655439825,2313.4021795000003
98,479.42333252000003,614.60761414,735.75511594,821.49499906,905.5561239399999,982.20109582,1045.8053666399999,1118.48196742,1179.76300654,1227.56241324,1281.48810786,1331.30082892,1376.47930026,1428.15636352,1473.24949938,1519.9498329399999,1553.8606697,1598.72056434,1643.3192958,1682.72539434,1718.2578681,1760.17265422,1797.35612464,1828.64712144,1862.62300704,1898.4802647,1934.00547948,1964.68550008,1998.80218068,2032.13076502,2066.4156249,2092.86095074,2123.28584748,2156.5848039199996,2182.0982838,2213.6128178000004,2240.8048665,2266.79375402,2291.1053818,2313.65756726
98.5,484.98327663,621.362901265,737.3230449399999,824.12990557,912.91421225,987.9904593050001,1053.8362568750001,1120.926669235,1184.605423395,1237.4507757,1286.954157985,1336.7472913000001,1378.9512925000001,1431.712109545,1477.1142119649999,1524.759116515,1559.2511548100001,1602.97028101,1646.530875835,1686.32031185,1719.0165843300001,1762.65256813,1799.70405755,1830.93206645,1866.73363395,1901.248247215,1936.245433705,1967.1106938050002,2000.915141675,2034.148854695,2067.935092085,2095.27543806,2125.31822839,2157.493300175,2184.54552151,2214.90910219,2242.175198945,2267.548903265,2292.158238155,2313.96735679
