"","name"
"1","Accipiter_cooperii"
"2","Accipiter_striatus"
"3","Actitis_macularius"
"4","Aechmophorus_clarkii"
"5","Aechmophorus_occidentalis"
"6","Aegolius_acadicus"
"7","Aeronautes_saxatalis"
"8","Agelaius_phoeniceus"
"9","Aix_sponsa"
"10","Alectoris_chukar"
"11","Amphispiza_bilineata"
"12","Anas_acuta"
"13","Anas_platyrhynchos"
"14","Anser_albifrons"
"15","Anthus_rubescens"
"16","Aphelocoma_californica"
"17","Aquila_chrysaetos"
"18","Archilochus_alexandri"
"19","Ardea_alba"
"20","Ardea_herodias"
"21","Asio_flammeus"
"22","Asio_otus"
"23","Athene_cunicularia"
"24","Auriparus_flaviceps"
"25","Aythya_affinis"
"26","Aythya_americana"
"27","Aythya_collaris"
"28","Aythya_valisineria"
"29","Baeolophus_ridgwayi"
"30","Bombycilla_cedrorum"
"31","Bombycilla_garrulus"
"32","Botaurus_lentiginosus"
"33","Branta_canadensis"
"34","Branta_hutchinsii"
"35","Bubo_virginianus"
"36","Bubulcus_ibis"
"37","Bucephala_albeola"
"38","Bucephala_clangula"
"39","Buteo_jamaicensis"
"40","Buteo_lagopus"
"41","Buteo_regalis"
"42","Buteo_swainsoni"
"43","Calcarius_lapponicus"
"44","Calidris_alpina"
"45","Calidris_mauri"
"46","Calidris_minutilla"
"47","Callipepla_californica"
"48","Calypte_anna"
"49","Calypte_costae"
"50","Cardellina_pusilla"
"51","Cathartes_aura"
"52","Catharus_guttatus"
"53","Catharus_ustulatus"
"54","Catherpes_mexicanus"
"55","Centrocercus_urophasianus"
"56","Certhia_americana"
"57","Chaetura_vauxi"
"58","Charadrius_semipalmatus"
"59","Charadrius_vociferus"
"60","Chlidonias_niger"
"61","Chondestes_grammacus"
"62","Chordeiles_acutipennis"
"63","Chordeiles_minor"
"64","Cinclus_mexicanus"
"65","Cistothorus_palustris"
"66","Contopus_cooperi"
"67","Contopus_sordidulus"
"68","Corvus_brachyrhynchos"
"69","Corvus_corax"
"70","Cyanocitta_stelleri"
"71","Cygnus_columbianus"
"72","Cypseloides_niger"
"73","Egretta_thula"
"74","Empidonax_hammondii"
"75","Empidonax_oberholseri"
"76","Empidonax_traillii"
"77","Empidonax_wrightii"
"78","Eremophila_alpestris"
"79","Euphagus_cyanocephalus"
"80","Falco_columbarius"
"81","Falco_mexicanus"
"82","Falco_peregrinus"
"83","Falco_sparverius"
"84","Fulica_americana"
"85","Gallinago_delicata"
"86","Geococcyx_californianus"
"87","Geothlypis_tolmiei"
"88","Geothlypis_trichas"
"89","Glaucidium_gnoma"
"90","Gymnogyps_californianus"
"91","Gymnorhinus_cyanocephalus"
"92","Haliaeetus_leucocephalus"
"93","Hirundo_rustica"
