,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240
0.5,22.059297846,23.016023595666702,24.954604110250003,21.822543138199997,20.664100608000034,18.950072666428614,19.003016097375003,18.962527284111122,18.769199305999997,17.250061165090944,17.1343601453333,16.35430774461537,16.1903780192143,15.405263361333335,15.4036303198125,14.394864609588188,14.578778707666622,13.934784065947369,13.732481690299998,13.735614279476229,13.530504769000018,13.407027742478292,13.437692845041665,12.94223992728,12.869892508076953,13.004663228185192,12.77758535299997,12.477830556586204,12.282787128999999,12.410828821741898,12.178018580625,12.04686412215149,12.034566650147104,12.015916216142813,11.810466849611078,11.949431165162117,11.902538139631593,11.60232106530771,11.7027242229,11.573735270536554,11.640288608690428,11.571567300581366,11.579866157227272,11.52038821619999,11.597547540217354,11.662145713106344,11.9820270791667
1,25.379523496,25.3689134626667,25.4651606065,22.654197783999997,22.066484120666665,20.46602805342853,19.850470891,19.34303484844441,19.089198841600002,17.790848037636337,17.5125429233333,16.651755617076912,16.44147839442853,15.8122877984,15.779076688875,14.883676669529393,14.699655371888868,14.368845124105242,14.3177747972,14.032613031904766,13.652248287181854,13.559004066086919,13.535415876666633,13.2207162856,13.032836447307684,13.1534561246667,12.934105002714242,12.661337660137923,12.531304846533299,12.578067800709643,12.313252192750001,12.285646766121253,12.183244099823511,12.102314750285712,12.039707005166623,12.046375488000018,11.957975636105274,11.777018163384609,11.76630461065,11.672483219658575,11.773143620857152,11.615300891209312,11.619961710090864,11.644137917199968,11.633517817826064,11.72001138544676,11.9820270791667
1.5,26.9153120115,27.2185662513333,25.817220311,23.4980514052,22.5750469395,20.719893448857114,20.213710070625,19.738594056777735,19.3733423984,18.352700451454574,17.8740019889167,16.916949795923053,16.73370789421433,16.1816402372,15.954011565562501,15.432333333176429,14.9598245835,14.897039504263184,14.4695601295,14.125677271714258,13.993966483818173,13.60672979739131,13.608549605625,13.33983131548,13.13439599092304,13.248199687814834,13.0028667630357,12.723178813931042,12.6612993179333,12.655642094935512,12.400150567999999,12.34883834051519,12.258772879705866,12.220256176571388,12.210149291861132,12.086875323999978,12.00704564744739,11.906288494641009,11.8392830338,11.743784737731751,11.79120477809523,11.675645581465067,11.66782259661361,11.682795371133365,11.663421476043474,11.745724779659586,11.9820270791667
2,27.375595054,27.817373821333366,26.803486361,24.107573956800003,23.254955038,21.377720701714242,20.582340083000002,20.11553177111108,19.490102104800002,18.573763334545447,18.006653420000035,17.062794258769255,16.903090810857112,16.395305080800032,16.0397086015,15.623805880000027,15.169723404444413,14.975999373894707,14.5704642424,14.264204286095238,14.057728308363636,13.732435797043486,13.693523360499968,13.483867139840001,13.239068599999992,13.326888056148112,13.066376498000041,12.79596773544827,12.8620996301333,12.76792456038708,12.436721454499999,12.429622617212122,12.346681545764671,12.303238137942815,12.249384592666667,12.14277524659455,12.051589826736874,11.998782068717901,11.8829889342,11.801361060780492,11.824734060857168,11.74209697767443,11.690750543454554,11.696501635733366,11.688609128869548,11.761425184340444,11.9820270791667
2.5,28.328971235,28.3136841666667,27.4352197275,25.148744191,23.52574456583333,21.71136692928567,21.2733057125,20.371627163333322,19.7071399795,18.731923193636362,18.3039706866667,17.417730014230738,17.041461540714298,16.529782056333364,16.15250784875,15.71799594147057,15.281728657777744,15.081045312105237,14.696455459500001,14.422036119523842,14.1662266020455,13.821108868913004,13.775853042291635,13.5797403086,13.31363580980767,13.339026047407417,13.1576415751786,12.84039112396553,12.937108056000032,12.804738973870956,12.5005461746875,12.486354265757571,12.389750375147011,12.335801181714258,12.270583337638868,12.1826332895946,12.093915880657871,12.071807581923075,11.932133612625,11.859498007317034,11.866802583571388,11.797029112674455,11.756226026249966,11.733678563555522,11.705339198152181,11.784597847446795,11.9820270791667
5,32.52221403,30.6354688233333,28.9986152825,26.920446115999997,25.01516022499997,23.1541618357143,22.59767783125,21.419570315555575,20.44748195,19.688928563636328,18.936715523333337,18.231432583846154,17.602224765714272,17.138405672666636,16.642087221249998,16.3065903664706,15.629836260555516,15.424267800526355,15.144635263,14.802255543333315,14.4299133277273,14.33864992173913,14.195598518333336,13.8504326492,13.585196107307656,13.58630107592588,13.39713911928573,13.09581644965516,13.051126021666665,12.93679251774195,12.800767451875,12.645961290606035,12.54367715058825,12.53223304999996,12.44753239,12.27472617540539,12.23559289263162,12.203888777948675,12.0929181175,11.9759448046341,12.000251715238061,11.92325226488375,11.85471662818186,11.826098909555576,11.793049249565195,11.869353863829765,11.9820270791667
10,37.600332699999996,34.7496436733333,31.878280055,28.40169792,26.872082496666668,24.75262985428574,24.04866608,22.88177749111113,21.684689204,20.555021429090942,19.64014362,18.95361211384618,18.26752145000001,17.81008884933336,17.19370967,16.772227903529398,16.1691763411111,15.96254573052629,15.599468285,15.23544351142853,14.86084255000001,14.716668171304391,14.45405594166664,14.2191687704,13.91440308692308,13.8100297533333,13.643015710714309,13.37221405379308,13.37776344133333,13.17738050645166,13.064693668125,12.84306234909088,12.78786245882354,12.70117634628574,12.57925582166669,12.47433073513509,12.41242962315788,12.34926448102563,12.234925504,12.130668036097601,12.10380645428572,12.05536471860462,11.98630837909095,11.9587633848889,11.92887075478257,11.926829838297891,11.9820270791667
25,45.45208155,40.08329251666665,36.016264500000005,32.35597966,29.865643,27.748712742857172,26.2667719375,24.64816744444445,23.396907175,22.034831049999973,21.338990462499975,20.32689933076925,19.574488896428576,18.877952940000025,18.2367342625,17.768114329411752,17.184201186111125,16.724491371052626,16.297511522500002,16.002799564285727,15.597879768181825,15.33480365217395,15.078330860416699,14.808046054,14.502527469230799,14.33533418333335,14.185575255357149,13.8724079810345,13.8321049966667,13.611990448387076,13.468185909375,13.264285857575775,13.17437223088235,12.995978944285724,12.891112336111075,12.7608253,12.7076398368421,12.581416473076924,12.47294255,12.386811418292702,12.337693771428551,12.252796597674376,12.164608929545425,12.113198780000001,12.041944495652174,12.00785771489365,11.9820270791667
75,63.6929784,53.39163660000003,46.7781975,41.166758130000005,37.095535675,33.92463865,31.35324493125,29.24770202222225,27.397497710000003,25.566830118181823,24.454662883333327,23.1798842730769,22.336217460714302,21.34037079666665,20.563038825,19.9714651147059,19.229661841666676,18.593044897368426,18.0355281575,17.613737102380924,17.156340822727298,16.76549580652175,16.387841381249977,16.141745708,15.69034634615385,15.43177204259255,15.242138951785675,14.916734851724101,14.776668490000025,14.517183285483899,14.337682714062499,14.076100040909076,13.9429440573529,13.711178197142875,13.596887348611101,13.41320389864865,13.2810543802632,13.15906177948715,12.9530028175,12.87300526707315,12.759300896428574,12.637461546511599,12.53659078636365,12.385425211111125,12.264658323913025,12.14774195957445,11.9820270791667
90,72.28514193,60.218069973333336,51.114952575,44.714916572,40.335461576666695,36.5105981571429,33.6808036025,31.347718571111148,29.031193864000002,27.18348547818181,25.874738825,24.36926808769228,23.5750879128571,22.5727722346667,21.47113077125,20.83039946823533,20.12634889666664,19.48126875473687,18.789680179,18.36924108285718,17.79055091363635,17.39645363913042,17.01137652500003,16.6812609488,16.26361274923076,15.939465166666691,15.68973826928571,15.38826632551721,15.18113445666667,14.873946611612869,14.69008368875,14.438320146060581,14.27225675823526,14.06107630228575,13.88493201833332,13.71505495081083,13.55436369,13.387351717435921,13.173808920499999,13.05429049121953,12.9285026328571,12.79633328372093,12.65565280772731,12.51795427822225,12.35558884956523,12.21634070765959,11.9820270791667
