,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240
0.5,55.526422307333334,63.06225320895241,68.53758800634209,74.77760294853336,75.67699614481612,78.2291784583193,78.70200223423076,81.30861083407069,81.13776909419995,83.19183461419524,82.53588755479666,83.79821806936539,83.54200445879918,82.85708336287566,85.59466372853163,86.35927366428571,87.2595139308689,86.47507822913995,87.36844483618081,86.94813083999628,88.38090786050876,87.74802787173917,88.518201652965,89.53325128513553,89.31517519684134,90.02398260711111,89.98858751792551,90.1643394941839,90.17448127819956,90.44908297658313,90.91383890525672,91.3339508700384,90.99536283120983,91.8830915089123,91.75952014971848,92.1988643463502,92.20590533034394,92.60938004831668,92.50624768394295,93.17662177833806,93.20390991698842,93.34004987146966,93.44754009799975,93.96700721001307,94.22041608807427,94.76980543077144,95.6611269054045
1,59.45740715822222,66.45560266895237,70.84763968031577,77.3785360591333,79.31750025820688,80.28169036574785,79.9577383510641,82.85104149468691,83.41059379688977,84.24307742828286,83.13898482075706,84.53500163423072,85.66097995827327,85.52716452134777,86.55109919284176,86.90153880853221,87.50175510903617,87.41530051868754,88.12520116427679,87.65439355413557,88.7599069798882,89.52555265999386,88.81639389217646,89.93544451683098,89.76781883551696,90.73387072414155,90.77892431552108,90.72881042385826,90.77000680933779,90.88220596400836,91.37741818880265,91.59982361264444,91.46931037328294,92.29075476169852,92.14037970381936,92.4091628904841,92.55569908794706,92.86873241081149,92.72948690503169,93.2628484151621,93.48573240555157,93.51699243338496,93.66856173028351,94.07776132824367,94.36099445913158,94.8066838449776,95.6611269054045
1.5,63.09251224288893,68.72025249828573,72.04850869271051,78.4714706889667,80.99822114543682,80.8632624600672,81.01186291885892,83.92047575485861,84.43327272771432,85.75346315077445,84.90420035218358,85.24855219144227,86.52364593755698,85.89623833784505,87.17178938665822,87.24060275658262,87.84529704526717,88.15454174429567,88.54061961349296,88.28199511345967,89.14143950519271,90.06163626365367,89.4116151611415,90.33740980114189,90.16008817563441,91.17498220891761,91.01949429719633,91.02452670126151,91.03381803061025,91.10748702974028,91.82134011571779,91.69439049312716,91.62255443791405,92.41418663525785,92.35289829962039,92.47281713464221,92.72386513399694,93.08785572933338,92.8939100140153,93.37267802016787,93.5794228599697,93.73860407323888,93.8296148980359,94.21015201341187,94.48552503943881,94.86681437192978,95.6611269054045
2,65.37559835688889,70.75529620380954,73.05416351789475,79.01966942186662,81.39168786018388,81.55115922964703,81.6882868679487,84.65137189357574,84.73378089864491,86.2840779187071,85.4664455554576,85.69000022796158,87.07385302234371,86.60144591736218,87.52535050700635,87.43631271642577,88.08524252638202,88.40959663360356,88.77243816778581,88.79594918545054,89.39584394778983,90.2224049926468,89.60602073255183,90.47857362707617,90.39622356956947,91.35907636801765,91.1099195148099,91.28296386833715,91.25996614177359,91.25852742473067,91.95926237682863,91.99555644522984,91.91919878492588,92.59311726053467,92.45307741572314,92.59301895210339,92.92183424250403,93.16353417572932,93.00038510260701,93.62313978679292,93.76019626875184,93.99675071900889,93.93572299639598,94.29070369948893,94.53309056797801,94.88825999408623,95.6611269054045
2.5,67.5774868538889,72.42801964238099,73.82596310250001,79.62303818833333,81.72578324264367,81.88001817336134,82.69078926939105,85.20562276838383,85.0955666540204,86.4778168598316,86.25274018443498,86.05461838995188,87.46566626561076,87.18750577801801,88.2795698196282,87.72358135473391,88.37022537089265,88.81714044987679,89.32339276479294,89.06002205727108,89.74514494509587,90.3718223160336,90.19010500681371,90.62430557361293,90.67399290519681,91.54718846673296,91.48204517455291,91.78267477573752,91.5798433461365,91.38748893496853,92.13189817935141,92.29850064164447,92.11522152679778,92.69132325555668,92.61922331046242,92.6864596365922,92.98601829184209,93.23468491020091,93.14152087444222,93.69060760398614,93.85525839409202,94.04618546364486,93.9782257547458,94.34829285049607,94.6242837662056,94.91010306120019,95.6611269054045
5,74.95594889222224,76.65752977428575,77.7650832886842,82.3693600043333,83.73709876701152,84.19829323848742,85.8948174402564,86.1007341718182,87.29906449677554,87.71469814781142,88.14852219163842,87.99494072846157,89.09194603171841,89.1909041467748,89.48759800674048,89.35430336274514,89.89950232019979,89.73319246398658,90.12057280037375,90.59364623327838,90.98662554134276,91.29718694655985,91.08098165299018,91.57255763154839,91.69305284243292,91.9858910364069,92.05144009079142,92.36772810807469,92.19060581279193,92.20207237895264,92.63794158677278,92.85971209926828,92.85515694199094,93.13512939688667,93.09324110954688,93.18518588090484,93.54971165065999,93.53271499986253,93.5995826340176,93.96948136717361,94.07147893101163,94.27499036358614,94.28563479447492,94.5375868220913,94.83754729592745,95.04988446993633,95.6611269054045
10,79.90856994888891,82.25670403619051,83.43278578684213,85.70127257,87.20458762229883,86.82696259932777,88.75194162948719,88.56023559636364,88.93960197412248,89.5649432472727,90.16692418197742,89.69151414826926,90.57550746683228,91.20614156172968,90.82830314221519,90.82116576946783,91.2400551524844,91.33783475081745,91.66237552913134,91.84003663446886,91.80687496363632,92.33115261937449,92.07776317252097,92.71105364356131,92.53495068768038,93.056649709497,92.94998419617677,93.01020055710724,93.15351579271584,92.99513809737743,93.47319586352197,93.38320816403548,93.47679487931778,93.66195239160588,93.7331594535506,93.71814315866037,94.06882804247837,93.95590945726677,94.20690552609048,94.23500956627451,94.33250734474825,94.5693941432471,94.65077385911997,94.78333008246027,95.00916929358644,95.14497839933078,95.6611269054045
25,89.77759932222224,88.8458290809524,90.46679742631578,90.986822625,91.90603454367815,91.1499771504202,92.27635441955127,92.7789734909091,92.37111575714286,92.59234941212125,92.97211701031075,92.66850274447113,93.01957883033124,93.55286229117121,93.20215263291144,93.20979446050423,93.56371102865168,93.47426300604702,93.76469428555558,93.57097396593407,93.54902786084237,93.93748594889395,93.9279235058473,94.20792560406453,93.8446245941562,94.28045481475957,94.35258780650055,94.25093358591953,94.40919632140938,94.28913161114367,94.57871762753535,94.48983942727273,94.67369247373823,94.65782412666665,94.61966668969583,94.64604111830198,94.8437521023949,94.79099811107585,94.93353380097992,94.91940353242465,94.94355315804282,95.06837706361661,95.12454461169574,95.20661256065478,95.32390669926906,95.42191782414983,95.6611269054045
75,105.04293308333325,102.1246635952385,102.0671236697365,100.9084564283335,100.7711504166665,100.03045834201676,99.79428099358978,99.4460147833333,99.11237985673468,98.43613926868684,99.04041706497179,98.55083183629807,98.51342203467911,98.1449724985586,98.18693231392407,97.82841094635853,98.03029075237205,97.75569796819713,97.79215033565657,97.56653441959708,97.37107969165976,97.44703649641495,97.29439267678568,97.29156502380647,97.30770639531902,97.23809008899943,97.14402520349432,97.12406465316087,97.07109821250558,96.9603391073314,97.1019296235063,96.78199177568365,96.67951079323005,96.74953816669952,96.65578017673802,96.55491165047005,96.57604726610975,96.51995675804918,96.4574103466709,96.37533988959828,96.28882099373432,96.1976923343621,96.20028694612907,96.12322950581347,96.01974060472757,95.9130622757956,95.6611269054045
90,110.0316572888887,106.675662302857,105.9148498978949,104.676645776,103.8927870101152,103.3788986635292,102.84115733820519,102.5418734365653,101.8099497805712,100.88425331474761,101.7308705992654,100.7549274979804,100.4474921367286,100.2862139920719,100.21038633803761,99.69857544543416,99.92821440956303,99.8293164929003,99.30239772961619,99.15107451032972,98.96812898787317,98.90638000363084,98.67662539848739,98.5089614645161,98.6343492136076,98.50705909846322,98.28012422098662,98.31529094681993,98.17187825021921,98.12474968615,98.12841991786951,97.93102503383594,97.72172438598678,97.65322568943182,97.42993633435134,97.34659696257346,97.3359232234698,97.24787470974363,97.11684396127131,96.96048754336682,96.868798888617,96.8036053188611,96.72437106341631,96.47218229161902,96.35242389985187,96.15966026672483,95.6611269054045
