,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240
0.5,227.95827618,342.752628675,440.264377005,527.2392229550001,626.13724992,683.199919625,757.2255636,839.0856232699999,892.0825677900001,972.94600943,1028.2040925299998,1097.01732388,1142.802517675,1206.4229826399999,1271.1007696850002,1320.0340896950001,1348.01136008,1393.5906634550001,1449.55116792,1473.861458005,1537.69992592,1566.78417657,1612.6336803899999,1652.99202688,1695.62244861,1734.100052,1771.8524882,1817.33080944,1860.778595195,1899.3573279700001,1934.57731769,1958.9554307849999,2003.415626685,2039.92138861,2072.8287893899997,2119.01614715,2151.55896274,2193.1336021399998,2221.79761497,2250.066758165,2279.97353863,2318.63226868,2356.4022464,2393.15077183,2436.66749282,2481.76837367,2554.638728
1,239.1301445,359.18341332,450.95737249,538.14208753,637.41368305,713.89912953,779.68883893,855.44564173,915.31031075,993.08531455,1038.2746439500002,1111.7167989499999,1152.9576368,1210.2426687700001,1275.84360592,1327.69232732,1360.22335673,1404.68744156,1463.06490281,1495.9560829200002,1558.07857759,1580.87724066,1622.79531299,1661.19631633,1704.0485387,1745.6683631,1783.05536228,1829.64939,1870.95264009,1907.04382921,1943.13915446,1972.5153004,2013.77110041,2049.25857502,2081.21522301,2125.35170635,2157.27386193,2198.28371357,2225.09294415,2261.73365721,2291.5986998500002,2333.89327254,2370.3929732700003,2400.4599462700003,2441.22847321,2485.7720712399996,2554.638728
1.5,249.09711711,366.469992395,459.96916639,550.02464719,646.84901268,725.06751923,786.757005705,862.9714655649999,924.89718267,999.489566585,1043.09564717,1116.635915795,1165.880733175,1215.935608045,1278.1209480950001,1332.961184185,1371.75824833,1407.16631075,1469.425417135,1503.762522895,1566.2070672300001,1586.9023864550002,1626.662667005,1671.5324376,1711.076840805,1768.98373253,1792.613013475,1831.416827605,1877.7343057,1911.72984179,1952.13811428,1985.6849082400001,2018.065994735,2052.3853836750004,2088.374500145,2135.09783692,2160.098109825,2200.520166195,2233.215572925,2265.33448604,2299.7690864899996,2339.9657841850003,2374.205127495,2405.837180255,2448.68071425,2489.84173128,2554.638728
2,254.83119386,373.98612258,467.2035361,562.3109131,651.96686708,730.47087658,798.6653234800001,869.59884888,932.3121361999999,1005.35553144,1052.5444743,1128.45844268,1175.58420074,1222.91984866,1281.3366375599999,1336.3722837399998,1383.8872765200001,1417.4946029,1480.78068564,1515.4081865599999,1568.9976994200001,1596.5128085,1634.20334976,1678.3140611000001,1718.4032367,1772.7284153399999,1796.6481642200001,1833.92528474,1881.78016406,1918.72952864,1954.4919174,1991.1895018399998,2025.1503759999998,2057.2451247999998,2094.2780748,2140.8533734199996,2165.04151842,2204.5473714,2236.7161528399997,2270.42965738,2308.11166542,2344.0074392399997,2376.58732116,2411.66326554,2451.3491633,2492.77714606,2554.638728
2.5,259.87213542499995,382.52967889999996,470.979619425,571.041548975,657.38301345,737.867441625,811.097443625,883.982422025,939.731025025,1009.3214926,1065.993161925,1132.60886105,1180.59089125,1227.95254845,1287.7870877,1338.3678243250001,1386.529376925,1421.481582625,1482.516112725,1521.96280315,1573.23338015,1601.927529475,1637.482186475,1690.9291009,1725.0355967,1777.46411545,1801.7334440500001,1839.5534749750002,1887.95329545,1924.058006725,1958.3683449500002,1997.22973695,2029.9480110499999,2063.27898165,2096.103696825,2142.1208876250003,2167.15882945,2207.7615286,2239.0730551250003,2275.7250438,2312.102344675,2346.622860875,2379.374944875,2414.0537003000004,2456.708287375,2495.065267375,2554.638728
5,284.1810908,397.44581505,495.1724176,587.0363019,680.1425549,755.9332962999999,833.1811146,908.6907797,971.1957588,1026.80502635,1089.87420295,1147.17686645,1204.4862537,1261.4537029,1307.70575365,1355.5744231,1405.838938,1448.3047828,1498.97500045,1543.95953975,1591.3653239,1622.64970165,1663.6787085,1709.5926937,1743.22327885,1791.07648005,1816.9004333999999,1857.7715353,1903.40006775,1938.30522415,1974.3757159,2008.4563632,2043.6998042,2074.61332755,2111.2011657499997,2152.4979082,2180.66704005,2216.41892425,2250.98163615,2284.9873780000003,2321.3326234,2357.5605893,2388.8689446999997,2428.3428194,2466.72261545,2503.9112308,2554.638728
10,300.2549103,420.36377650000003,516.4376067,614.8473758,701.7940322,779.8034498000001,851.9037455,931.4160522,998.1555073,1047.5872861,1113.1966016000001,1176.3140594,1229.7983242,1282.7482782,1330.3522917,1376.1020496,1430.9026735999998,1468.6694123,1514.6466862999998,1563.1315372000001,1607.9712855,1639.7350447000001,1683.9811244999999,1729.5791511999998,1763.1666074000002,1806.3538229,1836.8062902000001,1875.3503316000001,1917.2614634,1955.2100801000001,1991.0262475,2025.6721252999998,2054.7990763,2092.3074281,2126.5072898,2163.4250638000003,2198.5155003,2229.2207042,2266.7732921,2300.5490812,2331.6653229,2365.5603248,2400.7734001000003,2437.7982498,2475.7492732,2511.1109793,2554.638728
25,330.005044,453.7674545,558.797003,658.70847775,744.93233075,821.31393525,896.4083655,974.07970025,1041.49281475,1091.18429525,1158.7363759999998,1211.2683845000001,1266.51972225,1318.693635,1367.81543825,1413.2985525,1462.2810347500001,1503.23590975,1549.89166575,1593.5534427500002,1637.65414625,1673.8582072499999,1712.8595475,1759.939596,1795.8188002499999,1834.1951872500001,1869.44414575,1904.94792875,1944.43315975,1981.76089975,2021.17710975,2048.197293,2082.67650425,2118.7018427499997,2152.4489365,2188.38410275,2222.210692,2251.8363855,2290.7508115,2322.86671775,2353.0741645,2385.93090425,2419.9321315,2454.0064899999998,2486.44438475,2520.14738825,2554.638728
75,409.79848125,534.131804,646.94797175,746.57388825,833.59153525,916.81785625,985.2930215,1056.245117,1124.9706915000002,1176.650157,1234.92038825,1287.2452595,1341.29609,1393.8106682500002,1443.3631805,1489.7225480000002,1536.0204915,1575.5484780000002,1624.57990675,1662.8510417500001,1703.982936,1742.88835575,1782.77515925,1822.93743675,1859.53813175,1898.09507225,1932.63981875,1969.71302625,2004.27922375,2037.031406,2076.042518,2108.430621,2137.26307475,2171.988224,2203.4103935,2237.8329445,2267.150388,2300.4798415,2331.4310892500002,2361.97266075,2391.14747925,2420.7053355,2449.76277675,2478.3821924999997,2506.0814772500003,2532.9775965,2554.638728
90,443.55050040000003,573.1998152,683.7960098000001,780.6564179000001,872.9225126,950.6074686999999,1024.2827067,1094.1036559,1158.4624421,1214.6342284000002,1269.4872768,1323.1355814,1376.7307052,1428.2420902000001,1472.0353487,1519.830989,1566.2604887999998,1606.1510598,1651.6503333,1696.1674186999999,1735.8637783000001,1768.5016683000001,1809.9506861,1850.4509339,1887.9589656,1923.7606635,1958.3913894999998,1996.2909439,2032.4379964999998,2062.2371319999997,2096.5252084999997,2130.7599974,2161.9091279,2193.3693058,2225.9498876999996,2259.278045,2287.4039068,2317.8577986,2347.3757923999997,2375.8303253000004,2404.8188078999997,2434.240963,2460.8805584,2486.4416744,2511.4322697999996,2537.2193577,2554.638728
