,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200
0.5,22.596381494499997,21.267620944999965,21.409624491749998,21.9474773984,19.8876231596667,19.83890603814283,19.036823266875,18.058379552,17.3672091574,16.74898168345452,16.626187357666666,15.72596496053847,15.192279100785756,15.3119648665333,14.881094195125,14.555989477470629,14.442213372333299,13.629603680684253,13.7481433557,13.600910038571461,13.164316424727309,13.282233930869609,13.0527229594583,12.989859901200001,12.511066926538415,12.542246762740726,12.598676328428601,12.393567035344848,12.403149471633366,12.244984544806417,12.10221721125,12.01901500148482,12.015408375088189,11.938850383857156,11.987717461138923,11.932982538162175,11.988860865421026,11.92734086869228,11.95881690615
1,24.009539553,22.89167547666667,23.162893294,22.4076366028,20.66966539100003,20.819555671714244,19.7102011925,19.039556707333297,17.6704526292,17.187725680727265,16.799954475666667,16.47427966030767,15.456376700428585,15.4582955778667,15.100748273375,14.814590169529419,14.574859194000044,14.0408766275789,13.9724853192,13.811157855523787,13.511758619999991,13.472917108956517,13.311684459083335,13.125051362639999,12.777166409923069,12.669297077259262,12.6863596957857,12.506897274137975,12.470470916866667,12.32813602696772,12.20887545525,12.05925265581818,12.0565616664706,12.104726772114272,12.053166782277822,11.987228157135162,12.029810664631595,11.96900464333332,11.9937261876
1.5,26.684595958,24.099244272,24.874609842999998,22.9176705694,21.3428549993333,21.137093094857143,20.250030643375002,19.2852345836667,18.1940371036,17.614953747181772,16.999230943416702,16.64880051769234,15.904093254357186,15.6184633341333,15.313111867625,15.023067438176477,14.712811445500002,14.290418817210545,14.176548095400001,13.920125446904771,13.635304086999964,13.570817887434744,13.397180626041699,13.185585959319999,12.987114923769253,12.79620871492591,12.762243293178571,12.618201807068969,12.4923761566,12.384402610516133,12.32614738925,12.145089652515138,12.122128056852976,12.1592279507143,12.082686553638933,12.041615559567518,12.046741648605238,11.993802031615385,12.011252469625
2,27.61599997,24.832753010666664,26.15404779,24.2317231712,21.694607945999998,21.61620773428576,20.7028313045,19.657776777333332,18.7914474876,17.989498684363618,17.111821726666633,16.885518491384662,16.19071205514287,15.793246084799968,15.61129502575,15.111779070117658,14.767852458666656,14.437921570105228,14.2655742622,13.998595707999973,13.70131152181822,13.673469582956557,13.529131863500032,13.276598225439999,13.072158122461524,12.872864116592588,12.853643999000028,12.690665979586184,12.556946401199967,12.448715353806463,12.380896469,12.209581742424199,12.148936468705836,12.179998538399973,12.10822953555551,12.056417667891902,12.062241275368374,12.024772617128207,12.033496942200001
2.5,28.4097837025,26.693501211666668,26.54746789875,24.491678297,22.132937601666637,21.77758610928569,20.8398727325,19.893793151666678,19.0481094435,18.12116471818178,17.269101480416634,17.04782717769227,16.362385854642884,15.845119124333364,15.6962020496875,15.308791545588218,14.908380805277744,14.5173707865789,14.40796442325,14.091245744761856,13.760250828409083,13.748852586304329,13.594761690625033,13.343161879,13.127101064423115,12.90102996462964,12.913658798571399,12.772921014827597,12.606053512166667,12.478285555483893,12.41405012875,12.238648980909103,12.181367756323514,12.237210721571444,12.173684787083312,12.077761906621635,12.085055233421063,12.055140741666667,12.042041549375
5,31.831862474999998,29.8471756066667,28.1673118725,26.175700694,23.98235475999997,22.760170034285732,21.69137977375,20.641407655555557,19.810463454,18.92458185,17.9943117416667,17.576198615384648,16.79062456642861,16.432619017333337,16.140723759375,15.801364527058805,15.330307463333375,14.920671352631624,14.716649612,14.450669134285675,14.11623194636362,13.95613394347829,13.725500662083366,13.5096539844,13.33665944423074,13.135909119259216,13.07132527571427,12.981049873793065,12.769384556333364,12.613506623871,12.50847619625,12.36938707999996,12.33791932588231,12.332569141714245,12.279109204444474,12.182756173243206,12.15290302184213,12.115033680000005,12.116287111
10,37.39809969,32.61880874,30.56321882,28.436454572,25.67205990333333,24.213895902857132,22.80609497,21.54984764444448,20.554206222,19.70410317454543,18.76905736333336,18.2252943492308,17.47721364571427,17.04678937466664,16.614013825,16.21095675411765,15.836585767777759,15.36086641684208,15.115360788,14.76437109523809,14.478240019090881,14.289331274782601,14.010381389166639,13.838436884,13.64221566076924,13.43381386666671,13.2983875807143,13.15220211517245,12.9786107013333,12.82015656193546,12.731990891250001,12.5444618830303,12.488429855294099,12.46140983657143,12.39516727499996,12.29412660702704,12.23124504999997,12.21673688205132,12.1771631755
25,44.983807575,38.89521140000002,34.787667837499995,31.78614587,28.6793847916667,26.7835096,24.77555581875,23.354899961111098,22.0638599,21.170347554545476,20.1984591041667,19.371165565384622,18.648887228571425,17.998622806666674,17.592189865625,17.004478041176448,16.563887983333323,16.0398716105263,15.714240782500001,15.394265371428551,15.069177290909074,14.820810615217425,14.510080181250025,14.308721488,14.07519400192305,13.82985211296295,13.68067874285715,13.518820065517275,13.310377709999976,13.155315004838725,13.005368615624999,12.8351790121212,12.74104870882355,12.6658982442857,12.5649136888889,12.477613762162175,12.396346632894701,12.317391712820525,12.2581718
75,64.053025675,52.415326433333306,44.4968274375,40.01455849,35.3650559916667,32.5857897714286,29.71341593125,27.43819433333335,25.908286205000003,24.514985377272726,23.1109853541667,21.966021696153803,21.2652916107143,20.295092023333325,19.563658034375,18.944944997058826,18.220438333333323,17.7157266,17.2108434425,16.785320004761875,16.435587825000024,16.017168243478277,15.636841074999975,15.383748212,15.066058803846126,14.7726447388889,14.5775714214286,14.3162937603448,14.049196410000025,13.836917651612925,13.62398059375,13.477380442424275,13.309942713235326,13.151534127142849,12.98357429027775,12.816433667567575,12.70071208157895,12.546542292307674,12.4078692525
90,71.93849554,58.23509478,49.234494945,43.911223396000004,38.2044855333333,35.00101459999996,31.929343940000003,29.51716398888885,27.458668996,25.88495150727274,24.37383882333336,23.09191041538462,22.39490599857145,21.27604583599997,20.36142297625,19.79891574470587,19.0989000588889,18.56605207684207,17.939196522,17.48467269999996,17.079055935454548,16.57305877304344,16.12436228833333,15.838017323999999,15.53136954538464,15.16414343555556,14.988393299285711,14.684347737931029,14.39746983266667,14.149249910322569,13.886254255625001,13.76382002181814,13.57279515705884,13.35740410514287,13.17411825499999,12.97744310162158,12.84465631526316,12.656141526153819,12.4701945075
