,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200
0.5,56.66190261622223,66.13998230114285,69.009417683079,69.73821621053337,76.40941249773557,76.37854907157985,80.86357169118587,78.77722923422226,81.51305073788167,83.63083926462623,84.81285253303673,82.98800780014426,85.04355326693164,86.15622684872433,86.95876848509972,86.68324599876186,87.48378429109117,87.87458903663604,88.29333342725357,88.37363074475275,89.76196526209846,89.15782358596338,90.00234836720102,89.57511409894454,90.45527549836251,91.04311874972134,91.25144156742087,91.30082211489943,91.61240478131052,91.87489914486886,91.9412905162681,92.2329307218182,92.63642576063731,92.84539040951262,93.29339517973624,93.66418556548352,94.03166617056361,94.51152868641715,95.03400744259216
1,61.07490265066663,68.51662944571427,72.78213949421054,72.77582955986666,78.03773173521843,78.02104398302524,82.55059860307692,82.72668165436363,83.34876742161637,84.24465579838386,85.0097495568475,85.13757482834619,86.09229625390064,87.20238767946667,88.30334861902219,87.84859648469464,88.43497159665421,88.6366099314043,88.77652375082826,89.58368438833338,90.19619014738453,89.66193688571772,90.5181154502381,90.42243892501422,91.3712436370686,91.69419825133443,91.58776885801134,91.95897210854785,91.99789537618437,92.0639836932065,92.3904939221517,92.67996015180778,93.0215568495357,93.12601167568342,93.49293838567098,93.96692797506695,94.22442829487943,94.58681946086804,95.04664842260799
1.5,64.08622453744447,72.31159722571425,75.65200712605262,75.7540462212667,79.79827692987354,79.47045614668909,83.4294083253397,83.80680885162623,83.8551092159714,85.90091599048488,86.39503898308188,86.86196788032689,86.7173257767888,87.84352424450448,88.56667026337497,88.2212585627423,88.98831002889517,88.98158761130568,89.18712496991215,90.1653118281575,90.66692723943785,89.92608175859647,90.94513217914216,90.81726717156259,91.60421229987594,91.90841632145943,91.85954039068545,92.17159501496741,92.31068639002011,92.44638241295183,92.71405901132273,92.88543956188913,93.17961397121127,93.37390817528996,93.63186623990873,94.10028047891305,94.30754399245835,94.71237408348718,95.06287119170447
2,65.73919592444442,74.15601737904758,76.77144560094737,76.77538677119996,80.54392906335634,81.0784608084706,84.09691465610254,84.47194204860607,85.06665229084079,86.24433854515827,86.9689877209943,87.18424271884619,87.58281246448031,88.28079878490807,88.97588345981647,88.66834576796637,89.3880450414732,89.17412285325872,89.63368354353533,90.57365466356048,90.98834348517101,90.70109499715028,91.265772206549,91.03892217478199,91.8693760754586,92.00477988115418,92.40660829267416,92.32047828754409,92.49880668776737,92.53895336043232,92.85691633576882,92.94825260008577,93.41605136313677,93.51119967883348,93.74238971727003,94.13363034829845,94.42579110136343,94.8262347443257,95.08827451221805
2.5,66.74635520277783,74.33629946380952,77.68199222276311,77.82374364466664,81.13003474942525,81.98304021445381,84.52206358080124,85.14355612373733,85.46654491671427,86.78863520757578,87.49786025213272,87.21380211721147,88.1478313672981,88.45790563209007,89.19269179510289,88.84714409557422,89.63121430899497,89.3300633033259,90.03557281163638,90.83361797839741,91.085709660613,90.89069500694121,91.55796517755249,91.23886070559357,92.00095367886706,92.26387355563847,92.56906971901334,92.4191393545211,92.6635494069441,92.7989254529284,93.01908943012579,93.11586556656687,93.49376606388094,93.71323369534313,93.91166084766598,94.19716891087248,94.55097112800338,94.86007186408146,95.09142710657532
5,73.27733168333337,78.30074599333332,81.26901365473687,81.33363315933333,84.31672798839084,84.16986256705886,86.2262813440385,87.51518551646468,87.68916041706125,88.19154787744104,89.0842652650283,88.7778449894711,89.31234470035193,89.63724383466668,90.62674745435125,89.99647913403358,90.70330448692884,90.50629233717802,90.74895152706064,91.42917419108059,92.04708172332778,91.70332781810832,92.27892413352238,92.04341577040002,92.5050631629517,92.70080957862905,93.04568233391053,92.9754839088027,93.18685876657271,93.1749119699707,93.55759186326256,93.63559076210639,93.94773471591017,94.07040854091302,94.26240840022963,94.42744533169211,94.83408771498188,94.98939197702884,95.22490103637935
10,79.19602339111115,82.81818787809527,85.1380848247368,84.56913714400004,87.19628672551725,87.27301892100837,88.71287031076925,89.58864969090912,89.89383237665308,90.2528350724579,90.70647405858762,90.42233456086538,91.04006246389235,91.07536130529733,91.76027107348105,91.51985578935573,91.95163380808988,91.86114063870096,92.25505549260608,92.68103412311353,92.85179899986659,92.74850625678104,93.11463043074228,93.0132864533419,93.23124253620747,93.50946024095083,93.66333136892082,93.80744811835247,93.79056621302016,93.86843467435277,94.14982352761005,94.16616161594978,94.39167570801948,94.50231256585876,94.56303951175664,94.85590853732084,95.03963214331938,95.19111716274914,95.4947685420603
25,88.7589810666667,90.24688446190477,91.02335797236839,90.67737254666667,92.02107360804595,91.80297903445374,92.25840893685898,93.1471491378788,93.08591752387753,93.05987945622896,93.63813633573444,93.20235907716342,93.50275196666665,93.75246827045048,93.96658911107595,93.95458592857145,93.92571134238452,93.79084258331463,93.9271597486364,94.11172908415755,94.28631051947457,94.26888779199085,94.66019787170865,94.51788012651612,94.63818892087062,94.77023399640687,94.80799103273381,94.80207691752878,94.80509996973154,94.8804526994973,94.99697679058568,95.0641991317073,95.19159380960667,95.28651072042695,95.2523364957014,95.40964890508225,95.49820363615987,95.56649951102303,95.63741131154522
75,105.82412691111075,103.01847197142826,102.73398175526299,101.41898133666649,101.012154300575,100.30071655041999,99.9129069301282,100.0107873045455,99.56244847367347,99.0663058309764,99.42520344985876,98.65440265384612,98.53365836438923,98.49912199891892,98.55202478219941,98.10896835952383,98.13069466741575,97.85601633650617,97.80953880949498,97.67959483772897,97.88071634478734,97.68712212715485,97.63580667447482,97.32717277477417,97.51809411371495,97.39110519226094,97.32141739637714,97.03476674554598,96.93577646559285,96.99904085035611,96.92711033356923,96.90357386260165,96.80063356206057,96.61544649208537,96.65499713095906,96.58581633613395,96.4617271618073,96.39619911564898,96.28119248562817
90,110.2218989755552,107.7276982628573,106.2873568542107,104.8036950400003,103.6285495779307,103.6640487976469,102.6476166278204,102.4004679214145,101.8654236408164,101.4073766455215,101.17224389853129,100.8062142795195,100.572565036066,100.6456701732611,100.4491528067724,99.77259961266103,99.91073626254683,99.46322236627103,99.37776397347473,99.16163820260071,99.33486942678904,98.97545914035089,98.78892984570027,98.65094122578067,98.46817439485987,98.41182462633498,98.32069536448101,97.96327808427205,97.95447925940047,97.98230981819859,97.74966516957545,97.55684711099781,97.5045184906509,97.39495719435139,97.24138537707634,97.10284364772032,96.90885844766915,96.70567884529736,96.4108368462663
