,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230
0.5,22.56669389,25.2700502876667,20.9600738855,21.388316649,21.414178812666666,20.012825387142872,18.8414663205,18.372451710444434,17.5802024973,17.32439186009095,16.85458176583337,16.05624986423078,15.310157235857115,15.010623425333332,14.82037864225,14.414714157294153,14.290908002999977,14.1383143514211,13.84820644305,13.562664122190434,13.055177566363644,13.353029855782626,13.1995130596667,12.938410497720001,12.557158676615348,12.625818363148138,12.556149938107144,12.608205652965534,12.4605615047,12.224335410129004,12.244838542281249,12.293701153151558,12.060234421205918,11.865578322828615,12.04626464624999,11.875335393648669,11.89229022128949,11.838987821692303,11.783929260825001,11.67434044592682,11.76368743330948,11.794956270744192,11.771965931318219,11.818917407755588,12.1032676478261
1,24.798114345,26.462279096,23.5801353325,22.7525041652,22.349997598,20.792737813428555,19.46946254625,18.9569538917778,18.079762987400002,18.001356017818164,17.084636990833367,16.525460347538438,15.996174613714285,15.459491425733333,15.320651437625,14.53425293999996,14.650115237333301,14.425730236421016,13.950093969000001,13.671527565523844,13.424308310181827,13.615171532173893,13.299120291499966,13.02860436264,12.815344590846184,12.77495224992592,12.672418223214327,12.727927842896552,12.5602131315333,12.42402788412903,12.366722320125,12.357620814606049,12.247626311352983,12.035840610399958,12.103599371277822,12.023945591513549,11.961938008157931,11.925905831589782,11.88793671825,11.744516978000014,11.837460066285733,11.860606150000041,11.829974667681855,11.867557396799999,12.1032676478261
1.5,27.293531274,27.4795804443333,24.99318458225,23.0634617598,22.6126764526667,21.41624373728573,19.812441362625,19.1391646427778,18.3759228501,18.284258476636364,17.2335452889167,16.699918347538453,16.337501305142897,15.8843330575333,15.4607504124375,15.007396292588247,14.740209697555565,14.572974100210516,14.11671193305,13.861875202761913,13.610854094681864,13.684122213521709,13.428045300083301,13.11172031084,13.026983169192317,12.877710784703721,12.777003280678613,12.793378503310382,12.605828394066698,12.531125294483918,12.4371941361875,12.397310104181809,12.319267921147029,12.128421538257172,12.136068713999968,12.052197001270262,12.001922005921053,11.976946760999976,11.9197118033,11.789600384243869,11.862449077023772,11.922608347162786,11.851533622840918,11.881035532133334,12.1032676478261
2,28.082228338,27.971980909333336,25.382313233999998,24.2155484744,23.225165050666664,21.96954889142856,20.4201599385,19.634920840444433,18.6344521908,18.42437856363633,17.351021919666636,16.954985207692328,16.52187674028573,16.032625741866635,15.668346095499999,15.136579406117637,14.944709038666634,14.64209993852629,14.214013681800001,14.092402867238132,13.75298444709091,13.774034483478255,13.476818718166665,13.19235202816,13.160615859230814,12.900813701333316,12.877277495000028,12.866993638896513,12.649290473199999,12.59816250064512,12.503533326374999,12.460824274666647,12.358912091529373,12.192753336800042,12.183475344111132,12.082968135459492,12.032445670105217,12.001369679179442,11.9666365178,11.846715773853653,11.892121159428603,11.9319572549767,11.8723377501818,11.894161074755587,12.1032676478261
2.5,28.46668957,28.572519383333365,26.3102368475,25.344363195,23.5675842675,22.192104601428543,20.84868367,19.82556087722218,18.926078223,18.6636918945455,17.63335559875,17.159424183846113,16.744605861428614,16.1070064716667,15.7367644584375,15.189273019117627,15.001803939444432,14.776297680000026,14.3072848675,14.141697893095209,13.8348232172727,13.879802409782567,13.5013594841667,13.325146062,13.20459920750003,12.954843868703675,12.935038163750015,12.889435646724115,12.682992578333366,12.668863366451586,12.548769323437499,12.482433750757549,12.38846820647057,12.216533146571388,12.211508495416668,12.110647561216249,12.076516245657926,12.02825241641022,12.01279841775,11.87988627951219,11.913973651071432,11.938585310000008,11.900544700568208,11.912396515444414,12.1032676478261
5,32.98967373,31.385662019999998,28.5125268675,27.223204028,24.64745750000003,23.427237097142847,22.14043491125,20.7415203144444,19.918615679,19.272038253636328,18.229018161666698,17.742953381538484,17.240735950714285,16.755185968666698,16.1608735575,15.618405595294156,15.365432390555599,15.260589173684236,14.741885333,14.532046410000005,14.171753763181789,14.084022214347845,13.72137370624997,13.594234457999999,13.419929817692335,13.243973291851875,13.2251969714286,13.067224371379325,12.880407653666666,12.811353830967754,12.6966563096875,12.6116177072727,12.483919780294105,12.374346820285714,12.337218968055565,12.221481710000035,12.174211570526294,12.107304858205149,12.117478683,12.014160487317085,12.0186907178571,12.009393242790715,11.970416942272726,11.959495809333363,12.1032676478261
10,37.70876888,34.52658895999997,30.836679875,28.958925764,26.497487590000002,24.91102588857147,23.3091451075,21.88322089111113,20.982972438,19.982586679999958,19.04293090666664,18.50461762615382,17.858630788571393,17.26382619466667,16.714973566250002,16.12016661176467,15.8664607866667,15.52721699789472,15.111275192,14.83687394761905,14.505248278181819,14.327930771304361,14.08544474666667,13.8976594912,13.73306832384619,13.48598495777775,13.44476079499996,13.27908734068969,13.08166257933333,13.048897932903271,12.87663793375,12.78028876181814,12.68560465647062,12.55297949371431,12.478953362777819,12.359543743783819,12.33211481263159,12.250138457948681,12.2296785745,12.11932818341462,12.13004451095235,12.07843788418605,12.043460190000019,12.02096603999997,12.1032676478261
25,45.030416775,39.71211256666665,35.551104875,32.00740647000001,29.4840595083333,27.415335650000024,25.3506243375,23.751627300000003,22.804412045,21.374666259090873,20.44508393333335,19.686187149999974,18.968646114285676,18.261952466666674,17.75838161875,17.02948025882355,16.669920266666676,16.245426942105226,15.77232686,15.452226576190451,15.173573138636375,14.917395773913025,14.671306952083324,14.430878492,14.153127607692326,13.9467956425926,13.860685462500001,13.642887524137901,13.4743170383333,13.32907243225805,13.1925933984375,13.086584195454575,12.969059624999975,12.852832397142901,12.744463759722224,12.635848545945976,12.565163843421026,12.476784989743575,12.418970886250001,12.30038240487805,12.26612152261905,12.2027356093023,12.1599725318182,12.118010980000001,12.1032676478261
75,63.013165975,52.51303738333333,45.9461939625,40.88557652,35.6655579166667,33.19851592857145,30.43673688125,28.103109750000023,26.498180750000003,24.88589587272725,23.456562562500025,22.50609261923075,21.1761705714286,20.596335146666675,19.779796140625,18.9886899147059,18.376408858333324,17.974584057894724,17.3742431125,16.91851178333335,16.527925297727275,16.191913558695624,15.836312131249976,15.564150093999999,15.28005984423075,15.02353909444445,14.72118692857145,14.51362021379315,14.28530577166665,14.1397178532258,13.9666055484375,13.752661006060626,13.6335420720588,13.452294228571425,13.311748902777774,13.15145044864865,13.065676315789501,12.9126648179487,12.8035242325,12.69968388414635,12.581547248809525,12.468252393023274,12.368615977272725,12.252188683333326,12.1032676478261
90,71.38360051000001,58.42501346000003,50.949681715,44.594289468,38.81252978333336,35.92168661999996,32.4846507375,30.162036664444482,28.077408354,26.38448247999996,24.74531644333336,23.74427375384613,22.26893950428571,21.45916692533336,20.717983681249997,19.857322830588252,19.239354959999968,18.75319958000004,18.102859759,17.61571831142858,17.110144497272742,16.75433323739127,16.33982462583333,16.0681441256,15.74438674461541,15.490020027407398,15.09158163428575,14.90993226551723,14.62970816666664,14.49769467290325,14.2577784775,14.05061037575761,13.89990473823528,13.7163595,13.52239792388886,13.376013442162149,13.25831011684215,13.09894816102562,12.9677131565,12.84797898878051,12.72634384000003,12.575270807441859,12.45245440636363,12.319246396444479,12.1032676478261
