,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230
0.5,52.51765853044443,64.7741065171429,71.56366300239473,72.72499806016667,77.20148028988508,75.24023224260507,77.74238786946796,79.91937038714144,81.60111444044493,83.73507699100335,82.7966317105452,85.01377449303367,84.79498493581576,86.19243782829186,86.06636793533862,86.59271998968352,86.65852898972162,86.95004976451513,87.79194055170409,88.26215253453664,88.4192930747665,88.31461533295194,89.44628335157282,89.26511738705548,90.44076482679073,90.54586255605413,90.329017069222,91.06199738087265,90.953149853583,90.8599451596824,90.8650716807708,91.87250090704728,92.25496862110337,92.05216453392049,92.39251318198079,92.71606166328317,92.87768247649983,93.5275425687777,93.5505486160105,93.76303435128695,93.98219832806674,94.18820542349094,94.65440431011704,95.00362192238015,96.0568459378773
1,56.401930774444445,67.5950980417143,74.00985886636846,75.8373230930667,78.1292545574713,78.109037682084,80.99435255610253,81.28297770531313,83.30349192297146,84.52262390839059,84.9278783812712,85.65969772353844,85.87588653342448,86.99841584774772,86.90380775282274,87.86568427313166,87.46312426109367,87.62730222941545,88.14599463223843,89.10472464773629,89.45245427089579,89.28617455488025,90.33776070515965,90.21865592554583,90.81738756786761,90.73665077274956,90.98890446976974,91.51099213945598,91.72515605039018,91.63861048204949,91.41372595358959,92.26662083215223,92.38836962526977,92.58312904654711,92.86431462641026,93.0307147259941,93.17594778630243,93.73580733682259,93.73790619264125,93.88275820576762,94.23674053459963,94.50249045399265,94.76881654691451,95.14070138046745,96.0568459378773
1.5,60.51781919422226,69.39673323599999,75.66536517318418,77.9503512686,78.88864009024134,80.65939745396639,81.6688124280128,83.1620224324848,84.37578762822857,85.22315399890905,85.84189822081923,86.09849709432692,86.54623112868943,87.4482047078811,87.15114626348101,88.31505401129411,87.94182749568165,88.37800419355655,88.88060441483738,89.20128892457873,90.10556777084989,89.90343442695497,90.8040083196884,90.49509711654198,90.99959850545198,91.01845624023109,91.27900645683452,92.09247325140613,92.1788882929159,92.06849933044154,91.96869578091002,92.62212215161053,92.69318366514584,92.69410516124339,93.20483949913405,93.30943993004699,93.3640087696065,93.75951947053288,93.82236041140902,94.00775355225682,94.36670253528824,94.61908320891065,94.84996529459129,95.17053977158172,96.0568459378773
2,64.55251378266664,70.77227887352386,77.34773373968422,78.4830465177333,80.20414309347127,81.86795356484033,82.84120107312823,84.0337002082828,85.17777015941228,86.47921645341418,86.49982042056496,87.0361427821538,87.5040035590973,88.16176711943781,88.30736732080378,88.86402469931653,88.76084389533578,88.84810424280407,89.20818825379797,89.9238329736117,90.36474981747789,90.51712714128449,90.93833003249578,90.65929368115097,91.15563720175076,91.30878529645109,91.38984025930725,92.24796900456319,92.29794938459064,92.22999115120233,92.48368817359275,92.71446218147823,92.88491150554265,92.83417271139834,93.30475332510238,93.42934806394359,93.53652138237257,93.90739684517266,93.89569620439494,94.05203875348445,94.40295752115199,94.69041959912711,94.87843143684935,95.23173076804443,96.0568459378773
2.5,65.46031886222221,73.43616361333336,78.1288012732895,79.31979666116663,81.02417473408046,82.46005778689072,83.63191483291665,84.49799356060608,85.36526873204086,86.77149189124582,86.75254553083336,87.51549414882209,87.78797962464803,88.81548827306302,88.84127502412973,89.35731017749303,89.02442948298373,89.22415220802912,89.64077338982322,90.09646892677651,90.44969710639285,90.89004346189927,91.22500176021356,91.0806161988129,91.4368994980292,91.52063147230508,91.71897777997172,92.40197630527297,92.66537500828639,92.33014668531217,92.58432009190643,92.8409849935514,92.93631798948489,93.02252925017403,93.39098922236967,93.51522183578436,93.68430500873014,94.02640274671955,94.0252511494874,94.17796459544242,94.47955990912513,94.72557126808087,94.8967102663159,95.28157076292462,96.0568459378773
5,71.0578219277778,77.66865111999999,80.6472870760526,82.02331230566664,84.48304610459768,84.8795651618487,86.21731134923076,86.47196014333335,87.66523641551022,88.26242691333336,88.49249838864404,89.49893118980773,88.86994602283642,89.64941478169374,90.00465353699371,90.32960423859943,90.2174922427466,90.33060881370658,90.81486815829297,91.28351975093409,91.46529458763135,91.82248177574371,91.93238884983889,91.99706682846447,92.2803277542278,92.36471361366499,92.50508798023637,93.07659923181994,93.08705652676059,92.86032731291164,93.18399631815647,93.35821521906134,93.52456398034111,93.48299563188176,93.82414386402542,94.06108975771441,94.07090150257032,94.32069363506744,94.34531943883921,94.48864015922526,94.7640166146708,94.95582336861986,95.02411723508924,95.4204842464841,96.0568459378773
10,79.76685997333328,83.26212166095235,84.63332934315791,85.30243139800002,87.4231981096552,87.3365406884034,89.12001596025645,88.7391249078788,89.8812034902041,90.41081047690233,90.46027998242941,90.75898128740383,90.51124122935819,91.01754069650451,91.53724874329116,91.85493521176467,91.85681755083642,91.70528460662936,92.1967974608485,92.33340233175822,92.50365585139284,92.74426954959577,92.93791314774514,92.85129999574197,93.265729832093,93.25266521627415,93.24154518034948,93.65006985124525,93.69100933789704,93.59896571822367,93.87201426169025,93.85294339504804,94.00036074813089,94.12941527722822,94.34931655977654,94.51788931356052,94.48427049772768,94.67633738016386,94.80333296925123,94.84532019153518,95.09151106735023,95.17863937125846,95.29842594843915,95.55131382315078,96.0568459378773
25,89.87617536666667,90.21133329047615,90.63934622894732,91.15424746500003,91.5745319327586,91.76816996050418,92.59060982243592,93.11474087575755,92.8116726655102,93.41785242727275,93.39705238389834,93.75533979110577,93.4733829168737,93.67618214900904,93.71843614541137,93.81864969285718,93.76512657228464,93.90155727458004,94.30625051080807,94.11216514111723,94.27318809445374,94.37267606140352,94.4195078247549,94.46188550729032,94.46386973720931,94.60339529867328,94.6212799938078,94.90568702988507,94.77508522418347,94.87205945207373,94.9236014552673,94.94497874131562,95.01887171108598,95.0451180993432,95.2245034771415,95.30945439744414,95.1856982451406,95.30065125913296,95.44393706021357,95.3766804389048,95.57135006897929,95.61011789908717,95.65426264521582,95.8280133188095,96.0568459378773
75,105.94590320000025,103.15201782380925,102.48641502763125,101.69105747166675,100.85949871609225,100.25098021764725,99.81917720256408,100.027086374242,99.65179447755105,99.50923218181816,99.11476861539549,99.42780908749995,98.90888885186338,98.65818884738738,98.494221086788,98.37456128011203,98.31706035848943,98.06786400884661,98.13589997989895,97.88974783534795,97.8810022859049,97.99486619061783,97.8333729195728,97.6225938822581,97.5573101426953,97.56071207186292,97.50262755994348,97.41947152911875,97.50095910894858,97.21305162157519,97.21210862281839,97.26702739079825,97.06154833078661,97.09468956095238,96.93979753454373,96.93231663169803,96.82371534851015,96.86511540724293,96.73834134290202,96.72540445136298,96.63975388605606,96.5243895554227,96.42672974488377,96.29258975160715,96.0568459378774
90,110.56638397111071,107.77051832000029,106.329165542105,104.9914392886664,103.956988665977,103.2660383405039,102.720631261795,102.9228254727274,102.3511729546122,101.7771084579121,101.4090623023726,101.5564548461535,101.1933204469155,100.60613524482919,100.36049102158229,100.13674278672251,99.9427406766292,99.80652237625976,99.75457471860607,99.72658849901096,99.3499694036197,99.44782527035849,99.10056039613447,99.11754523520001,98.9361620911866,98.89996229118854,98.5551580665776,98.57271309975096,98.53645718787475,98.24887630255549,98.21329804154085,98.14769153909829,98.0026050732336,97.81939425632841,97.6784443632837,97.7282885876146,97.47631807988307,97.54833931848798,97.2874786037789,97.25058619410804,97.1578702264297,96.95066734523797,96.75252596454547,96.58545644880158,96.0568459378774
