,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230
0.5,230.171960985,343.68657684,442.156312855,535.1250513900001,604.088144075,686.60594211,771.96347523,829.41066932,910.8247654200001,968.2159246049999,1005.87590917,1081.255941105,1139.229989095,1181.587451445,1223.33365231,1289.6887388,1339.897067585,1379.127923725,1423.59287023,1474.48783614,1520.181476165,1567.2932884749998,1600.76686567,1646.2499418,1679.5745416,1714.23773911,1762.166904545,1795.043598165,1828.8900370150002,1875.188401765,1900.046349845,1938.975284785,1984.5798435899999,2013.098835775,2048.345691095,2086.87916112,2124.22666712,2152.5971916999997,2189.1001327149997,2227.034136975,2259.760230685,2299.22011646,2336.13798363,2375.72742616,2443.001051
1,242.74204931,358.76064635,452.25404648,551.3688143500001,626.84462924,714.45115861,780.37130488,848.32968848,916.84801001,983.43908615,1032.07204254,1092.64371958,1151.64961864,1197.23717406,1241.41301169,1300.4604002400001,1353.26348324,1396.92494971,1446.6206729599999,1489.73908903,1531.23393144,1578.68492014,1614.35749399,1658.86322185,1693.09970426,1727.80109617,1768.28388723,1803.56010894,1841.1949200000001,1885.4957236799999,1909.4435624799999,1947.1681589099999,1990.27287071,2021.86121491,2055.86385751,2092.80926448,2129.91311333,2154.40324542,2195.1745999600003,2236.15583704,2265.85581208,2304.67419503,2339.9714441600004,2380.43155931,2443.001051
1.5,251.89631196,379.32626471,459.661535185,557.139811285,638.579270135,719.364055035,784.7383507000001,860.6695401449999,928.206309495,988.426851675,1041.57915577,1100.999851195,1162.75357661,1201.713017565,1251.4458926749999,1307.893365935,1361.683280415,1400.7389559,1450.71825311,1493.56766931,1534.036422,1584.3750212950001,1619.738587195,1661.803644285,1699.211161575,1731.4571048799999,1779.2046240850002,1811.239746915,1846.3806963099998,1888.020400625,1914.707008985,1951.356029515,1995.581615135,2025.291935205,2061.692758585,2095.72943632,2132.866239935,2158.42745989,2201.231523155,2239.79449621,2272.3912918749998,2307.0982902849996,2344.6893810799997,2381.459031965,2443.001051
2,258.77571676,385.94339972,471.82964544,561.4517256400001,651.9175968799999,730.66165234,791.83280324,872.02689786,931.41388632,994.56235396,1049.87025414,1109.3339921400002,1171.22530982,1213.8082920000002,1263.0417660199998,1314.35223578,1366.0368912600002,1408.81838296,1457.96777634,1501.0664033,1540.8144704200001,1588.77607922,1624.64696616,1665.93706914,1702.0066851,1736.875526,1783.66339386,1814.5924391600001,1849.50714276,1890.71813502,1916.11094594,1957.49250784,1996.5608448799999,2028.00710558,2065.29497344,2097.27167628,2135.86724492,2164.34474216,2206.25842938,2243.62000968,2276.62968258,2310.2471464,2347.2723099199998,2385.0136766,2443.001051
2.5,265.429003675,389.640814775,478.92788335,565.476229325,660.88175475,733.650741725,804.09388905,877.5233797249999,937.665154875,1005.770999925,1061.47481135,1115.244046525,1174.87904155,1221.1158272750001,1270.471102875,1325.5599497,1372.978725675,1413.98215545,1462.203127225,1506.764731,1544.37159395,1594.175175975,1627.1714575249998,1668.580008875,1705.1594248,1746.145533825,1786.598881675,1817.31624935,1858.2359272249998,1894.0515845749999,1922.7249569750002,1959.7758817000001,2000.673277925,2031.465501525,2065.825581375,2100.330097475,2137.318449575,2170.049150925,2207.7759257999996,2245.7802066,2277.4025451,2311.44082565,2348.6045074249996,2386.5309855749997,2443.001051
5,281.9690041,402.30237925,496.65507425,585.9989197,676.11384775,752.5199692,826.96976275,900.7797224,958.23032445,1024.81791895,1078.5085219,1132.4629221999999,1193.6855773500001,1236.87979305,1291.72400545,1340.8030540500001,1387.17893245,1431.4023220000001,1479.50942385,1522.4097637500001,1557.23497785,1608.2509800999999,1640.0358302500001,1680.29172825,1719.3676111500001,1760.2551987,1792.8454643999999,1830.3855382,1871.61816385,1908.9844984,1933.6033346499999,1976.5686568,2008.66152595,2046.79308425,2075.88380125,2110.8618939,2147.32411235,2180.9688061499996,2215.61467695,2251.669909,2285.45242045,2318.6435625999998,2355.6997112500003,2392.044773,2443.001051
10,301.1924881,422.59779660000004,519.3515429,610.9701067999999,695.7098233,776.4409589,853.5376003,923.3646903,981.8904948,1049.5322729000002,1102.1845303999999,1158.6363780000001,1210.412406,1260.2461154,1308.3011216,1360.1141092999999,1406.1525954,1451.5278234999998,1498.3981958,1535.4031344,1573.1828463,1625.1556696,1654.8308763,1696.4542774,1736.3343006,1774.7071047,1808.1661025,1846.2399525,1884.6783602,1921.1682497000002,1951.0939282000002,1987.6586831,2020.3458343,2057.1914221,2087.1251157,2122.6970224,2157.6692703,2193.6544752,2225.0529363,2259.6132752000003,2296.3528066999997,2326.1581109,2362.9652663,2399.2589855,2443.001051
25,333.97849075,457.111811,562.87645625,651.52395025,741.62157225,821.60583825,891.2867065,960.3037925,1020.44281125,1086.7553022499999,1140.10350125,1196.829084,1248.67423625,1291.0782789999998,1345.03691475,1391.7522562499998,1439.61300475,1479.2900445,1527.63871625,1565.5153062499999,1606.36080025,1651.5435547499999,1681.815871,1722.70399075,1761.307998,1800.08359625,1831.3745490000001,1868.8446875,1907.57589075,1943.63098,1974.5503135,2006.3994010000001,2042.8374865,2078.15488375,2109.29552375,2142.8703915,2176.086026,2210.36692675,2241.51945925,2276.362446,2308.61891575,2341.294691,2373.1636755,2407.53531075,2443.001051
75,409.50834525000005,535.8264075,650.0765044999999,736.34512625,824.96022325,906.96676675,978.4860255,1042.15892675,1102.814236,1160.7512782499998,1213.0721,1267.8885344999999,1319.28719575,1362.5839305,1409.30730575,1453.43655775,1502.00348675,1542.00692625,1586.80702625,1625.395588,1661.7377025,1702.78155875,1740.5461515,1778.486399,1811.48924275,1849.61449525,1884.0560607500001,1920.20381675,1955.4604665,1989.79728025,2020.776114,2051.872196,2085.61181925,2119.3923132500004,2150.41873575,2183.39877725,2212.9705305,2244.806939,2276.0461115,2306.39252675,2334.83897925,2365.22998425,2392.47264575,2419.1428822499997,2443.001051
90,439.0511236,571.4574208,685.714661,774.3514196000001,858.0642,939.8678625,1013.3362940000001,1071.9731219,1135.6625567,1190.6386966,1241.9948331,1297.5054335,1346.3042561,1387.7935663,1435.8332877999999,1478.8371670000001,1529.3137591,1565.7538731,1613.2321776,1646.9970997,1687.2255788,1727.0851862,1762.0540248000002,1800.9613143,1831.3634063,1870.2687058000001,1906.8041524,1939.8109436,1975.836569,2010.0888451,2044.1147701999998,2071.3597861000003,2104.876043,2136.9481238999997,2166.6437967,2197.3161840000002,2228.4323725,2257.9845794000003,2287.8833258,2316.2949925999997,2345.0835706,2372.7930614,2399.3779841,2423.9990948,2443.001051
