,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215
0.5,22.766909672,23.651950962333366,20.64714449825,20.6992643334,20.312842243,20.220274746999987,18.886596591375,17.8695118963333,17.243303916600002,17.186141535818216,17.375804936583368,15.66932926600004,16.0983706127857,15.5381689968667,15.0850689189375,14.787253300235328,14.209017374999966,14.027223174999984,13.9135541885,13.549574982380925,13.493415758863636,13.109392316130439,13.038247792833333,13.10398267568,12.763466012115416,12.750967747555574,12.72188844821433,12.447088529379318,12.415153154866667,12.228412718193598,12.387804927906249,12.036054277515193,12.019732284088247,12.004615730657157,11.948252251750011,11.940551927054061,11.689622504026305,11.9047627649487,11.805227079,11.83342506565856,11.752465905523772,11.714952490139568
1,24.43644857,24.835394649333335,23.5824909545,21.7683452912,22.124813993000032,20.664946899714298,20.04843940025,18.859303410666687,18.207060388,17.675515407090934,17.505187223333365,16.18341102738459,16.25710979057144,15.888404509066667,15.43388681725,14.984421726588218,14.59757348711108,14.30248304305261,14.087127458300001,13.880810293904808,13.791830127818164,13.269477412782638,13.300618874916701,13.29393390368,13.062192682076876,12.9248482717778,12.881550759214287,12.594473453034526,12.5192607768667,12.38931827883869,12.445986134875,12.148374732121233,12.2323563333529,12.068742079085757,12.026830297722178,11.994734676918945,11.964904724315742,11.975481126102531,11.8750290611,11.865810803609758,11.869123944333344,11.798554099023237
1.5,25.6561659015,26.0622260576667,24.3054378245,22.7388513992,22.927001166,21.709131516000028,20.547702015499997,19.103815262111098,18.5958195774,17.876612733,17.65908529575,16.634952005846124,16.48154296099997,16.115249257000002,15.53392368575,15.138399002764718,14.774816100722234,14.431701902736863,14.2893575602,13.970233093476214,13.90755657159091,13.408620768086926,13.3456415574167,13.40104290036,13.0979324113077,13.061369989259234,12.94083897535717,12.666756421620732,12.6336431992667,12.452778816935457,12.531811624312502,12.301506287121175,12.309620262852976,12.215249455028529,12.1428442940278,12.074584903567532,12.044886986105228,12.045365006717931,11.9281369995,11.935812276536591,11.920027810928543,11.867545676046543
2,29.519987611999998,26.267498270666632,24.886620444000002,23.3386954816,23.1773701166667,21.937069810285685,20.9101168955,19.553073760444434,18.927266043200003,18.245517087272734,17.7133059073333,16.818367127076886,16.642280979428588,16.2431442112,15.779252086249999,15.339269992470566,14.916174718888932,14.754049798526326,14.481455483,14.075855298285756,13.998574980727238,13.605116838782653,13.444425791166701,13.46355945088,13.217673342769208,13.172725550074121,13.066442780285756,12.74181628027588,12.6986869885333,12.509966928903264,12.5568179895,12.384368784969686,12.360180540588258,12.261817431199972,12.200862986000033,12.107216145513503,12.07933152147372,12.078603290358993,11.9603257893,12.008024880780463,11.946713229619006,11.914679294325536
2.5,30.1284106675,26.641340185000033,25.275876269999998,23.739206549000002,23.47225187916667,22.378745197142845,21.184742229375,19.870829898333323,19.1649272355,18.518564780909053,17.855494373750002,17.10414330346156,16.781906970357113,16.324930310333333,15.820946008125,15.497369610588219,15.081797881388933,14.876201719736805,14.628832517749998,14.155395475952417,14.029465221136382,13.7222840328261,13.5555475747917,13.557418304,13.265292742884577,13.214291272222248,13.101737441607142,12.822599648793123,12.7776899215,12.62617316274196,12.60678649828125,12.444825668636403,12.42314409852939,12.317074437000027,12.246599229861069,12.162507956081066,12.103500576710495,12.106905161153863,11.991357376625,12.046922917804839,11.963414576547653,11.940764065697653
5,33.372641725,29.387039796666667,28.000228845,25.663217786,24.870271176666638,23.25487114428574,22.137330685,20.81114430333329,20.053322256,19.390389777272695,18.745319234166665,17.71600976230768,17.37706150285717,16.822895858666662,16.322878025625002,15.972923145294136,15.382759978333326,15.187582830526315,14.928734713499999,14.57385866285713,14.279395558181811,14.095737495652159,13.794941037083365,13.7751502824,13.607055774230805,13.44262116851854,13.2641192842857,13.082104121379281,12.966090009666665,12.824739723225765,12.8018386025,12.673131869393929,12.57983662941177,12.477844536285701,12.36674999861108,12.345460797027016,12.27616447868425,12.229102516666705,12.17924582825,12.13232349487808,12.104594916190464,12.040628245348824
10,38.15813678,33.19574995333336,30.566307520000002,27.819338899999998,26.30916839000003,24.4558300685714,23.2935516725,22.01264878666665,21.159875742,20.05464245454545,19.464707593333298,18.444187040000017,17.92285919857145,17.4518135946667,16.9903477475,16.43701111176474,15.84172720444441,15.68606579789478,15.383519737,15.070296408571451,14.68233263636361,14.44527787739129,14.208309270833299,14.1084459824,13.88473711230773,13.72595877555552,13.513771766428569,13.3170647558621,13.232060323333329,13.06130925419352,12.997413863125,12.85498130606065,12.78925067647058,12.64151937142858,12.56747744500003,12.51564680108107,12.45614301315788,12.36590329897436,12.319517605,12.25115989512197,12.21003887999999,12.15576456325582
25,45.0267092,38.5071939333333,34.6795986375,31.262510059999997,29.375430433333324,26.776053642857125,25.53112689375,23.8773372,22.653342275,21.685565190909102,20.79938548333335,19.847657553846176,19.024867185714275,18.43122922,17.896996325,17.40749545588235,16.75261860833335,16.435406723684224,16.0805559225,15.7057941047619,15.36934855681815,15.062890597826076,14.786892729166675,14.648922796,14.39304587307695,14.123808037037001,13.959141889285725,13.740683534482724,13.622150519999975,13.43296698064515,13.3657636515625,13.191967963636376,13.083882685294125,12.975985082857125,12.852189238888876,12.776708087837825,12.708457438157925,12.617043147435876,12.53938736,12.452960085365875,12.39636368095235,12.337564305813926
75,63.977349875,52.16569745,44.9134329375,39.96005255,35.63556169166668,32.84003192857145,30.361701262500002,28.19607068333335,26.55154132,24.957084754545427,23.869846450000026,22.595482765384574,21.592150735714274,21.029134516666673,19.970831859375,19.4381361882353,18.637796588888925,18.1326838631579,17.6369769975,17.28423081190475,16.828361147727275,16.410561549999976,16.118429558333325,15.822482228,15.514136626923076,15.21359144814815,15.021727832142826,14.731602813793074,14.517125038333301,14.305631259677401,14.1691741421875,13.98544660757575,13.82357471911765,13.6632495014286,13.5047798666667,13.3837096797297,13.283845580263176,13.121454505128176,13.02209447625,12.916836253658525,12.820482875,12.7166819151163
90,71.50229332,58.57980751333333,48.84938878,43.597914872,38.596046593333305,35.42880151999997,32.437163797500006,30.00990327333332,28.287949534,26.50870540727276,25.2570655216667,23.87862211692308,22.87637156428573,21.90631177066664,20.96197656125,20.37847870117646,19.585306386666712,18.87041825157898,18.439439305,17.89605715428568,17.53453671727271,17.02451597652176,16.683889685,16.3634120832,16.06778823307692,15.749919873333301,15.50078597571429,15.19628043793106,14.91508236533333,14.69406049548383,14.531878015,14.351671012727229,14.11201789588238,13.97003877314283,13.79635707055554,13.64842868864863,13.48642106473686,13.32177705948715,13.2279309025,13.11584100048778,12.99212894190472,12.87216907953492
