"","name"
"1","Ammospiza_nelsoni"
"2","Anser_caerulescens"
"3","Anser_rossii"
"4","Aratinga_nenday"
"5","Artemisiospiza_belli"
"6","Calidris_virgata"
"7","Charadrius_nivosus"
"8","Circus_hudsonius"
"9","Corthylio_calendula"
"10","Dryobates_nuttallii"
"11","Dryobates_pubescens"
"12","Haemorhous_cassinii"
"13","Haemorhous_mexicanus"
"14","Haemorhous_purpureus"
"15","Lanius_borealis"
"16","Leiothlypis_celata"
"17","Leiothlypis_ruficapilla"
"18","Mareca_americana"
"19","Mareca_penelope"
"20","Mareca_strepera"
"21","Melanitta_deglandi"
"22","Nannopterum_auritum"
"23","Psiloscops_flammeolus"
"24","Rallus_obsoletus"
"25","Spatula_clypeata"
"26","Spatula_cyanoptera"
"27","Spatula_discors"
"28","Troglodytes_pacificus"
