,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220
0.5,62.675819954999966,69.0605572085714,76.26667719813155,79.63246218549999,81.56222799588505,80.14642246554618,84.44979587662179,84.51953306947478,86.48678408804899,86.8578870544242,87.98806832281355,88.34681181626928,88.16839369201246,90.10629204286124,89.72596138542409,90.27732144406998,91.59301355563919,90.96454452199325,90.89365999746661,91.05671219597252,91.83314922531774,91.99193180028226,92.49817156703433,92.21391281973675,92.26094251719977,93.35251230547156,93.08229686902051,92.78048843991766,93.49009679640004,93.89690191918052,94.2275776676871,94.47900706345308,95.18883975340302,95.10097293281447,95.1640908124482,94.93927474210396,95.37108523311667,95.63570330266667,95.77664049471109,95.8877997992563,96.18066537759307,96.46054539131926,98.3196790304691
1,67.07916924888889,72.14392965657139,78.60066131978947,82.14101678893337,82.51196436528733,82.17943439912608,85.83284400683333,86.244651290101,87.33322956552658,88.28615515159593,88.92062708887569,89.3182216347019,88.81258899597512,90.55417713323963,90.39665875179118,90.95004495206159,91.7666361008464,91.21286692820158,91.29535426797574,92.04418557508795,92.2656504313445,92.660301511286,93.1058165534006,93.15248392709418,93.5500153249052,93.78155833593367,93.7922349718746,93.5904855844617,93.98684405965818,94.24832205150229,94.62199424556684,94.89246465886174,95.37608385267662,95.20710181969257,95.40156656733828,95.65538747410807,95.79135811393711,95.84698144353055,95.97055501087384,96.1966809536461,96.45729492238821,96.63233595254422,98.3196790304691
1.5,68.21380816322221,73.54341962561904,79.02550848715794,83.1001929085667,83.18120310435631,83.39291883357984,87.09116818264106,86.84548299652522,88.02948305673064,88.49328477277437,89.2374534181215,89.75879943219712,89.28142122742852,91.21195709973335,90.83721423868039,91.40544674272273,92.11270366470158,92.19741110742437,92.0307798216566,92.5279042785201,92.62785614786655,92.85583915338066,93.3603284015637,93.33854061397673,93.80932200066127,94.00473226033614,93.98524048626159,94.17469848326049,94.41209238673517,94.60278003746127,94.90949428444536,95.0413392943193,95.6364643913655,95.57408675765451,95.56314172151522,95.75774368975496,95.961742450455,96.05888380483849,96.07802305985155,96.36873929504155,96.58646190691549,96.75038369018301,98.3196790304691
2,69.34729407022223,76.35406014552377,81.00661661431583,83.91478278240004,83.70112120119543,84.72298846359665,87.5769647363846,87.20180323503033,88.64887684189391,89.33711264253198,90.01971729889263,90.1479888007885,90.19277447588411,91.60911953418382,91.53576882455067,91.6632317444482,92.57069364027964,92.2793816746428,92.45700353201612,92.86404720169968,93.11912084739288,93.11923680750567,93.57809091071147,93.54296568771615,94.00690162436257,94.10641577361638,94.36586701470911,94.32650795581614,94.64806251991405,94.80075674669799,95.13459250378777,95.20168374653363,95.79296501393661,95.66498514589429,95.77263042767098,95.89919141694008,96.09531561869228,96.12685864417232,96.33346808165328,96.47710618139264,96.6618592349218,96.86525413239904,98.3196790304691
2.5,71.13020789277776,76.70348894428571,81.51119721157893,84.4788720231667,84.96656601764369,85.43753977932774,88.27750177592945,88.22205695111113,89.17308171506126,89.58114890131309,90.68075980324858,90.43270565634619,90.52189786711179,91.77323018718921,91.7541344680221,91.91657960859942,92.76679523998128,92.37414785723404,92.9870927065556,93.13106846707878,93.3480876356756,93.32890571890927,93.70469513373953,93.89222984589682,94.26117065536967,94.2807256389331,94.5254566219964,94.56403138088601,94.89360133912307,94.97017919803933,95.28711902323707,95.39291918106062,95.89909341836231,95.80363268886698,95.8898708951598,95.96790874706817,96.24221263149964,96.30448533208302,96.38011218956154,96.66857386995932,96.75088683064142,96.95293739217779,98.3196790304691
5,78.67695683444447,81.87901014095235,84.75477977710527,87.33300407466666,87.71444703758624,88.30857319428574,89.73542248057696,90.25124867424239,90.84872847820405,91.06098320659935,91.86876807322038,92.20785496206729,92.32083891842652,93.33239362057655,93.22197947791143,93.11307120784313,93.51037267570537,93.47834989126541,94.09625906352525,93.78489383377286,94.16095237718936,94.13378025708617,94.51113843140055,94.79702383891609,94.87306414534885,95.08561634798232,95.53840431022101,95.35233279159964,95.59197737974497,95.59141246346883,95.86747171101415,95.93881942385072,96.2008106835955,96.21415421473895,96.2355021599659,96.3128156440129,96.59575975319127,96.63057913406817,96.69864451332157,97.02748918142997,96.99757302901342,97.23324177500108,98.3196790304691
10,84.64776226444445,86.11628016190473,88.16754091736838,90.37650639133332,90.71343396873567,90.93149158285712,92.02355789602561,92.60048972363636,92.92018875787757,92.50976360794616,93.31710478225986,93.8198238360577,93.96113685929603,94.90421513621618,94.63294119895573,94.29766372610639,94.60712829650436,94.88409865818588,95.17370789547475,94.85880061904764,95.05625398350291,95.31767828829898,95.57684867826329,95.70213510833544,95.79663738431724,95.8722214195025,96.22869209300103,96.2250757506322,96.19650027915884,96.38919637270213,96.3904589204638,96.49243788177381,96.77651035982599,96.79136604516252,96.75139600133456,96.83813657267922,96.97308464330267,97.12498918038591,97.14382130811055,97.31687397637495,97.33843824827524,97.48610071120191,98.3196790304691
25,92.85161645,93.0861742,94.01700084473686,94.79924186333335,95.10070833333336,94.9107871487395,95.28469768044867,95.77835553080807,95.85831599551018,95.6059345872054,96.14188703799438,95.91414240408658,96.43159012111803,96.7666089527928,96.6002133648734,96.30751661624647,96.52803225549316,96.78454726842105,96.77411694606056,96.46915895824172,96.93663663211007,96.79744609084665,96.98063927850137,97.21517439664512,97.17189727701255,97.05348998264238,97.34133985228675,97.40365795785439,97.4042440656152,97.40238877419355,97.5075468735849,97.44280529386549,97.61153314592761,97.5718659752709,97.63088419236497,97.67307397928906,97.65701690836812,97.79052622207246,97.77615541198489,97.87718988840265,97.97070619128499,97.99694378613346,98.3196790304691
75,106.807554127778,104.85232834761925,103.83945828421075,103.388469193333,102.760738578736,102.24845341008424,102.024926808654,101.93518926616176,101.76993947265275,101.48330447441074,101.42372924661025,101.0431161050485,101.13902711252601,101.10767726756725,100.733615678877,100.53863771288525,100.59072446348326,100.390400542105,100.17746585050526,100.11473926849825,100.3509906049625,100.033110499161,100.08079403813001,99.96799109438707,99.88373888637446,99.68940551708127,99.80666687618188,99.80589551499042,99.76131822105147,99.5675147813992,99.64459069595125,99.555458890133,99.55698671451444,99.46303708663385,99.31707438161082,99.33632571139839,99.19269230225568,99.29612182016915,99.16925124859297,99.13879898220944,99.07335707409432,99.03679839995655,98.3196790304691
90,110.7951008333332,108.8740192914289,107.6100114157893,106.4194098793333,105.5818559413794,105.1100487768071,104.6107427661539,104.2549113438386,104.104927691592,103.46154031461249,103.2424383802823,102.94331125605801,103.135477760083,102.8433679311708,102.4059165047787,102.1602739968623,102.09122428274621,101.912691621321,101.6519783165659,101.6713523307324,101.7103205126274,101.26237795499611,101.1688598511766,101.0971733584258,100.9192827543827,100.83641677512439,100.7717404653131,100.7686874948661,100.7487650006625,100.46167794218711,100.5431123281449,100.3208900931705,100.25702092398879,100.33674567200029,100.12730414648641,99.9791792661927,99.95421228919524,99.94056809057362,99.84088845334172,99.72802014306072,99.56144427493739,99.48822236857201,98.3196790304691
