,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215
0.5,54.994098293999976,67.3009906630476,69.86116973007893,75.21221822886667,76.24078167863223,80.41413231082348,80.97530863322432,82.37027408130308,83.20269426487751,83.98060793235014,85.7099358646469,86.85971253104323,86.31472195191719,86.1364223536144,87.23634291016613,87.64779740165831,88.81085314381768,88.85148762208509,89.04207092494036,89.85022957708973,89.74558512702919,90.32047608145842,90.47396651010924,90.96985599515742,91.1678624215045,92.08146433391154,92.35442485796194,92.01880168961017,92.12813794119594,92.75254566914114,92.91742607020913,92.98844207605619,93.19254137008977,93.54251480003475,93.61073197442059,93.7829767217497,94.14322307853017,94.63836560074441,94.98707396963717,95.19954370546915,95.64673587636709,96.26054182032733
1,57.718475883555584,72.22887888647624,72.45393021552634,77.3832983121333,78.73313208544825,81.40484875381517,82.95552938546152,83.71069225963633,84.91441325654698,85.42507867084174,87.3218619588531,87.8788151076923,87.81903563462109,88.06611741598554,88.24113309179742,88.5986316679776,89.24372370176533,89.70171223558344,89.57351499240205,90.21951559446524,90.43877253505423,90.90968625021813,91.46149560020874,91.66734568104258,91.72388290843764,92.53464191185631,92.52716826365875,92.27862663966475,92.7732393515714,92.98808882950145,93.29081939384909,93.32752160960236,93.71737924376963,93.83968184894582,93.89931498629977,94.17527249366275,94.39558858000274,94.71088786745544,95.0749476124457,95.31727792302348,95.73616233892004,96.31749688838518
1.5,60.701166293444466,73.79060641609523,75.4106980704474,79.38352204143331,81.01480400120691,82.44380893566387,84.42266732839742,84.46831376199998,85.86513321332241,86.1172683597778,87.86465141990115,88.1670951130481,88.3600313767992,88.7835417792901,88.56722030105534,88.96748393831373,89.44966797671664,90.34292309577383,90.35945800060303,90.53249470034613,90.65470364142702,91.43713901587492,91.62476336506796,92.00944933958067,92.06126180945617,92.76659756081926,92.66021314956066,92.55925776945502,93.23174462233378,93.31528502412485,93.54677014712541,93.68778061689945,93.91341364320255,93.91380008551398,94.10238156964587,94.22569542379613,94.58391902078,94.82044582988314,95.2310429277271,95.4238452568412,95.7891527745254,96.32552859774876
2,63.73353928222224,75.44158875352377,76.51202263399999,81.4587827369333,82.08562499278166,83.91075233122689,84.69885880415389,85.0460362597172,86.74105642654689,86.6189131966869,88.72765203549156,89.00640200128846,88.9609108401739,89.08518157268469,88.85908940512023,89.76522560222973,90.10579168579275,90.61482232260698,90.86831960291312,90.74836681602929,91.04185116859713,91.74099178879631,91.85579153100278,92.19580688066578,92.40117915874303,93.07527134447764,92.93890651216243,92.87845743481613,93.43648794599734,93.42682075425557,93.71168699086479,93.85782399596752,94.10999805107836,94.11586300429823,94.17851015183113,94.38713811802351,94.70083147048511,94.90028019666086,95.28238211162012,95.55513813973606,95.8203241107897,96.3255853442295
2.5,65.53019352888892,76.50913260095234,78.0678146097368,82.07101555049996,82.71207696821837,84.50264869537811,85.32534841368587,86.12674390070708,86.97512322383673,87.49301003188556,89.05713187329093,89.45944879271636,89.21997943675983,89.34542907306303,89.48073973039554,90.00426113382349,90.29443956818976,90.78798229397535,91.06260889590408,91.23816077260071,91.22588983610929,91.85017233395122,92.22593350225841,92.43063029426452,92.54911696220925,93.18042036936981,93.22356812762848,93.09078775180072,93.55149018428192,93.63649744165897,93.80158559315053,93.99189528950853,94.19944930387223,94.2289997578555,94.35260551310051,94.59131235523499,94.78194645396268,94.96256140792225,95.31322454414071,95.61692730676951,95.87569074098204,96.32855864026952
5,73.25225621000004,81.55966537428567,81.27382506315789,84.81284089333329,86.08276247988505,86.95421595512609,87.59284063256412,87.89925989989898,88.86742277767345,89.5522888504377,90.03092871262716,90.40760952778847,90.14070882703936,90.90093638749549,90.56998273131329,91.10010937067227,91.41849811727836,91.78451018073905,92.03023536486872,92.14813115175829,92.41112462793164,92.85004044601068,92.90442645942572,92.90857820609035,93.3497714085569,93.7768770483582,93.8713224731912,93.87065077786394,94.1524764977315,94.16789099985752,94.33690171166667,94.54112099762008,94.681489616394,94.59414108452542,94.76466348271882,94.84309203621035,95.1070073960095,95.21173814012162,95.5127610659925,95.77466514647533,96.03015503853501,96.3779497200565
10,80.242415,84.47505526476192,84.89215751368424,87.24240378333336,88.35839442620689,88.99591345243701,89.57372116858971,89.92791227494946,91.20236871461229,91.05460983097643,91.65339098016952,91.9229224181731,91.72242584393376,92.3236645378018,92.4153221723734,92.61507443719886,92.8303343520599,93.04820155386334,93.2391577640404,93.19140464908429,93.408100523553,93.77422414022881,93.76065332809523,93.91819327099353,94.35758556127612,94.45268974545056,94.48215414756427,94.51984882189655,94.76003233658167,94.81645318657732,94.99036649712268,94.93280006954913,95.07615681342149,95.11150810966178,95.25399502302297,95.35596224113979,95.56381358755218,95.58236326655036,95.89143334057286,95.99463202253469,96.20491352061975,96.41353082891544
25,89.84618229999998,91.6322330857143,91.89210529736843,92.29930479000001,92.7584797264368,93.24010010168068,93.54060931955125,93.84413912828282,94.03575801469388,94.12615866666665,94.35208432372883,94.3738328848558,94.5374520916149,94.70922365963966,94.6299165424842,94.86754351848738,94.86364739700375,94.954592174916,94.85352441707067,95.16908615677656,95.04445823994998,95.23156449290617,95.35074777664568,95.27756822064521,95.53613828404886,95.55305573266995,95.45088754046762,95.5962626474138,95.7427228443624,95.74734292806872,95.9071556291077,95.8968120263489,95.9378936437522,95.94522395950742,96.02056986689945,96.00418809885426,96.15382027172097,96.19266985165211,96.31147437447237,96.37620809497845,96.4590143351219,96.52725527515754
75,106.3885457222225,103.89181844761924,102.02162427236826,101.72794806166699,101.55646493620675,100.96870217899149,100.9765628823715,100.20548145303,99.77829577142857,99.81507106734006,99.36831692316387,99.671807684375,99.1948381983437,99.25309498828832,99.02467937476266,98.97582058235295,98.90513407846444,98.71554600683092,98.54891292671718,98.49542199111718,98.42999109974977,98.5256651951945,98.37605507909667,98.210691977871,98.20258557698267,98.05193915262575,98.02970284265157,97.91683330953065,97.98698445248323,97.81773234562215,97.75526728575082,97.77032917331857,97.68333728407588,97.55289947927747,97.45568884733088,97.5413049283784,97.42304452123362,97.35966882043353,97.3037231427889,97.18072683921572,97.11445615860109,96.94522802762445
90,110.4882479266664,107.74303572952361,106.0236040242106,105.157307115333,104.77524067609231,103.7836455052096,103.6924362596155,102.738359462222,101.9532003783669,102.28900384525241,101.56713907971711,101.5732960282688,101.21936477950341,101.2602891164688,100.7369435592091,100.7771162565823,100.5547401243691,100.2924310157673,100.034576969394,99.8169621941758,99.79699032658881,99.79794938773456,99.58893013532213,99.55031560789676,99.28526365338101,98.99896361625203,99.12812834342239,98.96272465266287,99.0168389091633,98.63293472140765,98.6368531047799,98.60080357744272,98.36571114349464,98.32817987487688,98.18346599835509,98.09387078479432,97.967199649702,97.82036744394397,97.74700769883415,97.53583310876135,97.37812691434492,97.11848395946973
