,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
0.5,224.85537261500002,349.848472785,417.32238811,523.679550195,605.56335488,691.85535255,741.617478545,824.5308745799999,881.467522105,939.507656075,1010.6700672449999,1058.5941621749998,1088.1520239650001,1168.66125844,1208.15651807,1241.188267685,1315.0016632450001,1350.6835636300002,1377.6507495350002,1421.64099592,1480.362893015,1515.476872555,1563.308209045,1608.24393593,1629.74759537,1687.4661796149999,1726.308864495,1764.9229250199999,1795.53110436,1834.215739095,1872.72165033,1896.18109876,1939.7927279150001,1989.424180925,2013.9418125,2050.924968415,2089.4206716,2125.24870992,2163.0004676949998,2199.177878675,2239.92027892,2282.151214015
1,240.52264121,367.34656518,440.91380927,537.03400132,623.85991898,701.1310597199999,757.66175046,833.7073745700001,892.86811648,948.96170829,1021.7370776500001,1060.39588168,1118.5585887999998,1174.57268353,1224.7379785599999,1268.6826357,1322.2918636499999,1363.36256379,1404.30337483,1440.20410324,1492.52114506,1526.14960555,1570.68642087,1619.30786131,1643.1973088,1699.74723745,1732.80964634,1771.2265922099998,1804.8877819900001,1851.05916681,1883.70659684,1905.45500509,1954.29738996,1996.21815636,2022.6061278700001,2058.80562046,2098.0758144399997,2129.0462592,2168.94122939,2206.88752603,2246.21521166,2284.73764516
1.5,249.90632506,371.830263205,454.57417262,549.846699815,632.386971445,710.6163034699999,766.704717405,837.920187785,910.828634395,966.21891684,1029.486839975,1071.768828105,1127.888134735,1179.8429735900002,1232.079760585,1273.3453462749999,1324.3400779150002,1379.184533305,1415.0222155600002,1449.587483225,1501.77433587,1535.734546025,1579.2187651749998,1623.2864097899999,1658.742698605,1703.453472195,1741.26103319,1781.55161369,1808.0848415500002,1855.1202072649999,1892.853230615,1914.7762095799999,1958.139164385,1999.85575181,2028.010980135,2062.853855475,2103.38365605,2136.39866114,2173.5274143,2208.819247225,2248.91992005,2287.047573
2,257.3256358,374.915334,465.408234,551.24403632,643.17862356,712.97819882,776.8135151199999,849.71270492,916.6752435000001,972.98481854,1035.95663152,1076.07106148,1130.78276598,1187.82904742,1236.55206952,1280.27669732,1337.78423694,1383.8395825599998,1418.76537674,1451.58142418,1510.28733844,1538.86924846,1585.75064426,1629.41697082,1664.50517628,1708.74043596,1744.13660798,1784.87040624,1815.296112,1858.9177795,1896.42198994,1923.0777679,1961.5960857,2004.7552068799998,2030.36024486,2067.4506572,2105.19203208,2139.05087578,2174.49727552,2211.50741482,2251.4721404,2290.46183374
2.5,265.63965507499995,378.80587395000003,470.37591732500005,554.258421875,645.80599135,717.476456125,789.510490625,854.4760789,923.887063225,976.04671905,1041.2040215,1086.1051833,1135.7105182,1192.4327524,1241.693118425,1286.43973125,1341.7851159499999,1385.35910645,1425.346113175,1455.314235125,1515.22499665,1543.280593425,1588.6136298499998,1635.5751984249998,1668.716368375,1713.224693025,1750.28868945,1790.3739217749999,1820.907378375,1861.2540236250002,1902.46384515,1929.90380185,1964.4188076,2008.1355935,2035.2292237,2072.522799975,2108.4044587500002,2142.2929042749997,2176.1283602500002,2214.7599579250004,2252.61355715,2292.130043225
5,279.28918145,393.008651,489.1832586,581.98225605,665.84318695,739.0691764,809.22860915,874.5144722,946.826488,993.3335852,1056.20538825,1108.81259585,1156.5639873,1209.40213695,1260.5801411,1306.4040857,1356.54966815,1402.46029225,1445.1844706499999,1475.6935441,1525.1041312,1562.1176470999999,1606.6200979,1645.95439835,1685.5130886,1725.74641845,1762.7420199,1799.95906245,1833.8190184500002,1871.02528285,1911.84847075,1941.55049435,1978.00862095,2016.6214134499999,2047.9381409999999,2082.82847515,2116.57772325,2152.20725675,2184.9244293,2221.7564724,2256.875022,2298.3097157499997
10,298.8666024,414.17980059999996,512.1629901,604.7386896,689.4242838,755.0359472,837.6117466000001,897.235987,964.7898511,1014.2589482000001,1080.3302996,1130.2945368,1180.8407386,1232.8934755999999,1280.6676171,1324.7527749,1373.5945373,1420.8998554,1466.1898267,1497.5126914,1542.1211437,1579.2530607,1623.1186163,1660.0113093,1700.8503709,1741.4433218000001,1777.5164273999999,1814.4516245,1851.4546456,1883.8958293,1925.6053018999999,1956.7188543,1991.2144216,2026.6464929,2058.3530408,2094.0475668999998,2125.2235023,2163.8049182,2195.4935483,2230.5328055,2264.0876122,2303.4344842
25,336.19132475000004,448.87072675,549.3017045,646.17679075,724.41284025,798.72914,872.80335175,936.2950025,997.9895085,1053.7346965000002,1116.86093375,1166.7805765,1212.5161985,1266.15129175,1314.8640255,1357.2249044999999,1407.83981975,1451.43849875,1493.25895875,1532.5285385,1570.769301,1611.00567175,1650.50659675,1688.8727395,1726.3842785000002,1765.73351375,1803.6940465,1840.26101225,1875.02097925,1910.8003015,1944.08474875,1978.27315975,2010.1930790000001,2045.34631875,2078.286282,2111.390445,2144.21919,2176.25649175,2208.18236025,2241.0372399999997,2273.867293,2308.20762425
75,412.12519625,528.185699,631.60190275,724.4248249999999,807.748311,883.0950025,949.49177875,1013.620629,1072.1092145,1135.25980325,1190.72277325,1239.187613,1291.1177635,1337.818104,1385.5572465,1428.7406355,1472.0048225,1516.50528525,1553.2630015,1595.2700140000002,1631.45353675,1671.10176475,1710.95219475,1748.265559,1783.47201,1820.623083,1852.1353915,1886.7733365,1918.39461725,1953.039843,1987.03378925,2018.02887825,2049.23788575,2081.40775,2113.43044275,2143.62880325,2174.3929574999997,2204.2134525,2231.87551975,2260.835988,2288.18018725,2315.42224275
90,440.5437248,568.6143819,670.3032353,764.09913,847.2634235,916.7049506000001,980.0833969,1049.6041379,1107.3725271,1168.4088849,1222.2153046,1270.9150972,1318.5566508000002,1368.8605905,1414.4924741,1455.5429211,1500.4856112,1540.1813254,1575.7914727,1620.6212613999999,1656.5173538,1696.2597971,1735.6680026,1770.7619906000002,1804.1958268,1841.2664795,1873.7489668,1909.3473527,1938.3854048,1971.0708313,2003.6733107,2036.7041621,2064.5254186,2096.2595277,2125.695988,2154.9949598,2185.5306147,2214.3858487,2241.5560331,2268.4647062,2293.7301653,2318.0459809
