,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245
0.5,21.6107055435,21.997009486333333,21.84743975275,20.8826872098,18.814215624499997,18.560337728000015,18.965924556875,18.440006754777787,17.250505343,17.3335929852727,16.587563035833302,16.145036464307662,15.608393174785686,14.880576154599966,14.948751428375,14.739424738647052,14.53809452844449,14.07770766199997,13.87491823755,13.60809696404759,13.573481901636347,13.116242686434768,13.2795003435417,12.772916994840001,12.771068543653799,12.564702662148166,12.333623788964271,12.412416735517192,12.356011429500034,12.206032564129039,12.06168598815625,11.878884837090952,11.83826586379407,11.790135270200029,11.824979449361122,11.626820558297284,11.68602699057891,11.589778209538443,11.544026149875,11.445617145829301,11.274850168690433,11.391588251116236,11.428305445909082,11.34601430391108,11.309782380739092,11.36947605568088,11.437377751499966,11.480361493142883
1,22.766188253,24.091093729999997,22.727585573,22.3939462684,20.441740574333366,19.63430167028576,19.47174317275,18.768918793333324,17.8583601442,17.694287215999992,16.952801928333365,16.488544822307706,16.056376221571472,15.697155047866667,15.241425866375,15.16420165117643,14.827022726555535,14.36723189578943,14.1917454232,13.88988847695238,13.96542158436368,13.338861211565243,13.4505420133333,13.047793476879999,12.857606512615407,12.757997626148116,12.627666115500029,12.537315503448303,12.561018893399966,12.302149945032292,12.166342484187501,12.086194032909122,12.032789764058828,11.992083530628543,11.978699596277735,11.809487129567529,11.766355746684164,11.6821079031282,11.6385633447,11.546057563756053,11.427804608619024,11.470320273488387,11.49558385895451,11.422929630755522,11.394701341043449,11.432651813829747,11.477410625666666,11.546115111999995
1.5,25.8204542935,24.50974837,23.287070527,23.1787064754,21.2657420203333,20.163956783714283,20.368126599375,18.95922398199997,18.247714789,18.146915331000027,17.134200361,16.627381369846194,16.380959455071398,15.9013907823333,15.480156650625,15.287985043294077,14.968387556555534,14.598844144736864,14.383049634099999,14.062963580857156,14.053696894590937,13.493107850739168,13.5652628528333,13.13241867396,13.063807590192331,12.914898288962922,12.745760710428613,12.664354318896507,12.6443650517667,12.357267260806413,12.219849465031249,12.185135508242436,12.145684647294111,12.051356773771456,12.036700564916666,11.870609692054085,11.877267018421053,11.763876827999962,11.659396264925,11.619950974341437,11.537092845023842,11.48787454941857,11.539706020840937,11.464381468800033,11.447817884782589,11.503345728957461,11.4989030766458,11.56624948675509
2,27.442669589999998,25.573670266666667,24.17705208,23.4677234656,21.98378733399997,20.973597393714257,20.5450439775,19.300585789333343,18.5864674076,18.329991290545465,17.49295499999997,16.949330275692287,16.55301848085713,16.12279499440003,15.740445396750001,15.378843887294083,15.291424374222222,14.760623502315742,14.436452809,14.305265259428605,14.085190714181836,13.662220166956521,13.660263789833333,13.2718485152,13.157428956769207,12.960010893037055,12.860156074285714,12.692778755310366,12.745958716133366,12.403411597806453,12.320182343875,12.22906476084852,12.232648459882377,12.0814770851429,12.074739154444412,11.919038512432438,11.932544100631585,11.843414413128162,11.6949924187,11.666323765073203,11.601115487619085,11.549297600465085,11.583921626454519,11.50420507875559,11.51391140565214,11.532081498297863,11.527921932833333,11.577243051265281
2.5,28.198408032499998,26.5268549383333,24.89034359875,24.195985983,22.363177609999966,21.1499306528571,20.956660944375,19.643999232222264,18.6979847105,18.517803528181844,17.662911360833302,17.13900323384614,16.71440998714283,16.265144695333365,15.8969269065625,15.54220586235297,15.399068581944412,14.99675215631583,14.4959282225,14.390705714523833,14.1925022106818,13.802196769130465,13.7680301439583,13.4352213822,13.206141344615409,13.129856224259287,12.908276092142843,12.781185731896567,12.765386572000033,12.496976865806422,12.3390685978125,12.2771309651515,12.256396288823554,12.1142554691429,12.119600391805587,11.95237912405404,11.966704801447353,11.88067315820509,11.748412576,11.700069990487828,11.64515170654759,11.575059758255797,11.613594554886383,11.5194525367778,11.530963196413005,11.557377134255297,11.562848530937469,11.592701785204126
5,31.61130374,29.21992033000003,26.789840122500003,25.618730552000002,23.82988080999997,22.811560165714244,21.861185758749997,20.67360389888889,19.576082032,19.31554202363634,18.502269138333364,17.804703320769192,17.289670210714284,16.807474424666697,16.530983115625,15.991785930588259,15.82385475388893,15.31848983684206,14.8489801885,14.642412870952386,14.489848466818156,14.161764794347802,13.958699238333365,13.7098565392,13.54618410230772,13.490249341111085,13.203042802857146,13.02765813068961,12.9746858503333,12.72597086838709,12.63184459,12.504739239090945,12.467009636176476,12.30245503942861,12.28171231750003,12.16446956594595,12.073760000263185,12.033316148717924,11.9471683045,11.856880110731714,11.77975358428571,11.73910370860464,11.722890622954536,11.642467798222265,11.62822743065214,11.615603201702104,11.6199845941667,11.662957512040832
10,35.73211342,32.14310904666667,29.921291375000003,27.650547235999998,25.803143310000028,24.25648400571427,23.0947892325,21.75439207777774,20.889587442,19.9924434,19.326843863333302,18.57739005384618,17.95932725714287,17.41468780400003,17.097454905,16.54525743294115,16.21995245555552,15.9147499421053,15.329927019,15.22480291809526,14.87164055818179,14.598768929565171,14.31198471666664,14.0700692304,13.885124973846121,13.73028588370371,13.53329795071425,13.37020874551725,13.243247758000031,13.02824511419359,12.91176220125,12.76808018424239,12.69153211823529,12.58004740228574,12.467787985,12.37249243351355,12.25139599210522,12.21770558923079,12.106161671499999,12.018016275121969,11.99079809095238,11.87122587813956,11.85086232909088,11.773961441333299,11.74024555913044,11.70666654468088,11.700953545416699,11.726255159183651
25,43.22088565,37.535112433333325,34.306512062500005,31.31993603,28.904328108333353,26.912420714285673,25.35854118125,23.79124159444445,22.84479094,21.620114704545426,20.763517508333322,20.01127405384615,19.384695142857176,18.56164872,18.03013068125,17.40760805294115,17.11831538055555,16.74390960263155,16.141744855,15.91226888809525,15.648985593181798,15.217077899999975,15.015504006249975,14.669650968000001,14.432494386538474,14.265356275925924,14.027542560714275,13.904827534482774,13.7370983516667,13.435274754838751,13.3777128203125,13.13638027727275,13.076953107352951,12.92477597285715,12.817873250000025,12.702959590540525,12.576256317105226,12.515070861538476,12.40878055375,12.3194441219512,12.21981519404765,12.1312174918605,12.04841983295455,11.988950225555573,11.934568393478274,11.863008008510675,11.824387501041674,11.79569829795915
75,61.552796075,50.8162070333333,44.0050380875,39.687968749999996,36.1120195916667,32.879612900000026,30.38687946875,28.7384075388889,26.9815341,25.16893122727275,24.126389645833324,23.054162073076903,22.1720842857143,21.318383466666674,20.404807121875,19.713708894117673,19.1811840222222,18.592659744736874,18.048412877500002,17.69628153571425,17.198114200000028,16.7848595043478,16.5182252625,16.134421698,15.8301801038462,15.4726783611111,15.216726205357174,14.982844525862076,14.6965213283333,14.4871472064516,14.361724773437501,14.055898296969675,13.9294703117647,13.7709342657143,13.648985079166675,13.445711379729726,13.278996334210525,13.12830038333335,13.006657425,12.88503757195125,12.748291539285676,12.62394715930235,12.5067546022727,12.343193568888875,12.263636681521724,12.13483360957445,12.010047630208325,11.886579052040851
90,69.29591803000001,57.40669134666664,48.82532537,43.453243328,39.06949896666667,35.64680886285717,32.409786575000005,30.60683466000001,28.740004874,26.7574458981818,25.729580845,24.53590085692309,23.38193500857147,22.3454643613333,21.50170958625,20.74565817294116,20.104367404444478,19.47581778631575,18.923746631,18.483297599047653,17.96887939636367,17.566878553043452,17.1506936325,16.705526028,16.40739261923077,16.043341610370398,15.79676612714287,15.449625964827579,15.1492382573333,14.94914500387093,14.797194456875001,14.59640459818182,14.296217220588199,14.09786223771431,13.927913116666659,13.74329415405404,13.615487107368379,13.41433114769231,13.284312101,13.135027666341491,12.9700952480952,12.83083354511631,12.68392897909091,12.525246895555549,12.412249493913059,12.2717022655319,12.11628562749997,11.92896175795922
