,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245
0.5,53.180550640888875,65.22463591828577,69.7650456152895,70.90391216029997,75.74863653901151,78.16083064389916,78.02258830588457,80.4767558644747,83.51068773925303,82.4970037041751,82.2754730455141,83.58375804604813,85.06396699430229,86.26514142723599,85.4185405878006,87.0418318360112,86.31942684198505,86.3939460277536,87.18964083651309,88.14094892959156,88.0080940724596,88.62042435053695,89.14259163612044,89.04290172187613,89.01467508604293,89.45913610102713,90.00071326240446,90.19425679401441,90.03491658842013,90.54276423890572,90.67558435241664,91.11104866311311,91.22797226110858,91.76598375618853,91.6590510077762,91.6470209672691,92.21397558073876,92.30207553345761,92.31107165896984,92.66890296990198,92.8818642110925,93.11765137477724,93.23996703829864,93.52226069267259,93.66761541506399,94.01440304182292,94.39648264671285,94.87012026780192
1,64.41435027022227,68.50256935390473,72.12091880726318,74.58932212520004,77.47918412963216,79.41678788302518,80.61704456064106,81.56319076721209,83.99833741882445,83.37379157338722,84.64442795985875,85.53355713967312,86.3439803409772,86.57609019571169,86.52264096355059,87.6508722666611,87.03436112063675,88.12882595997317,88.4582796690303,88.50046672395237,88.66663113848203,89.24400011012357,89.59122898964985,89.9076991479587,89.48939078907932,90.0516435999536,90.26236006729185,90.46717600590424,90.86944321953553,90.91871210232262,91.39170778014076,91.67043396473615,91.72224686602782,92.04252660264828,91.91513549754191,92.13537006311748,92.39690713780452,92.45796933929365,92.49934971822012,92.8903503635839,92.95905487883167,93.40645412950056,93.38775334408217,93.57353091443412,93.88769063523526,94.11173238563954,94.47988547615205,94.87817433001337
1.5,65.51014608811107,70.4915182048571,73.42574045960527,75.3829358721667,79.33208529281609,81.18755596473953,81.35455228370516,83.64490631289901,84.53108889698777,84.49299223814138,85.42997232323165,86.08863120725483,86.90265945510143,87.24145633598557,86.94895051256808,87.9542695741513,87.62748620302997,88.81649946096755,88.72761292573944,89.68556981701828,89.73866716370472,89.74115579194809,89.9370113733116,90.20494686699486,90.13614425704591,90.86547782104807,90.64094038263568,90.99879730237257,91.27323650619999,91.3431239493263,91.49971259926612,91.89967972871402,91.89552414792554,92.1298901689944,92.18781764602979,92.40112551491008,92.60525512271035,92.70968768532437,92.74533571099423,93.11566812780724,93.17074800276508,93.50829486622472,93.48197084478144,93.83491058155123,93.93549200861948,94.1938715130304,94.60614995991493,94.91465885190301
2,67.81984340622226,72.26990169980952,75.70737130221055,78.07827310146666,80.93372800583906,82.45425168107568,82.7540591698974,84.17219409660602,84.85499065487343,85.29805803054543,85.66881144353673,86.6856722648461,87.45724722846379,87.68684176279642,87.72041465228483,88.56439295768068,88.06061809026218,88.98578233654646,88.88450099613335,89.91452421090845,90.08319543878233,90.12973085419372,90.1042123214258,90.34770686658062,90.40867097432556,91.0443019753322,90.87452502493318,91.19141212011877,91.32252812013239,91.61307576230244,91.69478479795286,92.1004790842188,92.06924624633206,92.26907967378649,92.45812178256486,92.52926250418567,92.80098939581178,92.86960490594983,92.79580217898193,93.22128290290007,93.3451705381189,93.56327595227302,93.6902670455475,93.889720531427,94.06141733516691,94.26373196333874,94.66162135749653,94.94081246725328
2.5,68.61907165611115,74.24534129999999,77.20685091736846,79.13484238549997,81.4990668263218,83.48429215613446,83.23330027141023,84.62144736338387,85.69160906859182,85.77655038915829,86.07431860721746,86.98303353286053,87.81943879134576,87.95845174072075,88.04854664465985,88.91275785114846,88.29111964357682,89.28102662060473,89.26126366040407,90.14113330823258,90.37571263839031,90.474198423196,90.5718749764811,90.58311716422578,90.58710824362551,91.19330742966832,91.12690241726101,91.34625226454027,91.59785313511854,91.80597081976116,91.95157954824096,92.19474661944935,92.14741947667245,92.54548818599343,92.57458984484329,92.611608813681,92.889715776611,93.00865282026437,92.97734395995477,93.28088901552604,93.39425981825015,93.67771700148008,93.78095412634185,94.00005248365476,94.09082656223367,94.3140787202237,94.69897851352854,94.94231575157916
5,74.29818192888887,78.42115192190475,80.22380877131583,82.83717892333333,83.8163240210345,85.5698905922689,85.48626104628204,86.8413975172727,87.40922486310208,87.48863025057238,87.77345677590394,88.42515264192303,88.85118873915113,89.593125754018,89.81627004604431,90.1962491711204,89.70369293388264,90.53969642311316,90.5942248733636,90.87467557434064,91.100659163628,91.18789348143397,91.31211798995801,91.32386037620644,91.91563386134165,91.83409838692091,91.98798185257448,91.96727152845787,92.22245250106486,92.33189162724757,92.52416152047564,92.7018200497561,92.80317300529063,92.90071525392453,93.11232859842337,93.03014726086955,93.43399123956279,93.45008025432723,93.38789486665826,93.54339621412721,93.75176693400317,93.92843395309276,94.08055609522208,94.24365157556346,94.31459039215497,94.48752057293325,94.80683005862277,95.00751401374039
10,80.35565403555559,82.76185828952381,84.03932427263162,85.9078493006667,86.95422706643674,88.11017981075632,88.13603178653844,88.66553582060604,89.27056755069384,89.07084439124576,89.52147029327682,89.95158949115385,90.5879901246791,90.94704090724323,91.00591321724684,91.28042251350138,91.219497759975,91.80412655184766,91.91290149040401,91.90513048109892,92.10899987811511,92.1779327670786,92.18544069061626,92.40773979899359,92.52729989654145,92.74978591263684,92.7563812775745,92.8405993223372,92.94163365220582,93.13338531535818,93.26033211351411,93.25684527382111,93.3615408364358,93.4397765061281,93.59903360146494,93.64716616686248,93.78697793803397,93.80347379688077,93.88729906425633,94.08229096873264,94.14469520435638,94.23074812094764,94.3947828964508,94.56167148237306,94.60352070906018,94.72242558726312,94.95129682556484,95.12973725739039
25,89.46395020555553,89.61269214285714,89.80293067894738,90.64817677166664,91.13852810689656,91.7799133109244,91.94289707403844,92.3058507888889,92.13204014999997,92.12562857609424,92.39235961059322,92.7877147149038,93.1904255489648,93.12364220720723,93.23347289224682,93.23545421064426,93.248877459613,93.75671341187012,93.73143923338387,93.75992994661168,93.93929336296912,93.91978569466052,93.89945178312327,94.06864901787095,94.07171106684558,94.02259807108902,94.02278476230727,94.04951968912837,94.15386987633113,94.27494279895268,94.37763768993713,94.2624392559128,94.31972234961714,94.37706008420362,94.55689711359408,94.55290212235607,94.69904525750488,94.50877171416862,94.65653229657036,94.774871128264,94.72710463279788,94.85962561554008,94.8826261144977,94.95991723859123,95.03998588721286,95.10948299256228,95.19240734228555,95.29028754551688
75,104.35883825,102.29261848095251,100.8422560592105,100.470758248333,100.06194294942524,99.54698784537815,99.30662119583334,98.97971743838383,98.52860176326533,98.6172402976431,98.41760942528245,98.18857084903843,98.29319777929604,97.97756549423428,97.5111273629747,97.78458408221287,97.5677340146067,97.4799786398656,97.51948776106057,97.2852110065934,97.32540517973308,97.19768390045765,97.13370667461483,97.11172403916133,96.8954726227788,96.89371127396353,96.9201655139517,96.73034391580462,96.68274895111858,96.7454802438626,96.57242226299132,96.6172905059128,96.5265308652628,96.61186025665025,96.55416628457479,96.45525282914215,96.38056443792816,96.24889052067145,96.27997432371858,96.23904149885225,96.01369193419914,96.0380269474462,95.99773719143838,95.95527936228174,95.90460776346117,95.8147973187852,95.75080927195782,95.62686172154562
90,109.1327192933336,106.5519240399997,104.44849465894721,103.83226017733361,103.1723723712644,102.6190748736136,102.4114995701286,101.56023620141411,101.294652673469,101.17228555205429,100.565509383277,100.1103415500957,100.1044220606622,99.90376336086483,99.63533306449366,99.51457267938375,99.50254918836451,99.32774330248604,99.24724662282824,99.02588004615386,98.72092005866558,98.57557561617087,98.52393166036418,98.38518472774197,98.23282969413236,98.11048964891097,98.13636374672147,97.95829077741377,97.88986947639368,97.66943945575196,97.54887498898587,97.72568865184036,97.4243389426314,97.38285794695571,97.405366561887,97.25200631278496,97.05509923182956,96.97189689203275,96.89349795908541,96.86410033884269,96.54584898035085,96.62236974636816,96.55140930569947,96.40379734096031,96.24476720326565,96.1406008451864,96.01226617752437,95.80816385911679
97.5,113.3597162250001,109.44108223857097,107.98943036828942,106.724594135167,106.23866230695448,105.32496962075608,104.94987184307666,104.34269771141425,103.7970712812249,103.46847126979758,102.500773938206,102.19719624769215,102.39180705527924,101.77318525776613,101.83834140753923,101.00632055133032,101.2005753831274,100.95862479461353,100.8437088750004,100.63298281230747,99.9514298225063,99.91222541858886,99.84246684799018,99.63712754690319,99.84052758786221,99.5654018282587,99.17237447445012,99.28842961518195,99.07587803148989,98.84675736892748,98.50713712409986,98.56409998751298,98.50749577787327,98.36807097949756,98.20648349780107,98.05804263819621,97.77792682034388,97.8957945316442,97.5481870397399,97.60823210269253,97.18051979522781,97.19061289971307,97.15399962469488,96.91770778236705,96.6601688212664,96.45208706106926,96.26994979185407,95.91702458916693
98,113.74501197777735,109.84848639961928,108.80909835842141,106.987198983733,106.5955841805975,105.76898806783225,105.55794085617968,104.65105564048446,104.060001263167,103.61680127453205,102.67556374212477,102.32767033567292,102.84714227137867,102.08140067227374,102.3251413747852,101.39072123883432,101.81096545870133,101.11067875716944,101.02653353272694,100.75740024827836,100.03725768669564,100.11216300305746,99.99158822304486,99.80385592863999,100.09823290716005,99.63676780312213,99.40610034794864,99.40787987220689,99.17375182724835,98.97578100955177,98.63493920100316,98.7064250002483,98.60900088446083,98.43713509230085,98.28267008139538,98.245142460007,97.87258274680372,97.98254030028444,97.64258084135174,97.6610880620679,97.26356275968195,97.31428279060724,97.28203962165382,96.96870242214766,96.74096670908979,96.53936207920711,96.34722668318197,95.92588767090535
98.5,113.99975713766666,110.48581602895229,109.11595427631536,107.66128248946698,107.15066169828698,106.56931897547885,105.95179842527584,105.26833530401049,104.80344449133437,103.9948855829296,102.98263391374623,102.68178565140835,103.31265360944492,102.30600513364716,102.60258766809336,101.84236632631918,101.94649000117694,101.4443241259847,101.36525398434654,101.07612132135372,100.34214151829819,100.50818024115671,100.3007877234509,100.05223513210828,100.21450199114406,99.78190452902268,99.52988001136178,99.51830554885444,99.4214062741732,99.2044710746158,98.76567902246701,98.75249161566589,98.79594098251444,98.5105398776414,98.41119257967998,98.31454358826795,98.01643204113063,98.03430379910756,97.84450021060506,97.6868587857972,97.39769570592276,97.45237292175183,97.30721769505249,97.02143422759045,96.81064588231084,96.61555925963339,96.37647438376797,95.92969847570791
99,114.96940443844433,110.94466334076154,109.599318658421,108.53101876693331,107.61309135151741,107.10703419868892,106.49695336911526,105.83243797412153,105.1789137376486,104.29295384709776,103.27195416668316,103.047040286712,103.619383814315,102.50678270111007,102.86690999989284,102.08909202683465,102.1750044086367,101.88764494174264,101.77730107771762,101.39981158572193,100.96421881758809,100.87100308284938,100.64867211472259,100.20398207925678,100.43699378542472,100.05670320916067,99.65277311469066,99.7755092939866,99.54677441798118,99.33077594951986,99.05985559986004,98.81438651124316,98.94634061353007,98.84245116453071,98.54132084434947,98.48643589043832,98.16114278055524,98.18047442680522,97.94366106824025,97.88028729780967,97.5977752988863,97.58103567514458,97.46131962656534,97.15246960939444,96.86435702857717,96.71308154421747,96.4139321188964,95.93120293423621
99.5,115.53179661377756,111.95119699990443,111.22900289378968,109.81125726026633,108.27140654188534,107.58890250986597,106.83129311678859,106.16485121891918,106.03720235174285,104.93993437543462,104.03188300277361,104.06077108834585,104.38659678315275,102.92836779311673,103.1505979016188,103.31623983166695,102.97500703403468,102.44090119440779,102.56025628575942,102.10723466842998,101.29096823137748,101.12258254196037,100.91298558111879,100.37990116840385,100.90459036123215,100.42816692649814,99.89773997432376,100.43370703394143,100.08853413779394,99.72523180978384,99.48995202670362,99.10112068372065,99.38561326551134,99.33451163670473,98.85267067212503,98.89217300184256,98.37625170063578,98.51859029603436,98.16812125176034,98.12052330755809,97.85676034276486,97.70609190647815,97.57888611953692,97.2540863732758,96.99449740217501,96.82694183389528,96.4501610726832,95.94775988598728
Median,98.1818261666667,96.52741805714285,95.61570918421054,96.06034756666665,95.67878976091956,95.93501652941174,95.76468839358975,95.7908409373737,95.5694185820408,95.35516943703705,95.5331697299435,95.63795200288465,95.85269613416145,95.66774340252255,95.32616471060125,95.6899227103641,95.62509988352059,95.75620588241884,95.5512344620202,95.492137135348,95.68714195771474,95.63768942654465,95.61756030350139,95.61689141496774,95.52308325223615,95.49887814040906,95.53675333905446,95.4070838057471,95.41072686639819,95.50748370657729,95.4498404103774,95.4784851835181,95.42299276756005,95.5887864191133,95.55691347036006,95.4859302653349,95.5041950948761,95.39632850716364,95.50748531836685,95.55143077297944,95.39926128489405,95.45677338974136,95.4933225466376,95.46715045194445,95.4491208184545,95.47066347950535,95.46955583178175,95.46263637303446
Mean,96.09114816966668,95.3040634023238,94.86192454435263,95.17792322250666,95.32240986143678,95.47572750207729,95.39820234604358,95.41861514839393,95.33273367690938,95.20332419939261,95.24222757096724,95.32207170458845,95.5860915583383,95.4576711790126,95.28939458594651,95.48420125382128,95.40660379475331,95.57611883977872,95.57014363479192,95.50345020953957,95.56119853856296,95.48396640004759,95.47783891607746,95.4890244958165,95.44306401519475,95.44137738944367,95.43784212333976,95.38392190103332,95.39848910325522,95.43995528240787,95.43280521557351,95.44784775428617,95.42238266461531,95.48638966449904,95.5143213692067,95.46176099286392,95.49642842974569,95.40071817312831,95.44705465754683,95.48355672822458,95.36475810127021,95.44600641157574,95.46177407609053,95.45781453499825,95.4395391182764,95.44481341772286,95.47938935819874,95.45607410511563
