,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185
0.5,20.8808320145,22.4142348953333,21.746927746999997,22.892537654599998,21.029914407499966,19.910421570142812,18.100982808500003,17.63742566033329,17.5562390328,16.999281166363662,15.828900114083366,15.747555984769276,15.456913181357143,14.954295772266699,14.7907652121875,14.545370770882313,14.140794608999956,14.102546780315794,13.5936419899,13.272884595380948,13.392052359318164,13.199055391652143,13.211177879291666,13.00875876188,12.977394934653809,12.669618408555522,12.6350678397857,12.621106841310294,12.578357962133333,12.590508027032245,12.44536045221875,12.503935286757605,12.369093703323506,12.398184894142858,12.472191648666634,12.8168246540541
1,25.308584809,23.982172939333367,23.513305589,23.4210630496,21.54600812633333,20.615993322857115,18.5808012235,18.269475817111122,17.9683450384,17.116515072545464,16.344659153833334,16.06831551830767,15.892662252857171,15.486019744933333,15.18133247175,14.718798374352948,14.65397317111112,14.387596674210563,13.7673084709,13.479152341523843,13.560200423272692,13.441016010521768,13.372415321083366,13.27720261552,13.031336601153853,12.873182096074077,12.76533431214287,12.831057513310311,12.7280069512667,12.6734242555484,12.502220837875,12.59749523357572,12.472871047411793,12.4638631332,12.516600554388889,12.8168246540541
1.5,26.718760416,25.104070043,25.00231513025,24.004845881599998,21.8394793001667,20.785017433571415,19.975098522000003,18.6892670185556,18.175845533300002,17.727195607818157,16.5988118858333,16.31198274653846,16.197901621285745,15.5454198314,15.3887373974375,15.03638914411767,14.694910273166666,14.501905273315815,13.97542376605,13.707718637809501,13.779341702181846,13.535367332391331,13.524319892166698,13.37565895092,13.112258002576946,12.952288110259213,12.804436456107116,12.870783281896594,12.782258618466699,12.726721964322628,12.5627095149375,12.626219493000027,12.544293651499983,12.500542402142885,12.547583877777734,12.8168246540541
2,28.149677514,25.9394817786667,26.100774807999997,24.4898463416,22.723119240666634,21.223874299428545,20.281194357,19.04017519511109,18.4395263696,17.946474732727292,17.181547569,16.663521888923114,16.335230886571413,15.918519015466666,15.53523183175,15.084121484470618,14.855184470444414,14.600123455157883,14.138150793200001,13.910254508952393,13.850628252181819,13.645072134086973,13.563826549333333,13.46777083392,13.170332788923114,12.987416606814818,12.899226714571457,12.997499014620697,12.865316206533333,12.782763492387138,12.607736435,12.678414231515116,12.576697902235294,12.519725991314328,12.561026941555522,12.8168246540541
2.5,29.501648905,27.591794036666702,26.510924118749998,24.666686120999998,23.29777235249997,21.54428208928576,20.398060875000002,19.221177807222222,18.648100278500003,18.099654282727283,17.487054645833332,16.748598387307716,16.50225496678567,15.992716818666635,15.7152265665625,15.199264490294095,14.9312480497222,14.725071348421093,14.238329106,14.103626066904763,13.988052711363618,13.729785678913059,13.608638398541668,13.5042925396,13.2186292225,13.039669265000047,12.962578068214258,13.018325465517277,12.9060387331667,12.808093161129046,12.642557213437499,12.697048600757546,12.629012372352948,12.557362650142885,12.582235384722257,12.8168246540541
5,33.66153282,30.149735353333366,28.71844708,26.48788406,24.525438743333336,22.62172851142857,21.784874326249998,20.425449923333375,19.551305818,18.702487118181786,18.2160812416667,17.474853919230735,17.012579444285684,16.361988307333334,16.105734849374997,15.60427474764705,15.272485876666625,15.097436488947391,14.59470232,14.383113665238065,14.286620659999956,13.98270142043474,13.881035864166634,13.662609946,13.4708425238462,13.291947088888875,13.21678146250004,13.197830553448256,13.037823609666635,12.93488567548388,12.857382210625001,12.7885642375758,12.695692535294105,12.638425846000015,12.646980977222201,12.8168246540541
10,37.6355733,33.2203487333333,31.32938351,28.529850464000003,26.03209371000003,24.24418965142857,22.918329742500003,21.30723475555559,20.320546194,19.46756806727272,18.79461973000003,18.0895362707692,17.57936727285716,16.9628169173333,16.5102276075,16.154296512941162,15.66092164888888,15.43820626000004,15.029441941,14.760194195238089,14.55130957909088,14.2954650626087,14.171300235,13.906819876,13.78255556769234,13.58977188740738,13.442366048571401,13.36646668689653,13.23387712866664,13.09366545548389,13.0151625,12.90443468303034,12.81079396411768,12.764948312000032,12.73957931055557,12.8168246540541
25,45.704655325,39.297603666666696,35.1543202375,31.78965793,29.082772216666648,26.52510165,24.71266225625,23.370542916666675,21.888631285000002,21.006923281818175,20.0779797208333,19.2989189846154,18.59910822857145,17.880573226666648,17.315567703125,16.9204986882353,16.462018136111077,16.13632912631575,15.689740737500001,15.3906698190476,15.196444334090925,14.86945390434785,14.635817527083324,14.368054914,14.212969790384575,14.00388913333335,13.820207437499974,13.68613545,13.5458219366667,13.383050780645199,13.2592689984375,13.162543198484826,13.0132874764706,12.924509267142875,12.84574762222225,12.8168246540541
75,62.765829525,53.1120244166667,45.050388025,39.57368026,35.590614766666704,32.28401018571425,29.72934819375,27.4841121611111,25.775654165,24.2191191318182,23.013207404166675,21.858802515384625,21.06895932857145,20.238755693333324,19.40198980625,18.7965137264706,18.20290448333335,17.790935952631575,17.1727762725,16.824967788095226,16.4222105568182,16.09125936956525,15.77048718333335,15.458015203999999,15.1525243096154,14.898571788888875,14.691502764285726,14.486110513793125,14.21651072,14.016682764516101,13.827755128125,13.621335248484874,13.4332666647059,13.250538548571399,13.0651073902778,12.8168246540541
90,71.39892326,58.6951366533333,50.432657660000004,43.308560320000005,38.55248395000003,34.640695074285745,31.81622333,29.3332846977778,27.461921742,25.58513707636364,24.38156033500003,23.06800220769234,22.15436094000001,21.434614244000002,20.26381586,19.668834344705882,18.95645115,18.41958501684209,17.877188223,17.49610908571432,16.980247106363652,16.63371027913042,16.365932385,15.8907930976,15.56536258307695,15.32062226370369,15.01767455142858,14.809421539310371,14.511849511999971,14.29970123548386,14.07216691875,13.84992049999998,13.6003329923529,13.39102090400001,13.16043816333331,12.8168246540541
97.5,80.83793107749999,64.21696593666665,55.88443930999999,46.869299953,41.767231626666636,37.67707205071426,34.418253760625,31.13827962222222,29.188846913999996,27.21060942136367,25.666401187916666,24.2697194296154,23.54367575,22.450223712333365,21.4054629825,20.711769413235295,19.9265018144444,19.341963004473644,18.5913737845,18.32077176785715,17.669004311818163,17.294070219130457,16.903382112916635,16.3684537004,16.137060763269243,15.812514015370363,15.535120272499972,15.147830271551758,14.796796548499968,14.592633982258091,14.30392544515625,14.100588330454542,13.81099930705884,13.568129121285743,13.280093909305588,12.8168246540541
98,82.75788336,64.95855443866664,56.793196701,47.1736476136,42.013401994000034,38.19503509314287,35.0005968335,31.60839068844441,29.4177313692,27.448838097454562,25.779290755333367,24.41311032430772,23.733296573428614,22.5670685901333,21.506489510999998,20.764781274352988,20.005077791999955,19.398076794736863,18.692637675,18.450145138285727,17.77027698309089,17.37775769321739,16.999611118333366,16.43879377968,16.185339698923073,15.874272985629586,15.569303629285756,15.198653135999972,14.857793760400032,14.618381865548374,14.334238722875,14.155718281212124,13.831342744705859,13.5989810969143,13.284608445555534,12.8168246540541
98.5,83.556075259,65.88626221633331,57.615039937999995,48.0698559362,42.808769581833296,38.74610985528567,35.065781292875,31.945442283777762,29.6653912277,27.721853584181844,26.0006067985833,24.604958340923083,23.886376522714325,22.7473308012,21.7117431575,21.041524677058828,20.12079539538893,19.546914055894774,18.799201589899997,18.531781489809557,17.820752316818133,17.444288943782624,17.057348671999996,16.477256508799996,16.258491461923107,15.961130950814768,15.617807026321456,15.245982704758614,14.917139892966699,14.662171291096818,14.36431784540625,14.183688743818209,13.846610987529424,13.618243872028613,13.302566896388932,12.8168246540541
99,85.95477082000001,67.96946285533329,58.014906776000004,48.868846922799996,43.680074407666666,39.19843900714283,35.2186173565,32.6466891071111,30.231794225999998,27.974514383090906,26.623886832666635,24.739816031230724,24.184122081142867,22.914678562399967,21.839367964,21.266974575058843,20.198764181555557,19.680468023052647,18.9082715296,18.67113439209526,17.89674915190909,17.604457373304314,17.234689816999964,16.624551463919996,16.299083619153837,16.02481399992592,15.810257400285671,15.387165020206886,14.993994746600032,14.75338917148383,14.4069945120625,14.299318613575734,13.875236405470542,13.652195657600014,13.362347402888888,12.8168246540541
99.5,88.53802899799999,70.26989097933335,60.23273342774999,50.7885662944,44.04481901516663,40.29366207228573,36.135859617,32.856455176777786,30.5660518277,28.76483120472728,27.049681654833368,25.405105539923085,24.46362570035714,23.3712265850667,22.004190840875,21.80217097176475,20.4569067281667,20.00391465184207,19.1871309725,18.74563174047615,18.01600692386368,17.78048906730435,17.616652591208332,16.92420731848,16.506394027961587,16.13509166811113,15.999335320607114,15.545440406517224,15.146235759166633,14.80854898829035,14.50960042503125,14.371464101030345,13.992792460823576,13.680620089571457,13.392550998027811,12.8168246540541
Median,54.19062945,45.929684699999996,40.27621255,35.57688304,32.3184236833333,29.53969492857145,27.1459789875,25.4166074666667,23.867222920000003,22.54424522727275,21.507338675,20.5084761,19.8337835214286,19.03103248,18.39524519375,17.8579906176471,17.33685619444445,16.9014794105263,16.467860765,16.1061585095238,15.822879636363648,15.4736175173913,15.165567175,14.911314012,14.686769053846149,14.47591504074075,14.2668894142857,14.070188020689649,13.91179486,13.711856758064549,13.554735740624999,13.3936472848485,13.23502600588235,13.0888470685714,12.959886308333349,12.8168246540541
Mean,54.505398004599996,45.949160901933325,40.403635962799996,35.745996641720005,32.287149653933334,29.488920830885714,27.23743345535,25.3920155332,23.88349951436,22.580062899163636,21.534769908383335,20.555644682892307,19.865581787700002,19.106705678999997,18.3894818224,17.87677641241177,17.343955080077777,16.952604386810528,16.438385875610003,16.124050042761905,15.806192171972727,15.475292887947825,15.212356275349999,14.922188120232,14.681201211630771,14.45240662211111,14.25109995215,14.085547072586206,13.885160480993335,13.700751743516133,13.54470624200625,13.394906505527272,13.220757149947062,13.082099499097142,12.952165935466667,12.8168246540541
