,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185
0.5,51.58585246388889,64.80729499019048,69.12613166047369,74.60597246056666,77.70209198494251,75.89713649431933,79.57645590008333,81.20552671606063,83.62379492456327,85.05696411617504,84.80884009122884,85.48896001376441,87.50451676481991,88.8991287217117,88.52559525213445,88.18833223712322,88.48930106736951,89.53945924928777,89.44404101225248,90.0716281801154,90.5936090538057,91.30437565510906,90.90484523328007,91.52023530462193,92.12430555988733,92.10607049182975,92.32442901304881,93.19517540825386,93.52552185424877,94.01319691497528,94.15360607965722,94.5835169388588,94.9542134237825,95.26346034751332,95.87338785984205,96.9791206051704
1,59.15081622577777,66.90056163504765,72.79713441673681,76.88624342140001,79.55536926211495,79.95056589939492,82.63408494453842,81.98449851476772,84.99225332116738,86.35805206892934,87.23651683208479,86.80035074105766,88.65215879314704,89.7088684659532,89.04247805956965,89.23318769203358,89.63118913052439,90.1257339236058,90.12168452067071,90.96585672709527,91.30192349101586,91.80043747893825,91.78637956607422,92.16932130744256,92.60621728019916,92.82637911123055,92.93642475906069,93.54560712700764,93.75829168895483,94.12097237251781,94.37031985214385,94.72568711346932,95.04018096863416,95.34207486550932,95.92282665768842,96.9791206051704
1.5,61.6827050362222,70.43808869895236,74.71391707342107,78.47489372449999,80.57697063966667,81.82754090734458,83.5647179053397,82.83221585585856,86.04342844542859,87.88040968827606,88.01499152959609,87.09912636340387,89.08541414550517,89.94809157294057,89.21528743766459,89.75040269905887,90.1503988588901,90.68436093585217,90.34130546263026,91.44510445045422,91.58050470661968,92.01083897095191,92.4274912779237,92.46921071381553,92.80602591414727,92.95368452008177,93.31558671100977,93.75006593281415,93.94933293175886,94.29563197499122,94.60633784119612,94.8290248924693,95.2201091258622,95.58474858609716,95.97237799855615,96.9791206051704
2,65.20316853955552,71.42212248952386,76.0946247751579,79.6557260697333,82.0192499125058,83.76495201633618,84.44403054500002,84.54752677317175,86.40029600868574,88.21450564193934,88.35361536738978,87.63306675394229,89.87712028763562,90.37117818395677,89.79037210770252,89.98467827768069,90.59708842716108,91.18311841542666,91.08783642547476,91.60156791601466,91.9221491774846,92.17288640830515,92.67943441215967,92.7357433275665,93.09663589778178,93.15691441192261,93.48588628395271,93.96308285540614,94.01528657780943,94.53736247024379,94.72007951283643,95.00371217552107,95.27651129134001,95.60739398473298,95.99812190604098,96.9791206051704
2.5,66.91782915555557,72.55463103190479,77.0634974259211,80.5768849671667,82.695364437069,84.49056083781514,84.8698361275962,85.25279820696973,86.64067470430615,88.3226588627609,88.61714492443501,88.1554649900961,90.06770191746381,90.70752954005403,90.11033508028484,90.16200400830536,90.89117614760919,91.53133943474803,91.25337745678792,92.06948132358058,92.35203727596328,92.43308855614036,92.75753059778008,93.07130445469677,93.31564553439779,93.4874204645992,93.58691645262844,94.19514500107279,94.12301625432443,94.64357546735236,94.84672213105148,95.10687388153359,95.29775000282106,95.6671966155862,96.03505045092335,96.9791206051704
5,71.27029077666664,78.39364824571427,81.5167559565789,84.16560554533334,85.45740676436778,86.78367582151259,86.8113624733974,87.5640725308081,88.63153709632651,89.82073516424241,89.88305886079098,90.16347273105768,90.90773456915117,91.50209707286491,91.31789255580695,91.27858911484597,91.95699714676653,92.21108873124298,92.4169259497576,92.94847653838828,93.0419778105922,93.26521227167046,93.42656978017506,93.67387515583228,93.98969232377459,93.9044559047429,94.1443529474615,94.72582312519161,94.46357662145411,94.97136009390024,95.18192220810931,95.46973508046567,95.56356636031326,95.89763290017734,96.2278051197672,96.9791206051704
10,79.27597058444447,83.92703845904758,86.68408330263162,87.99318305466667,88.46266126390806,89.5178807633613,89.15612709999998,89.65876975010096,90.61477079020412,91.88611967824914,91.3229049972316,91.6990157068269,92.43424124306424,92.75834415646848,92.74417237132913,92.56431366050421,93.01811130017481,93.43301664712206,93.35007659404039,93.91855636377288,93.93874266668888,94.28147828707858,94.34568296834738,94.3494015066581,94.7783925632201,94.75246247044777,94.73885982821173,95.23726844911876,94.99345516983445,95.4747188729619,95.60216325008649,95.79436151784186,95.85463503225895,96.14585219922496,96.34911866309129,96.9791206051704
25,87.8382375,91.5746835238095,92.4380352486842,92.486809315,93.04869570344827,93.49359248487391,93.52890262467947,93.7490583782828,93.9500191179592,94.8146150010101,94.45692026596042,94.52040152067305,94.82347111625255,95.03163010882881,94.63887649248417,94.67871964495795,95.13365956304617,95.21806882721165,95.1947989437879,95.50656408333333,95.45304402518767,95.5262321209001,95.50855707184877,95.59355137387095,95.92030879779367,95.8043645825318,95.89542403445527,96.00253997792143,96.04910175263983,96.19093532974442,96.22753777344735,96.36022551633405,96.37344167236337,96.56277290013135,96.70325995831777,96.9791206051704
75,105.77504961111075,104.15253666190475,103.03836105657925,102.4373275416665,101.744825626437,100.87642499327751,100.81480634935926,100.55012144444426,100.2415098185715,100.28462901077425,99.94307212302263,99.56413441947112,99.39790935910969,99.58851292252251,99.28497028132915,98.86327336302523,99.0340650955056,98.83198582172454,98.6004075124747,98.5473848039377,98.6080908855713,98.36020194279173,98.42161064310223,98.39609489929035,98.34375558363152,98.15563116075182,98.10309718633093,97.93997628544061,97.93574686536914,97.88589521776291,97.72657332885223,97.67488542087949,97.54362792761918,97.42710413484397,97.29894023614216,96.9791206051704
90,110.6983960844443,107.87201073904801,106.7132798363157,105.5276726139997,104.7967915680464,104.08747940134431,103.7214536598714,102.9716417193938,102.6848724635922,102.3972015582495,102.1619789463274,101.5816710166349,101.4397299437264,101.2995190223426,100.9535554166136,100.55733465619011,100.5537696837948,100.3511523032472,100.2475177502223,100.0192093600736,99.87718419222682,99.57298177019067,99.47228785865548,99.5098455153806,99.23787893137745,99.12012417182976,98.99636628108942,98.76297780021076,98.65795700344522,98.55444870387936,98.37479953475633,98.28866778456764,98.00904035113119,97.8302112907586,97.64614940712599,96.9791206051704
