"","x"
"1","Accipiter cooperii"
"2","Accipiter striatus"
"3","Actitis macularius"
"4","Aechmophorus clarkii"
"5","Aechmophorus occidentalis"
"6","Aegolius acadicus"
"7","Aeronautes saxatalis"
"8","Agelaius phoeniceus"
"9","Aix sponsa"
"10","Alectoris chukar"
"11","Amphispiza bilineata"
"12","Anas platyrhynchos"
"13","Anser albifrons"
"14","Anser caerulescens"
"15","Anthus rubescens"
"16","Aphelocoma californica"
"17","Aquila chrysaetos"
"18","Archilochus alexandri"
"19","Ardea alba"
"20","Ardea herodias"
"21","Artemisiospiza nevadensis"
"22","Asio flammeus"
"23","Asio otus"
"24","Athene cunicularia"
"25","Aythya affinis"
"26","Aythya americana"
"27","Aythya collaris"
"28","Aythya valisineria"
"29","Baeolophus ridgwayi"
"30","Bombycilla cedrorum"
"31","Bombycilla garrulus"
"32","Botaurus lentiginosus"
"33","Branta canadensis"
"34","Branta hutchinsii"
"35","Bubo virginianus"
"36","Bubulcus ibis"
"37","Bucephala albeola"
"38","Bucephala clangula"
"39","Bucephala islandica"
"40","Buteo jamaicensis"
"41","Buteo lagopus"
"42","Buteo regalis"
"43","Buteo swainsoni"
"44","Calcarius lapponicus"
"45","Calidris alpina"
"46","Calidris minutilla"
"47","Callipepla californica"
"48","Cardellina pusilla"
"49","Cathartes aura"
"50","Catharus guttatus"
"51","Catharus ustulatus"
"52","Catherpes mexicanus"
"53","Centrocercus urophasianus"
"54","Certhia americana"
"55","Chaetura vauxi"
"56","Charadrius nivosus"
"57","Charadrius semipalmatus"
"58","Charadrius vociferus"
"59","Chlidonias niger"
"60","Chondestes grammacus"
"61","Chordeiles minor"
"62","Cinclus mexicanus"
"63","Circus hudsonius"
"64","Cistothorus palustris"
"65","Contopus cooperi"
"66","Contopus sordidulus"
"67","Corthylio calendula"
"68","Corvus brachyrhynchos"
"69","Corvus corax"
"70","Cygnus columbianus"
"71","Dendragapus fuliginosus"
"72","Dryobates pubescens"
"73","Egretta thula"
"74","Empidonax hammondii"
"75","Empidonax minimus"
"76","Empidonax oberholseri"
"77","Empidonax traillii"
"78","Empidonax wrightii"
"79","Eremophila alpestris"
"80","Euphagus cyanocephalus"
"81","Falco columbarius"
"82","Falco mexicanus"
"83","Falco peregrinus"
"84","Falco sparverius"
"85","Fulica americana"
"86","Gallinago delicata"
"87","Geothlypis tolmiei"
"88","Geothlypis trichas"
"89","Glaucidium gnoma"
"90","Gymnorhinus cyanocephalus"
"91","Haemorhous cassinii"
"92","Haemorhous mexicanus"
"93","Haliaeetus leucocephalus"
"94","Hirundo rustica"
"95","Hydroprogne caspia"
"96","Icteria virens"
"97","Ixoreus naevius"
"98","Junco hyemalis"
"99","Lanius borealis"
