,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245
0.5,229.374775205,348.07318002,438.91689900999995,530.53636127,587.57268883,686.8008505050001,772.637384365,805.253939655,886.66705215,928.1172815,1014.270062265,1042.6315358450001,1116.077228015,1159.311964175,1211.3628488049999,1256.932085015,1306.477916925,1346.05759029,1405.4259020299999,1453.6370067100002,1488.7378078,1524.3202528200002,1573.8008988499998,1612.1228632050002,1658.20761498,1712.769558005,1725.947809775,1767.231694235,1810.832441765,1841.31985439,1883.504516235,1928.853464785,1963.36087787,1990.608136845,2029.32924928,2069.9790409,2102.5399489,2136.14044569,2178.569699745,2210.006568565,2242.1971009149997,2279.1125138400002,2307.886891615,2350.28134749,2385.78303869,2423.1480681900002,2464.563330885,2547.636684
1,238.19006055,358.28484609000003,457.06370054,538.15873876,598.92003061,700.67297551,779.1735489600001,826.44648206,901.95908848,946.87867494,1022.3581200299999,1058.5207977700002,1121.89402318,1177.9073537299998,1228.64745182,1285.29154133,1325.69203039,1367.82267552,1418.42793287,1466.55813426,1500.52099359,1532.9171258,1586.28994258,1631.51834807,1663.82154366,1717.5142349300002,1740.80527144,1784.32775,1827.03615623,1852.18565174,1893.0227720500002,1939.19256011,1971.93402838,1999.21101027,2034.06144974,2078.2171949900003,2108.2973863,2141.62135289,2182.37685715,2218.0861523400004,2245.5391180200004,2284.5753958699997,2315.08609776,2359.68682814,2392.52786454,2431.37851608,2468.72759853,2547.636684
1.5,250.833001125,366.109320425,463.29156489499996,543.442017255,612.817842045,714.120304785,787.19966198,844.87739431,908.406950925,957.038555555,1035.44341029,1086.9206085550002,1128.40322065,1193.20910439,1233.790902005,1288.317789895,1336.552239405,1381.8596412900001,1423.72059031,1470.7855155050001,1513.02732897,1539.885927275,1599.281308565,1642.085826245,1677.1119960800002,1726.5496096499999,1747.9826804049999,1795.9259204700002,1831.830873925,1858.608159055,1898.4062389550002,1945.7001593,1974.739816,2005.385191705,2046.004991195,2081.10615889,2116.182217995,2145.8557417999996,2185.144025625,2221.986978315,2252.86384553,2289.924488365,2322.6311003250003,2362.253706885,2397.4594607,2436.113469365,2474.92198753,2547.636684
2,255.79149454,372.6351574,470.50205956,549.20541536,626.79235078,722.43465048,795.35058782,856.76423878,914.44696294,967.93352444,1042.2990665000002,1089.2057316,1140.59922906,1200.11565456,1241.4881047400002,1299.11103122,1342.15989722,1390.25438594,1435.42174716,1477.47848686,1518.73130846,1555.90796434,1602.35216666,1649.28939608,1685.65471252,1728.68843722,1755.1339500000001,1799.6822719200002,1838.1112072,1863.2636438999998,1903.1047736399998,1950.68307022,1977.96967304,2010.08700432,2051.3038428600003,2088.39755808,2121.92233038,2153.17187974,2191.55168988,2226.88051094,2256.4491095400003,2293.61989592,2325.78572496,2365.27964848,2407.1788625199997,2437.4120006800003,2476.3097834,2547.636684
2.5,262.07493555,378.509561575,476.360806525,556.0521579,634.4527518,724.5571448500001,802.74080625,860.553078325,924.823576325,974.91533885,1046.873847875,1094.6919896749998,1149.3808130749999,1204.9031963,1251.6976301500001,1303.3766730749999,1347.076184175,1399.9673274,1443.544460975,1484.21425115,1522.5262317250001,1562.6059963500002,1613.996073325,1653.65151955,1689.847352175,1731.4004364,1761.21975185,1803.842130775,1844.13622575,1869.68381255,1912.5585816,1954.35524435,1983.80089345,2014.538978925,2057.398924825,2092.508481725,2126.258386725,2162.008620975,2195.5616522,2231.2042205499997,2262.0424467499997,2296.744011025,2328.744213075,2367.921769825,2410.29080095,2441.78413375,2478.8573914000003,2547.636684
5,279.72624475,393.13690829999996,492.1136523,574.4562403499999,655.5567862,739.42627585,826.6898836,882.83526565,949.38957805,1002.5062043,1067.5836769,1120.9346615000002,1172.31606205,1227.99685305,1277.6147511,1319.6531606,1365.46650475,1415.38780765,1462.7141064999998,1502.5267471500001,1545.0522512500002,1586.2344086,1629.6377347,1667.50639105,1706.47289935,1748.0058516000001,1783.23228505,1820.5073871,1858.62797965,1893.2957371500001,1926.65575175,1963.4072065999999,1997.0646228,2030.1119621,2065.41913265,2101.8213938,2137.6533600499997,2170.84420245,2206.3028743,2240.69574895,2274.3806520000003,2307.1631961000003,2339.2267948,2379.8808776,2417.381953,2453.7420368,2489.2707711499997,2547.636684
10,295.76427559999996,413.7242196,516.1217226,597.5632334,682.8180110000001,763.4273555,843.0749134,903.6253326,970.0820497,1026.3042574,1093.9056995,1141.2532306,1194.7782688,1248.1204055,1299.2706528,1342.7683079,1382.2453229,1434.4977176,1481.4478368,1519.0731886,1562.2715319000001,1603.7650642,1646.2534853000002,1685.0848478999999,1726.2674776,1765.0045224,1800.2625804,1837.4490561999999,1876.9997825,1908.0547666,1946.2804257999999,1981.3001087,2015.9631838,2050.1614609999997,2085.9503456,2119.601422,2154.5880064999997,2184.3998437,2219.1230169,2256.4301060000003,2288.5849512,2319.390171,2353.6264942000003,2394.4196132,2428.3373422000004,2462.7568038,2499.226948,2547.636684
25,332.06226075,446.94499325000004,550.72228075,644.331117,729.58482725,805.53862875,883.1478070000001,945.9901237500001,1009.969965,1064.31678625,1128.8018252499999,1180.94462325,1237.3848075,1286.7616705,1335.628377,1384.4106794999998,1422.731401,1467.3714622500001,1513.81277525,1557.34677125,1600.1607595,1638.35616575,1679.33945425,1714.0971399999999,1756.0448375,1795.5179779999999,1832.05596,1866.7061780000001,1904.006006,1937.60380175,1977.3111334999999,2008.5732802500002,2042.078496,2080.4726125,2110.7101700000003,2147.136591,2180.74593775,2211.11983075,2243.651934,2279.83115725,2311.58496,2342.33483025,2376.58890125,2412.65373575,2444.7251459999998,2478.1993792499998,2512.2601365,2547.636684
75,406.79306675,524.42910025,634.0126487499999,731.64021725,818.881589,895.4411170000001,963.0160545,1032.63391975,1093.438211,1150.9847895,1211.06469075,1267.2112425,1316.8992787500001,1366.4432017499998,1411.187207,1460.1106114999998,1501.349018,1548.054231,1588.4399515,1628.4579425,1670.2463380000002,1709.21956525,1748.4831255,1784.6848705,1820.0348077499998,1859.9511335,1896.31380125,1933.210588,1967.7542135,2000.9112810000001,2036.9682205,2069.156271,2104.018322,2137.05812425,2168.69698475,2202.5270090000004,2231.12864225,2262.63931225,2295.50913475,2324.019253,2354.134122,2385.11050025,2414.4254015,2444.32828125,2472.35312675,2500.339459,2525.582749,2547.636684
90,438.2924024,557.9746283000001,671.2769301999999,771.4326265999999,855.4429640000001,933.5968646,999.5535959,1066.3442146,1129.6384,1188.4223775,1246.9349126,1300.9982186999998,1346.0272624000002,1396.8606404,1445.3666491,1493.4102693999998,1529.9186933,1578.9610797,1619.5062524999998,1655.5241677,1698.7640236,1737.5617097,1779.1685174,1817.7877983,1848.5252129,1887.7955365,1921.4233828,1958.97941,1997.4535041,2029.2172163,2061.5584196,2093.5473404,2128.5357201,2160.2451273,2191.1403668,2223.4522231,2251.8815197,2285.225728,2314.3252461,2342.4416841,2369.9366328,2399.1907063000003,2427.7687675,2455.584992,2481.8323548,2507.0967924,2529.9751565,2547.636684
97.5,473.397048975,600.3853687000001,718.8616937999999,810.2740163999999,894.11320025,970.1377062,1036.572755575,1101.316680525,1166.344917725,1223.11561175,1284.058477825,1334.477069375,1382.2476302750001,1430.08478955,1477.012220125,1523.037173625,1565.62742115,1609.7333972,1650.7323959750001,1688.64731795,1728.12066695,1771.2219930249998,1809.443047325,1849.684623875,1879.8929924249999,1915.82268045,1950.093125125,1987.1029334749999,2024.498603975,2053.980649875,2085.0974102,2116.236789275,2154.7894266000003,2185.7448492,2211.43242195,2243.4461635,2275.4547402499998,2302.2932708000003,2336.547824425,2358.559705575,2382.976060525,2415.12786765,2443.17611235,2467.705374775,2489.2988645749997,2513.8224391249996,2534.186801575,2547.636684
98,478.55836783999996,603.7778208799999,725.5763393,818.09475218,898.5897171800001,982.66629752,1038.88800642,1108.2757031,1170.49359998,1227.44288192,1286.2981477600001,1338.8018252,1386.98589034,1436.5601745,1487.0227015,1529.73071022,1572.08860598,1618.83610152,1654.5925749599999,1694.98296998,1731.57211102,1774.27328254,1815.02960648,1853.4506467600002,1883.45561608,1917.59541382,1955.7843818000001,1990.89871724,2027.55624288,2061.8153353,2091.1371568600002,2118.7941039599996,2157.63939286,2188.57999682,2213.88769872,2244.7543504200003,2278.38038928,2303.5270859,2339.75702602,2360.3433813799998,2384.5497168800002,2416.7573727000004,2444.6672322599998,2468.9839985,2490.83873668,2514.27644598,2534.6637803999997,2547.636684
98.5,486.70906376,607.44760001,732.297953275,821.3453521700001,908.22239385,987.1083991500001,1044.0109791399998,1115.455073755,1178.08633519,1233.814113275,1291.306373315,1351.2777273,1392.09495946,1445.562955975,1490.23815382,1533.22727737,1575.72319683,1620.91225167,1659.26900473,1702.551119985,1742.709563055,1780.1565498100001,1819.3986098799999,1855.343818885,1892.287873125,1922.077429685,1958.7645947899998,1999.005085225,2031.36064197,2068.5316804500003,2093.4049101699998,2127.518134045,2161.586884045,2191.58913242,2216.685102055,2247.149180685,2281.769950995,2305.9211992349997,2343.3690125549997,2363.886628485,2386.037563475,2420.457563605,2445.7903243,2470.065755465,2491.21659288,2515.03047533,2535.937701715,2547.636684
99,489.2956571599999,609.18304641,738.98879941,824.8908651099999,917.01785379,991.29772497,1061.83831985,1121.34195735,1185.9947456,1242.31361402,1317.83846528,1357.20808262,1400.57641847,1452.3590087599998,1505.24817766,1544.3596591700002,1578.77342787,1629.0272006999999,1670.43818805,1708.1357361999999,1753.2999886799998,1789.1157203999999,1825.9387003699999,1866.24606155,1898.3602573599999,1931.11926681,1961.75198776,2006.31589478,2035.29585548,2073.01447557,2099.64956351,2130.03107987,2164.93270978,2193.0952865,2222.10446448,2252.14982406,2285.25000623,2309.3410687,2347.05771625,2367.5950707399998,2388.57644955,2423.28556412,2447.14348659,2474.05383877,2493.6499793,2515.9301456599997,2537.20692077,2547.636684
99.5,507.52811978,626.18469926,756.077749315,843.245728265,920.5760708399999,1003.819855505,1070.8540806699998,1142.1838295900002,1203.260698825,1247.96731232,1326.2163311049999,1364.26669343,1414.36365161,1459.9612231649999,1510.150917775,1550.2102434600001,1587.617984125,1642.62786034,1678.170671325,1731.498871095,1757.037029095,1801.0511120849999,1831.96414145,1877.351326645,1914.03491799,1934.50780702,1967.642989585,2015.40099522,2040.23758092,2080.40744404,2112.30763584,2131.79079487,2172.29251091,2197.64789189,2228.826737645,2259.28780574,2288.9308941100003,2314.3479121200003,2351.4302219349997,2372.32814885,2390.7690589900003,2425.66020199,2450.337728085,2475.61458257,2496.869633705,2517.2090135099997,2538.29936082,2547.636684
Median,370.940767,486.041897,594.4614905000001,690.1087255,774.119003,852.7557835,925.7282215,990.678232,1054.0860364999999,1111.511493,1168.788114,1225.2164345,1278.822465,1326.9635245,1371.8733805,1422.6408925,1466.1290145,1509.7113100000001,1553.379084,1594.1529555,1635.751219,1674.145418,1715.267056,1750.9964415,1789.3493564999999,1829.0391180000001,1864.7757944999998,1899.402795,1937.248387,1970.834783,2007.7710355,2040.5522655,2074.824611,2109.988292,2142.497467,2176.918438,2205.7788315,2238.4609250000003,2270.196903,2304.519194,2332.8871735000002,2366.9234975,2398.233812,2429.953782,2461.0190865000004,2491.0440835,2520.05937,2547.636684
Mean,369.090184294,486.88843329499997,593.366932365,687.4677175209999,771.949923735,850.264292075,923.6384854649999,987.487462467,1051.326698399,1107.15550997,1169.6494649510003,1223.3113520260001,1274.732410082,1324.903654534,1371.7928543980001,1420.3968592770002,1460.9556562009998,1507.968409654,1551.176665472,1592.037540881,1633.127241285,1672.261021038,1713.3864696899998,1750.579444382,1788.00657349,1827.75230486,1863.1820312040002,1898.860175085,1936.1023087160002,1968.4669117419999,2005.4454645099997,2038.849110049,2073.395090947,2107.1330683749998,2139.1288106280003,2173.179341302,2204.6104931669997,2236.116372721,2268.814698642,2300.9436806699996,2330.8606051909996,2362.666937652,2394.068120776,2426.744976756,2457.407108902,2487.606307696,2516.9685062300005,2547.6366840000005
