,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250
0.5,20.053510315,22.515774993999965,23.8585007935,21.020341935199998,20.119714276833303,20.74168671585716,20.211573023375003,18.99251986033332,17.9743366678,17.284977685636317,17.440340635416632,16.5688944133846,15.721587124714327,15.876531121333334,15.959779241562499,15.149262414235253,14.7406138193889,14.52327829831581,14.2674081589,14.220192222571404,14.156947716363682,13.928926607086948,13.3852424873333,13.04411328568,13.105861328269185,12.817029296370377,12.766883754750042,12.73537495724141,12.576276850699967,12.330996296903223,12.142450072625001,12.152503947090862,12.16550237955879,11.93591142788567,11.813554963277822,11.74267127437841,11.815699307526332,11.586056683871755,11.66014380915,11.456889034804835,11.584726964214253,11.488159080651155,11.361757126704529,11.375289295088933,11.383690308673907,11.312826173468055,11.364429938875034,11.382233214612206,11.394713964
1,22.925572542999998,23.7923019193333,24.998888417,21.986120776,21.624379343999966,21.788843481428543,20.51644265075,19.68665036600003,18.7796028502,17.838499746545484,17.819965705499968,17.11362602015389,16.547448871,16.519758219333365,16.057364523,15.493659454352963,15.248546514333377,14.962160652210546,14.512636341999999,14.432083214761938,14.343745275545446,14.1145925185217,13.648094251750033,13.27771921936,13.319738254230739,12.986150455703747,12.98666215642857,12.89264266317241,12.730036980666666,12.502037841741958,12.311309502687498,12.342453053939424,12.301995882117659,12.140119905028557,11.913396162611132,11.940743010918878,11.846663676894773,11.721288140871815,11.7141894401,11.578826668097578,11.661250581999981,11.558798757069786,11.399659642545428,11.411400279111144,11.426599452260886,11.428124200170195,11.397719404875033,11.458340409918415,11.51482464656
1.5,24.5563238745,25.592688861666698,25.58219578075,22.7222757376,21.9678229371667,21.98212390614287,21.068857280875,20.053956187222266,19.2844228455,18.000003606272752,17.9841382138333,17.47088713884617,16.848327808142884,16.7466858182,16.261692327375002,15.641178820352911,15.414127377666667,15.217456039368459,14.704300776350001,14.533128627333287,14.545788949681862,14.276840196391257,13.8778965903333,13.535166577679998,13.385083572769215,13.170767452703666,13.126968080999971,13.06332951806898,12.8361870069333,12.652046830128992,12.464764097218751,12.447122745999955,12.33089684267647,12.242784786314244,12.091029671500001,12.028850245486522,11.936411568921022,11.76993034697434,11.792812556674999,11.687290048609729,11.7295003655952,11.572423006976766,11.488059743068174,11.484494206822266,11.477597570673925,11.46022474555322,11.4397323750625,11.491797982040845,11.53758103074
2,25.659994942,26.5480868306667,25.983830731,23.3705387888,22.564521442000032,22.266186905714328,21.4868604015,20.354394249777748,19.536930180800002,18.568298525090945,18.2735479976667,17.626631532615377,17.11842712914283,16.97066737919997,16.495418368,15.84872063364704,15.540054830888932,15.3946803254737,14.9436443152,14.648504467238125,14.6304566225455,14.332584060521778,13.94678726899997,13.742364088959999,13.418725067076878,13.266066795703692,13.2175933808571,13.126733732137918,12.969020968666634,12.719217096645174,12.504536223999999,12.51510642751517,12.3847839,12.278258093485729,12.145711874333323,12.089130134486444,11.973757564526284,11.823065745333368,11.8177956032,11.705810853658532,11.7768604767619,11.609786128279044,11.532565901545482,11.50565236542218,11.53166799026086,11.473974185446835,11.481164925,11.511140908653077,11.54512538
2.5,26.569311145,27.304727215,26.3752936225,23.95335605,23.12510803916667,22.680844215714327,21.677586278125002,20.3959844677778,19.620025971,18.955540120000038,18.519103637499967,17.867581902307663,17.303085099999986,17.13766240399997,16.5466406415625,15.9948786914706,15.6823051311111,15.513716971578923,15.2047531565,14.80443305047619,14.703179359772683,14.389428702826082,14.088312634166636,13.8061375958,13.498765770192263,13.366752729074035,13.282582668928573,13.183444020689667,13.018675698333364,12.830980895000001,12.557198484843749,12.56632117500003,12.4240636252941,12.341464666285715,12.208986120833345,12.146693788783821,12.035558853289443,11.937368312435932,11.850167090500001,11.740641986951195,11.79555844749999,11.65520644209305,11.569401385909071,11.549390808222201,11.55195014206521,11.500787980212777,11.492330270729166,11.523593009489796,11.572455952499999
5,30.973482985000004,30.095839559999998,28.421269795,26.501864928000003,24.543287851666697,23.587075645714243,22.706653942499997,21.70591418888887,20.630002386,19.885752521818173,19.303612599166666,18.520003289999984,18.13601450642856,17.648439724666698,17.163770511875,16.671703871176483,16.159104081111156,15.89839275684214,15.5892229325,15.264305749999984,15.058550380909116,14.76802232782609,14.484563269166664,14.2068232492,13.892369186923101,13.698017197407435,13.567010155714286,13.351848596206924,13.216589158333365,13.074526397419321,12.8567787796875,12.76934233424247,12.64487606794121,12.542950353142855,12.3453999802778,12.297769506756806,12.213118331315835,12.11330742076925,12.0030934745,11.918596521951208,11.926675104047636,11.75444958558136,11.734370668636345,11.648521199333299,11.66499270543482,11.576889644893626,11.566975767708302,11.597732314081595,11.6534197962
10,34.804364830000004,33.21906648,31.1681605,28.66003496,26.70596855000003,25.04967005428569,24.0604166175,22.666974437777768,21.662310774,20.85437865090909,20.144198783333362,19.41483723846153,18.78430878428571,18.15468638,17.7904650325,17.26010385058819,16.872173344444448,16.36293628526319,16.047994098,15.703574400000031,15.418774573636322,15.1329973434783,14.85530803083333,14.5286962816,14.28152880384613,14.063235837777789,13.92275860928571,13.73377922206896,13.45790414533333,13.32192667741935,13.17393431,13.05279086969697,12.872042108235261,12.71159292228571,12.62155055333334,12.54256079945942,12.37593950736844,12.28580309179489,12.1947556645,12.09463117317077,12.070225190952371,11.9015530562791,11.86237740590906,11.7834268177778,11.76688913347826,11.70672933829786,11.6698711925,11.67236821428573,11.6871330356
25,44.204801325,39.58101205,35.3250605,32.24619915,29.792058125000025,27.752879157142825,26.18006805625,24.983737227777777,23.48973413,22.697991095454576,21.738475025000024,20.869374176923074,19.970165175000023,19.4288168666667,18.859857796875,18.277441038235274,17.85689637777775,17.2549191210526,16.892053517500003,16.537839140476176,16.2094848704545,15.9158562217391,15.581454704166651,15.179516742,15.000059988461574,14.678507687037024,14.410163817857125,14.286439308620725,14.0136945233333,13.76245525967745,13.6171545328125,13.481308139393926,13.27502170588235,13.13549944285715,12.995788518055527,12.884201000000001,12.729000193421026,12.633069002564124,12.523844181249999,12.370749958536624,12.309043657142901,12.1724775476744,12.112542453409075,11.997807871111124,11.9526316532609,11.876209244680826,11.8189661583333,11.775337842857175,11.731478546
75,62.38149765,53.3055475666667,45.44504015,40.84044997,37.298449025000025,34.26253295,31.89199064375,29.89762306666665,28.000187905,26.669659400000025,25.2692573916667,24.1358725807692,23.00004874642855,22.175185516666673,21.424555228125,20.789900329411775,20.0456424777778,19.4389671447368,18.85277916,18.405702109523826,17.944684227272752,17.56465249565215,17.07835272083335,16.763544066,16.3942748596154,16.038189553703724,15.77864243392855,15.49234973103445,15.2137933883333,14.9351071129032,14.7137642828125,14.505749401515175,14.253143692647075,14.022697538571425,13.86272142916665,13.729419329729726,13.52534697368425,13.36352204102565,13.19523347875,13.041237113414624,12.88522710119045,12.750143412790726,12.59301591363635,12.429817018888926,12.3373625771739,12.180063036170225,12.038964090625026,11.941155480612226,11.801531023
90,71.55386462,59.481472946666635,50.84346855,44.98013218,40.2693821833333,36.95422433142856,34.3854850725,31.86746621999997,30.114826734,28.5423702509091,26.86320309166667,25.72068384923079,24.23213809571429,23.51071952399997,22.67981558125,21.94268616823528,20.93255632555554,20.36807556842102,19.870181076999998,19.17920739714284,18.773469689090938,18.330641300869612,17.80093595333336,17.402362918399998,17.10081692769234,16.59662825111112,16.37052109642857,16.040418508275838,15.76870111799997,15.40486806322579,15.143963799375,14.944394089090911,14.66125182470592,14.45597956171432,14.23749722611109,14.06034512918915,13.890928376315781,13.704423427179512,13.494840033,13.35640387024386,13.1695214,13.00342653860469,12.80912615363634,12.67622769288889,12.51495664999998,12.36032055234041,12.2113586833333,12.029993695102,11.831696423999999
