,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250
0.5,62.55445227822224,68.50251688590473,76.1546702255789,77.44165672906671,76.5272501618161,78.09376949563024,80.64141412721149,82.64211491523231,84.49233360543671,85.2309712167071,85.4030053091836,86.45433090219713,87.41644789784263,87.94762068858739,87.9696985403275,88.4800311419944,88.7381960762796,89.37874211589694,88.62254887162828,89.37603075935161,89.97577181422348,90.40710871572382,91.0725218092374,91.1793728437135,91.81280214718541,91.58770466743178,91.9252249106238,92.00457640289459,92.4693117919615,92.58333806312027,92.37978914353651,93.22425759139983,92.94182876921477,93.00381079056028,93.83945999979915,93.78404147464097,93.9314846682673,94.42223099157125,94.03241333245884,94.54572158817986,94.9677465303055,94.84456158765789,95.14167163242237,95.26661995914128,95.37283300469491,95.67075878280961,96.07879103761749,96.36487220445905,96.85131576747757
1,64.87658316888889,72.8306661954286,79.18195138673687,78.16321340873334,80.38922920788504,80.67182899055464,83.43428923001284,84.48037031195955,85.47414030581224,85.69708100443098,86.99837107958761,88.03640331821151,87.98846774973914,88.32843624437476,88.79943879566771,89.49357468647054,89.67278973034956,89.97718415526097,90.02519965319188,90.81639711512086,90.85830043623521,90.89598562640732,91.81184723103502,91.85268501585034,92.10011358361358,92.31918085173912,92.16981371102673,92.50867931168774,92.74507529764922,93.18313260129203,92.68617291640798,93.42205149355655,93.62212346545837,93.4302302563048,94.04508364776106,93.95891655740658,94.30144904073458,94.49104435143744,94.24670998985327,94.61138209442466,95.03533620729186,95.003326064972,95.34778258912083,95.42062639970159,95.55386603342771,95.89274546048955,96.15341010257082,96.43636271053661,96.86734052708694
1.5,67.391012106,73.81563985409518,79.89113810139476,80.35819048020001,81.12016558588503,83.4024724824202,84.3313867142115,85.54727975103026,86.76846142666939,87.076784623697,87.52007344831638,88.59303292420671,88.47681907554451,89.0670707198486,89.53890174295732,89.83285478430817,90.22573154395754,90.46614969902126,90.6338334725505,90.95828610504212,91.25308848038533,91.21188737765372,91.9514897271828,92.32341273797165,92.54986673318064,92.55842959374465,92.5794372775879,92.9107483888994,93.09592125316645,93.38483168819526,93.36194036740798,93.66138126667558,94.01442735201739,93.67458434889592,94.18624309670145,94.24137008330851,94.42485552600051,94.55990792153108,94.62169002122766,94.76830425916835,95.22772812379193,95.14381545223688,95.4158044884155,95.49704304776512,95.65672650370689,95.97948595853322,96.21705878451708,96.48774192425897,96.87765389960467
2,67.75884178133337,75.33400824990474,80.89993000884209,81.2588948445333,83.59174270878161,84.38481030756301,84.6467868180513,86.19061383721214,87.31530732016324,87.88805264756901,88.37762867640681,89.10316561696153,89.8693603902195,89.49367127788105,89.81822213567719,90.23602478879552,90.36806852213738,90.83259566083764,91.06406669779392,91.31797251680585,91.5984351952794,92.0062949344439,92.0910254072381,92.53210642250323,92.66848429423253,92.92867178268658,92.82581510091674,93.20394248833337,93.38620013940765,93.6143439364122,93.50879701508175,93.74784433272133,94.21875464093286,93.92191579257539,94.32542502722038,94.44528833467447,94.64737111016538,94.63786611497538,94.70687840175675,94.92982668570252,95.36497789222142,95.28473859679545,95.47517663862104,95.57697571387304,95.7529749750082,96.03683854064815,96.24746494074549,96.53167503991838,96.87926135455996
2.5,68.59031666333337,76.27113061523809,81.62080481894733,81.74535060116663,84.07514603890802,84.98156653445375,85.14225192278849,86.4491969766667,87.66826195263263,88.27285568979799,88.9177003877684,89.2046335628846,90.32167703714286,89.6710698853513,90.08459215238923,90.56714444864147,90.79415645197876,91.11306886486004,91.26702766432827,91.62432817157512,91.79679428291495,92.22224133709385,92.47332661403706,92.64653311976133,92.82466862293974,93.09805194461028,93.04715464282631,93.32184509621649,93.49672689740488,93.7622804402095,93.7863795050609,93.86723953747226,94.33216918180122,94.09775610143514,94.45209307047172,94.5423968793625,94.77770025451407,94.74642129676448,94.78971210730155,95.16470489039936,95.39506363364772,95.41022903439683,95.53894098951221,95.63789203820237,95.82306748508447,96.07289681070195,96.2974472490246,96.55743600421211,96.90680248519841
5,74.8267256144444,79.12742744761901,84.45145142657894,84.6599515756667,86.06926119091956,86.73247240924366,88.08491413961536,88.47573499626264,89.25890620191839,89.42933448309765,90.40849514954802,90.56338232403847,91.63259673455485,91.14118987855858,91.26364585569624,91.74926467775909,92.17206488908865,92.01636821171331,92.31562052787878,92.4637074924725,92.73287500422013,93.14153120105263,93.37605670683475,93.27691182010322,93.45034602687538,93.78497825583196,93.86964997118703,94.15764689619732,94.0691524311633,94.39304831213244,94.37109800099842,94.48105201651143,94.80296680830489,94.68432658147786,94.9377500312166,94.91571023757929,95.12321520308267,95.2432527647528,95.25992807137688,95.48048117321373,95.62596383240141,95.73168606129533,95.92708456870902,95.88287167109918,96.0804781518872,96.21405081362066,96.43682913378484,96.6717978052827,96.92683502634053
10,81.06559185777782,85.2021247619048,88.40744860052634,87.59267020733333,88.92967148735632,88.83200762487394,90.53409101410259,91.02311580868685,91.25400540130609,91.69495175488217,91.88169900627118,92.16136800874999,92.97119208641821,92.74416105412617,92.61488620237341,93.05545133983189,93.41453750426962,93.12863783493842,93.55110628278787,93.9270445622344,94.01286983881569,94.03433086883297,94.14035174651264,94.1789267085161,94.4371235531306,94.42240388072965,94.70981285622814,94.69962246712642,94.91386751617897,95.1377631914872,94.97675968591192,95.13729011077608,95.28449425584408,95.3917955318227,95.6012636134389,95.47338594886013,95.62944469977167,95.78733807680678,95.74091943385426,95.9267362780775,96.02010744960583,96.08557277429256,96.23388533794521,96.25065261962696,96.33822793169924,96.47383227785413,96.60404238420851,96.79146861678149,96.97538640269559
25,90.16105335555552,92.19704016666665,93.26067016184207,92.9149922616667,93.56408166206897,93.10896555126047,94.5363756807692,94.32057514444445,94.3345595332653,94.61751903703704,94.69093352768365,94.88100297211535,95.09710577349898,94.94227879405408,94.80475906898735,94.99757487759105,95.1586705511236,95.28835853493842,95.412531120303,95.48600187811356,95.60033376680568,95.61010571937454,95.6217538745098,95.65384752335483,95.99326981914135,95.9670282270868,95.97073964239465,95.99467670172413,96.06161536722595,96.30162547804777,96.1032054441627,96.15243741962308,96.19313760348065,96.36073692610842,96.4183002642924,96.39591525801998,96.43615576183517,96.48648423391487,96.45131318258795,96.57896823402677,96.59312894640007,96.63344668104757,96.68390799788293,96.71412103884917,96.75292301135373,96.86293071938535,96.92126568692467,97.02622724350955,97.11345556153418
75,105.19152818888925,104.21452798095225,102.69602861842075,102.33940648666649,101.85111532873525,101.04789243613425,101.30597287692275,100.93326439697,100.394298031837,100.42797982289575,100.119436656356,99.74271068197115,99.85124269358175,99.4885780962162,99.55370325205698,99.41628889411763,99.41485695362044,99.17990329328107,99.25908403398986,99.19502512802194,99.09172217239364,98.89463599420287,98.81769488343838,98.68144442722581,98.83607408610611,98.71392710923158,98.60909151014904,98.57774670124522,98.66929894572709,98.45939438764138,98.283114412441,98.3922886477088,98.2486237906544,98.2880302166831,98.25195046292677,98.21293816251465,98.08152579345585,98.05123760277554,97.9885495384422,98.05089699913916,97.93277452644108,97.8864655896327,97.77970288139268,97.72206127059519,97.70023160010446,97.71351285457358,97.59313971535043,97.52005989253931,97.35751550837747
90,109.92439304000041,108.5102675504765,106.320118395263,105.774800634,104.5985273211495,103.97252136773079,103.91158196282021,103.0170946826267,102.6420603662045,102.496602236633,102.2352718344064,101.7663932817304,102.0092783975158,101.6021787144507,101.3345563246523,101.1398491684038,101.136065449913,100.7731972386565,100.7959526837168,100.69617471802191,100.3088885042535,100.253480413181,100.1415139522127,99.73648107587096,100.16461690435291,99.90770218744058,99.72837210187053,99.6121504587165,99.70877016655035,99.45667516807707,99.28266835441039,99.23037593908352,99.22558976370348,99.10209979573067,99.15776203050898,98.88824509938893,98.90390447302141,98.64068850980703,98.63608510188945,98.75312196924921,98.520852560843,98.38929094054335,98.31090766375262,98.18604075493651,98.06520762423014,98.04134491500272,97.87315581622036,97.76059270444968,97.55000517210597
