,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200
0.5,233.97626398,345.1938817,431.59721131,505.882631435,622.95275935,693.04098073,753.424331335,836.958369515,892.802011885,960.40426476,993.95477738,1066.54911545,1122.4502146000002,1179.2570097550001,1215.9068517800001,1273.458018595,1317.86455923,1372.944628065,1424.23020511,1448.28799813,1492.85176925,1540.82537057,1584.4110986800001,1616.36924097,1664.15127727,1700.636274495,1733.94581857,1788.8619218150002,1819.973481915,1847.94643302,1889.681309925,1918.27799895,1956.798946315,1986.8098805149998,2035.83945586,2065.00189618,2110.075487185,2147.887245895,2185.9033747199996
1,240.23094616,361.3498311,449.23118541,526.91807391,634.93824265,711.75153595,776.56876104,848.39952833,911.22943109,971.38039976,1009.45194512,1076.3379045600002,1138.9624040800002,1191.1602883,1232.6309948100002,1290.86357045,1336.33357266,1383.54853229,1426.46397186,1464.8105435300001,1508.90553746,1555.48044775,1594.4357302,1633.9658821799999,1666.01677464,1706.45528433,1747.99219493,1795.63844178,1827.45671825,1851.9890006100002,1896.06461519,1927.2835187,1962.52606935,1996.8030104900001,2039.79435063,2069.36800773,2112.55765681,2152.23789147,2189.4361033299997
1.5,248.064918735,372.29256184999997,453.874651525,541.50727994,644.04373363,717.845097925,788.143781425,859.772840865,920.09118411,982.947094215,1031.2022521449999,1087.6161372749998,1148.753428265,1201.4175367599998,1242.2366183099998,1296.1801947150002,1339.27750571,1392.47096939,1429.9494818750002,1475.083423075,1515.341038435,1563.56533593,1600.282066645,1640.707144765,1672.06540192,1709.81739259,1751.21029125,1798.3539299499998,1833.14088964,1858.55041307,1899.7118978849999,1931.357508605,1969.086538455,1998.719151885,2042.5945740000002,2072.55237233,2115.681174335,2154.0441379999997,2191.4887706
2,259.58875883999997,374.72126264,463.72898678,548.91296582,653.05902518,723.72130872,795.82298514,862.40247684,922.87400578,986.9775442,1037.48893392,1099.39235318,1151.44910368,1203.88340442,1247.9476569199999,1299.2858319,1345.90891212,1398.42498006,1434.61441618,1479.1826359,1520.79839714,1567.86063014,1607.0429986,1641.51725546,1679.8449626,1712.74633252,1756.29100554,1801.7701697,1836.5861149,1864.64841728,1903.2721581199999,1935.23207858,1972.3261952999999,2005.33238018,2046.7499754599999,2076.63623518,2117.32254142,2156.3026081000003,2193.07624466
2.5,267.18071845,379.16313375,473.271618,558.59443045,655.63936295,730.025372325,802.25194095,867.077190875,930.175677275,991.079588875,1045.979025175,1101.7322456250001,1153.964945475,1209.038695625,1253.8783741,1309.923707625,1350.030141925,1399.7857625499998,1439.462044625,1481.97457655,1524.388266725,1571.8511645,1609.863975425,1644.625368675,1683.19804615,1717.2295345,1759.368926375,1806.694376075,1838.72177205,1866.38574655,1906.06826585,1938.918595825,1978.103540725,2007.537715525,2050.4560116999996,2079.8490437250002,2119.008987975,2157.144172425,2196.324796125
5,284.22432935,397.189478,494.5636966,578.19021415,669.2045057,751.52831495,821.32252995,888.42903205,953.5578761500001,1009.02190555,1073.8939563000001,1119.39741595,1170.9422454,1230.98957895,1275.95353355,1323.3377372,1371.6853994,1414.85370315,1456.0404252,1498.0342575500001,1539.4608916,1584.02344445,1621.9557837,1656.84324225,1698.8441385,1732.02511435,1770.60281395,1814.41506295,1847.45691,1877.1944254500002,1919.3836144000002,1950.4606002,1989.3733112,2019.8996668,2058.5439751000004,2087.93725455,2125.98050135,2162.990007,2202.8782864
10,302.0258076,419.24181,518.9268417999999,607.9809295,691.1457255,769.3825850000001,844.1072081,911.0248215,976.8286014,1036.6826481,1091.5406352999998,1144.2743498,1195.7585778,1245.5416263,1293.8160907000001,1340.9866389000001,1391.3564089000001,1431.7690584,1477.7346793000002,1512.5498472,1556.084028,1598.7662626,1638.1697322,1672.1787394,1714.5846244,1749.4246247,1785.3844099,1824.8601361,1857.9859327000001,1895.0375073,1929.4151637,1961.8990728,1997.6636011,2030.1707781,2069.4336027000004,2096.3932597,2134.2046431999997,2171.2113255,2207.7237249000004
25,333.72262424999997,453.23525825,560.25687975,646.85372925,730.62502425,810.8147055,884.8269005000001,951.1127745,1015.373143,1073.65437,1122.0910065,1179.94531025,1227.81946375,1277.6285905,1328.89045175,1373.7769827500001,1420.143537,1460.880358,1504.514086,1541.92963925,1584.87629225,1623.79182825,1663.5187787500001,1699.98678975,1736.7239064999999,1771.71482225,1808.32384,1843.2887395,1878.66613525,1914.14960125,1948.40968,1981.99056,2014.0201175,2047.82609275,2083.12344075,2112.64602125,2147.72674825,2182.5173999999997,2215.30522725
75,412.23819125,534.2837734999999,645.2316862499999,731.847588,819.404366,897.88804375,965.868668,1026.9524809999998,1088.82067125,1144.660246,1193.60306025,1247.5930357500001,1299.17891325,1344.36257725,1391.3718812500001,1435.2401487500001,1479.2208890000002,1521.78777625,1565.913791,1599.3806125,1639.621992,1677.37522225,1712.8732412499999,1750.1384765,1784.41213225,1819.9471285,1853.2028034999998,1888.29964775,1918.994806,1954.1970310000002,1988.9574364999999,2020.3450102499999,2048.22548225,2080.3179652500003,2111.093586,2140.540114,2168.91369175,2199.040828,2226.5839205
90,442.5633631,566.6474787,683.5005516,768.6777051,851.22185,934.242747,996.9405137000001,1062.0318776,1117.0507733,1172.7081149,1223.3327353,1277.6382885,1325.8367537,1375.4601375999998,1416.3124889,1459.4879662,1504.3185836,1546.3412079999998,1588.1131642,1622.0787804,1658.1292034,1698.7465645000002,1734.4801816000002,1770.6619618,1808.0954831000001,1841.9338557,1872.0056158,1906.2013506,1938.7418440000001,1970.2419199,2003.7618618,2034.2054583000001,2060.4755865,2092.2895708,2122.9026975,2149.8732969,2177.6053167,2204.9588236,2230.4275457000003
97.5,469.819425625,601.98895325,719.79166355,806.5064098500001,885.0782464749999,968.143666075,1031.832009275,1093.929934575,1150.60095975,1207.648202075,1253.5999671499999,1307.6912560249998,1355.7121348,1402.2445412,1442.9145753999999,1485.528416675,1526.0798728749999,1570.697570225,1615.2303378749998,1645.3137709999999,1680.6207683,1722.235143075,1758.394336825,1794.1931664,1827.5170024499998,1862.772048,1889.37263005,1926.439220025,1954.9967090750001,1988.3660871749998,2018.3179965,2046.7446102000001,2075.8772608249997,2105.2340453250004,2134.46645625,2158.670474925,2186.965732375,2212.8937122,2235.0860690500003
98,474.57530116,609.41451446,724.4819376199999,813.5816408200001,889.8875294,971.940414,1034.54379804,1099.74409072,1154.6080568,1212.5495834600001,1258.55231454,1311.58815634,1358.89832308,1405.1712961800001,1445.8540328000001,1490.44953254,1530.4626288,1574.66419548,1618.03400388,1648.5869122,1682.21406342,1724.14520742,1761.3097527599998,1797.9669706,1829.0829061,1864.11519996,1892.52760462,1928.94581208,1957.9138373600001,1990.9900575,2019.48046278,2050.2332101399998,2079.02046676,2107.1714281,2136.0917376400002,2159.9047474599997,2187.65806958,2213.68564924,2235.21313344
98.5,478.14256898499997,617.6251765899999,729.81252867,816.461037595,898.151384605,976.08970757,1040.249720385,1102.8008848749998,1159.24232401,1215.9134600749999,1261.063139775,1313.1888447499998,1366.4461973549999,1408.899422185,1449.906703025,1494.6569309299998,1534.6594985299998,1579.325615705,1620.3757907,1656.18594781,1691.5141207899999,1729.338042565,1763.8310118,1803.24138613,1832.363517265,1867.401266295,1893.719576735,1930.7748442299999,1962.4221936650001,1992.96884882,2022.9596326,2051.93429538,2080.314811055,2109.339744315,2139.691713125,2161.20400468,2188.67347327,2215.618882,2235.566872985
99,484.99108261,623.8304092399999,743.94339223,825.35654259,910.6819922599999,981.29998365,1048.4965196199998,1110.49610255,1163.72768743,1226.04869963,1271.1753741100001,1318.92737368,1370.1351193599999,1411.0291272099998,1455.89972053,1500.41797796,1539.81787176,1585.8588795199998,1622.9342833,1658.05949886,1700.0505939700001,1733.6021052699998,1770.0685161000001,1805.71699665,1836.75169395,1869.6846292999999,1895.6415648,1933.51614184,1966.0509499,1998.63039677,2025.10104266,2053.28282248,2081.69906043,2112.45137958,2143.81417367,2163.87459164,2190.43268617,2217.42563878,2235.8916193200002
