,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325
0.5,22.776946657,23.904457353333367,24.05235801,21.345753157,20.42141043716663,19.07265139657146,19.756626455375,19.731246407777768,18.9000512455,17.53485694236359,17.564405573666633,16.888069046461524,16.486444147714256,15.800651209,15.6091016948125,14.971333785352929,15.13725213922221,14.58883542984208,14.329539456800001,14.276078804285728,14.07771248977271,13.726921451652222,13.640473437624967,13.44230273964,12.920061057461508,12.9728224271852,12.787070551714258,12.666083209896568,12.717260880366632,12.514141733225824,12.122317033375,12.111438597181863,12.01318488273533,11.959219206600043,11.7674984509167,11.774965303945962,11.612750147736842,11.669858129641003,11.29192348205,11.486861320048746,11.47875345895241,11.299626825976713,11.37170703850001,11.143091689266646,11.154393617195627,11.138738315297836,10.940935858187501,10.960082842877537,11.00081374174,11.010186795803968,10.854580259634584,10.817861774924504,10.732857420037071,10.780302476781847,10.739727772089301,10.743059343368454,10.68484805734482,10.649879319525455,10.705006848350033,10.654936974049164,10.689013183306455,10.656712971015912,10.651013940296874,10.70664007073847
1,24.849335840000002,25.801229345333333,24.483041679,22.5772115908,21.898073490333363,20.52945186971433,20.79349055925,20.119970347333332,19.397010431800002,18.447968890545464,18.269043783,17.523067958769246,16.876046460285743,16.752744432533333,15.990836671,15.390037076705848,15.31803980311111,15.012685284105258,14.676134036799999,14.574017469428567,14.249229366636355,13.975459870000046,13.806847024916701,13.67391973528,13.05827185730773,13.335411437925893,12.970752081785728,12.853328718896524,12.8904795678,12.650030012322533,12.402876937250001,12.324291303757564,12.285016568764695,12.1389851573143,11.958418794222254,11.962379235405411,11.750786277578937,11.73907353835898,11.50635820935,11.543317940048789,11.5844839479524,11.38758588302326,11.483168431818182,11.29085104253331,11.264982368999982,11.327521516680807,10.989843902541635,11.088959742693849,11.054143398,11.076703066274488,10.930776288423054,10.897804276000045,10.851373731481457,10.87162577123632,10.85406006510717,10.795454282842122,10.767650237000034,10.689774767186453,10.781826483799966,10.73267284331147,10.742995692387105,10.691645858698422,10.72032916271875,10.747108355846162
1.5,27.685189431999998,27.0772985086667,25.783010850249998,23.7871489072,22.428811987499998,21.46417582742856,21.284521637,20.830069259111102,19.9566970997,18.703709765363683,18.5663020934167,17.746791033384607,17.016365067571385,16.9964058374667,16.3668835154375,15.985363459705923,15.6868432598889,15.12964339252632,15.0571531731,14.698250097571401,14.547214168318183,14.09040497600001,14.0480004195,13.79928516236,13.320366166769269,13.393406697592633,13.060616592428586,12.975944925241341,13.012869057,12.71479870674197,12.49791131078125,12.448503464666663,12.340913194264708,12.295109938314313,12.025248580166698,12.074816807486533,11.860219186236828,11.80151571487183,11.6572735246,11.62516242292687,11.654495049833358,11.435839870348863,11.582596204159083,11.3814331047111,11.321997069173865,11.38854930589358,11.0336689341667,11.124623635938729,11.12627660244,11.163521962117612,10.968389748615378,10.94931169879249,10.87555919679632,10.930551654509083,10.912489811107186,10.833997287192995,10.824061341155213,10.730146642406758,10.7983573754333,10.784390352721271,10.766278376322576,10.721113076904777,10.738303811078126,10.792745295000039
2,28.775486846,27.9778000413333,26.119802318,24.617743346399998,22.902317385333365,22.126704660571455,21.907621014,21.113683785333336,20.256830686,19.14339090654549,18.69270863066667,17.966311781538447,17.429804680857156,17.2990729832,16.4520457035,16.13676409999996,15.917516125333313,15.311092711999958,15.159174482,14.869702145714317,14.667885125454518,14.2659652928696,14.129304669166634,13.896944944640001,13.474040446153884,13.56243780059256,13.184888092285728,13.046005095448315,13.054909509733367,12.751071041806417,12.623715681,12.548762962666636,12.4013554636471,12.38495804342853,12.096029325444478,12.14625368529733,11.927487817999953,11.872899959897413,11.8290472674,11.70998065951219,11.727680076190438,11.542295311069779,11.641228230272729,11.443608969422177,11.364408333391346,11.407590363659558,11.158644358249967,11.21007708873466,11.199259874720001,11.17618372243141,10.999519689692352,10.978145304528292,10.898721690000045,10.963656779709137,10.937733852642845,10.872305631999996,10.849406981999996,10.76735912922036,10.8302063892667,10.80712243193445,10.787466499354823,10.74336382298408,10.754125314187501,10.812341202707715
2.5,30.199108115,28.948670078333333,27.02433015375,25.255681805,23.91248029583336,22.402150068571444,22.223729641250003,21.30022981111114,20.525083847999998,19.43561051954542,18.791454038333335,18.128230745000046,17.681054088571425,17.52773132,16.564908420625,16.401049821176493,16.06382085944449,15.518060002105262,15.30885042725,15.041860312380939,14.762255980681783,14.342287724565248,14.168718254375,13.9248056192,13.76162292057693,13.666676571481492,13.341595343392884,13.148641656724147,13.1601383571667,12.836031808387135,12.73826355453125,12.625260598484891,12.493450093529365,12.418785803571428,12.186984808472213,12.196732179729702,12.009871137763128,11.9140312515385,11.90236054475,11.767688529024374,11.76979711309522,11.593270826395335,11.693631669659048,11.47128092188889,11.38594266010872,11.43481251489361,11.236987948541636,11.260170280102072,11.218646314899999,11.2011106413725,11.040113050961576,11.015064983018835,10.95439417750003,10.99343159927271,10.980284544821426,10.897662406842075,10.881840184913802,10.81672119847453,10.8619849323333,10.817999803852452,10.814752691290348,10.77284519484123,10.773125111874998,10.830866480307693
5,33.24794469,32.07683134999997,28.82149447,27.24268272,25.3174937616667,24.38024464428568,23.18859898375,22.65347112000002,21.131419061,20.56477317545459,19.549343781666668,18.860061970000036,18.273942879285755,18.15180488800003,17.389628825,16.83137335647059,16.588384071111108,16.01291824736844,15.676052469,15.384854921428584,15.141667741818141,14.787196227826039,14.544688719583366,14.3125637428,14.140461687692316,13.868838173703706,13.618275750357116,13.435160068275831,13.3262781036667,13.111867322580617,12.9729113475,12.898559122424224,12.763473948529409,12.640435106000014,12.396021899722264,12.40310118324326,12.2347928802632,12.132491607435941,12.01693578525,11.92713391658541,11.912306733809546,11.78307436255814,11.840871794999986,11.629480295777746,11.544757180217399,11.539682157446771,11.382884485208367,11.37574298510206,11.3382190804,11.33325005352939,11.196403524038505,11.136104465471739,11.063712774444475,11.11465458054541,11.084547484285755,10.980531499473644,10.989132636379285,10.90882023322035,10.948149086,10.89176343852462,10.88563068725806,10.83533981126988,10.8493657709375,10.89334273
10,38.42380146,34.589062066666706,31.38095209,29.14303406,27.33284641999997,25.69058965999999,24.769571955,23.859130764444448,22.338340584,21.5162910727273,20.4411048666667,19.796808201538433,19.17124898714287,18.82480697600003,18.085508621250003,17.521640314117658,17.12217481111107,16.55623473999997,16.220069033,15.99265648285713,15.606854920909061,15.26593208260872,14.9710177408333,14.704148961600001,14.53764328538459,14.25622404888891,13.987779828571439,13.81796267586211,13.636452844666701,13.42590076193553,13.275490004375,13.14789574060608,13.00629198941174,12.88045257599997,12.6858604688889,12.61666340162164,12.50987210105266,12.36940115743588,12.24286154,12.11655869853657,12.134142929047629,11.98045504697678,11.96919469363636,11.83555881511112,11.75750608999997,11.70655394893615,11.6304066408333,11.560949177959191,11.5132515924,11.45447363098038,11.36511195346155,11.31109037056601,11.23149986074073,11.23556209418181,11.18288653428575,11.09954092947364,11.110284903793099,11.05469708949152,11.03121273800003,10.99104733770489,10.958555396774221,10.92163066888889,10.9309227140625,10.94615161046155
25,45.977949800000005,40.14316530000003,35.91769705,33.544999849999996,30.993553250000026,28.8691034642857,27.44353653125,25.818098277777775,24.371703935,23.2204264318182,22.095914625000024,21.352752799999998,20.712010510714325,19.938453316666674,19.294214521875,18.661589270588223,18.122647294444473,17.624881407894698,17.1873289525,16.85992415238095,16.499077804545475,15.9849804695652,15.742674374999975,15.376454404,15.2023126480769,14.909204659259249,14.587799292857124,14.45329614310345,14.185818350000025,14.044168296774226,13.818401043749999,13.6456697984848,13.50789464411765,13.336647458571425,13.165212183333324,13.05904641486485,12.933734897368451,12.80478744487175,12.6778394175,12.574409489024426,12.48872022857145,12.3474526651163,12.293857494318225,12.123444814444426,12.0607531369565,12.0088504585106,11.936433059374998,11.835756075510174,11.766896895,11.67898163235295,11.606335855769201,11.54205559056605,11.473051268518525,11.432525680909075,11.3804296035714,11.2957613447368,11.275686450862075,11.2051253466102,11.1722186466667,11.1419656262295,11.0846522032258,11.040837472222226,11.0352958734375,10.99877139384615
75,63.787972275,54.058426466666674,46.704448125,42.2862604,38.389461975000025,35.811236835714276,33.0899820125,30.821496244444425,28.8887747,27.128056718181824,25.861355058333324,24.91528378846155,23.781873224999977,22.9710621933333,21.821177453125,21.20941335882355,20.3761500638889,19.772985644736828,19.1488265525,18.799893538095226,18.29857088409093,17.762901173913022,17.546098693750025,17.009465763999998,16.703488050000026,16.42937348703705,16.076052371428574,15.839531284482774,15.543673956666675,15.317119904838727,14.995045365625,14.7981502469697,14.611004842647025,14.4767510257143,14.258220249999974,14.076629116216175,13.866154186842099,13.69591172179485,13.522253815,13.433362392682925,13.311098655952375,13.157319029069775,13.037480912499975,12.8266512488889,12.757604204347825,12.656343148936175,12.5433302354167,12.458625711224474,12.329100469,12.23884392941175,12.144025180769251,12.06811697547165,11.9514824564815,11.883324985454525,11.786982812499975,11.7090990359649,11.635348227586174,11.543838627118625,11.4647481766667,11.4043110401639,11.3105598096774,11.2479978801587,11.177470214062499,11.085708058461549
90,71.91407215999999,60.3610564466667,52.231985075000004,46.754668552000005,42.1412957266667,39.15707298571425,35.9227737575,33.14865640888888,30.849931414,29.14457579818184,27.526470723333357,26.261928812307648,25.11196960428569,24.22158296399997,23.155765764999998,22.40605093529415,21.57603504666665,20.80412861999997,20.064009777,19.67648245238091,19.17808568999996,18.67941302869562,18.3166846675,17.722894212,17.43151969692309,17.09059920148145,16.72340164142857,16.41079156206896,16.195306602666673,15.853814935483891,15.543140070625,15.34393552848481,15.169062011764751,14.93861481085718,14.82073508166663,14.52156877621625,14.262994459473731,14.17375368205131,13.935038999,13.80814151902435,13.68632219952384,13.50230702186046,13.36670417318182,13.14219258222225,13.043350629130451,12.89527235531918,12.81156788083333,12.72923608775511,12.6200888676,12.51545252705883,12.375180505769231,12.29048347660376,12.15535352333334,12.0696043523636,11.9773037128571,11.86214112982455,11.79099832827585,11.6809902620339,11.591315771000001,11.49426123278689,11.40128429354839,11.31965214063492,11.2330953603125,11.12557026769228
