,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325
0.5,60.89289336511112,72.44987927485715,76.56576972247372,75.40055312633329,82.25085993597698,81.9211524071765,84.25357462812818,86.0165847135152,87.03842689845716,87.10563434849831,87.73846374067519,89.0285459518654,89.70740491503518,90.1544088416649,90.1074330972373,90.95153105629696,92.19180781359675,91.44194310912651,91.74377471605052,92.95235645625827,93.41828492587906,92.66696513794665,93.68957434719816,93.44623156615611,93.77483355125047,94.22325198702707,94.13160880145328,94.65267888242917,94.20002021188051,94.737702670057,94.86492702075552,94.52855413956914,94.72306493895022,95.33221805064305,95.19102491423492,95.78580820773035,95.5811457578825,95.57987910494106,95.9588990857917,95.442598274934,96.31381611536482,96.38521060348621,96.297423924873,96.35210302992974,96.45648573486444,96.82211904948284,96.47187379485533,96.981520214642,97.10022839586959,96.96443381410221,97.25840328759074,97.28844427004061,97.49770698683795,97.51070372843056,97.73851447579325,97.9295313903089,97.89700819782338,98.0792400330271,98.16671815833185,98.49717180022344,98.45452652599103,98.77472149958463,98.89612557314813,99.1525818984348
1,63.3866027706667,75.58197136761905,78.65568829789478,79.3023524782,84.95479513337933,84.357284961042,85.88348374852562,87.41729035806057,88.34478148018776,90.15273148053872,88.80437208651982,90.07402959192306,90.5484142537474,90.82171682209733,91.38688568207917,92.16557734971424,92.59021632354057,92.68075907699885,93.01379697474954,93.53864467138095,93.75988771415844,93.21029644411897,94.01537670247345,93.96519043556133,94.44277930998689,94.51134160518735,94.44569481765265,94.98655692781415,94.65684004347557,95.34223567906999,95.27354254567688,95.18868997546642,94.8732701954626,95.60190637694052,95.7804934379193,96.19785039855347,96.00159405509214,95.95207470324502,96.18224921605179,95.72264454148639,96.606174782987,96.71220125078197,96.79366549663388,96.68352942396348,96.9430405937122,97.0422753226398,97.03019138475562,97.19707641712611,97.39316284630462,97.35114565200128,97.42733374403893,97.46109388590736,97.67101716989671,97.81778122149008,98.02537983626907,98.04235177168667,98.08450727550768,98.12035580651498,98.34149254878547,98.53780675012425,98.55246609956676,98.81740717031889,98.98170124245122,99.17991732014357
1.5,66.85405156,77.08418022180958,79.93317843568425,80.92302122003329,86.2941943656092,85.82895018976473,87.05581719973718,88.25129089901013,88.92688332480819,91.10444386997976,89.37754891806499,90.67906307663942,91.77204823104347,91.17892438271353,91.98731379796523,92.65434119840062,92.88746849067917,93.01687095952741,93.7027181314303,93.86859062045602,94.14862527287495,93.68278202027913,94.36114947941041,94.22558118439746,94.873805654121,95.1085793464644,94.87749693120709,95.34267164747507,95.32303456190203,95.69926463399416,95.59989627500862,95.42611201599405,95.29524020261822,95.87783307563156,96.01258082412069,96.31822571889484,96.08885398613758,96.40110661995135,96.36368657687566,96.07138444658106,96.79166004508546,96.96008428161616,97.00318498321109,96.86930264040635,97.06398957692998,97.30427274490054,97.12063464462261,97.43168662124994,97.59579713813226,97.53893287788883,97.50349396183842,97.66670695601576,97.82073707930759,97.92174531916926,98.16771095372931,98.16889728165582,98.24116609673798,98.29103686081451,98.39817286633563,98.5974623629771,98.62160397945888,98.85269172721266,99.02908279061481,99.19651720165089
2,68.0663174013333,79.12540758819048,81.18231823378943,82.25975580706667,86.48857578547124,87.10272498662184,87.54661385002568,88.92938776501008,89.06394838600815,91.86469129729292,90.16561044444066,91.23650997015386,92.07336486568946,91.98586608320001,92.3317930907025,93.129966796381,93.2957800884944,93.47329693470103,94.10986075954348,94.19247832698902,94.47711495992989,94.01249722121129,94.63310062732776,94.49251031427609,95.08145412651875,95.31581458202324,95.10365959553138,95.5878386772912,95.50762617313823,95.80358937765226,95.69957535451097,95.70026678868291,95.57599733930387,95.95677200261676,96.09366903943142,96.42289819253581,96.2902265086661,96.71614982423476,96.68311793578297,96.56645513957531,96.89858018961407,97.06052528158398,97.12309867463928,97.01516748206669,97.27974726922952,97.43626445042662,97.26665061298952,97.61186829861623,97.69148599909593,97.68140700980699,97.64353319064803,97.7703417821189,97.92235622136472,98.08414872508453,98.27209916703735,98.27630760056738,98.31882830328502,98.34503885129665,98.52881562893421,98.63720715847367,98.71563445431553,98.87576231920495,99.06056772272842,99.21370782272898
2.5,70.88322413333337,80.14053624904764,82.40245281802633,83.37720451783336,86.90729726827588,87.68469859689075,88.43767733346154,89.64086860964646,89.79323180830612,92.32385198424241,90.46831596757059,91.97008777415866,92.39248587339542,92.43683708673876,93.03389201481008,93.6086495528571,93.66328328358928,93.65788428160137,94.42664868194446,94.39168899836997,94.61680859870306,94.32857813070174,94.780701797605,94.77509610589676,95.15711259480625,95.5533184020674,95.45315430370246,95.80083504783522,95.76678767882777,96.08488823369922,95.8571684653439,96.07976209177016,95.81968003012702,96.06554245769131,96.27342677858006,96.46796558743834,96.5023634148454,96.75798128906688,96.87333608129146,96.75062056864417,96.99837781722715,97.17431029496193,97.19438797727692,97.08212296884328,97.41614454109458,97.52139146835788,97.45633465380838,97.68321145714286,97.80448315853819,97.77661561342902,97.77725676016489,97.85394945440828,98.00417762298635,98.13888159261585,98.32411501977984,98.30189956475783,98.40852750337494,98.43315645561053,98.56105544228146,98.65453890926449,98.75134146734682,98.93254422209083,99.0853788916894,99.24028605099431
5,77.37161188666667,84.01030965333332,85.78527502842104,87.70414347333329,89.25917908103446,90.20532065294118,90.19097464346152,91.65450106808085,92.14551831122446,93.43959344511786,92.44652128169493,93.44356790802884,93.85108112469977,93.9443458846126,94.01982823185124,94.69868947739494,94.61186470827714,94.60228538889139,95.36948927666664,95.27262695501835,95.57244068984154,95.44850668346301,95.61520448853643,95.56931923741938,95.84753425329758,96.28087915079048,96.04345988953236,96.55211002602495,96.47966779542283,96.49403706842904,96.42168242630898,96.66608425868438,96.71114702604594,96.66729333125778,96.80865629969588,97.04722035496476,97.12436721982176,97.2016438927465,97.28679665602263,97.18532206409849,97.44871575711093,97.63950128882848,97.48335884076383,97.55477148488488,97.84718726603005,97.87283601710855,97.76749607349376,98.09444999237206,98.07329619031007,97.99776418920489,98.21846619909414,98.18653125374789,98.28508330432743,98.37018619428798,98.5044121136636,98.4837054828021,98.63055939436106,98.64658335545947,98.74380989537343,98.8456165532722,98.92599566742454,99.06055670029319,99.16887274865893,99.3297735390579
10,84.78521352666668,88.28128825142853,89.60443996631581,90.94490340533329,92.11394291287357,92.29727125176473,92.53979119487184,93.7322167892929,93.98871345542858,94.82989274343431,94.36989238491523,94.7503333443269,95.15504070165632,95.03847487416216,95.39913659291143,95.74080428649862,95.72239152604243,95.91318891771559,96.27844042848481,96.2931746082784,96.47442868864054,96.50780922587339,96.63850923267509,96.6561877410581,96.76148961718545,97.18350596229963,96.7924385292395,97.25600011114943,97.08972867468461,97.21142431421872,97.26682165175318,97.44613395120477,97.42704331598328,97.36416281485715,97.43857285447547,97.87975115492364,97.71823092762457,97.7787665058102,97.8813390987488,97.74577526138685,97.88558790816592,98.13028340895455,97.91909430778749,98.06878236268254,98.20781759652931,98.23914069965451,98.18676705628666,98.43106515611912,98.45184706239036,98.38154614740158,98.49131585123556,98.51512500111491,98.61154969633206,98.68500463112939,98.79225814491554,98.76694700208549,98.8597497293569,98.88806744185867,98.98257017835678,99.03331631758414,99.1092726068817,99.22255144934995,99.29197738965324,99.40879672258693
25,93.65784454999996,94.5405125761905,95.07817615657898,95.64930405499997,96.2719892482759,96.40276780588238,96.50191509262822,96.80551597121213,96.9671178544898,97.4600721734007,97.19335666864407,97.1909863800481,97.57399911314698,97.51983847963967,97.59444592761074,97.5432267528011,97.74216474194755,97.95981931243003,98.05328190924243,98.33102248717952,98.13798645829857,98.1454994726926,98.22717702384458,98.32367962180648,98.23069074391775,98.40796524599224,98.27434695156732,98.30077723793104,98.41430644181207,98.47317758847925,98.40965274182393,98.51496365225427,98.60442476246082,98.4932932477504,98.52231584658597,98.79026142388369,98.67042594333054,98.73385702873382,98.78838852841707,98.75817070597797,98.7301732187286,98.90843056911538,98.7486737406912,98.88592916702382,98.938637248614,98.90541073851608,98.96998339544976,99.04790572756775,99.04082870207233,99.0140360551181,99.07494310574693,99.14935629326757,99.1435504110423,99.13097276410087,99.23368780983108,99.22312777200398,99.2891151542179,99.27895125134322,99.3306839331271,99.35745214146893,99.41544872034137,99.44435901363863,99.47593602335428,99.54402893431148
75,107.81770012777775,105.798513766667,104.54230257631575,104.53502571499999,103.71881842356301,103.483633681513,103.33915766474351,102.9593505,102.98300789755125,102.61019152390574,102.3206133827685,102.31959526370225,102.28466057629424,102.25653269333375,101.823475533228,101.48398059033624,101.7330969086145,101.71534825039176,101.66530837757574,101.5909384721615,101.50491468744825,101.4632626526315,101.42023953672975,101.46103493367775,101.31047651639875,101.22196887650625,101.007741741136,101.04046349736625,101.09220178662225,101.07674405169675,100.89803940381275,101.061253649889,100.918198700696,100.95800370242999,100.73423535676625,100.92765753348975,100.78851190350875,100.87410497308974,100.694758973769,100.70909997934025,100.574174434302,100.56292611614876,100.64396531861775,100.50128614055575,100.48431151225525,100.515646168049,100.4660933351375,100.42418425761124,100.41905486017674,100.40991191255175,100.34885607158475,100.293982512021,100.30700817089325,100.26309164605175,100.30243910937025,100.17838580699275,100.18210346258775,100.15775590062225,100.0682202216275,100.06457941367574,100.00539612098875,99.94247347050856,99.9268953602077,99.84866251682814
90,112.4830327999998,109.2935580323812,107.9393111810526,107.5340325686667,106.5382865928736,106.2882638137818,105.5150737262819,105.17287224121169,104.9214242870205,104.529991230034,104.5050586933333,104.2087420787498,103.90027441453391,103.9197468696941,103.52884555905091,103.2162700319332,103.43656418696621,103.4451943406048,103.0851707417375,102.95111032666709,102.898173416314,102.671766356003,102.871575446513,102.7169011118709,102.5232487491118,102.42676255931441,102.1989957814084,102.18023431773949,102.1962828649039,102.0555127184587,101.9487138936083,101.8873719687806,101.78749021266249,101.9766393980165,101.65750408828019,101.7111422960164,101.65106774088589,101.77021722343079,101.4499977108193,101.57560951845059,101.37144380677191,101.306958035601,101.3525709874925,101.2573292280321,101.1608387432393,101.1456912937553,101.0809611834794,101.04810372380031,100.9652490924654,100.9324748852431,100.8686698031778,100.80494376520261,100.83227328251971,100.69866849714681,100.70360455347911,100.61710981489951,100.56371130498229,100.51898605398371,100.3994594885109,100.3568603611307,100.256321771229,100.1923399627819,100.1190948618047,99.98751317465526
